cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15
F,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
F,0.46617329120635986,0.364834725856781,0.11709943413734436,0.677,0.2565,0.1415,0.21
M,0.44,0.365,0.10157778859138489,0.516,0.15091021358966827,0.08301232755184174,0.155
I,0.33,0.260213702917099,0.08,0.205,0.06272031366825104,0.0395,0.055
F,0.425,0.3,0.095,0.3515,0.141,0.0775,0.07921335846185684
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.2011733055114746
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
M,0.475,0.3429120182991028,0.11159715056419373,0.5095,0.15107686817646027,0.1125,0.165
F,0.5786501169204712,0.44952067732810974,0.15,0.8945,0.3145,0.20696206390857697,0.32
F,0.525,0.38,0.14,0.6065,0.21704332530498505,0.1475,0.21
M,0.43,0.35,0.11,0.22897493839263916,0.1675,0.081,0.135
M,0.49,0.38,0.135,0.3894711136817932,0.2175,0.095,0.19
F,0.5053393840789795,0.405,0.13083970546722412,0.6845,0.2725,0.171,0.205
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
F,0.5,0.4,0.12997816503047943,0.6645,0.258,0.15470069646835327,0.24
F,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1
M,0.45,0.30056965351104736,0.1,0.381,0.1705,0.06618303805589676,0.115
F,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
I,0.38,0.275,0.07807788252830505,0.2255,0.08,0.039432037621736526,0.085
F,0.565,0.44,0.1438627392053604,0.9395,0.36860641837120056,0.214,0.27
F,0.55,0.415,0.135,0.7635,0.318,0.16484281420707703,0.24540837109088898
F,0.5990839004516602,0.4593208432197571,0.165,1.1615,0.4402969479560852,0.301,0.34730443358421326
F,0.56,0.46747779846191406,0.14,1.0377552509307861,0.4324520528316498,0.188,0.3145906627178192
F,0.5637209415435791,0.45,0.14632666110992432,0.9955,0.3945,0.272,0.285
M,0.5496721267700195,0.42250365018844604,0.1403130441904068,0.931,0.356,0.234,0.28
M,0.5820550322532654,0.475,0.14772391319274902,0.9572356939315796,0.394,0.219,0.295
M,0.534956693649292,0.425,0.14,0.8635,0.33191415667533875,0.227,0.2
F,0.5973070859909058,0.46784278750419617,0.15985335409641266,0.9975,0.446718692779541,0.242,0.33
F,0.6058512926101685,0.56,0.165,1.1089105606079102,0.48883509635925293,0.23913300037384033,0.3502284288406372
F,0.665,0.5051719546318054,0.16836054623126984,1.2905031442642212,0.5515,0.2670322358608246,0.3693704605102539
