cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,70.0,2.0,1.0,1.0,7,acept,furnished,2065.0,3300.0,211.0,42.0
São Paulo,320.0,3.704542875289917,3.3621952533721924,2.882004737854004,-,acept,not furnished,-482.6239013671875,4960.0,1750.0,93.71363830566406
Porto Alegre,80.0,1.0,1.0,0.9738507866859436,2,acept,not furnished,1000.0,2800.0,184.30743408203125,41.0
Porto Alegre,51.0,2.0,1.0,0.0,2,acept,not furnished,270.0,1112.0,75.8076171875,17.0
São Paulo,50.545536041259766,1.0,1.0,0.0,1,not acept,not furnished,0.0,800.0,25.0,11.0
São Paulo,376.0,3.0,3.40934681892395,7.0,-,acept,not furnished,0.0,6423.5673828125,546.2918090820312,121.0
Rio de Janeiro,72.0,2.0,1.0,0.0,7,acept,not furnished,641.099365234375,1993.5804443359375,85.0,25.0
São Paulo,115.05420684814453,3.057060718536377,3.7193896770477295,4.0,4,acept,not furnished,2254.0,3223.0,1735.0,50.63985061645508
São Paulo,207.33538818359375,2.0,2.8248794078826904,2.3604397773742676,3,acept,furnished,1000.0,15000.0,588.1904296875,191.0
Rio de Janeiro,35.0,1.0,1.0,0.0,2,acept,furnished,590.0,2300.0,35.0,30.0
São Paulo,26.0,1.0,1.0,0.0,2,acept,furnished,470.0,2100.0,150.0,27.0
Campinas,83.6246109008789,1.0,1.1519044637680054,1.0,10,acept,not furnished,550.0,580.0,86.52545166015625,8.0
São Paulo,36.0,1.0,1.0,0.0,11,acept,not furnished,359.0,2100.0,70.0,27.0
São Paulo,55.0,1.0,1.0,1.0,2,acept,furnished,2302.123291015625,4445.73095703125,224.0,54.0
São Paulo,100.0,2.0,2.0,2.0,24,acept,not furnished,900.0,4370.0,17.0,62.81950759887695
São Paulo,330.0,3.8782498836517334,6.0,6.0,-,acept,furnished,3828.141357421875,8000.0,328.0,121.0
São Paulo,110.0,2.0,2.0,1.0,1,acept,not furnished,700.0,3000.0,224.96624755859375,39.0
São Paulo,62.678314208984375,2.0,3.0,1.0,9,not acept,furnished,1614.0,3500.0,221.0,52.2048454284668
São Paulo,56.0,2.0,1.0,0.0,8,acept,not furnished,800.0,1779.279052734375,0.0,16.0
São Paulo,289.5694274902344,3.9878077507019043,3.75933837890625,6.0,-,acept,not furnished,111.92182159423828,8648.0224609375,434.4811706542969,181.0
São Paulo,195.30392456054688,7.0,4.0,3.6732864379882812,-,acept,not furnished,0.0,4400.3623046875,265.6190185546875,58.0
Belo Horizonte,42.0,1.7497708797454834,1.4484177827835083,1.0,1,not acept,furnished,479.1875305175781,2690.0,181.92117309570312,36.0
São Paulo,160.0,3.0,2.0,2.0,18,acept,furnished,2259.470703125,1900.0,167.0,25.0
São Paulo,57.047821044921875,1.0,1.0,0.0,-,acept,not furnished,0.0,1100.0,3.0,14.0
Rio de Janeiro,90.0,2.420457601547241,2.0,1.0,7,acept,not furnished,1201.0953369140625,2162.757568359375,118.0,24.0
São Paulo,49.0,1.0,1.0,0.9088868498802185,10,acept,not furnished,1858.575927734375,2884.432373046875,42.0,45.0
São Paulo,41.0,1.4596102237701416,1.3638650178909302,1.0,5,acept,furnished,600.0,3000.0,0.0,37.10265350341797
Belo Horizonte,64.0,2.0,1.295896291732788,1.0,1,acept,not furnished,352.0,1500.0,80.0,30.743364334106445
São Paulo,208.0,3.0,2.0,4.0,-,acept,not furnished,0.0,3180.0,100.0,48.0
São Paulo,20.0,1.0,1.0,0.0,5,acept,furnished,602.0,1800.0,130.0,23.0
São Paulo,55.0,2.0,2.0,2.0,6,acept,not furnished,780.0,1907.212158203125,142.0,14.0
São Paulo,32.0,1.0,0.5552087426185608,0.0,3,acept,not furnished,515.0,1700.0,29.0,26.054550170898438
São Paulo,80.0,2.1773815155029297,1.7966727018356323,1.0,11,acept,not furnished,3343.685791015625,2550.0,216.0,33.0
Rio de Janeiro,45.0,1.0,1.0,1.0,1,acept,furnished,2450.0,2500.0,593.0,33.0
São Paulo,350.0,4.0,4.0,3.0,8,acept,not furnished,1369.38525390625,4257.48291015625,689.8018798828125,69.59476470947266
Porto Alegre,38.0,1.0,1.0,2.0,11,acept,not furnished,450.0,2241.650146484375,153.81166076660156,26.0
