cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
F,0.4391721487045288,0.3291761875152588,0.095,0.514,0.15814682841300964,0.09934044629335403,0.15
F,0.4345455467700958,0.3343161940574646,0.09,0.4630127549171448,0.0995,0.10728183388710022,0.07
F,0.48044389486312866,0.3721596300601959,0.135,0.6416963934898376,0.25681108236312866,0.12070106714963913,0.21
F,0.42756617069244385,0.3189682960510254,0.125,0.516,0.2155,0.114,0.155
F,0.33,0.255,0.08,0.205,0.0895,0.0395,0.10823506861925125
F,0.425,0.3303077220916748,0.1201610341668129,0.4622969627380371,0.19410821795463562,0.0775,0.12
F,0.49305421113967896,0.3857545256614685,0.15,0.7775,0.26206767559051514,0.1415,0.18785929679870605
F,0.545,0.3391382396221161,0.125,0.5876278281211853,0.294,0.1495,0.15712128579616547
F,0.475,0.37,0.11083203554153442,0.5095,0.18578889966011047,0.097455233335495,0.13449840247631073
F,0.5936166644096375,0.44,0.15,0.8945,0.3145,0.2563258111476898,0.34637242555618286
F,0.525,0.3731409013271332,0.1267167329788208,0.6065,0.25896987318992615,0.12760548293590546,0.1782447248697281
F,0.44322606921195984,0.35,0.11140754818916321,0.46260830760002136,0.1675,0.081,0.13706070184707642
M,0.44823622703552246,0.38,0.12660124897956848,0.5415,0.20832370221614838,0.095,0.19
F,0.535,0.405,0.145,0.6845,0.26894786953926086,0.171,0.18654488027095795
F,0.47,0.355,0.11875303089618683,0.46449145674705505,0.18634843826293945,0.0805,0.185
F,0.4750478267669678,0.4,0.1292581707239151,0.6662639379501343,0.25851187109947205,0.133,0.1952274590730667
F,0.4521161913871765,0.35825809836387634,0.11922123283147812,0.2905,0.19447553157806396,0.11690529435873032,0.115
F,0.46612584590911865,0.34659698605537415,0.11789457499980927,0.451,0.188,0.087,0.1312219798564911
M,0.44084256887435913,0.295,0.1202382892370224,0.2555,0.20078130066394806,0.043,0.14807869493961334
F,0.45,0.33487004041671753,0.1,0.5481624603271484,0.18417465686798096,0.08804173767566681,0.14140185713768005
F,0.44433945417404175,0.3455900549888611,0.095,0.2455,0.0955,0.11796823889017105,0.12731660902500153
F,0.45356449484825134,0.3554340898990631,0.1,0.5632860660552979,0.20569530129432678,0.10577040910720825,0.15364502370357513
F,0.565,0.44,0.1793106198310852,1.2847163677215576,0.4275,0.27905508875846863,0.27
F,0.4757876396179199,0.3715994954109192,0.1187690868973732,0.7635,0.318,0.1348596215248108,0.14325501024723053
F,0.6269103288650513,0.48,0.17524294555187225,1.1615,0.5607578158378601,0.301,0.305
F,0.56,0.5055124163627625,0.1818569302558899,1.3152607679367065,0.3825,0.188,0.3
F,0.58,0.45,0.17013554275035858,0.9955,0.3945,0.2852274775505066,0.285
M,0.59,0.4680953025817871,0.14,1.2701367139816284,0.356,0.234,0.32769158482551575
M,0.605,0.4763331711292267,0.18,1.302749752998352,0.5075826048851013,0.2422468364238739,0.295
M,0.575,0.4662341773509979,0.1658972203731537,1.1361130475997925,0.5020283460617065,0.21534611284732819,0.31436824798583984
M,0.5607280135154724,0.47,0.157962828874588,1.048237681388855,0.4382569491863251,0.20970763266086578,0.2923276722431183
F,0.6151551604270935,0.56,0.165,1.3169695138931274,0.5321695804595947,0.26464441418647766,0.46
F,0.665,0.525,0.161651149392128,1.2052037715911865,0.5515,0.2478160262107849,0.32418039441108704
F,0.68,0.55,0.17180725932121277,1.798,0.5660366415977478,0.3925,0.350622296333313
F,0.705,0.4848419427871704,0.2,1.7095,0.5384199023246765,0.4115,0.49
F,0.41257235407829285,0.355,0.105,0.4795,0.1436445713043213,0.08619808405637741,0.125
F,0.54,0.475,0.155,1.3384560346603394,0.5305,0.27689987421035767,0.34
F,0.45,0.3582766056060791,0.12589657306671143,0.5342437028884888,0.237,0.1165,0.145
