cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,74.78533172607422,2.0607974529266357,2.130885362625122,1.0,-,acept,not furnished,-1046.8802490234375,3300.0,211.0,33.025970458984375
São Paulo,320.0,4.0,3.779337167739868,0.0,20,acept,not furnished,1200.0,4960.0,1750.0,63.0
Porto Alegre,80.0,2.058573007583618,1.0,0.7928218245506287,6,acept,not furnished,-1767.7752685546875,2136.446533203125,0.0,31.626768112182617
São Paulo,81.86245727539062,2.0,1.5270956754684448,0.0,2,acept,not furnished,270.0,1112.0,22.0,13.965210914611816
São Paulo,25.0,1.0,1.0,0.0,1,not acept,not furnished,0.0,800.0,25.0,11.0
São Paulo,376.0,3.0,3.0,7.0,-,acept,not furnished,-613.6442260742188,8000.0,834.0,121.0
Rio de Janeiro,141.88555908203125,2.2382194995880127,1.6277812719345093,0.0,3,acept,not furnished,740.0,1900.0,85.0,25.0
São Paulo,400.2164611816406,2.753293752670288,4.0,2.4431328773498535,4,acept,not furnished,-3549.46435546875,3223.0,1735.0,41.0
São Paulo,375.4967956542969,2.0,2.0,1.0,3,acept,furnished,1000.0,10862.427734375,250.0,191.0
Rio de Janeiro,35.0,1.12203848361969,1.0,0.0,2,acept,furnished,-1269.2249755859375,2678.3740234375,35.0,39.81043243408203
São Paulo,26.0,0.940994381904602,1.0,0.0,2,acept,not furnished,470.0,2100.0,150.0,27.0
Campinas,46.0,1.0,1.0,1.0,10,acept,not furnished,-3502.39013671875,1255.82080078125,43.0,8.0
São Paulo,146.18478393554688,1.0,1.0,0.8865401148796082,11,acept,not furnished,-121.32767486572266,2100.0,256.3283386230469,27.0
São Paulo,55.0,1.0,1.0,0.7595384120941162,2,acept,furnished,790.0,4200.0,224.0,54.0
São Paulo,100.0,2.0,1.8414634466171265,1.0223679542541504,24,acept,furnished,900.0,4370.0,17.0,56.0
São Paulo,330.0,4.0,6.0,2.9007911682128906,-,acept,furnished,680.0,8251.423828125,328.0,121.0
São Paulo,135.2262420654297,2.0,2.0579888820648193,1.1366757154464722,-,acept,not furnished,-512.4819946289062,3000.0,397.19305419921875,39.0
São Paulo,88.0,2.0,3.0,1.4555221796035767,1,not acept,furnished,1614.0,3500.0,221.0,16.0
Rio de Janeiro,56.0,2.0,1.3999965190887451,0.0,8,acept,not furnished,800.0,1220.0,-10.530240058898926,12.907940864562988
São Paulo,600.0,4.0,5.0,6.0,-,acept,not furnished,0.0,12000.0,621.6515502929688,181.0
São Paulo,100.0,7.0,4.0,0.0,-,acept,not furnished,179.33261108398438,3800.0,377.159912109375,58.0
Belo Horizonte,193.2096405029297,2.079414129257202,1.0,1.0,17,acept,furnished,470.0,3026.134033203125,172.0,36.0
São Paulo,160.0,3.0,2.0,2.0,18,acept,furnished,1530.0,1900.0,28.09445571899414,25.0
São Paulo,35.0,1.1413326263427734,1.0,0.4666077196598053,-,acept,not furnished,0.0,1100.0,3.0,14.0
São Paulo,127.93956756591797,3.0,2.0,1.0,7,acept,not furnished,800.0,1800.0,110.10198974609375,24.0
São Paulo,49.0,1.6781668663024902,1.0,1.0,10,acept,not furnished,480.0,2229.653076171875,42.0,18.683881759643555
São Paulo,41.0,1.0,1.2697439193725586,1.0,5,not acept,furnished,600.0,3000.0,0.0,39.0
São Paulo,64.0,2.0,2.0,1.0,11,acept,not furnished,352.0,1500.0,52.73740005493164,20.0
São Paulo,283.1874694824219,3.0,3.364159345626831,4.0,-,acept,not furnished,0.0,3180.0,440.1854553222656,48.0
São Paulo,193.87197875976562,1.0,1.0,0.0,1,acept,not furnished,602.0,1800.0,85.19822692871094,18.371183395385742
São Paulo,271.4824523925781,2.4080069065093994,2.0,2.0,6,acept,not furnished,780.0,3301.05712890625,318.48699951171875,35.61503601074219
São Paulo,32.0,1.3073986768722534,1.0,0.0,3,acept,not furnished,515.0,1716.3525390625,13.833224296569824,22.0
São Paulo,80.0,2.0,2.273333787918091,1.0,11,acept,not furnished,1208.0,2550.0,216.0,33.0
São Paulo,45.0,1.7356635332107544,1.0,0.9439330697059631,1,acept,not furnished,2450.0,2500.0,148.66233825683594,33.0
São Paulo,350.0,4.0,4.0,3.0,-,acept,not furnished,2100.0,4000.0,530.0155639648438,51.0
São Paulo,184.58033752441406,1.8418889045715332,1.0,2.0,-,not acept,not furnished,-2274.439453125,2018.8582763671875,0.0,26.0
São Paulo,53.58827209472656,2.156282424926758,1.0,0.0,1,acept,not furnished,460.0,1600.0,0.0,16.068044662475586
Belo Horizonte,80.0,3.0,3.067779541015625,2.5755653381347656,-,acept,not furnished,-3361.7783203125,11000.0,425.0,181.0
São Paulo,70.0,1.721143364906311,1.621337890625,0.0,-,acept,not furnished,0.0,1150.0,129.6507110595703,18.0
Porto Alegre,62.434959411621094,1.0,1.0,1.0,6,acept,furnished,390.0,2990.0,0.0,44.0
São Paulo,-410.66119384765625,4.0,4.078033447265625,4.0,20,acept,not furnished,2380.501708984375,12000.0,1584.0,153.0
São Paulo,240.0,3.0,2.0,3.0,-,acept,not furnished,0.0,3500.0,277.3796691894531,53.0
Belo Horizonte,200.0,4.0,2.0,1.0,7,not acept,not furnished,850.0,2550.0,9.0,34.0
São Paulo,45.0,1.5122562646865845,1.0,1.0,5,acept,not furnished,500.0,1859.203857421875,192.0,23.98838233947754
São Paulo,360.0,4.0,5.0,0.0,-,acept,not furnished,4000.0,6410.0,2000.0,82.0
São Paulo,40.0,1.0,1.0,0.32146647572517395,10,acept,furnished,978.0,2829.0,0.0,36.05618667602539
Belo Horizonte,100.0,3.0,1.0,1.0764238834381104,13,acept,not furnished,700.0,1012.7748413085938,10.0,17.0
São Paulo,42.0,1.0,1.0,2.0,2,acept,furnished,190.0,1770.0,17.0,26.0
Campinas,-49.7437744140625,3.0,2.890336275100708,2.009126663208008,3,acept,not furnished,2200.0,1700.0,256.0,24.72446060180664
Campinas,48.0,1.0,1.3420664072036743,1.0,2,acept,not furnished,-714.4082641601562,1600.0,77.5418701171875,21.0
Rio de Janeiro,90.0,3.0,3.0,1.0,10,acept,not furnished,1250.0,3800.0,147.0,49.0
São Paulo,45.0,1.1149780750274658,2.0,1.0,15,acept,furnished,856.0,3900.0,150.0,50.0
São Paulo,150.0,3.097550392150879,3.0,4.0,3,acept,not furnished,1700.0,4752.15771484375,316.1023254394531,52.0
São Paulo,60.0,1.721417784690857,1.0,0.0,2,acept,not furnished,200.0,1445.0,0.0,19.0
São Paulo,31.0,1.0,1.0,0.5115658640861511,3,acept,not furnished,370.0,1918.3389892578125,56.0,30.0
São Paulo,278.4476318359375,4.0,5.0,4.0,1,not acept,not furnished,1650.0,5574.62451171875,761.2302856445312,73.44650268554688
São Paulo,280.0,3.0,1.0,1.417917013168335,-,acept,not furnished,0.0,6000.0,113.0,75.27454376220703
Campinas,93.0,2.0,3.0,2.0,9,acept,not furnished,663.0,3979.56884765625,46.643253326416016,70.0
São Paulo,75.0,3.0,2.0,1.0,9,acept,not furnished,-28.34720230102539,1800.0,109.0,19.285585403442383
São Paulo,222.64915466308594,3.13869571685791,4.0,2.2658398151397705,-,acept,not furnished,0.0,4463.9482421875,70.0,61.0
São Paulo,41.0,1.0,1.0,1.0,6,acept,furnished,523.0,4000.0,131.0,30.3604679107666
Rio de Janeiro,-14.451508522033691,1.0,2.1258127689361572,0.47806981205940247,8,acept,furnished,2000.0,4719.36279296875,250.0,66.0
São Paulo,70.0,2.0,1.747493028640747,1.2620946168899536,13,acept,not furnished,761.0,2150.0,67.0,28.373573303222656
São Paulo,278.0,4.0,3.7218828201293945,2.0,16,acept,furnished,4052.0,9000.0,486.3225402832031,115.0
Rio de Janeiro,35.0,1.0,1.0,0.0,5,acept,not furnished,306.0,1521.0,113.34024047851562,20.0
Campinas,309.6338806152344,4.0,3.3537728786468506,2.7118072509765625,-,acept,not furnished,2300.0,5218.71923828125,417.0,77.0
São Paulo,61.0,2.0680785179138184,1.0,0.8905026316642761,-,acept,not furnished,-1529.7117919921875,1850.0,0.0,24.0
São Paulo,35.343467712402344,3.0,2.0,1.0,7,acept,not furnished,1660.0,1700.0,475.0,24.463701248168945
Rio de Janeiro,46.65803527832031,2.0,1.0,1.0,3,acept,not furnished,500.0,1246.045166015625,90.0,12.0
São Paulo,164.0,2.902292013168335,2.9408698081970215,2.0,6,not acept,not furnished,2159.0,5000.0,386.0,81.97899627685547
São Paulo,220.0,4.0,2.0,1.9453924894332886,-,acept,not furnished,-837.4603881835938,2887.82958984375,125.0,33.0
São Paulo,45.0,1.0,1.0,0.0,-,acept,not furnished,0.0,2072.052978515625,46.0,35.00353240966797
São Paulo,108.0,2.922234535217285,2.0,1.937376856803894,7,acept,not furnished,-1714.4600830078125,5600.0,435.0,77.99615478515625
São Paulo,128.0,1.0,1.8466843366622925,0.8741881847381592,4,acept,furnished,-1433.5484619140625,2100.0,182.0,28.0
Rio de Janeiro,277.22735595703125,2.077629327774048,1.695966362953186,0.6502525210380554,10,not acept,not furnished,450.0,1800.0,48.0,24.0
São Paulo,250.0,4.0,5.0,3.8624446392059326,-,acept,not furnished,2050.0,9800.0,998.0,125.0
São Paulo,73.04983520507812,1.0,1.0,1.0,1,not acept,furnished,400.0,2200.0,0.0,33.0
Belo Horizonte,170.0,4.0,2.875330924987793,2.1222991943359375,9,not acept,not furnished,744.0,2700.0,296.0,33.63140106201172
São Paulo,45.0,1.0,1.0,0.0,1,not acept,not furnished,300.0,1240.0,18.175540924072266,13.336785316467285
São Paulo,42.0,1.0,1.6141942739486694,1.0,15,acept,not furnished,686.0,3500.0,123.0,45.0
São Paulo,164.0,4.0,4.0,2.7224223613739014,1,acept,not furnished,1840.0,6000.0,550.0,70.12796020507812
São Paulo,135.6418914794922,1.8126775026321411,1.0,1.0,1,acept,not furnished,700.0,1565.426513671875,200.0,13.0
Porto Alegre,95.68363952636719,2.3486318588256836,3.0,1.0,8,acept,not furnished,600.0,2200.0,159.0,33.0
São Paulo,64.0,2.0,2.0,2.0,1,acept,furnished,1300.0,4500.0,440.0,58.0
Belo Horizonte,68.0,2.0,1.0,1.0,3,acept,not furnished,320.0,1200.0,27.0,16.0
Belo Horizonte,74.97394561767578,2.0,2.0,1.3888516426086426,14,not acept,not furnished,-1955.6798095703125,1531.49462890625,264.0,34.0
São Paulo,600.0,3.4279589653015137,4.0,2.8086273670196533,9,acept,not furnished,7400.0,8500.0,1206.225830078125,92.8807601928711
São Paulo,63.0,1.5827182531356812,2.0,0.0,15,not acept,not furnished,1472.1365966796875,1550.0,152.0,20.0
São Paulo,172.11105346679688,3.0,4.0,3.0,1,not acept,not furnished,1200.0,6000.0,750.0,77.0
São Paulo,85.0,2.0,2.135929584503174,2.0,3,not acept,not furnished,1500.0,2450.482421875,292.0,36.0
São Paulo,254.0,4.0,4.266040325164795,4.0,7,acept,not furnished,3366.0,7909.9609375,1800.0,115.0
Porto Alegre,123.96876525878906,4.0,3.877549171447754,4.0,-,acept,furnished,-4054.61962890625,9000.0,359.0,160.0
São Paulo,224.62559509277344,4.0,4.0,3.0,-,acept,not furnished,0.0,5536.23486328125,584.0,53.0
