cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
F,0.455,0.365,0.095,0.3482362627983093,0.15811848640441895,0.0737094059586525,0.15
F,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
F,0.5119919180870056,0.42,0.135,0.677,0.2565,0.12826821208000183,0.2250637412071228
M,0.44,0.365,0.09608940780162811,0.516,0.2155,0.055697012692689896,0.155
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12
F,0.53,0.415,0.1334257274866104,0.7518284320831299,0.237,0.15395362675189972,0.2500022351741791
F,0.5575771927833557,0.425,0.13642558455467224,0.768,0.294,0.16301622986793518,0.26
M,0.4441896080970764,0.35793259739875793,0.125,0.47958436608314514,0.2165,0.10096582025289536,0.165
F,0.5605970025062561,0.4498835504055023,0.15,0.8669478893280029,0.3145,0.151,0.26901498436927795
F,0.525,0.4033467769622803,0.1321362555027008,0.6065,0.194,0.1351838856935501,0.21
M,0.4051169157028198,0.35,0.1006074920296669,0.3771495223045349,0.1675,0.081,0.135
F,0.49,0.38716715574264526,0.135,0.5415,0.24756962060928345,0.095,0.1975235790014267
F,0.5283765196800232,0.4184243083000183,0.145,0.6845,0.2725,0.171,0.205
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
F,0.511415958404541,0.4,0.13,0.6645,0.28663915395736694,0.133,0.22683185338974
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115
F,0.44,0.34,0.1,0.451,0.188,0.05053400620818138,0.11438702046871185
M,0.3282039761543274,0.295,0.08,0.2555,0.097,0.043,0.1
M,0.45,0.32,0.1,0.20834213495254517,0.1705,0.075,0.10359757393598557
F,0.37177547812461853,0.28,0.095,0.2455,0.12480738759040833,0.062,0.075
I,0.38,0.275,0.07758194953203201,0.17516279220581055,0.08,0.049,0.085
F,0.5760622620582581,0.44,0.1522359699010849,0.9845154881477356,0.45495370030403137,0.214,0.2914201319217682
F,0.5529783368110657,0.415,0.1454462707042694,0.8365413546562195,0.318,0.1750442534685135,0.2660674750804901
F,0.615,0.48,0.13889078795909882,1.1615,0.3711296319961548,0.17796967923641205,0.305
F,0.56,0.4667571783065796,0.14276157319545746,0.9285,0.4320831894874573,0.188,0.2983807921409607
F,0.6160477995872498,0.4956091642379761,0.15613193809986115,0.9955,0.5023067593574524,0.21057383716106415,0.285
F,0.6035621762275696,0.4867744743824005,0.14,1.071010708808899,0.4428234100341797,0.21987056732177734,0.3272414803504944
M,0.5243392586708069,0.475,0.18,0.7928375005722046,0.2946759760379791,0.219,0.295
M,0.575,0.41208451986312866,0.14,0.8635,0.282786101102829,0.1622973531484604,0.2
F,0.612384021282196,0.48555633425712585,0.15610776841640472,1.1717382669448853,0.5071208477020264,0.242,0.3276900351047516
F,0.6311743855476379,0.5214020609855652,0.16270877420902252,1.1967204809188843,0.533862292766571,0.2372041493654251,0.46
M,0.576728880405426,0.48405832052230835,0.15152540802955627,0.9912019371986389,0.5515,0.21001631021499634,0.28848472237586975
F,0.68,0.47329169511795044,0.1518874615430832,1.0317164659500122,0.4585154354572296,0.20122329890727997,0.2794628143310547
F,0.6311745643615723,0.5214022397994995,0.1627088040113449,1.1967211961746216,0.5338625907897949,0.23720422387123108,0.49
M,0.4162350296974182,0.3444603383541107,0.10409034788608551,0.4795,0.227,0.124,0.125
F,0.54,0.475,0.13861191272735596,1.217,0.38630175590515137,0.3075,0.28821054100990295
F,0.38197553157806396,0.355,0.105,0.5225,0.237,0.1165,0.13304854929447174
F,0.5737884044647217,0.4633757472038269,0.15145905315876007,0.883,0.381,0.1870449036359787,0.26
M,0.3597060441970825,0.29,0.08667641878128052,0.3275,0.134,0.086,0.09
F,0.45,0.335,0.10391433537006378,0.425,0.15220877528190613,0.091,0.115
F,0.5806655287742615,0.4712209403514862,0.135,0.9776020646095276,0.362,0.20884697139263153,0.29455575346946716
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012
I,0.21,0.15,0.05,0.0490010604262352,0.0175,0.0125,0.015
F,0.39,0.295,0.095,0.203,0.0875,0.045,0.10901054739952087
F,0.47,0.34678274393081665,0.12,0.5795,0.22355081140995026,0.227,0.14
F,0.4241062104701996,0.375,0.11410864442586899,0.4605,0.1775,0.11,0.15
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045
F,0.525,0.425,0.16,0.7594712376594543,0.3545,0.16394348442554474,0.245
F,0.52,0.41,0.13588450849056244,0.8697240352630615,0.37938907742500305,0.16307911276817322,0.19
M,0.4,0.32,0.095,0.25775599479675293,0.12348625063896179,0.06,0.1076512560248375
F,0.49777692556381226,0.4084811508655548,0.1263076663017273,0.6493434906005859,0.2595,0.096,0.20551802217960358
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15
M,0.405,0.31,0.1,0.385,0.173,0.030596354976296425,0.11
F,0.510750412940979,0.4,0.14,0.6731168627738953,0.2565,0.1482820361852646,0.22
M,0.445,0.2970244288444519,0.12,0.4425,0.192,0.06417383253574371,0.135
F,0.4838670790195465,0.385,0.135,0.5895,0.24767400324344635,0.12,0.19936557114124298
I,0.32111474871635437,0.19,0.06,0.09554304927587509,0.042,0.014,0.060566626489162445
F,0.505,0.4,0.12799470126628876,0.583,0.246,0.13,0.2094137817621231
F,0.45,0.345,0.09471062570810318,0.4115,0.18,0.1125,0.135
F,0.505,0.405,0.13406725227832794,0.8217340111732483,0.36375322937965393,0.15409855544567108,0.175
F,0.53,0.45577794313430786,0.1442115306854248,0.975086510181427,0.302,0.1935,0.2872083783149719
M,0.42213311791419983,0.33984610438346863,0.095,0.4087550938129425,0.1705,0.08810127526521683,0.1
M,0.52,0.4,0.1292175054550171,0.58,0.234,0.11520944535732269,0.20259664952754974
M,0.475,0.355,0.11334335803985596,0.48,0.234,0.0893799364566803,0.14474518597126007
F,0.565,0.4904593825340271,0.15114325284957886,1.0928000211715698,0.4740826189517975,0.21141159534454346,0.32
F,0.562487781047821,0.495,0.185,0.8930699825286865,0.3915422260761261,0.18929561972618103,0.29685312509536743
F,0.475,0.39,0.10930909216403961,0.5305,0.2135,0.1155,0.17
F,0.31,0.235,0.07,0.151,0.10679131746292114,0.0405,0.10726053267717361
F,0.555,0.4829382002353668,0.15259745717048645,1.1113839149475098,0.49104249477386475,0.213291734457016,0.30771368741989136
F,0.4,0.32,0.09785176068544388,0.33714190125465393,0.1405,0.07319558411836624,0.1
F,0.5526090860366821,0.475,0.17,0.854717493057251,0.37035107612609863,0.1789219230413437,0.2706807851791382
F,0.5830786824226379,0.48,0.14754492044448853,1.004054069519043,0.44654345512390137,0.19642993807792664,0.38
F,0.5654000043869019,0.45,0.195,1.098,0.3575882911682129,0.17818373441696167,0.27831539511680603
F,0.6,0.45884236693382263,0.14658501744270325,0.9623860716819763,0.4425,0.221,0.27817970514297485
F,0.5392532348632812,0.475,0.14,0.944,0.3625,0.15840648114681244,0.315
F,0.537312924861908,0.47,0.15,0.7744469046592712,0.363,0.1615777164697647,0.305
F,0.5696938633918762,0.425,0.14837773144245148,0.788,0.4041306972503662,0.18140193819999695,0.2899773418903351
F,0.5935468673706055,0.48868510127067566,0.1571623682975769,1.1004995107650757,0.4695,0.2355,0.3177725374698639
F,0.575,0.42603981494903564,0.14,0.941,0.3845,0.18020091950893402,0.285
F,0.62,0.4788563549518585,0.15069791674613953,1.615,0.47280681133270264,0.21197384595870972,0.30928051471710205
F,0.5774598717689514,0.48293158411979675,0.1546543836593628,1.0617740154266357,0.45764437317848206,0.225,0.32
F,0.595,0.4829411506652832,0.15259812772274017,1.111382246017456,0.4910449981689453,0.21329036355018616,0.3077147901058197
F,0.583251953125,0.4630933403968811,0.14,0.9984525442123413,0.4365529417991638,0.216,0.30669116973876953
F,0.5621516704559326,0.43881064653396606,0.18,1.295,0.339,0.18211808800697327,0.44
F,0.625,0.46852967143058777,0.14545924961566925,0.985794723033905,0.4825,0.205,0.29826197028160095
F,0.5890724062919617,0.47271034121513367,0.16,0.9983307123184204,0.4308205544948578,0.2075,0.3144867718219757
F,0.4307364821434021,0.3489404320716858,0.13,0.517,0.2205,0.114,0.165
F,0.5539082884788513,0.4414414167404175,0.16,0.8982301950454712,0.3135,0.231,0.26230308413505554
F,0.565,0.4532132148742676,0.14421354234218597,0.8115,0.341,0.1798585057258606,0.255
F,0.5729109048843384,0.4762589931488037,0.14713719487190247,1.0009973049163818,0.307,0.1525,0.26
M,0.5765969753265381,0.465,0.1439855396747589,0.9718844294548035,0.42130446434020996,0.254,0.2785063087940216
F,0.625,0.47883373498916626,0.15418095886707306,1.022673487663269,0.507,0.205494225025177,0.2918494641780853
F,0.5589388608932495,0.56,0.19,0.8832427263259888,0.3914519250392914,0.18568310141563416,0.2930930554866791
F,0.6167613863945007,0.5037113428115845,0.1611015796661377,1.1529603004455566,0.5755,0.2330109030008316,0.3364766836166382
M,0.535,0.39157068729400635,0.15,0.725,0.269,0.15038368105888367,0.25
M,0.4537952244281769,0.375,0.13,0.4771237373352051,0.214,0.132,0.17070838809013367
M,0.4029005765914917,0.3244277834892273,0.13,0.5225,0.201,0.133,0.165
F,0.45223161578178406,0.3443518579006195,0.125,0.5785,0.2775,0.09570936858654022,0.155
I,0.36,0.265,0.08391609787940979,0.20823869109153748,0.11139187216758728,0.05119572952389717,0.075
M,0.55,0.46563267707824707,0.1445831060409546,0.843,0.38637202978134155,0.18417319655418396,0.2644498944282532
F,0.6166989803314209,0.5036315321922302,0.1610870659351349,1.1528562307357788,0.316,0.23299218714237213,0.33640438318252563
M,0.5374192595481873,0.415,0.13465218245983124,0.724,0.32472458481788635,0.1675,0.205
F,0.605,0.46794500946998596,0.1510862410068512,1.1735,0.4975,0.19749625027179718,0.304319828748703
F,0.52,0.4482894837856293,0.155,0.9084941744804382,0.39071059226989746,0.1835,0.2729876935482025
F,0.545,0.440362811088562,0.13952070474624634,0.802,0.2935,0.183,0.27074065804481506
F,0.5,0.41756197810173035,0.1265450119972229,0.6675,0.261,0.1315,0.22
F,0.51,0.39390620589256287,0.135,0.6335,0.231,0.145491361618042,0.22033682465553284
F,0.46015486121177673,0.395,0.12533152103424072,0.5119642615318298,0.136,0.098,0.13
M,0.4476014971733093,0.395,0.125,0.5415,0.2375,0.08257001638412476,0.17413172125816345
F,0.465,0.36,0.09899719059467316,0.4881310760974884,0.2418731451034546,0.10334882885217667,0.15307177603244781
F,0.435,0.32,0.08,0.31787097454071045,0.1485,0.06598212569952011,0.1241990402340889
F,0.43701282143592834,0.35,0.10821452736854553,0.4715372323989868,0.2413949817419052,0.1036800667643547,0.165
F,0.5771577954292297,0.4830910265445709,0.15308456122875214,1.0563534498214722,0.45507901906967163,0.146,0.21
F,0.53,0.38784563541412354,0.115,0.5915,0.2645779550075531,0.1585,0.18
F,0.4903174042701721,0.375,0.135,0.5552932024002075,0.25939276814460754,0.102,0.22
M,0.44,0.3398205637931824,0.1112876757979393,0.402,0.1305,0.0955,0.15243582427501678
F,0.5764579176902771,0.4624919295310974,0.15057386457920074,0.8825,0.3465,0.1848021000623703,0.31
F,0.405,0.305,0.09873811900615692,0.3438277840614319,0.1145,0.07596048712730408,0.085
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085
