con_age,cat_workclass,con_fnlwgt,cat_education,con_education.num,cat_marital.status,cat_occupation,cat_relationship,cat_race,cat_sex,con_capital.gain,con_capital.loss,con_hours.per.week,cat_native.country,cat_income
63.12746047973633,Federal-gov,132870.0,HS-grad,9.644208908081055,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,3794.662841796875,306.69488525390625,18.0,Cambodia,<=50K
54.0,Private,140359.0,7th-8th,4.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,3900.0,40.0,United-States,<=50K
41.0,Federal-gov,264663.0,Some-college,10.274470329284668,Divorced,Adm-clerical,Own-child,White,Female,0.0,92.3792724609375,40.0,Cambodia,<=50K
34.0,Private,216864.0,10th,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,3770.0,37.60523986816406,United-States,<=50K
38.0,Private,204078.875,10th,6.0,Separated,Adm-clerical,Unmarried,White,Male,65.48859405517578,3770.0,40.0,United-States,<=50K
74.0,Federal-gov,228718.125,Doctorate,14.778125762939453,Never-married,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,3586.056396484375,399.9153137207031,41.765254974365234,Cambodia,<=50K
44.215511322021484,Federal-gov,206754.390625,10th,9.0,Divorced,Prof-specialty,Not-in-family,White,Female,1942.9613037109375,200.9111785888672,40.0,United-States,<=50K
45.0,Private,172274.0,10th,16.0,Divorced,Adm-clerical,Husband,Black,Female,0.0,180.7317352294922,35.0,United-States,<=50K
43.680397033691406,Federal-gov,237022.71875,10th,12.153532981872559,Divorced,Prof-specialty,Husband,White,Female,4429.23486328125,2824.0,44.06603240966797,Cambodia,>50K
35.93739318847656,Private,201867.984375,Bachelors,13.0,Divorced,Other-service,Husband,Amer-Indian-Eskimo,Female,0.0,2824.0,20.0,Cambodia,>50K
32.0,Federal-gov,231772.09375,10th,14.0,Separated,Adm-clerical,Not-in-family,White,Female,3296.91162109375,270.272216796875,48.22339630126953,Cambodia,<=50K
42.025367736816406,Private,192182.234375,Prof-school,15.0,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,0.0,2824.0,40.0,United-States,<=50K
45.0,Private,172822.0,11th,7.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,99.96514129638672,76.0,United-States,<=50K
46.34226608276367,Federal-gov,241740.40625,10th,14.0,Divorced,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,3622.7763671875,2824.0,48.39383316040039,United-States,<=50K
43.970115661621094,Federal-gov,248958.78125,10th,12.001795768737793,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,0.0,450.9804382324219,46.462364196777344,United-States,<=50K
38.401145935058594,Federal-gov,188774.0,10th,13.0,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,873.32080078125,2824.0,46.58634567260742,Cambodia,<=50K
29.0,Private,137727.75,11th,7.0,Separated,Sales,Not-in-family,White,Female,0.0,2754.0,42.0,United-States,<=50K
61.0,Private,153157.203125,HS-grad,9.0,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,0.0,2754.0,34.68273162841797,United-States,<=50K
39.29761505126953,Private,153870.0,10th,8.04507064819336,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,2603.0,40.0,United-States,<=50K
21.0,Private,34310.0,Assoc-voc,10.793451309204102,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,19.696802139282227,40.0,United-States,<=50K
33.0,Private,228696.0,1st-4th,2.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,2603.0,32.0,Mexico,<=50K
49.0,Private,122066.0,5th-6th,3.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,2603.0,40.0,Greece,<=50K
33.43119812011719,Self-emp-inc,107164.0,10th,6.350529670715332,Never-married,Transport-moving,Not-in-family,White,Male,0.0,2559.0,43.077213287353516,United-States,>50K
38.0,Private,175360.0,10th,10.961260795593262,Never-married,Adm-clerical,Not-in-family,White,Female,527.9151611328125,2559.0,90.0,United-States,<=50K
42.36250686645508,Private,44064.0,10th,11.70043659210205,Divorced,Adm-clerical,Husband,White,Male,0.0,224.280029296875,40.0,United-States,>50K
59.0,Federal-gov,205439.734375,10th,7.232789993286133,Divorced,Exec-managerial,Husband,White,Female,0.0,2559.0,50.0,Cambodia,>50K
52.0,Federal-gov,198863.0,10th,12.23663330078125,Divorced,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,3481.313720703125,2559.0,50.475006103515625,Cambodia,<=50K
51.0,Federal-gov,123011.0,10th,13.0,Divorced,Adm-clerical,Husband,White,Female,0.0,2559.0,50.0,Cambodia,<=50K
60.0,Federal-gov,237818.3125,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,Black,Female,797.9017333984375,2559.0,42.638973236083984,Cambodia,<=50K
63.0,Federal-gov,39181.0,Doctorate,16.0,Divorced,Exec-managerial,Not-in-family,White,Female,1736.212646484375,2559.0,60.0,United-States,>50K
39.079776763916016,Federal-gov,241450.1875,HS-grad,9.604616165161133,Never-married,Sales,Husband,White,Female,4184.57958984375,288.54052734375,46.18343734741211,Cambodia,>50K
44.20149230957031,Federal-gov,210721.953125,Prof-school,14.216009140014648,Divorced,Adm-clerical,Husband,White,Female,2041.273681640625,2559.0,50.0,Cambodia,<=50K
39.70834732055664,Federal-gov,266923.25,10th,12.4076566696167,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,7637.26708984375,333.12530517578125,43.43053436279297,Cambodia,>50K
45.396629333496094,Federal-gov,194811.53125,10th,14.0,Divorced,Adm-clerical,Not-in-family,White,Female,1765.5867919921875,2559.0,40.0,United-States,<=50K
43.61052322387695,Private,326232.0,10th,13.0,Divorced,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,2622.94287109375,183.8074951171875,50.0,United-States,>50K
43.0,Private,199251.375,Masters,13.701388359069824,Divorced,Exec-managerial,Unmarried,White,Female,418.0680847167969,121.25493621826172,40.0,United-States,<=50K
51.0,Private,115066.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,2547.0,35.15259552001953,United-States,<=50K
43.0,Federal-gov,196207.078125,10th,14.0,Divorced,Prof-specialty,Husband,White,Female,2473.47021484375,228.8497772216797,40.0,United-States,>50K
