cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.455,0.3017158508300781,0.095,0.514,0.15895980596542358,0.101,0.15
M,0.3838972747325897,0.265,0.09,0.2255,0.13449451327323914,0.0485,0.07
F,0.53,0.42,0.14247050881385803,0.677,0.2565,0.1415,0.22296464443206787
I,0.4674435257911682,0.365,0.125,0.4692649245262146,0.2155,0.114,0.155
I,0.33,0.2782953381538391,0.08,0.205,0.11062692850828171,0.0395,0.055
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
M,0.4307543635368347,0.37,0.125,0.5095,0.2165,0.07888147234916687,0.165
F,0.55,0.44,0.15090139210224152,0.8945,0.3145,0.151,0.2520805299282074
F,0.525,0.40592414140701294,0.14,0.5884076356887817,0.194,0.1475,0.21
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135
I,0.49,0.3930361866950989,0.13409093022346497,0.5415,0.266937792301178,0.095,0.19
F,0.4999716281890869,0.385810524225235,0.145,0.6845,0.2725,0.171,0.205
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
I,0.5,0.4,0.13,0.6645,0.258,0.133,0.17767003178596497
I,0.37098968029022217,0.28,0.085,0.2905,0.095,0.04116743803024292,0.115
F,0.44,0.33842170238494873,0.1,0.451,0.188,0.087,0.12441400438547134
M,0.40495890378952026,0.3138722777366638,0.08,0.2555,0.097,0.043,0.1
M,0.3699527978897095,0.32,0.1,0.381,0.1705,0.075,0.115
M,0.355,0.28,0.095,0.2455,0.09287505596876144,0.062,0.075
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085
F,0.565,0.44,0.155,0.9871847629547119,0.4275,0.19735965132713318,0.2619967758655548
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2
F,0.604718029499054,0.48,0.165,1.0273114442825317,0.421570748090744,0.2233351320028305,0.305
F,0.56,0.46032169461250305,0.14,0.9178609848022461,0.3825,0.188,0.3
F,0.58,0.45,0.16234353184700012,1.1693304777145386,0.3945,0.272,0.301454097032547
M,0.5839934349060059,0.4604135751724243,0.14,0.931,0.46378883719444275,0.23407253623008728,0.28
M,0.5515211820602417,0.43557557463645935,0.18,0.8980150818824768,0.394,0.219,0.295
M,0.575,0.4182506501674652,0.14,0.8635,0.393,0.227,0.2
F,0.6052194833755493,0.47,0.165,0.9975,0.4536427855491638,0.242,0.33
F,0.6236029863357544,0.56,0.16394998133182526,1.639,0.6055,0.2805,0.31490254402160645
M,0.665,0.525,0.15545935928821564,1.0209310054779053,0.4144696295261383,0.1968511939048767,0.35
