con_age,cat_workclass,con_fnlwgt,cat_education,con_education.num,cat_marital.status,cat_occupation,cat_relationship,cat_race,cat_sex,con_capital.gain,con_capital.loss,con_hours.per.week,cat_native.country,cat_income
82.0,Private,132870.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,4356.0,38.73355484008789,United-States,>50K
54.0,Private,140359.0,HS-grad,4.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,3900.0,40.0,United-States,<=50K
36.598426818847656,Private,264663.0,Bachelors,11.785026550292969,Never-married,Prof-specialty,Own-child,White,Male,2749.9677734375,3900.0,45.485572814941406,United-States,>50K
34.0,Private,216864.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,3770.0,39.56962966918945,United-States,<=50K
38.3820686340332,Private,150601.0,Some-college,6.0,Separated,Adm-clerical,Unmarried,White,Female,0.0,3770.0,36.63553237915039,United-States,<=50K
50.86384201049805,Private,207674.171875,Bachelors,12.718951225280762,Married-civ-spouse,Prof-specialty,Husband,White,Male,5348.81005859375,3683.0,50.03351593017578,United-States,>50K
68.0,Private,196661.390625,HS-grad,9.42721176147461,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,229.6134796142578,41.50918960571289,United-States,<=50K
45.361915588378906,Private,177583.875,Doctorate,14.768139839172363,Widowed,Prof-specialty,Unmarried,White,Female,0.0,3004.0,35.0,United-States,>50K
42.12287521362305,Private,209489.5,Bachelors,12.535351753234863,Never-married,Prof-specialty,Not-in-family,White,Male,22639.212890625,1128.32666015625,49.8389892578125,United-States,>50K
52.0,Private,168615.9375,Bachelors,12.193768501281738,Widowed,Prof-specialty,Not-in-family,White,Female,-1194.18701171875,2824.0,20.0,United-States,<=50K
43.843971252441406,Private,136204.0,Bachelors,11.93238639831543,Separated,Exec-managerial,Unmarried,White,Male,6144.03662109375,786.1273193359375,55.0,United-States,>50K
46.0,Private,146661.53125,Prof-school,15.0,Divorced,Prof-specialty,Not-in-family,White,Male,1069.10595703125,2824.0,40.0,United-States,>50K
46.241172790527344,Private,236219.78125,HS-grad,10.297009468078613,Married-civ-spouse,Transport-moving,Husband,White,Male,5891.21875,870.2249145507812,76.0,United-States,>50K
50.61339569091797,Private,317847.0,Bachelors,12.404048919677734,Married-civ-spouse,Prof-specialty,Husband,White,Male,12216.7119140625,1112.9945068359375,50.75007629394531,United-States,>50K
34.0,Private,204617.296875,HS-grad,10.296615600585938,Separated,Sales,Not-in-family,White,Male,0.0,98.9878921508789,47.585243225097656,United-States,<=50K
34.74148941040039,Private,188774.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,43.01084518432617,United-States,>50K
29.0,Private,185530.421875,11th,7.149908065795898,Separated,Sales,Not-in-family,White,Female,0.0,2754.0,42.0,United-States,<=50K
61.0,Private,29059.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,0.0,2754.0,25.0,United-States,<=50K
44.18450927734375,Private,177176.546875,Some-college,10.133567810058594,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,2603.0,45.4453239440918,United-States,>50K
21.0,Private,34310.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2603.0,40.0,United-States,<=50K
33.0,Private,228696.0,1st-4th,2.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,2603.0,32.0,Mexico,<=50K
49.0,Private,122066.0,5th-6th,3.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,2603.0,40.0,Greece,<=50K
33.91935729980469,Private,213969.796875,10th,6.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,2559.0,42.235511779785156,United-States,<=50K
38.0,Private,175360.0,10th,6.0,Never-married,Prof-specialty,Not-in-family,White,Male,-871.4616088867188,2559.0,38.35185241699219,United-States,>50K
23.0,Private,44064.0,Some-college,10.0,Separated,Other-service,Not-in-family,White,Male,-1755.247802734375,2559.0,39.37175750732422,United-States,<=50K
59.0,Self-emp-inc,107287.0,HS-grad,10.19576644897461,Widowed,Exec-managerial,Unmarried,White,Female,0.0,2559.0,39.539634704589844,United-States,>50K
44.629493713378906,Private,198863.0,Prof-school,15.0,Never-married,Exec-managerial,Not-in-family,White,Male,945.94482421875,2559.0,45.93394470214844,United-States,>50K
51.0,Private,123011.0,HS-grad,10.637831687927246,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.0,2559.0,42.65654373168945,United-States,>50K
36.74575424194336,Private,205246.0,HS-grad,9.509788513183594,Never-married,Exec-managerial,Not-in-family,Black,Male,0.0,241.34776306152344,50.0,United-States,>50K
63.0,Private,142584.21875,Doctorate,16.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,2559.0,60.0,United-States,>50K
35.14750671386719,Private,149650.0,HS-grad,11.796550750732422,Never-married,Sales,Not-in-family,White,Male,2339.328857421875,426.93609619140625,49.64677810668945,United-States,<=50K
43.62360382080078,Private,192781.609375,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,352.9317321777344,50.0,United-States,>50K
37.0,Private,170351.6875,Bachelors,11.746068000793457,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,2559.0,46.47694778442383,United-States,>50K
54.0,Private,161691.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,1160.849609375,2559.0,40.0,United-States,>50K
44.0,Private,326232.0,Bachelors,12.65628719329834,Divorced,Exec-managerial,Unmarried,White,Male,0.0,2547.0,50.0,United-States,>50K
43.0,Private,115806.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Female,-619.7815551757812,2547.0,40.0,United-States,>50K
51.0,Private,115066.0,Some-college,9.875808715820312,Divorced,Adm-clerical,Unmarried,White,Female,0.0,2547.0,40.0,United-States,>50K
43.0,Private,162438.4375,Masters,13.61856746673584,Divorced,Prof-specialty,Not-in-family,White,Female,-653.1625366210938,2547.0,40.0,United-States,>50K
51.62675476074219,Private,121253.0,Bachelors,11.606725692749023,Widowed,Exec-managerial,Unmarried,White,Male,2614.33154296875,2472.0,47.23280715942383,United-States,>50K
41.64127731323242,Private,110380.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,-568.8555297851562,2467.0,52.0,United-States,<=50K
73.0,Self-emp-not-inc,233882.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,2457.0,40.0,Vietnam,<=50K
40.0,Private,335549.0,Bachelors,12.374540328979492,Married-civ-spouse,Prof-specialty,Husband,White,Male,9709.62109375,893.583740234375,45.0,United-States,>50K
46.408172607421875,Private,179824.234375,Bachelors,11.703142166137695,Married-civ-spouse,Exec-managerial,Husband,White,Male,1665.300537109375,2444.0,72.0,United-States,>50K
42.92874526977539,State-gov,181522.984375,Bachelors,11.755475044250488,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,2444.0,39.84418487548828,United-States,>50K
42.0,Private,107276.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Female,-1600.941650390625,2444.0,42.12715530395508,United-States,>50K
39.0,Private,178388.046875,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,-342.76995849609375,2444.0,44.285987854003906,United-States,>50K
41.2471923828125,Private,207668.0,Bachelors,11.22806453704834,Never-married,Exec-managerial,Other-relative,White,Male,0.0,2444.0,50.0,United-States,>50K
53.0,Private,313243.0,Some-college,10.0,Separated,Exec-managerial,Not-in-family,White,Male,0.0,2444.0,39.434730529785156,United-States,>50K
39.92717742919922,Private,147372.0,Some-college,10.228750228881836,Married-civ-spouse,Protective-serv,Husband,White,Male,228.32806396484375,2444.0,40.0,United-States,>50K
42.73898696899414,Private,182717.234375,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,2444.0,45.0,United-States,>50K
37.76295852661133,Private,174948.40625,Assoc-voc,11.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,2444.0,42.0,United-States,>50K
43.0,Private,174442.3125,Assoc-acdm,12.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,260.65753173828125,70.0,United-States,>50K
50.0,Private,121441.0,Bachelors,7.0,Never-married,Exec-managerial,Other-relative,White,Female,-344.99664306640625,2444.0,40.0,United-States,>50K
44.0,Private,162028.0,Some-college,10.180112838745117,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,2415.0,40.98186111450195,United-States,>50K
51.0,Self-emp-not-inc,160724.0,Bachelors,12.45261001586914,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0.0,2415.0,40.0,China,>50K
45.475486755371094,Private,132222.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,44.17548370361328,United-States,>50K
43.396392822265625,Private,164074.484375,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,1335.9739990234375,2415.0,60.0,United-States,>50K
55.0,Self-emp-inc,124137.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,35.0,United-States,>50K
50.05043411254883,Self-emp-inc,181795.65625,Bachelors,11.033329010009766,Married-civ-spouse,Sales,Husband,White,Male,441.93267822265625,2415.0,50.178279876708984,United-States,>50K
42.0,Self-emp-inc,182863.5625,Prof-school,13.639820098876953,Married-civ-spouse,Prof-specialty,Husband,White,Male,2235.482177734375,405.0632629394531,60.0,United-States,>50K
41.27648162841797,Private,199029.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,188.28662109375,2415.0,55.0,United-States,>50K
47.0,Self-emp-not-inc,145290.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,44.169517517089844,United-States,>50K
46.0063362121582,Local-gov,163342.171875,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,44.98326110839844,United-States,>50K
45.092201232910156,Self-emp-inc,227856.0,Bachelors,12.62779712677002,Married-civ-spouse,Exec-managerial,Husband,White,Male,-787.0863647460938,2415.0,50.0,United-States,>50K
47.23905944824219,Private,179731.0,Bachelors,11.963062286376953,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,65.0,United-States,>50K
42.0,Private,154374.0,Bachelors,12.756464004516602,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K
43.51127243041992,Private,326857.0,Bachelors,11.397688865661621,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,65.0,United-States,>50K
42.74372863769531,Private,160369.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,45.0,United-States,>50K
39.83823776245117,Private,396745.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,1403.7757568359375,90.8165283203125,48.0,United-States,>50K
41.0,Private,151089.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,45.56179428100586,United-States,>50K
50.0174674987793,Private,336188.0,Prof-school,14.491113662719727,Married-civ-spouse,Prof-specialty,Husband,White,Male,3374.235595703125,2415.0,47.588172912597656,United-States,>50K
45.78784942626953,Private,160236.859375,Masters,13.622762680053711,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,358.4523620605469,70.0,Taiwan,>50K
45.76968002319336,Private,178028.265625,Some-college,10.321612358093262,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,45.72843933105469,United-States,>50K
48.72489929199219,Self-emp-inc,30529.0,HS-grad,10.686765670776367,Married-civ-spouse,Sales,Husband,White,Male,144.90191650390625,2415.0,47.12697982788086,United-States,>50K
43.15953826904297,Private,201742.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,2799.2236328125,402.9898986816406,50.0,United-States,>50K
55.0,Self-emp-inc,194164.859375,Bachelors,12.55293083190918,Married-civ-spouse,Exec-managerial,Husband,White,Male,2717.076904296875,539.5022583007812,50.0,United-States,>50K
44.0,Private,181567.328125,Masters,13.834202766418457,Married-civ-spouse,Prof-specialty,Husband,White,Male,781.0272827148438,2415.0,46.98454284667969,United-States,>50K
39.0,Private,198654.0,Prof-school,13.66012191772461,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,697.5946044921875,2415.0,43.54962921142578,United-States,>50K
46.0,Self-emp-not-inc,102308.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,2058.673583984375,205.6221923828125,40.0,United-States,>50K
39.0,Private,348521.0,Some-college,11.363092422485352,Married-civ-spouse,Exec-managerial,Husband,White,Male,497.1488037109375,408.2623596191406,99.0,United-States,>50K
44.682064056396484,Self-emp-inc,56248.0,Bachelors,13.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,-78.78863525390625,2415.0,60.0,United-States,>50K
47.605690002441406,Self-emp-not-inc,165652.859375,HS-grad,9.069584846496582,Married-civ-spouse,Other-service,Wife,White,Female,0.0,365.4132385253906,40.0,United-States,>50K
46.0,Private,192963.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,-526.9817504882812,2415.0,35.0,Philippines,>50K
49.71006774902344,Private,180484.34375,Prof-school,14.020483016967773,Married-civ-spouse,Prof-specialty,Husband,White,Male,1641.9071044921875,2415.0,46.11664962768555,United-States,>50K
39.0,Self-emp-inc,186764.40625,Some-college,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2415.0,48.37343978881836,United-States,>50K
58.093711853027344,Private,228542.296875,Bachelors,12.238021850585938,Married-civ-spouse,Sales,Husband,White,Male,13860.2958984375,1096.0277099609375,51.32627487182617,United-States,>50K
45.89530944824219,Private,81929.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,1896.8245849609375,2415.0,45.0,United-States,>50K
52.43379592895508,Self-emp-inc,179739.46875,Bachelors,11.339649200439453,Married-civ-spouse,Exec-managerial,Husband,White,Male,1416.0030517578125,2415.0,50.30820846557617,United-States,>50K
49.04512405395508,Private,456062.0,Prof-school,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,8607.6474609375,964.8125610351562,55.0,United-States,>50K
53.0,Self-emp-not-inc,148082.03125,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,-1005.8356323242188,2415.0,41.9334831237793,United-States,>50K
50.0,Self-emp-not-inc,155959.484375,Prof-school,13.850166320800781,Married-civ-spouse,Prof-specialty,Husband,White,Male,1150.34375,2415.0,30.0,United-States,>50K
41.0,Self-emp-inc,114580.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,1633.232177734375,2415.0,55.0,United-States,>50K
36.0,Private,346478.0,Bachelors,12.035062789916992,Married-civ-spouse,Prof-specialty,Husband,White,Male,3404.85986328125,486.4149475097656,47.729801177978516,United-States,>50K
49.79434585571289,Private,187870.0,Prof-school,14.173377990722656,Married-civ-spouse,Prof-specialty,Husband,White,Male,2239.960205078125,2415.0,48.07450485229492,United-States,>50K
