cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,75.95504760742188,1.944317102432251,1.0,1.0,-,acept,not furnished,2065.0,3300.0,211.0,42.0
São Paulo,159.44683837890625,2.8204996585845947,2.732968807220459,2.1548728942871094,2,acept,not furnished,1200.0,4960.0,705.5132446289062,66.32929992675781
São Paulo,80.0,1.0,1.0,0.8464691638946533,6,acept,not furnished,1000.0,1971.700927734375,0.0,23.535051345825195
Porto Alegre,51.0,2.0,1.345808982849121,0.0,2,acept,not furnished,270.0,1032.7015380859375,5.227889060974121,17.0
São Paulo,72.16930389404297,1.6966074705123901,1.1347295045852661,0.0,1,not acept,not furnished,790.44140625,1267.0360107421875,25.0,11.0
São Paulo,188.16783142089844,3.3037667274475098,3.0,2.3866729736328125,-,acept,not furnished,989.2538452148438,5659.03564453125,883.1859741210938,78.34444427490234
São Paulo,68.9650650024414,2.0,1.0,0.8470882773399353,7,acept,not furnished,740.0,1957.529296875,85.0,25.834993362426758
São Paulo,262.25860595703125,3.3569111824035645,3.4901137351989746,4.0,-,acept,not furnished,1244.33251953125,6065.6875,1133.8248291015625,83.60810089111328
São Paulo,98.53820037841797,2.0,2.0,1.0,3,acept,not furnished,2149.907958984375,2652.271728515625,206.4947967529297,37.241981506347656
Rio de Janeiro,35.0,1.3939862251281738,1.0,0.0,2,acept,furnished,965.2735595703125,1880.3538818359375,35.0,30.0
São Paulo,26.0,1.0,1.1175875663757324,0.0,2,acept,furnished,470.0,1973.9281005859375,150.0,23.25006866455078
Campinas,46.0,1.0,0.9407581090927124,0.4607226550579071,10,acept,not furnished,550.0,580.0,43.0,8.0
São Paulo,36.0,1.0,1.0,0.45434483885765076,11,acept,not furnished,390.17156982421875,2100.0,70.0,27.0
São Paulo,55.0,1.9900946617126465,1.7468167543411255,1.0,2,acept,furnished,790.0,4200.0,224.0,54.0
São Paulo,103.33171844482422,2.0,2.0,2.0,24,acept,not furnished,900.0,4370.0,328.47137451171875,49.404972076416016
Campinas,330.0,4.0,2.542109966278076,1.8786786794662476,-,acept,not furnished,680.0,3606.175048828125,445.96026611328125,45.28255844116211
São Paulo,92.70230865478516,2.18377947807312,1.6009875535964966,1.0,2,acept,not furnished,700.0,3000.0,265.927490234375,35.066471099853516
São Paulo,110.66250610351562,2.229553699493408,2.0126662254333496,1.4105881452560425,9,not acept,furnished,1614.0,4279.6943359375,221.0,55.834468841552734
São Paulo,56.0,2.0,1.0,0.7051934003829956,8,acept,not furnished,479.4353332519531,1220.0,342.12469482421875,20.529022216796875
São Paulo,243.6294708251953,3.3677499294281006,3.3976640701293945,2.7421913146972656,-,acept,not furnished,4459.37451171875,7154.66357421875,1779.7335205078125,102.29954528808594
São Paulo,342.1690673828125,7.0,4.208205699920654,3.4748361110687256,-,acept,not furnished,0.0,7262.29345703125,118.0,100.32772827148438
Belo Horizonte,75.79035949707031,1.7169413566589355,1.0,1.1925780773162842,17,not acept,furnished,1822.79833984375,2690.0,172.0,36.0
São Paulo,98.28975677490234,3.0,2.0,2.0,2,acept,furnished,1530.0,1900.0,167.0,25.0
São Paulo,35.0,1.4012655019760132,1.140786051750183,0.0,-,acept,not furnished,0.0,1100.0,3.0,14.0
Rio de Janeiro,101.43982696533203,2.3439438343048096,2.0,1.0877039432525635,2,acept,not furnished,800.0,1800.0,118.0,24.0
São Paulo,49.0,1.0,1.0,0.801499605178833,2,acept,not furnished,480.0,3500.0,42.0,45.0
São Paulo,41.0,1.0,1.0,1.0,5,not acept,not furnished,600.0,3000.0,313.2897033691406,29.580602645874023
Belo Horizonte,64.0,2.0,1.5504963397979736,1.0,11,acept,not furnished,352.0,1500.0,281.4115905761719,21.006364822387695
São Paulo,250.71742248535156,3.0,2.9406981468200684,4.0,-,acept,not furnished,0.0,4548.11572265625,643.2902221679688,67.7237777709961
São Paulo,20.0,1.0,1.0191826820373535,0.22799476981163025,5,acept,furnished,602.0,1800.0,130.0,23.0
São Paulo,100.44799041748047,2.403891086578369,2.0401155948638916,2.0,-,acept,not furnished,1753.8707275390625,1068.0,142.0,26.68758201599121
São Paulo,76.4228515625,1.0,1.0,0.0,3,acept,not furnished,1345.678466796875,1983.34033203125,29.0,27.507076263427734
São Paulo,80.0,2.0,2.0,1.0,11,acept,not furnished,1208.0,2550.0,419.9775390625,33.0
Rio de Janeiro,45.0,1.0,1.4674954414367676,1.0,10,acept,furnished,2450.0,2500.0,593.0,33.0
São Paulo,350.0,3.663266897201538,4.0,3.0,-,acept,not furnished,-547.2579345703125,5390.73583984375,500.0,76.24178314208984
Porto Alegre,38.0,1.0,1.050924301147461,0.25426045060157776,11,not acept,not furnished,83.80614471435547,1750.0,0.0,26.0
São Paulo,77.96025848388672,1.7095695734024048,1.0,0.0,1,acept,not furnished,460.0,1600.0,0.0,21.0
São Paulo,80.0,3.0769646167755127,2.6272339820861816,1.0,-,acept,not furnished,0.0,11000.0,801.142578125,104.29888153076172
São Paulo,75.59419250488281,1.6801197528839111,1.1919270753860474,0.0,-,not acept,not furnished,0.0,1150.0,174.3675079345703,18.0
São Paulo,40.0,1.0,1.0,1.0,6,acept,not furnished,390.0,2990.0,0.0,44.0
