cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.455,0.365,0.11668273061513901,0.4329470098018646,0.19877701997756958,0.101,0.10041013360023499
I,0.43476876616477966,0.33446377515792847,0.09,0.3539291322231293,0.0995,0.0485,0.07
F,0.53,0.393420934677124,0.14289847016334534,0.677,0.2565,0.1415,0.19119617342948914
I,0.44,0.365,0.11154672503471375,0.387593537569046,0.2155,0.114,0.09925469756126404
I,0.33,0.32431280612945557,0.10826674848794937,0.3589525818824768,0.0895,0.08412875980138779,0.055
I,0.4293994903564453,0.3,0.095,0.3515,0.141,0.08580688387155533,0.1097307950258255
I,0.53,0.415,0.1393904983997345,0.7037743926048279,0.32927191257476807,0.1415,0.20420429110527039
F,0.5026152729988098,0.40174171328544617,0.125,0.768,0.28178808093070984,0.1371902972459793,0.26
I,0.4574419856071472,0.35239377617836,0.1201692596077919,0.4784758388996124,0.2165,0.1125,0.13210263848304749
M,0.5665820240974426,0.44348040223121643,0.1531970202922821,0.9471692442893982,0.3145,0.23055972158908844,0.32
F,0.525,0.3946518301963806,0.14,0.6305064558982849,0.194,0.14946748316287994,0.2139945924282074
M,0.43,0.32096606492996216,0.11,0.3754444420337677,0.18870902061462402,0.09189848601818085,0.08888556063175201
M,0.49,0.35549724102020264,0.11956554651260376,0.5032263994216919,0.2175,0.11410389840602875,0.14296048879623413
F,0.535,0.38283106684684753,0.138645201921463,0.6845,0.2725,0.12749870121479034,0.205
I,0.4409853219985962,0.355,0.11611714959144592,0.4755,0.1675,0.0805,0.185
I,0.5,0.3380241394042969,0.13,0.39083272218704224,0.258,0.133,0.10957077145576477
I,0.355,0.3181254267692566,0.085,0.2905,0.095,0.07523507624864578,0.08932842314243317
F,0.44,0.34,0.1,0.39270395040512085,0.18319855630397797,0.08774938434362411,0.13
M,0.46021032333374023,0.35586023330688477,0.08,0.2555,0.097,0.043,0.12263216823339462
I,0.45,0.351579874753952,0.12043936550617218,0.381,0.1705,0.075,0.1261165738105774
M,0.355,0.28,0.11948487162590027,0.2455,0.0955,0.062,0.11212028563022614
I,0.38,0.275,0.1,0.2255,0.08,0.061605628579854965,0.085
