cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,57.378936767578125,2.0,1.0,1.0,7,acept,furnished,2065.0,3300.0,151.2056427001953,42.0
São Paulo,320.0,4.0,4.0,3.223301887512207,20,acept,not furnished,397.49755859375,4960.0,1750.0,63.0
Porto Alegre,13.055404663085938,1.0,1.0,1.0,6,acept,not furnished,2051.64501953125,2800.0,0.0,41.0
Porto Alegre,51.0,2.0,1.0,0.0,2,acept,not furnished,270.0,1112.0,22.0,17.0
São Paulo,25.0,1.0,1.0,0.0,1,acept,not furnished,0.0,1272.52392578125,25.0,11.0
São Paulo,283.751708984375,3.0,3.0,7.0,-,acept,not furnished,0.0,8000.0,834.0,121.0
Rio de Janeiro,72.0,2.0,1.0,0.0,7,acept,not furnished,740.0,1900.0,85.0,25.0
São Paulo,213.0,4.0,4.0,4.0,4,acept,not furnished,2254.0,3223.0,478.353759765625,49.88654708862305
São Paulo,152.0,2.0,2.0,2.0142908096313477,3,acept,furnished,1000.0,15000.0,250.0,191.0
Rio de Janeiro,68.65226745605469,1.0,1.0,0.4895288646221161,2,acept,furnished,590.0,2300.0,35.0,30.0
São Paulo,26.516952514648438,1.0,1.0,0.0,2,acept,not furnished,470.0,2213.71826171875,150.0,27.0
Campinas,46.0,1.0,1.0,1.0,10,acept,not furnished,-881.6467895507812,580.0,43.0,8.0
São Paulo,36.0,1.0,1.0,0.0,11,acept,not furnished,359.0,2100.0,70.0,27.0
São Paulo,38.25830841064453,1.0,1.0,1.0,2,acept,furnished,790.0,4200.0,224.0,54.0
São Paulo,100.0,2.0,2.0,2.0,24,acept,furnished,900.0,4370.0,17.0,57.16183090209961
Campinas,330.0,4.0,6.0,3.4120514392852783,-,acept,furnished,-473.06976318359375,8000.0,328.0,121.0
São Paulo,110.0,2.0,2.0,1.0,1,acept,not furnished,700.0,3000.0,181.5174102783203,39.0
São Paulo,88.0,2.5353991985321045,3.0,1.0,9,not acept,furnished,1614.0,3500.0,221.0,16.0
