cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.380871444940567,0.365,0.095,0.3295592665672302,0.2245,0.101,0.15
I,0.35,0.265,0.09,0.2255,0.1009974479675293,0.0485,0.07
I,0.53,0.42,0.13036096096038818,0.677,0.2565,0.1415,0.17611455917358398
M,0.4038236141204834,0.365,0.125,0.3737049400806427,0.2155,0.114,0.155
I,0.33,0.255,0.08,0.205,0.0895,0.03925013914704323,0.055
I,0.425,0.3,0.08824291825294495,0.3515,0.141,0.0775,0.12
F,0.53,0.415,0.15,0.7775,0.3291703760623932,0.1693541556596756,0.20654183626174927
F,0.49855339527130127,0.425,0.125,0.768,0.294,0.16068612039089203,0.26
I,0.475,0.32692229747772217,0.125,0.4253537654876709,0.2165,0.09616566449403763,0.165
F,0.55,0.4082275629043579,0.15,0.8492996096611023,0.3145,0.1854453980922699,0.32
F,0.525,0.4370558261871338,0.14373049139976501,0.9039062261581421,0.388195663690567,0.1475,0.21
I,0.43,0.35,0.11,0.2864413559436798,0.1675,0.081,0.135
I,0.49,0.38,0.135,0.6452762484550476,0.2175,0.13452163338661194,0.1793491393327713
F,0.535,0.405,0.145,0.6845,0.2725,0.1406465619802475,0.205
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
F,0.5038633346557617,0.4,0.13,0.6645,0.258,0.15375159680843353,0.24
I,0.355,0.28,0.085,0.19855165481567383,0.095,0.049437474459409714,0.115
F,0.44,0.34,0.1,0.354969322681427,0.1603909134864807,0.087,0.13
M,0.37327373027801514,0.295,0.08,0.2555,0.12448076903820038,0.07026907801628113,0.1
I,0.45,0.2659096121788025,0.1,0.381,0.1705,0.075,0.115
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
I,0.37483054399490356,0.275,0.08880740404129028,0.2255,0.08,0.049,0.085
F,0.5556333065032959,0.44,0.155,0.8587309122085571,0.3606858551502228,0.19573263823986053,0.24252890050411224
F,0.55,0.415,0.1352902203798294,0.7635,0.318,0.21,0.21873073279857635
F,0.615,0.48,0.165,1.1615,0.3419308364391327,0.301,0.305
F,0.56,0.44000551104545593,0.14,0.872820258140564,0.3973618447780609,0.188,0.226976677775383
M,0.5919783115386963,0.45838141441345215,0.15465272963047028,1.1321464776992798,0.3945,0.23285822570323944,0.285
M,0.5743452906608582,0.44778159260749817,0.15605409443378448,1.0591564178466797,0.356,0.21748517453670502,0.267564058303833
M,0.605,0.4770921766757965,0.15658172965049744,1.1737390756607056,0.480026513338089,0.23917534947395325,0.295
M,0.575,0.425,0.14806567132472992,0.9373508095741272,0.4257098436355591,0.227,0.2603645920753479
F,0.5573220252990723,0.4459998607635498,0.165,0.9975,0.42244306206703186,0.242,0.26769647002220154
M,0.6025876402854919,0.46460235118865967,0.160244882106781,1.1586658954620361,0.6055,0.2437135875225067,0.3037790060043335
M,0.5877912044525146,0.525,0.15406100451946259,1.0196828842163086,0.4066537022590637,0.2103327065706253,0.28356480598449707
M,0.6107459664344788,0.47953394055366516,0.16642990708351135,1.2206059694290161,0.5310141444206238,0.3925,0.3307284414768219
M,0.705,0.4499983787536621,0.2,0.9657933115959167,0.43951085209846497,0.21141599118709564,0.2649170160293579
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.06604538857936859
F,0.54,0.42518913745880127,0.1425289511680603,0.8936919569969177,0.5305,0.3075,0.34
F,0.45,0.355,0.105,0.5225,0.237,0.07237584888935089,0.145
F,0.575,0.445,0.135,0.7531034350395203,0.381,0.2035,0.26
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115
M,0.55,0.4395208954811096,0.1463320553302765,0.9245681762695312,0.362,0.196,0.24477872252464294
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
I,0.32519757747650146,0.15,0.055,0.042,0.0255,0.015,0.012
I,0.21,0.26923373341560364,0.05,0.30291512608528137,0.13198614120483398,0.0125,0.015
I,0.35546770691871643,0.295,0.095,0.203,0.0875,0.045,0.075
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14
F,0.46,0.3407752513885498,0.1163235530257225,0.4605,0.1775,0.10988662391901016,0.1339980810880661
I,0.325,0.245,0.07,0.161,0.08765797317028046,0.0255,0.045
M,0.525,0.45844367146492004,0.15298357605934143,1.0261281728744507,0.4432060718536377,0.2135,0.245
I,0.52,0.315309077501297,0.12,0.42494094371795654,0.2385,0.111,0.19
I,0.4170805811882019,0.292339563369751,0.095,0.37549763917922974,0.1335,0.06,0.1
M,0.485,0.31658512353897095,0.13,0.5415,0.2595,0.09605849534273148,0.16
F,0.47,0.3488312065601349,0.1183849647641182,0.4775,0.20600569248199463,0.1055,0.15
I,0.4019697606563568,0.31,0.1,0.36014899611473083,0.1626381129026413,0.0915,0.11
F,0.5,0.42679956555366516,0.14,0.6615,0.3724246919155121,0.1755,0.24063442647457123
M,0.445,0.2898743450641632,0.12,0.35224997997283936,0.192,0.08515509963035583,0.135
I,0.47,0.385,0.135,0.5141119360923767,0.2765,0.12,0.17
I,0.245,0.19,0.06,0.16023266315460205,0.042,0.014,0.025
F,0.505,0.3856032192707062,0.125,0.583,0.27650925517082214,0.13,0.15431150794029236
M,0.40617963671684265,0.345,0.105,0.40922442078590393,0.1572093516588211,0.1125,0.1073935404419899
I,0.505,0.41781607270240784,0.1394706517457962,0.625,0.305,0.16,0.21135558187961578
F,0.5308922529220581,0.41,0.1391628235578537,0.6965,0.31990647315979004,0.1786821335554123,0.2
M,0.367292582988739,0.325,0.095,0.31149280071258545,0.1705,0.08,0.1
M,0.4929848313331604,0.4,0.12,0.6031504273414612,0.23329134285449982,0.1315,0.15678013861179352
M,0.475,0.355,0.10754358023405075,0.4057517349720001,0.234,0.1015,0.135
F,0.5515937209129333,0.44,0.16,0.8559783697128296,0.354,0.18220087885856628,0.24427765607833862
F,0.5886037349700928,0.47177398204803467,0.16107681393623352,1.1459718942642212,0.4870946407318115,0.224,0.30178558826446533
I,0.475,0.3535761535167694,0.12321911007165909,0.5383944511413574,0.23440539836883545,0.1155,0.17
I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045
F,0.5341644883155823,0.425,0.13,0.8660547137260437,0.264,0.17847630381584167,0.275
I,0.4484303593635559,0.32694950699806213,0.11581432819366455,0.46056196093559265,0.1405,0.0985,0.1
M,0.595,0.4434888958930969,0.1490892767906189,1.247,0.48,0.20607304573059082,0.2701626718044281
M,0.5675839781761169,0.44461724162101746,0.1471123993396759,1.185,0.474,0.20588526129722595,0.38
M,0.5598804950714111,0.43185505270957947,0.195,0.945156455039978,0.481,0.20261070132255554,0.315
F,0.5584015250205994,0.475,0.1442326307296753,0.9667465686798096,0.4425,0.2038101702928543,0.25112834572792053
M,0.592396080493927,0.46258825063705444,0.15422101318836212,0.944,0.3625,0.22595708072185516,0.30735093355178833
F,0.6,0.3988439440727234,0.15,0.922,0.363,0.16723956167697906,0.2071278840303421
F,0.555,0.4124215245246887,0.13820475339889526,0.8339175581932068,0.282,0.1595,0.21293914318084717
M,0.615,0.4462791979312897,0.17,0.9266571998596191,0.42716896533966064,0.2355,0.26235079765319824
F,0.5518370866775513,0.445,0.1488407701253891,0.941,0.41376152634620667,0.252,0.2567356824874878
M,0.6107435822486877,0.47953370213508606,0.16643065214157104,1.2206019163131714,0.5310169458389282,0.192,0.3307313024997711
F,0.52,0.41373270750045776,0.165,0.9885,0.396,0.1772613823413849,0.23178818821907043
M,0.566168487071991,0.4511820673942566,0.16,0.99449223279953,0.42647501826286316,0.234,0.58
F,0.5267621874809265,0.45,0.14,1.013,0.38,0.17423959076404572,0.36
F,0.5632942914962769,0.465,0.14980566501617432,1.295,0.39061686396598816,0.2225,0.44
M,0.6037393808364868,0.47756215929985046,0.15994827449321747,1.2288174629211426,0.49257892370224,0.24813656508922577,0.4
M,0.56,0.44,0.14248454570770264,0.8439726233482361,0.36928966641426086,0.2075,0.22113673388957977
F,0.46,0.355,0.10705266892910004,0.3795432150363922,0.2205,0.114,0.165
F,0.575,0.45,0.1449604481458664,0.9265065789222717,0.37905997037887573,0.231,0.33
M,0.565,0.4219808280467987,0.14489974081516266,0.9180123209953308,0.341,0.18906459212303162,0.255
M,0.5858239531517029,0.4624190926551819,0.15,1.0302833318710327,0.46043097972869873,0.2270703911781311,0.291911244392395
M,0.595,0.45830896496772766,0.1569196581840515,1.115,0.48088645935058594,0.22835077345371246,0.31129080057144165
M,0.5956645011901855,0.4643688201904297,0.165,1.262,0.46565350890159607,0.2252928614616394,0.3055156171321869
M,0.587790846824646,0.56,0.15406087040901184,1.0196809768676758,0.40665245056152344,0.21033209562301636,0.283564031124115
M,0.5877910852432251,0.535,0.154060959815979,1.0196822881698608,0.4066532552242279,0.2103324979543686,0.2835645377635956
M,0.5006040930747986,0.435,0.15,0.725,0.2876908481121063,0.1385,0.18361248075962067
I,0.47,0.375,0.11738423258066177,0.523,0.21330462396144867,0.132,0.145
M,0.47,0.33658525347709656,0.13,0.5225,0.23219366371631622,0.1263996660709381,0.1334609091281891
F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.11009439080953598
I,0.34222841262817383,0.265,0.095,0.2315,0.105,0.046,0.075
M,0.6025859117507935,0.4645964205265045,0.1602471023797989,1.158677101135254,0.328,0.2437206506729126,0.3037932217121124
M,0.603739857673645,0.4775627553462982,0.15994854271411896,1.22882080078125,0.4925806224346161,0.24813707172870636,0.335
M,0.53,0.43423184752464294,0.1473122239112854,0.9209982752799988,0.38629791140556335,0.19088450074195862,0.205
M,0.6037397384643555,0.4775626063346863,0.15994849801063538,1.2288199663162231,0.49258020520210266,0.2481369525194168,0.345
F,0.4900856018066406,0.41,0.155,0.7585456371307373,0.291,0.1835,0.235
F,0.5261317491531372,0.4303986430168152,0.165,0.802,0.36848774552345276,0.183,0.22739726305007935
F,0.5,0.38666555285453796,0.13447166979312897,0.6675,0.261,0.16442511975765228,0.22
F,0.51,0.39,0.135,0.6335,0.3397255837917328,0.179,0.19900603592395782
F,0.435,0.3229149281978607,0.10938077419996262,0.3635,0.136,0.09942067414522171,0.13
M,0.5448904633522034,0.395,0.125,0.7905228137969971,0.30561450123786926,0.1656634509563446,0.20560967922210693
I,0.4122212827205658,0.36,0.105,0.431,0.172,0.08708865940570831,0.10191482305526733
I,0.435,0.24823664128780365,0.08,0.3325,0.1485,0.0635,0.105
M,0.3996504247188568,0.35,0.10281755775213242,0.393,0.13,0.07893934100866318,0.165
F,0.4954126477241516,0.39343002438545227,0.125,0.6935,0.2975,0.146,0.21
F,0.53,0.415,0.115,0.5504224300384521,0.233,0.1585,0.18
M,0.49,0.44035932421684265,0.14798866212368011,0.6125,0.38781648874282837,0.20465025305747986,0.22
I,0.44,0.34,0.105,0.308219313621521,0.1305,0.07661508023738861,0.165
F,0.5548695921897888,0.43,0.15081307291984558,1.0079445838928223,0.40441083908081055,0.172,0.31
I,0.40322738885879517,0.305,0.085,0.2605,0.15320086479187012,0.08713561296463013,0.10877203196287155
F,0.4102674424648285,0.30134665966033936,0.105,0.4205,0.163,0.09272192418575287,0.14
I,0.385,0.2437436729669571,0.085,0.2535,0.103,0.0575,0.085
F,0.515,0.40560272336006165,0.13710318505764008,0.766,0.304,0.18300627171993256,0.255
I,0.37,0.2819163501262665,0.075,0.214,0.1462768018245697,0.051,0.10271288454532623
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.06770912557840347
I,0.27,0.195,0.06,0.27385413646698,0.0285,0.0235,0.07363083213567734
I,0.37728551030158997,0.275,0.08943222463130951,0.238,0.1075,0.0545,0.07
I,0.385,0.29,0.08610659092664719,0.2505,0.112,0.061,0.07623852789402008
M,0.585820734500885,0.4624186158180237,0.16,1.0302602052688599,0.4604216516017914,0.227066770195961,0.2919067144393921
M,0.6037389636039734,0.47756168246269226,0.15994806587696075,1.2288148403167725,0.49257761240005493,0.24813617765903473,0.78
M,0.6025875806808472,0.46460214257240295,0.16024497151374817,1.1586663722991943,0.4835,0.2437138706445694,0.3037795424461365
I,0.44,0.35,0.125,0.41150128841400146,0.18787004053592682,0.063,0.129
F,0.325,0.26,0.09,0.1915,0.13972249627113342,0.036,0.08759861439466476
I,0.35,0.27003344893455505,0.095,0.2912627160549164,0.086,0.056,0.068
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028
I,0.425,0.33,0.115,0.26025375723838806,0.1635,0.081,0.1355
I,0.305,0.24617843329906464,0.08,0.156,0.0675,0.0345,0.048
M,0.345,0.23800276219844818,0.09,0.2005,0.094,0.0295,0.063
F,0.405,0.30087733268737793,0.11,0.34494033455848694,0.151,0.063,0.117
M,0.38746678829193115,0.285,0.095,0.3649825155735016,0.096,0.0575,0.09029829502105713
F,0.5655839443206787,0.445,0.14960922300815582,0.9710185527801514,0.36932051181793213,0.2053004503250122,0.2591247260570526
F,0.5093485713005066,0.45,0.13626118004322052,0.741,0.295,0.16684608161449432,0.2665
M,0.5946983098983765,0.52,0.1555858999490738,1.113828182220459,0.44321051239967346,0.23050516843795776,0.4465
M,0.5121386647224426,0.455,0.155,0.7341679334640503,0.34,0.16175636649131775,0.2425
I,0.475,0.375,0.1144857183098793,0.4183836281299591,0.2075,0.1165,0.17
I,0.49,0.38,0.125,0.549,0.245,0.1075,0.174
M,0.46,0.35,0.12,0.515,0.224,0.060257550328969955,0.06553174555301666
I,0.28,0.23446381092071533,0.08,0.127,0.052,0.039,0.042
I,0.175,0.13,0.07903950661420822,0.18481886386871338,0.0105,0.0065,0.0125
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01
M,0.59,0.4399818778038025,0.145,1.053,0.4386765956878662,0.20450648665428162,0.27342867851257324
F,0.5425456166267395,0.5,0.14143377542495728,1.1185,0.469,0.2585,0.24500878155231476
M,0.6107458472251892,0.4795339107513428,0.16642995178699493,1.220605731010437,0.5310143232345581,0.305,0.3307286202907562
F,0.495198130607605,0.485,0.16,1.0565,0.37,0.2355,0.355
M,0.5826868414878845,0.45,0.135,1.01681649684906,0.41386157274246216,0.21787205338478088,0.31
M,0.515,0.405,0.12735402584075928,0.722,0.32,0.131,0.21
F,0.575,0.46,0.19,0.994,0.31690430641174316,0.2425,0.34
M,0.645,0.4601127803325653,0.15634173154830933,1.0862902402877808,0.4824844300746918,0.22748389840126038,0.27977871894836426
F,0.58,0.455,0.17,0.7844398617744446,0.3402591943740845,0.2135,0.21530143916606903
F,0.5885959267616272,0.47177308797836304,0.16107727587223053,1.145960807800293,0.4870969355106354,0.1785,0.30178511142730713
M,0.605,0.4196740388870239,0.165,1.056,0.3742702007293701,0.1822354793548584,0.22361718118190765
M,0.605,0.45741429924964905,0.1511555165052414,1.222,0.43663570284843445,0.21890904009342194,0.28
M,0.5703306794166565,0.44606658816337585,0.14647924900054932,1.2445,0.544,0.2077944278717041,0.345
M,0.670727014541626,0.5097929835319519,0.21,2.141,0.6173322200775146,0.27747467160224915,0.4072518050670624
M,0.5858177542686462,0.46241816878318787,0.23,1.030239224433899,0.4604131579399109,0.22706346213817596,0.2919026017189026
M,0.6037389636039734,0.47756171226501465,0.15994808077812195,1.228814959526062,0.4925776422023773,0.24813619256019592,0.725
M,0.6107460260391235,0.47953394055366516,0.16642989218235016,1.2206060886383057,0.5310141444206238,0.4515,0.3307283818721771
M,0.6207137107849121,0.4811995327472687,0.1635611653327942,1.842,0.5134614109992981,0.247799351811409,0.34403809905052185
M,0.5928363800048828,0.4639922082424164,0.1543298363685608,1.981,0.8175,0.22684475779533386,0.3050591051578522
F,0.5979735255241394,0.47361695766448975,0.16624818742275238,1.3385709524154663,0.5586113929748535,0.2777253985404968,0.36306843161582947
M,0.5858178734779358,0.46241819858551025,0.215,1.0302401781082153,0.46041351556777954,0.2270636111497879,0.2919027805328369
M,0.53,0.4466654360294342,0.145,0.9119889736175537,0.417858362197876,0.169,0.2607150375843048
M,0.5979825258255005,0.47640833258628845,0.16527579724788666,1.203087329864502,0.5092733502388,0.26575449109077454,0.31888890266418457
F,0.52,0.405,0.13968923687934875,0.776,0.3540329933166504,0.1886342167854309,0.22
I,0.3258483111858368,0.16,0.04,0.048,0.0185,0.018,0.015
I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075
I,0.331528902053833,0.21,0.06,0.125,0.06,0.0375,0.035
I,0.315,0.25591012835502625,0.085,0.1435,0.10674849152565002,0.0475,0.05
I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015
M,0.6207093596458435,0.48119816184043884,0.16356132924556732,0.97,0.5134630799293518,0.24780012667179108,0.3440367579460144
M,0.57,0.43374794721603394,0.14648441970348358,0.9395,0.37008601427078247,0.19882868230342865,0.295
M,0.586647093296051,0.46774542331695557,0.15912628173828125,1.1219465732574463,0.4622909724712372,0.266,0.57
F,0.5333989262580872,0.4405803084373474,0.16,0.885576069355011,0.38489851355552673,0.268,0.3
M,0.62,0.4377914369106293,0.1459590494632721,0.9144080877304077,0.4355,0.214,0.23944298923015594
M,0.5858181118965149,0.46241825819015503,0.2,1.0302417278289795,0.46041417121887207,0.227063849568367,0.2919030785560608
