cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.4549999827146531,0.36500000834465024,0.09499999754130839,0.5140000097677112,0.22449999406933785,0.10099999675899744,0.14999999812245365
M,0.34999999523162845,0.26499999791383744,0.0900000038743019,0.22550000627711417,0.0994999956265092,0.04850000015646219,0.07000000074505805
F,0.5300000157952309,0.4200000020861625,0.1349999973922968,0.6770000034272671,0.3324579107314348,0.20308066381514073,0.20999999615550038
M,0.43999998450279243,0.36500000834465024,0.12500000163912772,0.5160000122711063,0.21550000189244747,0.11399999625235796,0.15499999795854089
I,0.3299999906122685,0.2550000037252903,0.07999999970197677,0.2050000016540289,0.08950000062584877,0.03949999848008156,0.055000001236796374
I,0.425000007301569,0.3414258602261543,0.09499999754130839,0.5672326159477235,0.14099999648332598,0.07749999970197678,0.11999999910593032
F,0.5300000157952309,0.41499999642372126,0.1499999952316284,0.8012732151895762,0.23700000166893007,0.14149999991059303,0.3299999922215938
F,0.5450000140070915,0.4250000077486038,0.12500000163912772,0.768000033184886,0.2939999964386225,0.14949999554455282,0.2599999945163726
M,0.47500000834465034,0.3700000140070915,0.12500000163912772,0.5095000041350722,0.21649999363720418,0.11250000036507846,0.16499999763071535
F,0.5499999994039536,0.3881885889172554,0.1499999952316284,0.8945000232309104,0.31450000447034837,0.15099999143183232,0.31999999254941935
F,0.5249999883770943,0.37999999105930327,0.13999999947845934,0.6064999993294478,0.1940000021159649,0.14750000102818012,0.20999999615550038
M,0.4300000137090683,0.34999999135732646,0.15282470628619194,0.4060000008046627,0.16749999929964543,0.08099999888986349,0.13499999861419198
M,0.490000006556511,0.37999999105930327,0.1349999973922968,0.5415000021159649,0.21750000753998758,0.09499999564141036,0.18999999681115148
F,0.5350000011920929,0.4049999850988388,0.14499999314546583,0.6845000128149986,0.2724999966621399,0.1710000068694353,0.20499999631941315
F,0.46999998092651374,0.35499999701976775,0.09999999962747096,0.47550000365078454,0.16749999929964543,0.08050000026077032,0.18499999697506425
M,0.5000000193715096,0.35310043424367904,0.13000000372529028,0.6644999877810478,0.2580000055730343,0.13299999686330558,0.23999999517202372
I,0.35500000163912776,0.2799999977648258,0.08500000178813934,0.290500003490597,0.09499999953806401,0.03949999848008156,0.11499999926984308
F,0.43999998450279243,0.3399999971687793,0.09999999962747096,0.4510000150576234,0.18800000733137132,0.08700000000745059,0.12999999877810475
I,0.3649999934434891,0.2949999976158142,0.07999999970197677,0.25550000175461174,0.0970000051856041,0.043000002060085536,0.0999999997615814
M,0.44999999731779106,0.3199999916553497,0.09999999962747096,0.38100001158565283,0.17049999669194224,0.07499999777227641,0.11499999926984308
M,0.35500000163912776,0.2799999977648258,0.09499999754130839,0.24550001027435064,0.09549999541044236,0.061999998278915884,0.07500000058114528
I,0.37999999165534976,0.27499999210238457,0.09999999962747096,0.22550000627711417,0.08000000149756671,0.04899999878555537,0.08500000025331973
F,0.5649999976158142,0.4399999904632568,0.15499999731779096,0.9394999954104424,0.42750000226497653,0.21399999438226225,0.2699999941885471
I,0.5499999994039536,0.41499999642372126,0.1349999973922968,0.7635000275522471,0.3179999977350235,0.21000000534951688,0.19999999648332592
M,0.6150000196695328,0.48000000149011607,0.1650000014901161,1.1615000208467245,0.5129999833405018,0.30099998423457147,0.30499999304115766
F,0.5600000122189522,0.4399999904632568,0.13999999947845934,0.9284999816417695,0.382500019222498,0.1879999953955412,0.2999999932050704
F,0.5799999958276749,0.4500000017881393,0.18499999299645423,1.0740422371923923,0.3945000087916851,0.2719999934732914,0.2849999936968088
M,0.5900000086426735,0.44499999612569807,0.13999999947845934,0.9309999847710133,0.3559999942481518,0.2339999922513962,0.27999999386072155
