cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
I,0.4549999940395355,0.36500000834465024,0.09499999754130839,0.5140000097677112,0.22449999406933785,0.10099999515712262,0.14999999812245365
M,0.34999999046325686,0.26499999791383744,0.0900000038743019,0.22550000627711417,0.17702698690444232,0.04850000157207251,0.07000000074505805
F,0.5300000154972077,0.4200000020861625,0.1349999973922968,0.6770000034272671,0.3860757486224175,0.14150000249594452,0.2900227524787187
M,0.44000000298023223,0.36500000834465024,0.12500000163912772,0.5160000122711063,0.21550000189244747,0.1140000010058284,0.15499999795854089
I,0.3300000023841858,0.2550000037252903,0.07999999970197677,0.2050000016540289,0.08950000062584877,0.053601373624056585,0.055000001236796374
I,0.4249999898672104,0.30000000327825543,0.09416501089930533,0.35149999569728974,0.14099999648332598,0.07749999851360918,0.11999999910593032
M,0.5300000154972077,0.41499999642372126,0.1499999952316284,0.7774999609291554,0.23700000166893007,0.14150000249594452,0.3299999922215938
F,0.5449999845027923,0.4250000077486038,0.12500000163912772,0.768000033184886,0.2939999964386225,0.14950000087171794,0.2599999945163726
M,0.47499998211860656,0.3700000140070915,0.12500000163912772,0.7224452807754278,0.32351681458950043,0.11249999989569189,0.16499999763071535
F,0.5500000035762787,0.4399999904632568,0.1499999952316284,0.8945000232309104,0.31450000447034837,0.15100000198185445,0.31999999254941935
F,0.5249999964237213,0.37999999105930327,0.13999999947845934,0.6064999993294478,0.1940000021159649,0.14749999561905863,0.22908099465072151
F,0.43000000894069673,0.34999999135732646,0.11000000379979609,0.4060000008046627,0.22325646345317365,0.08099999921768905,0.13499999861419198
M,0.4899999952316284,0.37999999105930327,0.1349999973922968,0.5415000021159649,0.21750000753998758,0.15070248933136465,0.22144768609106538
F,0.5349999904632569,0.4049999850988388,0.14499999314546583,0.6845000128149986,0.2724999966621399,0.17099999792128803,0.20499999631941315
F,0.47000000715255735,0.35499999701976775,0.09999999962747096,0.47550000365078454,0.16749999929964543,0.11398235712945462,0.18499999697506425
M,0.49999998927116396,0.3435032296180725,0.13000000372529028,0.6644999877810478,0.2580000055730343,0.13299999997764828,0.23999999517202372
I,0.35500000953674316,0.2799999977648258,0.09955891162157057,0.290500003490597,0.09499999953806401,0.03950000056996942,0.14088545901328323
F,0.44000000298023223,0.3399999971687793,0.09999999962747096,0.4510000150576234,0.18800000733137132,0.08699999799951912,0.12999999877810475
M,0.3650000035762787,0.2949999976158142,0.07999999970197677,0.25550000175461174,0.0970000051856041,0.043000001274049286,0.0999999997615814
M,0.45000001907348636,0.3199999916553497,0.09999999962747096,0.38100001158565283,0.17049999669194224,0.09174522744491698,0.11499999926984308
M,0.35500000953674316,0.2799999977648258,0.09255086503922938,0.24550001027435064,0.09549999541044236,0.062000000245869165,0.07500000058114528
I,0.379999994635582,0.27499999210238457,0.09999999962747096,0.22550000627711417,0.08000000149756671,0.04900000005587936,0.08500000025331973
F,0.5650000166893006,0.4399999904632568,0.15499999731779096,0.9394999954104424,0.42750000226497653,0.21400000333786012,0.2699999941885471
F,0.5500000035762787,0.41499999642372126,0.1349999973922968,0.7635000275522471,0.3179999977350235,0.20999999283254148,0.27947686707973474
F,0.6149999868869781,0.48000000149011607,0.1650000014901161,1.2211210143566131,0.5129999833405018,0.3009999998211861,0.30499999304115766
F,0.5599999976158142,0.4399999904632568,0.13999999947845934,1.0143900251984597,0.40598234254121784,0.18800000295788052,0.2999999932050704
F,0.5799999856948852,0.4500000017881393,0.18499999299645423,0.9954999813586474,0.42719010010361674,0.27200000853836537,0.2849999936968088
M,0.5899999797344208,0.44499999612569807,0.13999999947845934,0.9309999847710133,0.3559999942481518,0.23400001059472564,0.27999999386072155
M,0.6049999928474425,0.4749999958276748,0.18205025747418402,0.9364999916553498,0.39399999076128006,0.21899999949336055,0.29499999336898325
M,0.575000010728836,0.4250000077486038,0.13999999947845934,0.8634999844282866,0.3929999990165234,0.22699999786913397,0.19999999648332592
M,0.5799999856948852,0.4699999901652336,0.1650000014901161,0.9974999838620424,0.39350001704692844,0.24200000897049906,0.33796287184953683
F,0.6800000143051147,0.5599999892711639,0.1650000014901161,1.6390000295042992,0.6054999952614308,0.2805000110566616,0.4599999879598617
M,0.6650000011920928,0.5249999839067458,0.1650000014901161,1.3379999893307686,0.5514999978840351,0.3574999925941229,0.3499999915659427
F,0.6800000143051147,0.5500000122189521,0.17500000566244123,1.7980000602304935,0.8150000162720681,0.39249998831748967,0.45499998812377446
F,0.705000021457672,0.5500000122189521,0.1999999992549419,1.7094999494552614,0.6330000119805337,0.4115000099241734,0.489999986976385
M,0.4220425862073898,0.35499999701976775,0.10500000171363352,0.4795000086575747,0.2269999955892563,0.12400000463426114,0.12499999894201753
F,0.5400000095367431,0.4749999958276748,0.15499999731779096,1.2170000061690809,0.4654943706393242,0.30750000840425495,0.3399999918937683
F,0.42658523321151737,0.35499999701976775,0.10500000171363352,0.5225000204071403,0.23700000166893007,0.11724903199821711,0.14499999828636645
F,0.575000010728836,0.44499999612569807,0.1349999973922968,0.8830000088363886,0.3810000094473362,0.20350000688433648,0.2599999945163726
M,0.35500000953674316,0.28999999195337295,0.0900000038743019,0.3275000077299774,0.13399999887496233,0.07955836210399866,0.09000000008940695
F,0.45000001907348636,0.3349999915063381,0.10500000171363352,0.42499998251348736,0.18649999755620958,0.09099999718740583,0.18235610130429264
F,0.5500000035762787,0.4250000077486038,0.1349999973922968,0.8514999694079161,0.3619999890327454,0.195999990016222,0.2699999941885471
I,0.24000000089406964,0.1749999988079071,0.08780706629157066,0.07000000096857548,0.1329428172633052,0.023499999574385585,0.020000000515021384
