cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.4549999827146531,0.36500000834465024,0.10519247204065321,0.5140000128746033,0.22449999406933785,0.10100000234693289,0.21902406770735974
M,0.34999999523162845,0.26499999791383744,0.0900000038743019,0.22550000295042993,0.0994999956265092,0.048500000737607483,0.07000000074505805
I,0.5300000157952309,0.4200000020861625,0.1349999973922968,0.6769999760389328,0.2291096834689379,0.14150000163167714,0.20999999615550038
M,0.4710927021503449,0.35858320474624633,0.12500000163912772,0.5159999856352806,0.21550000189244747,0.1139999991580844,0.15499999795854089
I,0.3299999906122685,0.2550000037252903,0.07999999970197677,0.20500000688433648,0.08950000062584877,0.03949999899417162,0.055000001236796374
I,0.425000007301569,0.30000000327825543,0.09499999754130839,0.35150001442432405,0.14099999648332598,0.07750000350177288,0.11999999910593032
I,0.5300000157952309,0.41499999642372126,0.1499999952316284,0.7775000215768815,0.23700000166893007,0.1234100506901741,0.3299999922215938
F,0.5450000140070915,0.4250000077486038,0.12746306784451006,0.7680000085830688,0.42102976983785634,0.14950000032782554,0.2599999945163726
I,0.47500000834465034,0.3700000140070915,0.12500000163912772,0.5094999887347221,0.21649999363720418,0.11249999886751175,0.11651402243971823
F,0.5499999994039536,0.3963070648908615,0.1499999952316284,0.8944999657869339,0.40664012572169306,0.21846996557712556,0.31999999254941935
F,0.5373771026730537,0.37999999105930327,0.13999999947845934,0.6065000154972077,0.43707173800468446,0.1474999942332506,0.20999999615550038
M,0.4300000137090683,0.34999999135732646,0.11000000379979609,0.4060000030398369,0.16749999929964543,0.08100000132620334,0.13499999861419198
M,0.490000006556511,0.36189281374216076,0.1349999973922968,0.6884016622304917,0.21750000753998758,0.09500000118464232,0.18999999681115148
F,0.5350000011920929,0.4049999850988388,0.14499999314546583,0.6844999783039093,0.2724999966621399,0.17100000163912774,0.20349204419553277
F,0.46999998092651374,0.35499999701976775,0.09999999962747096,0.47549999618530275,0.16749999929964543,0.08050000408291817,0.18499999697506425
M,0.48491282701492316,0.36595659285783766,0.13000000372529028,0.831039909362793,0.2580000055730343,0.13299999713152647,0.23999999517202372
I,0.35500000163912776,0.2799999977648258,0.08500000178813934,0.290499990940094,0.09499999953806401,0.03949999899417162,0.11499999926984308
F,0.43999998450279243,0.3399999971687793,0.09999999962747096,0.4510000166296959,0.18800000733137132,0.08700000248849392,0.12999999877810475
M,0.3649999934434891,0.2949999976158142,0.07999999970197677,0.2554999930262566,0.0970000051856041,0.08046905709058047,0.0999999997615814
M,0.44999999731779106,0.3199999916553497,0.15308627262711524,0.6995355969667435,0.21708119867742062,0.07500000016391277,0.11499999926984308
