cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
I,0.455,0.365,0.095,0.514,0.4971,0.101,0.4971
M,0.35,0.265,0.09,0.2255,0.4971,0.0485,0.07
I,0.53,0.4971,0.4971,0.677,0.2565,0.1415,0.21
M,0.44,0.365,0.125,0.4971,0.4971,0.114,0.155
I,0.33,0.255,0.4971,0.205,0.0895,0.4971,0.055
I,0.425,0.4971,0.4971,0.3515,0.141,0.0775,0.12
F,0.4971,0.415,0.15,0.7775,0.237,0.1415,0.33
I,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
I,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
F,0.525,0.38,0.14,0.6065,0.4971,0.1475,0.21
M,0.4971,0.35,0.11,0.406,0.1675,0.081,0.135
M,0.49,0.4971,0.4971,0.5415,0.4971,0.095,0.4971
F,0.535,0.405,0.145,0.6845,0.2725,0.4971,0.205
I,0.47,0.355,0.1,0.4755,0.4971,0.0805,0.185
M,0.4971,0.4,0.13,0.6645,0.4971,0.4971,0.24
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115
F,0.44,0.34,0.1,0.4971,0.188,0.087,0.13
I,0.4971,0.295,0.4971,0.2555,0.097,0.4971,0.1
I,0.45,0.4971,0.1,0.381,0.1705,0.075,0.115
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085
I,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27
F,0.4971,0.415,0.135,0.4971,0.318,0.21,0.4971
F,0.615,0.4971,0.4971,0.4971,0.513,0.301,0.305
F,0.4971,0.44,0.14,0.9285,0.3825,0.188,0.4971
F,0.58,0.45,0.4971,0.4971,0.4971,0.272,0.4971
M,0.4971,0.4971,0.14,0.4971,0.4971,0.234,0.4971
M,0.605,0.4971,0.18,0.4971,0.394,0.4971,0.4971
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2
M,0.58,0.4971,0.4971,0.9975,0.3935,0.4971,0.4971
F,0.4971,0.56,0.4971,1.639,0.6055,0.4971,0.46
M,0.665,0.4971,0.4971,0.4971,0.4971,0.3575,0.4971
I,0.4971,0.4971,0.175,1.798,0.4971,0.3925,0.4971
F,0.705,0.4971,0.2,0.4971,0.4971,0.4971,0.4971
I,0.465,0.355,0.105,0.4795,0.227,0.124,0.125
F,0.54,0.4971,0.4971,0.4971,0.5305,0.3075,0.4971
F,0.45,0.4971,0.105,0.5225,0.237,0.1165,0.145
I,0.575,0.445,0.135,0.4971,0.381,0.4971,0.4971
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09
F,0.4971,0.335,0.105,0.425,0.4971,0.091,0.115
I,0.55,0.4971,0.135,0.8515,0.362,0.196,0.27
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012
I,0.21,0.15,0.05,0.042,0.0175,0.4971,0.015
I,0.39,0.295,0.095,0.203,0.0875,0.4971,0.4971
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.4971
F,0.46,0.375,0.4971,0.4605,0.1775,0.4971,0.15
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045
I,0.525,0.425,0.16,0.4971,0.4971,0.2135,0.245
I,0.52,0.41,0.4971,0.4971,0.2385,0.111,0.19
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1
M,0.485,0.36,0.4971,0.5415,0.2595,0.096,0.16
F,0.47,0.36,0.12,0.4775,0.4971,0.1055,0.15
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11
F,0.4971,0.4,0.4971,0.4971,0.2565,0.1755,0.22
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135
M,0.4971,0.385,0.135,0.5895,0.2765,0.12,0.17
I,0.245,0.4971,0.06,0.086,0.042,0.014,0.025
I,0.505,0.4,0.125,0.583,0.4971,0.13,0.4971
M,0.4971,0.345,0.105,0.4115,0.4971,0.4971,0.135
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175
F,0.4971,0.41,0.13,0.6965,0.302,0.1935,0.2
M,0.425,0.325,0.095,0.3785,0.4971,0.08,0.1
M,0.52,0.4971,0.12,0.58,0.234,0.1315,0.185
M,0.475,0.355,0.12,0.4971,0.234,0.1015,0.135
I,0.4971,0.44,0.16,0.915,0.354,0.1935,0.32
F,0.595,0.4971,0.185,1.285,0.4971,0.224,0.4971
I,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17
I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045
M,0.555,0.4971,0.13,0.4971,0.264,0.168,0.275
I,0.4,0.4971,0.11,0.353,0.1405,0.0985,0.1
I,0.4971,0.475,0.17,1.247,0.4971,0.4971,0.425
M,0.57,0.48,0.4971,0.4971,0.474,0.261,0.4971
F,0.605,0.4971,0.4971,1.098,0.4971,0.2895,0.315
I,0.6,0.475,0.4971,1.0075,0.4971,0.221,0.28
M,0.595,0.4971,0.14,0.944,0.3625,0.189,0.4971
I,0.6,0.47,0.15,0.922,0.4971,0.4971,0.4971
F,0.555,0.425,0.4971,0.788,0.4971,0.1595,0.285
F,0.615,0.4971,0.17,0.4971,0.4971,0.4971,0.4971
F,0.4971,0.4971,0.14,0.4971,0.3845,0.252,0.285
M,0.4971,0.51,0.4971,1.615,0.4971,0.4971,0.675
I,0.52,0.4971,0.165,0.9885,0.396,0.4971,0.4971
M,0.4971,0.4971,0.16,0.4971,0.4971,0.234,0.58
M,0.58,0.45,0.4971,1.013,0.38,0.4971,0.4971
F,0.57,0.4971,0.4971,0.4971,0.4971,0.4971,0.4971
M,0.625,0.465,0.4971,0.4971,0.4825,0.205,0.4
M,0.4971,0.44,0.4971,0.8645,0.3305,0.4971,0.26
F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165
I,0.4971,0.4971,0.16,0.9775,0.3135,0.231,0.33
M,0.565,0.425,0.135,0.8115,0.4971,0.1675,0.255
M,0.555,0.44,0.4971,0.4971,0.4971,0.1525,0.4971
I,0.4971,0.465,0.175,1.115,0.4971,0.4971,0.39
I,0.625,0.495,0.4971,1.262,0.507,0.4971,0.4971
M,0.695,0.4971,0.4971,1.494,0.4971,0.4971,0.485
M,0.665,0.4971,0.4971,0.4971,0.5755,0.4971,0.4971
M,0.535,0.435,0.4971,0.4971,0.4971,0.1385,0.4971
M,0.47,0.375,0.4971,0.523,0.214,0.4971,0.145
M,0.47,0.4971,0.13,0.5225,0.201,0.4971,0.165
F,0.475,0.375,0.125,0.5785,0.4971,0.085,0.155
