con_age,cat_workclass,con_fnlwgt,cat_education,con_education.num,cat_marital.status,cat_occupation,cat_relationship,cat_race,cat_sex,con_capital.gain,con_capital.loss,con_hours.per.week,cat_native.country,cat_income
38.2495,Private,38.2495,HS-grad,38.2495,Widowed,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
54.0,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,3900.0,38.2495,United-States,<=50K
41.0,Private,38.2495,HS-grad,10.0,Separated,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,216864.0,HS-grad,38.2495,Divorced,Adm-clerical,Husband,White,Male,38.2495,3770.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,38.2495,3770.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,16.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Female,38.2495,3683.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,16.0,Married-civ-spouse,Adm-clerical,Husband,White,Female,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,15.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Widowed,Adm-clerical,Husband,White,Female,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,Prof-school,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
45.0,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,2824.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Separated,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,11th,38.2495,Married-civ-spouse,Sales,Husband,White,Male,0.0,2754.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,38.2495,2754.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,2603.0,38.2495,United-States,<=50K
38.2495,Private,34310.0,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,2603.0,38.2495,United-States,<=50K
33.0,Private,228696.0,1st-4th,2.0,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,38.2495,2603.0,32.0,Mexico,<=50K
49.0,Private,122066.0,5th-6th,38.2495,Married-civ-spouse,Other-service,Husband,White,Male,0.0,2603.0,38.2495,United-States,<=50K
38.2495,Private,107164.0,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,2559.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,2559.0,38.2495,United-States,>50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,38.2495,2559.0,38.2495,United-States,<=50K
38.2495,Self-emp-inc,38.2495,10th,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,50.0,United-States,>50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Exec-managerial,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,38.2495,2559.0,60.0,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,2559.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,2559.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,2559.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,14.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,38.2495,38.2495,United-States,>50K
38.2495,Private,326232.0,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
51.0,Private,38.2495,Some-college,38.2495,Divorced,Adm-clerical,Husband,White,Male,38.2495,2547.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,Bachelors,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
71.0,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,40.0,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,2444.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,2444.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,2444.0,38.2495,United-States,>50K
38.2495,Private,38.2495,HS-grad,10.0,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,45.0,United-States,<=50K
38.2495,Private,207668.0,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,313243.0,HS-grad,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Protective-serv,Husband,White,Male,38.2495,2444.0,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,45.0,United-States,<=50K
38.2495,Private,38.2495,Assoc-voc,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,42.0,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,38.2495,38.2495,United-States,<=50K
38.2495,Private,38.2495,HS-grad,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,40.0,United-States,>50K
38.2495,Private,38.2495,Some-college,38.2495,Married-civ-spouse,Adm-clerical,Husband,White,Male,38.2495,38.2495,38.2495,United-States,<=50K
