con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
619.0,France,Female,38.5014,4.9722,0.0,1.5589,1.0,1.0,101348.88,1.0
608.0,Spain,Female,41.0,1.0,83807.86,1.0,0.0,1.0,99099.8239,0.0
650.784,France,Male,42.0,4.9722,78188.2235,3.0,1.0,1.0,99099.8239,0.0
699.0,France,Female,39.0,1.0,0.0,2.0,1.0,0.0,93826.63,0.0
650.784,France,Male,43.0,4.9722,78188.2235,1.5589,1.0,1.0,99099.8239,0.0
650.784,France,Male,44.0,4.9722,78188.2235,1.5589,1.0,1.0,99099.8239,1.0
650.784,France,Male,38.5014,7.0,0.0,2.0,1.0,1.0,10062.8,0.0
650.784,France,Male,38.5014,4.9722,78188.2235,4.0,1.0,1.0,99099.8239,1.0
501.0,France,Male,44.0,4.9722,142051.07,2.0,0.0,1.0,99099.8239,0.0
650.784,France,Male,27.0,2.0,134603.88,1.0,1.0,1.0,99099.8239,0.0
650.784,France,Male,31.0,6.0,102016.72,2.0,0.0,0.0,80181.12,0.0
497.0,Spain,Male,38.5014,3.0,0.0,2.0,1.0,1.0,76390.01,0.0
650.784,France,Female,34.0,10.0,78188.2235,2.0,1.0,0.0,26260.98,0.0
549.0,France,Male,25.0,5.0,0.0,2.0,1.0,0.0,190857.79,0.0
650.784,Spain,Female,35.0,4.9722,78188.2235,2.0,1.0,1.0,99099.8239,0.0
650.784,Germany,Male,45.0,4.9722,143129.41,2.0,1.0,1.0,99099.8239,0.0
650.784,Germany,Male,58.0,4.9722,78188.2235,1.0,1.0,1.0,99099.8239,1.0
650.784,France,Female,38.5014,9.0,0.0,2.0,1.0,1.0,14406.41,0.0
587.0,France,Male,45.0,6.0,78188.2235,1.5589,0.0,0.0,158684.81,0.0
726.0,France,Female,24.0,4.9722,0.0,2.0,1.0,1.0,99099.8239,0.0
650.784,France,Male,38.5014,4.9722,78188.2235,2.0,1.0,1.0,99099.8239,0.0
636.0,Spain,Female,38.5014,4.9722,78188.2235,2.0,1.0,1.0,99099.8239,0.0
510.0,Spain,Female,38.5014,4.9722,78188.2235,1.0,1.0,0.0,118913.53,0.0
650.784,France,Male,46.0,3.0,0.0,1.5589,0.0,1.0,99099.8239,0.0
650.784,France,Male,38.5014,5.0,0.0,1.5589,1.0,1.0,187616.16,0.0
577.0,France,Male,25.0,3.0,0.0,2.0,0.0,1.0,124508.29,0.0
650.784,Germany,Male,38.5014,4.9722,78188.2235,1.5589,1.0,1.0,170041.95,0.0
650.784,France,Male,44.0,4.9722,0.0,2.0,0.0,0.0,99099.8239,0.0
574.0,France,Female,38.5014,3.0,141349.43,1.5589,1.0,1.0,100187.43,0.0
650.784,France,Male,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,0.0
650.784,France,Female,39.0,4.9722,78188.2235,1.5589,1.0,0.0,140469.38,0.0
533.0,France,Male,36.0,7.0,78188.2235,1.0,0.0,1.0,99099.8239,0.0
650.784,France,Male,41.0,9.0,110112.54,1.5589,1.0,1.0,81898.81,0.0
520.0,France,Male,42.0,6.0,0.0,2.0,1.0,1.0,34410.55,0.0
650.784,Spain,Male,29.0,9.0,0.0,1.5589,1.0,1.0,99099.8239,0.0
475.0,France,Male,45.0,0.0,134264.04,1.5589,1.0,1.0,99099.8239,1.0
650.784,Spain,Male,38.5014,4.9722,145260.23,1.5589,1.0,1.0,99099.8239,0.0
804.0,Spain,Male,38.5014,4.9722,76548.6,1.5589,1.0,1.0,98453.45,0.0
650.784,France,Male,38.5014,4.9722,0.0,1.5589,1.0,1.0,99099.8239,0.0
582.0,France,Male,38.5014,4.9722,78188.2235,1.5589,1.0,1.0,99099.8239,0.0
650.784,Spain,Male,38.5014,4.0,78188.2235,1.0,1.0,1.0,70154.22,0.0
650.784,France,Female,51.0,8.0,122522.32,1.0,0.0,1.0,181297.65,1.0
556.0,France,Female,61.0,2.0,117419.35,1.5589,1.0,1.0,94153.83,0.0
834.0,France,Female,49.0,4.9722,78188.2235,1.0,0.0,1.0,194365.76,1.0
650.784,France,Male,38.5014,4.9722,78188.2235,1.5589,1.0,1.0,158338.39,0.0
650.784,France,Male,38.5014,4.0,109421.13,2.0,1.0,1.0,126517.46,0.0
829.0,France,Male,38.5014,4.9722,78188.2235,1.5589,1.0,1.0,99099.8239,0.0
650.784,France,Male,38.5014,4.9722,78188.2235,1.5589,1.0,1.0,99099.8239,1.0
650.784,France,Male,38.0,4.9722,103391.38,1.0,0.0,1.0,90878.13,0.0
650.784,Germany,Male,38.5014,4.9722,103769.22,2.0,1.0,0.0,194099.12,0.0
650.784,France,Male,38.5014,4.9722,78188.2235,1.5589,1.0,1.0,99099.8239,0.0
585.0,Germany,Male,36.0,5.0,146050.97,2.0,1.0,0.0,99099.8239,0.0
650.784,France,Male,33.0,5.0,0.0,1.5589,0.0,0.0,116978.19,0.0
650.784,Germany,Male,41.0,4.9722,78188.2235,1.5589,1.0,1.0,99099.8239,0.0
650.784,Germany,Male,42.0,1.0,78188.2235,1.0,1.0,1.0,99099.8239,1.0
619.0,France,Male,43.0,1.0,125211.92,1.5589,1.0,1.0,113410.49,0.0
650.784,France,Male,38.5014,4.9722,127864.4,1.0,1.0,0.0,99099.8239,0.0
725.0,Germany,Male,19.0,0.0,75888.2,1.0,0.0,0.0,45613.75,0.0
650.784,Spain,Female,66.0,4.0,78188.2235,1.5589,1.0,0.0,1643.11,1.0
650.784,France,Male,38.5014,4.9722,40685.92,1.0,1.0,1.0,99099.8239,0.0
742.0,Germany,Male,38.5014,4.9722,136857.0,1.0,0.0,1.0,84509.57,0.0
650.784,Germany,Female,27.0,9.0,152328.88,1.5589,1.0,0.0,99099.8239,0.0
555.0,Spain,Male,38.5014,4.9722,78188.2235,2.0,1.0,0.0,178798.13,0.0
684.0,Spain,Male,38.5014,4.9722,78188.2235,1.5589,1.0,1.0,99398.36,0.0
650.784,Germany,Male,26.0,4.9722,78188.2235,1.5589,1.0,1.0,99099.8239,0.0
650.784,France,Male,36.0,4.9722,78188.2235,1.5589,1.0,1.0,99099.8239,0.0
581.0,Germany,Female,34.0,1.0,101633.04,1.0,1.0,0.0,110431.51,0.0
650.784,France,Male,38.5014,10.0,78188.2235,1.5589,1.0,1.0,99099.8239,0.0
661.0,France,Female,35.0,5.0,150725.53,2.0,1.0,1.0,113656.85,0.0
675.0,France,Female,21.0,8.0,98373.26,1.0,1.0,0.0,18203.0,0.0
650.784,France,Male,38.5014,4.9722,133745.44,1.5589,1.0,1.0,99099.8239,0.0
813.0,France,Male,38.5014,6.0,78188.2235,1.5589,1.0,0.0,33953.87,0.0
657.0,Spain,Male,37.0,0.0,163607.18,1.0,0.0,1.0,99099.8239,0.0
604.0,Germany,Female,25.0,5.0,157780.84,2.0,1.0,1.0,99099.8239,0.0
650.784,France,Male,36.0,9.0,0.0,2.0,1.0,1.0,99099.8239,0.0
735.0,France,Female,21.0,4.9722,78188.2235,2.0,1.0,0.0,22388.0,0.0
650.784,France,Male,38.5014,4.9722,78188.2235,1.5589,1.0,1.0,139161.64,0.0
678.0,France,Female,38.5014,4.9722,0.0,1.5589,1.0,1.0,148210.64,0.0
650.784,France,Male,38.5014,5.0,78188.2235,1.5589,1.0,1.0,99099.8239,0.0
650.784,Germany,Male,38.5014,10.0,78188.2235,2.0,1.0,1.0,98301.61,0.0
