cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,118.3945,2.0,1.8683,1.0,7,acept,not furnished,2065.0,2952.703,211.0,42.0
São Paulo,118.3945,4.0,1.8683,1.2516,-,acept,not furnished,923.943,4960.0,207.8744,63.0
Porto Alegre,118.3945,1.0,1.0,1.0,6,acept,not furnished,923.943,2800.0,0.0,41.0
Porto Alegre,118.3945,2.2532,1.8683,0.0,-,acept,not furnished,270.0,1112.0,207.8744,17.0
São Paulo,25.0,1.0,1.0,0.0,1,acept,not furnished,0.0,800.0,25.0,11.0
São Paulo,118.3945,2.2532,1.8683,7.0,-,acept,not furnished,923.943,2952.703,207.8744,40.8698
Rio de Janeiro,72.0,2.0,1.0,0.0,7,acept,not furnished,740.0,1900.0,207.8744,40.8698
São Paulo,118.3945,2.2532,4.0,1.2516,4,acept,not furnished,923.943,2952.703,1735.0,41.0
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,1000.0,15000.0,207.8744,40.8698
Rio de Janeiro,118.3945,1.0,1.0,0.0,-,acept,furnished,590.0,2300.0,35.0,30.0
São Paulo,26.0,1.0,1.8683,0.0,2,acept,furnished,470.0,2100.0,150.0,27.0
São Paulo,46.0,1.0,1.0,1.0,10,acept,not furnished,923.943,580.0,43.0,8.0
São Paulo,36.0,2.2532,1.0,1.2516,11,acept,not furnished,359.0,2100.0,70.0,27.0
São Paulo,55.0,1.0,1.0,1.2516,-,acept,furnished,790.0,2952.703,207.8744,54.0
São Paulo,100.0,2.0,2.0,2.0,24,acept,not furnished,900.0,4370.0,17.0,40.8698
São Paulo,118.3945,2.2532,6.0,6.0,-,acept,not furnished,923.943,8000.0,328.0,40.8698
São Paulo,110.0,2.0,1.8683,1.2516,1,acept,not furnished,923.943,3000.0,122.0,39.0
São Paulo,118.3945,2.2532,3.0,1.0,-,not acept,not furnished,1614.0,2952.703,221.0,16.0
São Paulo,56.0,2.0,1.8683,1.2516,8,acept,not furnished,800.0,2952.703,0.0,16.0
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,181.0
São Paulo,118.3945,7.0,1.8683,0.0,-,acept,not furnished,923.943,3800.0,207.8744,40.8698
Belo Horizonte,118.3945,1.0,1.8683,1.0,-,acept,furnished,923.943,2952.703,172.0,36.0
São Paulo,118.3945,3.0,2.0,1.2516,18,acept,furnished,1530.0,2952.703,167.0,25.0
São Paulo,35.0,1.0,1.0,0.0,-,acept,not furnished,0.0,1100.0,3.0,14.0
Rio de Janeiro,90.0,3.0,1.8683,1.0,7,acept,not furnished,923.943,2952.703,118.0,40.8698
São Paulo,49.0,1.0,1.8683,1.0,-,acept,not furnished,480.0,3500.0,207.8744,40.8698
São Paulo,41.0,1.0,1.0,1.0,-,acept,furnished,600.0,3000.0,207.8744,39.0
São Paulo,118.3945,2.2532,2.0,1.0,11,acept,not furnished,923.943,1500.0,207.8744,40.8698
São Paulo,118.3945,2.2532,2.0,4.0,-,acept,not furnished,0.0,2952.703,100.0,48.0
São Paulo,20.0,1.0,1.0,0.0,5,acept,furnished,602.0,1800.0,207.8744,23.0
São Paulo,118.3945,2.0,2.0,2.0,6,acept,not furnished,780.0,2952.703,142.0,40.8698
São Paulo,32.0,1.0,1.0,1.2516,-,acept,not furnished,515.0,2952.703,207.8744,40.8698
São Paulo,80.0,2.2532,1.8683,1.0,-,acept,not furnished,1208.0,2550.0,216.0,40.8698
Rio de Janeiro,45.0,2.2532,1.0,1.0,10,acept,not furnished,2450.0,2500.0,593.0,40.8698
São Paulo,350.0,2.2532,1.8683,1.2516,8,acept,not furnished,923.943,2952.703,207.8744,51.0
São Paulo,118.3945,2.2532,1.0,2.0,11,not acept,not furnished,923.943,1750.0,0.0,26.0
São Paulo,30.0,2.2532,1.0,0.0,-,acept,not furnished,460.0,1600.0,0.0,21.0
São Paulo,80.0,2.2532,1.8683,1.0,-,acept,not furnished,0.0,2952.703,207.8744,181.0
São Paulo,70.0,2.0,1.0,1.2516,-,not acept,not furnished,0.0,1150.0,59.0,18.0
Porto Alegre,40.0,1.0,1.8683,1.2516,6,acept,furnished,390.0,2990.0,0.0,44.0
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,153.0
São Paulo,240.0,2.2532,1.8683,1.2516,-,acept,not furnished,0.0,2952.703,207.8744,40.8698
São Paulo,118.3945,2.2532,2.0,1.0,7,acept,not furnished,850.0,2550.0,207.8744,40.8698
Belo Horizonte,118.3945,1.0,1.8683,1.2516,5,acept,not furnished,500.0,1631.0,207.8744,12.0
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,6410.0,207.8744,40.8698
São Paulo,40.0,2.2532,1.8683,1.0,10,acept,furnished,978.0,2829.0,0.0,33.0
São Paulo,100.0,2.2532,1.0,0.0,13,not acept,not furnished,700.0,1220.0,207.8744,40.8698
Porto Alegre,118.3945,2.2532,1.8683,2.0,2,acept,furnished,190.0,1770.0,207.8744,26.0
São Paulo,118.3945,3.0,3.0,2.0,1,acept,not furnished,2200.0,2952.703,256.0,40.8698
Campinas,48.0,1.0,1.0,1.0,2,acept,furnished,505.0,1600.0,59.0,21.0
Rio de Janeiro,90.0,3.0,1.8683,1.0,10,acept,not furnished,923.943,2952.703,147.0,40.8698
São Paulo,45.0,2.2532,1.8683,1.2516,15,acept,furnished,856.0,3900.0,150.0,50.0
São Paulo,118.3945,2.0,3.0,1.2516,-,acept,not furnished,923.943,4000.0,207.8744,52.0
São Paulo,60.0,2.0,1.0,0.0,-,acept,not furnished,923.943,2952.703,207.8744,19.0
São Paulo,31.0,1.0,1.0,1.2516,4,acept,not furnished,923.943,2350.0,56.0,30.0
São Paulo,118.3945,2.2532,1.8683,1.2516,-,not acept,not furnished,923.943,2952.703,207.8744,40.8698
São Paulo,280.0,2.2532,1.0,1.2516,-,acept,not furnished,0.0,2952.703,113.0,40.8698
São Paulo,118.3945,2.2532,1.8683,1.2516,9,acept,not furnished,663.0,5500.0,207.8744,40.8698
São Paulo,75.0,2.2532,1.8683,1.0,9,acept,not furnished,340.0,1800.0,207.8744,40.8698
São Paulo,118.3945,2.2532,1.8683,3.0,-,acept,not furnished,0.0,2952.703,70.0,61.0
São Paulo,118.3945,1.0,1.0,1.2516,6,acept,furnished,923.943,4000.0,131.0,51.0
Rio de Janeiro,65.0,1.0,1.0,1.0,-,acept,not furnished,2000.0,5100.0,207.8744,66.0
São Paulo,70.0,2.2532,1.0,1.0,13,acept,not furnished,761.0,2150.0,67.0,28.0
São Paulo,278.0,2.2532,5.0,1.2516,-,acept,furnished,923.943,2952.703,1261.0,115.0
São Paulo,35.0,1.0,1.0,0.0,-,acept,not furnished,306.0,1521.0,21.0,40.8698
Campinas,118.3945,4.0,4.0,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,77.0
São Paulo,118.3945,2.2532,1.0,1.0,-,acept,not furnished,923.943,1850.0,207.8744,40.8698
São Paulo,118.3945,2.2532,2.0,1.0,-,acept,not furnished,1660.0,1700.0,207.8744,22.0
Rio de Janeiro,80.0,2.0,1.8683,1.0,20,acept,not furnished,500.0,2952.703,90.0,40.8698
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,40.8698
São Paulo,220.0,2.2532,2.0,3.0,3,acept,not furnished,450.0,2422.0,125.0,40.8698
São Paulo,45.0,2.2532,1.0,0.0,-,acept,not furnished,0.0,1050.0,46.0,16.0
São Paulo,108.0,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,5600.0,207.8744,71.0
Belo Horizonte,128.0,2.2532,1.8683,0.0,4,acept,furnished,923.943,2952.703,182.0,28.0
Rio de Janeiro,60.0,2.2532,1.0,0.0,-,not acept,not furnished,450.0,2952.703,48.0,24.0
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,40.8698
São Paulo,47.0,1.0,1.0,1.2516,-,not acept,furnished,400.0,2200.0,0.0,40.8698
São Paulo,118.3945,2.2532,3.0,1.2516,-,acept,not furnished,923.943,2952.703,296.0,40.8698
São Paulo,45.0,2.2532,1.0,0.0,1,not acept,not furnished,300.0,1240.0,207.8744,16.0
São Paulo,118.3945,2.2532,1.0,1.0,-,acept,not furnished,923.943,3500.0,123.0,45.0
São Paulo,118.3945,4.0,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,40.8698
São Paulo,70.0,3.0,1.0,1.0,-,acept,not furnished,700.0,2952.703,207.8744,13.0
São Paulo,100.0,2.2532,1.8683,1.0,-,acept,not furnished,600.0,2200.0,207.8744,40.8698
São Paulo,64.0,2.2532,2.0,2.0,4,acept,furnished,923.943,4500.0,207.8744,58.0
Belo Horizonte,68.0,2.0,1.0,1.0,3,acept,not furnished,320.0,1200.0,207.8744,16.0
São Paulo,118.3945,2.2532,1.8683,2.0,-,acept,not furnished,620.0,2500.0,264.0,34.0
São Paulo,118.3945,2.2532,4.0,1.2516,9,acept,not furnished,923.943,2952.703,3368.0,40.8698
São Paulo,118.3945,2.0,2.0,1.2516,15,acept,not furnished,590.0,2952.703,152.0,40.8698
São Paulo,118.3945,2.2532,1.8683,1.2516,1,not acept,not furnished,923.943,2952.703,207.8744,77.0
São Paulo,118.3945,2.2532,1.8683,1.2516,3,acept,not furnished,923.943,2952.703,207.8744,40.8698
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,9000.0,207.8744,115.0
Porto Alegre,350.0,4.0,4.0,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,40.8698
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,53.0
São Paulo,118.3945,2.2532,3.0,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,40.8698
São Paulo,64.0,2.0,2.0,2.0,8,acept,not furnished,923.943,2952.703,207.8744,40.8698
São Paulo,133.0,3.0,2.0,1.2516,6,acept,not furnished,813.0,2952.703,38.0,40.8698
Campinas,44.0,1.0,1.0,1.2516,7,acept,not furnished,923.943,550.0,12.0,7.0
Campinas,240.0,2.2532,1.8683,2.0,-,acept,not furnished,923.943,3000.0,207.8744,46.0
São Paulo,118.3945,2.2532,1.8683,1.0,4,acept,not furnished,923.943,2500.0,207.8744,37.0
São Paulo,22.0,1.0,1.0,0.0,26,acept,not furnished,302.0,2050.0,45.0,26.0
Porto Alegre,50.0,2.2532,1.8683,1.0,-,acept,not furnished,923.943,950.0,50.0,14.0
São Paulo,67.0,3.0,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,50.0,33.0
São Paulo,31.0,1.0,1.0,0.0,-,acept,not furnished,430.0,2952.703,0.0,30.0
Rio de Janeiro,90.0,2.0,1.0,1.0,1,acept,furnished,850.0,3468.0,191.0,40.8698
Rio de Janeiro,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,300.0,40.8698
São Paulo,118.3945,4.0,1.8683,2.0,-,not acept,not furnished,0.0,2952.703,74.0,40.8698
São Paulo,118.3945,2.2532,5.0,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,211.0
São Paulo,118.3945,2.2532,1.8683,3.0,-,acept,not furnished,923.943,6000.0,483.0,40.8698
Porto Alegre,118.3945,2.0,1.8683,1.0,3,acept,not furnished,360.0,2400.0,30.0,36.0
São Paulo,118.3945,2.2532,1.8683,4.0,7,acept,not furnished,923.943,6500.0,207.8744,40.8698
São Paulo,70.0,2.2532,1.8683,1.2516,-,acept,not furnished,0.0,2952.703,134.0,32.0
São Paulo,118.3945,2.2532,1.8683,1.0,-,acept,not furnished,2300.0,2952.703,207.8744,40.8698
São Paulo,30.0,1.0,1.0,1.0,10,not acept,not furnished,886.0,1500.0,207.8744,20.0
Campinas,118.3945,2.0,2.0,2.0,-,acept,not furnished,923.943,2200.0,207.8744,28.0
São Paulo,118.3945,4.0,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,800.0,94.0
São Paulo,118.3945,1.0,1.0,1.0,14,acept,not furnished,1620.0,2800.0,279.0,40.8698
São Paulo,73.0,2.0,2.0,1.2516,7,acept,not furnished,923.943,3500.0,207.8744,45.0
São Paulo,118.3945,2.2532,1.8683,2.0,4,acept,not furnished,1500.0,2000.0,207.8744,26.0
São Paulo,118.3945,2.0,2.0,1.2516,15,acept,not furnished,923.943,2952.703,50.0,40.8698
São Paulo,118.3945,2.2532,1.8683,1.0,1,acept,not furnished,0.0,2952.703,0.0,18.0
São Paulo,118.3945,2.2532,1.8683,0.0,-,not acept,not furnished,377.0,3450.0,0.0,44.0
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,2790.0,207.8744,40.8698
São Paulo,100.0,3.0,2.0,1.2516,-,acept,not furnished,340.0,2952.703,183.0,22.0
São Paulo,94.0,3.0,2.0,1.2516,1,acept,not furnished,1337.0,2952.703,207.8744,46.0
São Paulo,118.3945,2.2532,1.8683,1.2516,3,acept,furnished,1220.0,2952.703,395.0,40.8698
São Paulo,76.0,3.0,1.8683,1.2516,4,acept,not furnished,923.943,2500.0,267.0,40.8698
São Paulo,118.3945,2.2532,1.8683,1.2516,13,acept,not furnished,2100.0,7800.0,207.8744,99.0
São Paulo,118.3945,2.2532,4.0,3.0,1,acept,not furnished,923.943,2952.703,207.8744,40.8698
São Paulo,118.3945,2.2532,1.0,1.0,-,acept,not furnished,610.0,1400.0,35.0,40.8698
São Paulo,110.0,3.0,2.0,2.0,2,acept,not furnished,1145.0,2400.0,207.8744,40.8698
Belo Horizonte,118.3945,2.0,1.8683,1.2516,3,acept,not furnished,660.0,1600.0,207.8744,22.0
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,4417.0,40.8698
São Paulo,34.0,2.2532,1.8683,1.2516,-,acept,not furnished,347.0,2952.703,207.8744,16.0
São Paulo,118.3945,2.2532,1.8683,1.2516,-,acept,not furnished,923.943,2952.703,207.8744,40.8698
Porto Alegre,62.0,2.2532,1.8683,1.0,9,acept,not furnished,923.943,1800.0,75.0,27.0
São Paulo,180.0,2.2532,1.8683,1.2516,-,acept,not furnished,0.0,2952.703,207.8744,56.0
Campinas,118.3945,1.0,1.0,0.0,3,acept,furnished,350.0,916.0,12.0,12.0
São Paulo,118.3945,2.0,1.0,1.2516,1,not acept,not furnished,250.0,1700.0,116.0,23.0
