cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.5236,0.365,0.095,0.514,0.2245,0.101,0.5236
M,0.35,0.265,0.09,0.5236,0.5236,0.0485,0.07
M,0.5236,0.5236,0.135,0.5236,0.2565,0.5236,0.21
M,0.5236,0.5236,0.5236,0.516,0.2155,0.114,0.155
I,0.33,0.255,0.08,0.5236,0.0895,0.5236,0.5236
M,0.425,0.5236,0.095,0.5236,0.141,0.0775,0.12
M,0.53,0.5236,0.15,0.5236,0.237,0.1415,0.33
F,0.545,0.5236,0.5236,0.768,0.294,0.1495,0.5236
M,0.5236,0.37,0.5236,0.5095,0.2165,0.1125,0.5236
F,0.5236,0.5236,0.15,0.5236,0.5236,0.5236,0.32
F,0.5236,0.38,0.14,0.5236,0.5236,0.5236,0.5236
M,0.5236,0.35,0.5236,0.406,0.5236,0.081,0.135
M,0.49,0.5236,0.5236,0.5236,0.5236,0.5236,0.5236
F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.5236
F,0.47,0.355,0.5236,0.4755,0.1675,0.5236,0.5236
M,0.5,0.4,0.13,0.6645,0.5236,0.5236,0.5236
M,0.355,0.28,0.085,0.2905,0.095,0.5236,0.115
F,0.5236,0.5236,0.1,0.5236,0.5236,0.5236,0.5236
M,0.365,0.5236,0.5236,0.2555,0.097,0.043,0.1
M,0.5236,0.5236,0.5236,0.381,0.5236,0.075,0.115
M,0.355,0.5236,0.5236,0.5236,0.5236,0.5236,0.075
M,0.38,0.5236,0.1,0.2255,0.5236,0.5236,0.085
M,0.565,0.5236,0.155,0.9395,0.4275,0.5236,0.5236
M,0.55,0.415,0.135,0.5236,0.5236,0.5236,0.5236
F,0.615,0.48,0.5236,1.1615,0.5236,0.5236,0.305
F,0.56,0.5236,0.14,0.9285,0.3825,0.5236,0.5236
M,0.58,0.45,0.5236,0.9955,0.3945,0.5236,0.5236
M,0.5236,0.5236,0.14,0.5236,0.356,0.234,0.28
M,0.5236,0.475,0.18,0.9365,0.394,0.219,0.5236
M,0.5236,0.5236,0.5236,0.8635,0.393,0.5236,0.5236
M,0.58,0.5236,0.165,0.5236,0.5236,0.242,0.33
M,0.5236,0.56,0.165,0.5236,0.5236,0.5236,0.46
M,0.665,0.525,0.165,1.338,0.5515,0.5236,0.5236
F,0.5236,0.5236,0.175,1.798,0.5236,0.5236,0.5236
M,0.705,0.55,0.5236,0.5236,0.633,0.4115,0.5236
M,0.465,0.5236,0.105,0.4795,0.5236,0.5236,0.125
M,0.5236,0.5236,0.155,1.217,0.5305,0.3075,0.34
F,0.5236,0.355,0.105,0.5236,0.237,0.5236,0.5236
F,0.5236,0.445,0.135,0.883,0.381,0.5236,0.26
M,0.5236,0.29,0.5236,0.5236,0.5236,0.5236,0.09
M,0.5236,0.335,0.105,0.5236,0.1865,0.091,0.115
F,0.5236,0.5236,0.135,0.5236,0.362,0.5236,0.27
I,0.24,0.175,0.5236,0.5236,0.0315,0.5236,0.02
M,0.5236,0.5236,0.055,0.042,0.5236,0.5236,0.5236
M,0.21,0.15,0.5236,0.042,0.0175,0.0125,0.5236
I,0.39,0.295,0.095,0.203,0.0875,0.5236,0.075
M,0.5236,0.5236,0.12,0.5236,0.293,0.5236,0.5236
F,0.5236,0.375,0.12,0.4605,0.5236,0.11,0.15
I,0.5236,0.245,0.5236,0.5236,0.0755,0.5236,0.045
F,0.5236,0.5236,0.5236,0.5236,0.3545,0.5236,0.5236
M,0.5236,0.5236,0.12,0.5236,0.2385,0.111,0.19
