con_age,cat_workclass,con_fnlwgt,cat_education,con_education.num,cat_marital.status,cat_occupation,cat_relationship,cat_race,cat_sex,con_capital.gain,con_capital.loss,con_hours.per.week,cat_native.country,cat_income
38.542,Private,38.542,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,38.542,4356.0,18.0,United-States,<=50K
54.0,Private,140359.0,7th-8th,4.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,3900.0,38.542,United-States,<=50K
38.542,Private,264663.0,HS-grad,10.0,Married-civ-spouse,Exec-managerial,Own-child,White,Female,38.542,3900.0,40.0,United-States,<=50K
38.542,Private,38.542,HS-grad,9.0,Married-civ-spouse,Other-service,Unmarried,White,Female,38.542,3770.0,38.542,United-States,<=50K
38.0,Private,150601.0,10th,6.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,38.542,3770.0,40.0,United-States,<=50K
74.0,Private,88638.0,Doctorate,38.542,Never-married,Exec-managerial,Husband,White,Male,0.0,38.542,38.542,United-States,<=50K
38.542,Federal-gov,38.542,HS-grad,38.542,Divorced,Prof-specialty,Husband,White,Female,38.542,3683.0,40.0,United-States,<=50K
45.0,Private,38.542,Doctorate,16.0,Divorced,Prof-specialty,Husband,White,Female,38.542,38.542,35.0,United-States,>50K
38.542,Private,38.542,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2824.0,45.0,United-States,<=50K
52.0,Private,38.542,Bachelors,13.0,Widowed,Other-service,Not-in-family,White,Male,38.542,38.542,38.542,United-States,>50K
32.0,Private,136204.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.0,38.542,55.0,United-States,<=50K
46.0,Private,38.542,HS-grad,38.542,Divorced,Exec-managerial,Not-in-family,White,Male,38.542,38.542,38.542,United-States,>50K
45.0,Private,38.542,11th,38.542,Divorced,Transport-moving,Husband,White,Male,0.0,2824.0,76.0,United-States,<=50K
57.0,Private,38.542,Masters,38.542,Divorced,Exec-managerial,Husband,White,Male,38.542,38.542,38.542,United-States,<=50K
