con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
650.2783,France,Male,42.0,2.0,76372.3482,1.0,1.0,1.0,101348.88,1.0
650.2783,France,Female,41.0,5.0066,76372.3482,1.5247,1.0,1.0,112542.58,0.0
650.2783,France,Male,42.0,5.0066,159660.8,1.5247,1.0,0.0,99961.5698,0.0
699.0,France,Male,39.0,5.0066,0.0,1.5247,1.0,1.0,93826.63,0.0
650.2783,France,Female,43.0,2.0,125510.82,1.0,1.0,1.0,99961.5698,0.0
650.2783,France,Male,38.8085,5.0066,113755.78,2.0,1.0,0.0,149756.71,0.0
822.0,France,Male,38.8085,5.0066,76372.3482,1.5247,1.0,1.0,10062.8,0.0
376.0,France,Female,38.8085,4.0,76372.3482,4.0,1.0,0.0,99961.5698,0.0
650.2783,France,Male,38.8085,4.0,142051.07,2.0,1.0,1.0,99961.5698,0.0
650.2783,France,Male,38.8085,2.0,134603.88,1.5247,1.0,1.0,71725.73,0.0
650.2783,France,Male,31.0,5.0066,76372.3482,2.0,1.0,0.0,99961.5698,0.0
650.2783,France,Male,38.8085,5.0066,76372.3482,2.0,1.0,1.0,99961.5698,0.0
476.0,France,Male,38.8085,5.0066,0.0,1.5247,1.0,1.0,99961.5698,0.0
650.2783,France,Female,25.0,5.0066,0.0,1.5247,1.0,0.0,99961.5698,0.0
635.0,France,Male,35.0,5.0066,0.0,1.5247,1.0,1.0,99961.5698,0.0
650.2783,Germany,Male,38.8085,3.0,143129.41,1.5247,0.0,1.0,99961.5698,0.0
650.2783,France,Male,58.0,1.0,132602.88,1.0,1.0,1.0,99961.5698,0.0
650.2783,Spain,Male,24.0,9.0,76372.3482,1.5247,1.0,1.0,99961.5698,0.0
587.0,Spain,Male,38.8085,5.0066,0.0,1.5247,1.0,0.0,158684.81,0.0
726.0,France,Male,24.0,6.0,0.0,2.0,1.0,1.0,54724.03,0.0
732.0,France,Male,41.0,5.0066,76372.3482,2.0,1.0,1.0,170886.17,0.0
650.2783,France,Male,32.0,5.0066,76372.3482,1.5247,1.0,1.0,99961.5698,0.0
650.2783,Spain,Female,38.8085,4.0,76372.3482,1.0,1.0,0.0,118913.53,1.0
650.2783,France,Male,38.8085,5.0066,76372.3482,1.5247,0.0,1.0,8487.75,0.0
650.2783,France,Male,38.0,5.0,76372.3482,1.0,1.0,1.0,99961.5698,0.0
577.0,France,Male,25.0,3.0,0.0,1.5247,1.0,1.0,124508.29,0.0
756.0,France,Male,36.0,2.0,76372.3482,1.0,1.0,1.0,99961.5698,0.0
571.0,France,Male,38.8085,5.0066,76372.3482,2.0,1.0,0.0,99961.5698,0.0
574.0,Germany,Female,38.8085,5.0066,141349.43,1.5247,1.0,1.0,100187.43,0.0
411.0,France,Male,29.0,5.0066,59697.17,2.0,1.0,1.0,53483.21,0.0
650.2783,France,Male,39.0,5.0066,76372.3482,3.0,1.0,0.0,99961.5698,1.0
650.2783,France,Male,38.8085,5.0066,76372.3482,1.0,0.0,1.0,99961.5698,0.0
650.2783,France,Male,41.0,9.0,110112.54,1.5247,1.0,1.0,99961.5698,0.0
650.2783,France,Female,38.8085,6.0,0.0,1.5247,1.0,1.0,34410.55,0.0
650.2783,Spain,Female,38.8085,5.0066,76372.3482,2.0,1.0,1.0,142033.07,0.0
650.2783,France,Female,45.0,0.0,134264.04,1.5247,1.0,0.0,27822.99,0.0
490.0,France,Male,31.0,3.0,76372.3482,1.5247,1.0,1.0,99961.5698,0.0
804.0,France,Male,33.0,5.0066,76372.3482,1.0,0.0,1.0,98453.45,0.0
650.2783,France,Male,36.0,7.0,76372.3482,1.0,1.0,1.0,40812.9,0.0
650.2783,France,Male,38.8085,5.0066,76372.3482,1.5247,0.0,1.0,178074.04,0.0
650.2783,Spain,Male,40.0,4.0,76372.3482,1.0,1.0,0.0,99961.5698,0.0
465.0,France,Female,38.8085,5.0066,122522.32,1.0,0.0,1.0,99961.5698,0.0
650.2783,France,Female,38.8085,5.0066,117419.35,1.0,1.0,1.0,94153.83,0.0
834.0,France,Male,38.8085,2.0,131394.56,1.5247,1.0,1.0,194365.76,0.0
660.0,Spain,Female,38.8085,5.0,76372.3482,1.5247,1.0,1.0,99961.5698,0.0
776.0,Germany,Male,38.8085,5.0066,109421.13,2.0,1.0,1.0,99961.5698,0.0
650.2783,Germany,Male,38.8085,5.0066,76372.3482,1.5247,1.0,1.0,99961.5698,1.0
650.2783,France,Male,38.8085,5.0066,137843.8,1.0,1.0,1.0,117622.8,0.0
550.0,France,Male,38.8085,5.0066,103391.38,1.5247,1.0,1.0,90878.13,0.0
776.0,Germany,Male,38.8085,5.0066,76372.3482,1.5247,1.0,1.0,99961.5698,0.0
698.0,France,Male,44.0,5.0066,116363.37,1.5247,1.0,1.0,99961.5698,0.0
650.2783,Germany,Male,36.0,5.0,76372.3482,2.0,1.0,0.0,99961.5698,0.0
650.2783,France,Female,33.0,5.0,0.0,2.0,1.0,0.0,99961.5698,0.0
