cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,70.0,2.5118,2.2539,1.6113,7,acept,not furnished,2065.0,3300.0,337.6041,53.3596
São Paulo,320.0,4.0,2.2539,0.0,20,acept,not furnished,1226.5608,3852.7388,1750.0,63.0
São Paulo,80.0,1.0,2.2539,1.6113,6,acept,not furnished,1000.0,2800.0,337.6041,41.0
Porto Alegre,146.29,2.5118,2.2539,0.0,-,acept,not furnished,1226.5608,1112.0,337.6041,53.3596
São Paulo,25.0,1.0,2.2539,0.0,1,acept,not furnished,1226.5608,3852.7388,337.6041,53.3596
São Paulo,376.0,3.0,3.0,7.0,-,acept,not furnished,0.0,8000.0,337.6041,53.3596
Rio de Janeiro,146.29,2.5118,1.0,0.0,7,acept,not furnished,740.0,1900.0,85.0,53.3596
São Paulo,213.0,4.0,2.2539,1.6113,-,acept,not furnished,1226.5608,3852.7388,1735.0,41.0
São Paulo,152.0,2.5118,2.2539,1.0,3,acept,not furnished,1226.5608,3852.7388,250.0,53.3596
São Paulo,146.29,2.5118,1.0,1.6113,2,acept,not furnished,590.0,2300.0,337.6041,30.0
São Paulo,146.29,2.5118,1.0,0.0,2,acept,not furnished,470.0,3852.7388,337.6041,27.0
Campinas,146.29,2.5118,2.2539,1.0,10,acept,not furnished,550.0,3852.7388,337.6041,8.0
São Paulo,36.0,1.0,1.0,1.6113,-,acept,not furnished,359.0,2100.0,70.0,53.3596
São Paulo,55.0,2.5118,1.0,1.0,-,acept,furnished,1226.5608,4200.0,337.6041,53.3596
São Paulo,100.0,2.0,2.0,1.6113,24,acept,furnished,1226.5608,4370.0,17.0,53.3596
Campinas,146.29,4.0,2.2539,1.6113,-,acept,not furnished,1226.5608,3852.7388,337.6041,53.3596
São Paulo,146.29,2.0,2.2539,1.0,-,acept,not furnished,1226.5608,3000.0,337.6041,53.3596
Rio de Janeiro,146.29,2.0,3.0,1.6113,9,not acept,furnished,1614.0,3500.0,337.6041,53.3596
São Paulo,146.29,2.0,2.2539,1.6113,-,acept,not furnished,1226.5608,1220.0,337.6041,16.0
São Paulo,600.0,4.0,5.0,6.0,-,acept,not furnished,0.0,12000.0,9500.0,53.3596
São Paulo,146.29,7.0,4.0,1.6113,-,acept,not furnished,0.0,3852.7388,337.6041,53.3596
São Paulo,42.0,2.5118,1.0,1.6113,-,not acept,furnished,470.0,3852.7388,172.0,53.3596
São Paulo,160.0,3.0,2.0,1.6113,-,acept,furnished,1226.5608,3852.7388,337.6041,25.0
São Paulo,146.29,1.0,1.0,1.6113,-,acept,not furnished,0.0,1100.0,337.6041,14.0
São Paulo,146.29,2.5118,2.2539,1.6113,-,acept,not furnished,1226.5608,3852.7388,118.0,53.3596
São Paulo,146.29,2.5118,1.0,1.0,10,acept,not furnished,1226.5608,3500.0,337.6041,53.3596
São Paulo,146.29,2.5118,2.2539,1.0,-,not acept,not furnished,600.0,3000.0,0.0,53.3596
São Paulo,64.0,2.0,2.2539,1.0,-,acept,not furnished,352.0,1500.0,337.6041,53.3596
São Paulo,208.0,2.5118,2.0,4.0,-,acept,not furnished,0.0,3180.0,337.6041,48.0
São Paulo,20.0,1.0,2.2539,0.0,-,acept,furnished,1226.5608,1800.0,130.0,53.3596
São Paulo,55.0,2.5118,2.2539,2.0,6,acept,not furnished,780.0,1068.0,337.6041,53.3596
São Paulo,146.29,1.0,2.2539,0.0,3,acept,not furnished,515.0,1700.0,29.0,53.3596
São Paulo,80.0,2.0,2.2539,1.0,11,acept,not furnished,1208.0,3852.7388,216.0,53.3596
Rio de Janeiro,45.0,1.0,1.0,1.6113,10,acept,furnished,1226.5608,3852.7388,337.6041,53.3596
São Paulo,350.0,2.5118,4.0,1.6113,-,acept,not furnished,1226.5608,4000.0,500.0,53.3596
São Paulo,38.0,2.5118,2.2539,1.6113,-,acept,not furnished,1226.5608,3852.7388,337.6041,53.3596
São Paulo,30.0,1.0,1.0,0.0,-,acept,not furnished,460.0,3852.7388,0.0,53.3596
São Paulo,146.29,2.5118,2.0,1.0,-,acept,not furnished,0.0,11000.0,337.6041,53.3596
São Paulo,70.0,2.0,1.0,0.0,-,not acept,not furnished,1226.5608,1150.0,337.6041,18.0
São Paulo,146.29,1.0,2.2539,1.6113,-,acept,furnished,1226.5608,2990.0,337.6041,44.0
São Paulo,146.29,2.5118,6.0,1.6113,20,acept,not furnished,1226.5608,3852.7388,337.6041,53.3596
São Paulo,146.29,2.5118,2.0,1.6113,-,acept,not furnished,1226.5608,3500.0,292.0,53.0
Belo Horizonte,200.0,2.5118,2.2539,1.0,-,not acept,not furnished,850.0,2550.0,9.0,34.0
São Paulo,146.29,2.5118,2.2539,1.0,-,acept,not furnished,500.0,3852.7388,192.0,53.3596
São Paulo,360.0,2.5118,5.0,1.6113,-,acept,not furnished,1226.5608,6410.0,337.6041,53.3596
São Paulo,40.0,2.5118,2.2539,1.6113,10,acept,furnished,1226.5608,2829.0,337.6041,53.3596
Belo Horizonte,100.0,3.0,1.0,0.0,-,not acept,not furnished,700.0,3852.7388,10.0,17.0
Porto Alegre,42.0,2.5118,2.2539,1.6113,2,acept,not furnished,190.0,3852.7388,337.6041,26.0
Campinas,250.0,3.0,3.0,2.0,1,acept,not furnished,1226.5608,1700.0,337.6041,22.0
São Paulo,146.29,1.0,1.0,1.6113,-,acept,furnished,505.0,3852.7388,59.0,53.3596
São Paulo,90.0,2.5118,3.0,1.6113,10,acept,not furnished,1250.0,3800.0,147.0,53.3596
São Paulo,45.0,1.0,2.2539,1.6113,-,acept,furnished,1226.5608,3900.0,337.6041,50.0
Rio de Janeiro,150.0,2.0,2.2539,4.0,6,acept,not furnished,1226.5608,3852.7388,700.0,52.0
São Paulo,60.0,2.5118,1.0,0.0,2,acept,not furnished,1226.5608,1445.0,337.6041,19.0
São Paulo,146.29,2.5118,1.0,1.6113,4,acept,not furnished,1226.5608,2350.0,337.6041,30.0
São Paulo,146.29,2.5118,5.0,1.6113,4,not acept,not furnished,1650.0,3852.7388,337.6041,115.0
São Paulo,146.29,2.5118,2.2539,2.0,-,acept,not furnished,0.0,6000.0,337.6041,91.0
São Paulo,93.0,2.0,3.0,2.0,-,acept,not furnished,1226.5608,3852.7388,337.6041,70.0
São Paulo,75.0,2.5118,2.2539,1.6113,-,acept,not furnished,1226.5608,1800.0,337.6041,27.0
São Paulo,146.29,2.5118,4.0,3.0,-,acept,not furnished,1226.5608,3852.7388,337.6041,61.0
São Paulo,146.29,1.0,2.2539,1.0,-,acept,furnished,1226.5608,3852.7388,337.6041,51.0
São Paulo,146.29,2.5118,2.2539,1.6113,-,acept,not furnished,1226.5608,3852.7388,250.0,66.0
São Paulo,146.29,2.0,2.2539,1.0,13,acept,not furnished,761.0,3852.7388,67.0,53.3596
São Paulo,146.29,4.0,5.0,1.6113,16,acept,furnished,4052.0,3852.7388,1261.0,53.3596
São Paulo,146.29,2.5118,1.0,0.0,-,acept,not furnished,306.0,1521.0,337.6041,53.3596
Campinas,146.29,4.0,2.2539,3.0,2,acept,not furnished,1226.5608,6000.0,337.6041,77.0
São Paulo,146.29,2.5118,1.0,1.6113,4,acept,not furnished,459.0,1850.0,337.6041,53.3596
São Paulo,146.29,2.5118,2.0,1.6113,-,acept,not furnished,1226.5608,3852.7388,337.6041,53.3596
Rio de Janeiro,80.0,2.5118,1.0,1.6113,-,acept,not furnished,1226.5608,900.0,337.6041,12.0
São Paulo,164.0,4.0,2.2539,2.0,6,acept,not furnished,2159.0,3852.7388,386.0,53.3596
Belo Horizonte,220.0,2.5118,2.2539,3.0,-,acept,not furnished,450.0,3852.7388,125.0,33.0
São Paulo,146.29,1.0,1.0,1.6113,-,acept,not furnished,0.0,1050.0,46.0,16.0
São Paulo,146.29,2.5118,2.2539,2.0,7,acept,not furnished,1226.5608,3852.7388,435.0,71.0
Belo Horizonte,128.0,1.0,1.0,0.0,4,acept,furnished,1226.5608,2100.0,337.6041,53.3596
São Paulo,146.29,1.0,2.2539,0.0,-,acept,not furnished,1226.5608,3852.7388,48.0,53.3596
São Paulo,250.0,2.5118,5.0,1.6113,6,acept,not furnished,1226.5608,9800.0,998.0,125.0
São Paulo,47.0,2.5118,2.2539,1.0,-,not acept,furnished,400.0,2200.0,0.0,53.3596
São Paulo,146.29,4.0,2.2539,1.6113,9,not acept,not furnished,1226.5608,3852.7388,337.6041,53.3596
São Paulo,45.0,1.0,2.2539,1.6113,1,acept,not furnished,300.0,3852.7388,337.6041,16.0
São Paulo,42.0,1.0,2.2539,1.0,-,acept,not furnished,686.0,3852.7388,337.6041,45.0
São Paulo,146.29,2.5118,4.0,1.6113,-,acept,not furnished,1226.5608,3852.7388,550.0,53.3596
São Paulo,70.0,3.0,2.2539,1.6113,1,acept,not furnished,700.0,1020.0,200.0,13.0
São Paulo,100.0,2.5118,3.0,1.0,-,acept,not furnished,1226.5608,3852.7388,159.0,53.3596
São Paulo,146.29,2.5118,2.2539,1.6113,4,acept,not furnished,1226.5608,3852.7388,440.0,53.3596
São Paulo,68.0,2.0,2.2539,1.6113,-,acept,not furnished,320.0,1200.0,27.0,16.0
Belo Horizonte,146.29,2.5118,2.0,2.0,-,acept,not furnished,620.0,2500.0,264.0,34.0
São Paulo,146.29,2.5118,4.0,4.0,9,acept,not furnished,1226.5608,3852.7388,3368.0,53.3596
São Paulo,146.29,2.5118,2.2539,0.0,-,acept,not furnished,1226.5608,1550.0,337.6041,20.0
São Paulo,145.0,2.5118,4.0,1.6113,1,not acept,not furnished,1200.0,6000.0,750.0,53.3596
São Paulo,146.29,2.5118,2.0,1.6113,-,acept,not furnished,1226.5608,3852.7388,337.6041,53.3596
São Paulo,254.0,2.5118,2.2539,4.0,-,acept,not furnished,3366.0,9000.0,1800.0,115.0
São Paulo,146.29,2.5118,4.0,4.0,-,acept,furnished,1226.5608,9000.0,359.0,53.3596
São Paulo,300.0,2.5118,4.0,1.6113,-,acept,not furnished,0.0,3852.7388,584.0,53.0
Belo Horizonte,296.0,2.5118,2.2539,2.0,-,acept,not furnished,0.0,13500.0,423.0,222.0
São Paulo,146.29,2.5118,2.0,1.6113,8,acept,not furnished,1226.5608,2800.0,30.0,36.0
São Paulo,146.29,3.0,2.0,0.0,-,acept,not furnished,1226.5608,3852.7388,337.6041,53.3596
São Paulo,146.29,2.5118,1.0,0.0,7,acept,not furnished,1226.5608,550.0,12.0,53.3596
São Paulo,240.0,3.0,4.0,1.6113,-,acept,not furnished,1226.5608,3852.7388,250.0,46.0
São Paulo,70.0,2.5118,2.2539,1.6113,-,acept,not furnished,490.0,2500.0,337.6041,53.3596
São Paulo,146.29,1.0,1.0,0.0,26,acept,not furnished,302.0,3852.7388,337.6041,53.3596
Porto Alegre,50.0,2.5118,2.2539,1.0,-,acept,not furnished,350.0,950.0,50.0,53.3596
Porto Alegre,67.0,2.5118,2.0,2.0,4,acept,not furnished,600.0,3852.7388,50.0,33.0
São Paulo,146.29,2.5118,1.0,1.6113,6,acept,not furnished,430.0,3852.7388,337.6041,53.3596
São Paulo,146.29,2.0,2.2539,1.0,1,acept,furnished,850.0,3852.7388,337.6041,45.0
Rio de Janeiro,146.29,2.5118,2.2539,1.6113,-,acept,not furnished,1226.5608,3852.7388,337.6041,53.3596
Belo Horizonte,400.0,4.0,2.2539,1.6113,-,acept,not furnished,0.0,2500.0,74.0,41.0
São Paulo,300.0,4.0,5.0,1.6113,-,acept,not furnished,0.0,3852.7388,1167.0,53.3596
São Paulo,284.0,2.5118,3.0,3.0,4,acept,not furnished,2340.0,6000.0,483.0,53.3596
São Paulo,146.29,2.5118,2.2539,1.6113,-,acept,not furnished,360.0,2400.0,30.0,36.0
São Paulo,309.0,2.5118,5.0,4.0,7,acept,not furnished,2661.0,6500.0,682.0,53.3596
São Paulo,70.0,2.5118,2.2539,0.0,-,acept,not furnished,0.0,3852.7388,134.0,32.0
São Paulo,360.0,2.5118,2.2539,1.6113,10,acept,not furnished,2300.0,10000.0,584.0,127.0
São Paulo,146.29,2.5118,1.0,1.6113,10,not acept,not furnished,886.0,1500.0,337.6041,53.3596
Campinas,146.29,2.0,2.0,1.6113,11,acept,not furnished,832.0,2200.0,337.6041,53.3596
Belo Horizonte,133.0,4.0,2.2539,3.0,-,acept,not furnished,1500.0,7000.0,800.0,94.0
São Paulo,146.29,2.5118,2.2539,1.0,14,not acept,furnished,1226.5608,2800.0,279.0,53.3596
São Paulo,73.0,2.5118,2.0,1.6113,7,acept,not furnished,1226.5608,3852.7388,100.0,53.3596
São Paulo,146.29,2.5118,4.0,2.0,4,acept,not furnished,1226.5608,2000.0,337.6041,53.3596
São Paulo,63.0,2.5118,2.0,1.0,-,acept,not furnished,357.0,3852.7388,337.6041,41.0
São Paulo,58.0,2.5118,2.2539,1.6113,1,acept,not furnished,0.0,1400.0,0.0,53.3596
São Paulo,146.29,1.0,2.2539,0.0,9,not acept,not furnished,1226.5608,3852.7388,337.6041,44.0
São Paulo,210.0,2.5118,2.2539,1.6113,7,acept,not furnished,1226.5608,2790.0,834.0,53.3596
Belo Horizonte,100.0,2.5118,2.0,1.6113,2,acept,not furnished,340.0,1600.0,337.6041,53.3596
