cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.455,0.477,0.095,0.514,0.477,0.101,0.15
I,0.35,0.265,0.09,0.2255,0.0995,0.477,0.07
F,0.53,0.477,0.135,0.677,0.477,0.477,0.477
I,0.44,0.365,0.125,0.516,0.2155,0.114,0.477
I,0.477,0.255,0.08,0.205,0.0895,0.477,0.055
I,0.425,0.477,0.095,0.3515,0.141,0.0775,0.477
I,0.53,0.477,0.477,0.477,0.477,0.477,0.477
F,0.477,0.477,0.477,0.768,0.294,0.1495,0.26
M,0.475,0.37,0.477,0.477,0.477,0.477,0.165
I,0.55,0.44,0.477,0.477,0.3145,0.477,0.477
I,0.477,0.38,0.477,0.6065,0.194,0.477,0.477
I,0.43,0.477,0.477,0.406,0.1675,0.081,0.135
I,0.477,0.477,0.135,0.5415,0.2175,0.095,0.19
F,0.477,0.405,0.477,0.6845,0.477,0.477,0.205
F,0.47,0.355,0.477,0.4755,0.1675,0.0805,0.477
M,0.477,0.4,0.13,0.6645,0.477,0.477,0.24
I,0.355,0.28,0.085,0.2905,0.095,0.477,0.115
F,0.477,0.34,0.1,0.451,0.188,0.087,0.477
M,0.365,0.295,0.477,0.2555,0.097,0.043,0.1
M,0.45,0.32,0.1,0.381,0.477,0.075,0.477
M,0.355,0.477,0.095,0.2455,0.0955,0.477,0.075
I,0.477,0.275,0.477,0.477,0.08,0.049,0.085
F,0.565,0.44,0.477,0.477,0.4275,0.477,0.477
F,0.477,0.415,0.477,0.477,0.318,0.477,0.2
F,0.477,0.477,0.165,1.1615,0.477,0.301,0.477
F,0.477,0.44,0.14,0.9285,0.477,0.188,0.3
I,0.477,0.477,0.477,0.477,0.477,0.477,0.285
I,0.477,0.477,0.14,0.477,0.477,0.234,0.477
I,0.477,0.475,0.477,0.9365,0.477,0.477,0.477
M,0.477,0.425,0.14,0.477,0.477,0.227,0.477
M,0.477,0.477,0.165,0.477,0.3935,0.242,0.477
I,0.477,0.56,0.477,0.477,0.477,0.477,0.477
M,0.477,0.477,0.165,0.477,0.477,0.477,0.477
I,0.477,0.477,0.477,0.477,0.815,0.477,0.477
I,0.477,0.477,0.2,0.477,0.477,0.477,0.477
I,0.477,0.355,0.477,0.4795,0.227,0.477,0.125
I,0.477,0.477,0.155,0.477,0.477,0.3075,0.34
F,0.477,0.355,0.477,0.5225,0.237,0.1165,0.477
I,0.575,0.445,0.135,0.883,0.477,0.477,0.477
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09
I,0.45,0.335,0.105,0.425,0.1865,0.091,0.115
I,0.55,0.477,0.135,0.8515,0.477,0.477,0.477
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.477
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012
I,0.21,0.15,0.05,0.477,0.0175,0.0125,0.015
I,0.39,0.295,0.095,0.477,0.0875,0.477,0.075
M,0.477,0.37,0.477,0.5795,0.477,0.227,0.14
F,0.477,0.477,0.12,0.4605,0.1775,0.11,0.15
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.477
I,0.477,0.425,0.16,0.477,0.477,0.477,0.477
I,0.477,0.477,0.477,0.477,0.2385,0.477,0.19
I,0.477,0.32,0.095,0.303,0.1335,0.477,0.1
I,0.485,0.477,0.477,0.5415,0.477,0.477,0.16
F,0.47,0.36,0.12,0.4775,0.2105,0.477,0.15
M,0.405,0.477,0.477,0.477,0.173,0.0915,0.11
F,0.5,0.4,0.14,0.6615,0.477,0.1755,0.477
M,0.477,0.35,0.12,0.4425,0.192,0.0955,0.135
I,0.47,0.477,0.135,0.477,0.477,0.477,0.17
I,0.245,0.19,0.06,0.086,0.477,0.014,0.025
F,0.505,0.4,0.125,0.477,0.477,0.13,0.477
M,0.45,0.477,0.477,0.4115,0.477,0.1125,0.135
M,0.477,0.477,0.477,0.477,0.477,0.477,0.175
I,0.53,0.477,0.13,0.477,0.302,0.477,0.2
M,0.425,0.325,0.095,0.477,0.1705,0.477,0.1
M,0.477,0.4,0.12,0.477,0.477,0.477,0.477
I,0.475,0.355,0.12,0.477,0.477,0.1015,0.135
F,0.565,0.477,0.477,0.477,0.477,0.477,0.477
I,0.477,0.477,0.185,0.477,0.477,0.477,0.477
F,0.475,0.39,0.477,0.5305,0.2135,0.477,0.17
I,0.477,0.235,0.07,0.151,0.063,0.0405,0.477
I,0.477,0.477,0.477,0.477,0.477,0.168,0.477
F,0.4,0.477,0.11,0.477,0.477,0.0985,0.477
I,0.477,0.477,0.477,0.477,0.477,0.225,0.477
I,0.477,0.477,0.477,1.185,0.477,0.477,0.477
F,0.477,0.45,0.477,0.477,0.477,0.2895,0.315
I,0.6,0.477,0.15,0.477,0.4425,0.477,0.28
I,0.477,0.477,0.14,0.477,0.477,0.477,0.477
F,0.6,0.47,0.477,0.477,0.363,0.477,0.305
I,0.477,0.425,0.14,0.788,0.282,0.477,0.285
F,0.477,0.477,0.477,0.477,0.477,0.477,0.477
I,0.575,0.477,0.14,0.941,0.477,0.252,0.285
I,0.477,0.477,0.477,0.477,0.477,0.477,0.675
I,0.477,0.425,0.477,0.477,0.477,0.225,0.477
M,0.477,0.477,0.16,0.477,0.408,0.477,0.477
I,0.477,0.477,0.14,0.477,0.477,0.216,0.36
I,0.57,0.477,0.477,1.295,0.477,0.477,0.44
M,0.477,0.465,0.477,0.477,0.4825,0.477,0.477
M,0.477,0.44,0.477,0.8645,0.477,0.2075,0.477
F,0.46,0.477,0.477,0.477,0.477,0.477,0.477
F,0.575,0.45,0.477,0.9775,0.3135,0.231,0.33
M,0.565,0.477,0.477,0.8115,0.341,0.477,0.477
I,0.555,0.477,0.15,0.477,0.477,0.1525,0.477
I,0.477,0.477,0.477,0.477,0.477,0.254,0.477
I,0.477,0.477,0.477,0.477,0.507,0.477,0.39
I,0.477,0.477,0.19,0.477,0.477,0.477,0.477
I,0.665,0.477,0.477,0.477,0.477,0.477,0.48
I,0.477,0.477,0.477,0.477,0.477,0.1385,0.477
I,0.47,0.477,0.477,0.523,0.214,0.477,0.477
M,0.477,0.477,0.13,0.5225,0.201,0.477,0.165
I,0.475,0.477,0.125,0.5785,0.2775,0.085,0.155
I,0.36,0.265,0.095,0.2315,0.105,0.046,0.477
M,0.55,0.477,0.477,0.477,0.477,0.477,0.477
M,0.477,0.477,0.477,0.477,0.316,0.477,0.477
M,0.477,0.477,0.477,0.477,0.3105,0.477,0.477
M,0.605,0.477,0.477,0.477,0.477,0.477,0.345
F,0.477,0.477,0.155,0.727,0.477,0.477,0.235
I,0.545,0.43,0.477,0.477,0.2935,0.477,0.28
F,0.5,0.477,0.477,0.6675,0.477,0.477,0.477
F,0.477,0.39,0.135,0.477,0.231,0.477,0.477
F,0.435,0.395,0.477,0.477,0.477,0.098,0.13
M,0.477,0.477,0.125,0.5415,0.2375,0.1345,0.477
I,0.477,0.477,0.105,0.431,0.172,0.107,0.477
I,0.477,0.32,0.08,0.3325,0.477,0.0635,0.105
M,0.477,0.35,0.105,0.477,0.13,0.477,0.165
F,0.477,0.477,0.125,0.6935,0.477,0.477,0.477
F,0.53,0.415,0.115,0.5915,0.477,0.1585,0.477
I,0.49,0.375,0.135,0.6125,0.477,0.477,0.477
I,0.44,0.477,0.477,0.477,0.1305,0.477,0.165
F,0.56,0.477,0.477,0.8825,0.477,0.172,0.31
M,0.405,0.305,0.085,0.477,0.1145,0.0595,0.085
I,0.477,0.365,0.105,0.4205,0.477,0.1035,0.14
I,0.385,0.295,0.085,0.2535,0.103,0.477,0.477
I,0.515,0.425,0.477,0.766,0.477,0.477,0.255
M,0.37,0.265,0.477,0.477,0.09,0.051,0.07
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.477
I,0.27,0.195,0.06,0.477,0.477,0.477,0.03
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07
I,0.385,0.29,0.477,0.477,0.112,0.061,0.08
I,0.477,0.477,0.477,1.7255,0.477,0.477,0.477
I,0.477,0.477,0.477,0.477,0.477,0.477,0.78
M,0.477,0.477,0.477,0.477,0.477,0.477,0.477
F,0.44,0.477,0.125,0.477,0.477,0.063,0.477
F,0.325,0.26,0.09,0.477,0.477,0.036,0.062
I,0.477,0.26,0.477,0.477,0.086,0.477,0.068
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.477
F,0.425,0.477,0.115,0.406,0.477,0.081,0.477
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048
M,0.345,0.477,0.09,0.2005,0.094,0.477,0.477
F,0.477,0.325,0.11,0.3555,0.477,0.063,0.117
I,0.375,0.477,0.095,0.477,0.477,0.477,0.0925
F,0.565,0.477,0.155,0.477,0.477,0.2055,0.477
I,0.477,0.45,0.145,0.477,0.295,0.1435,0.2665
I,0.477,0.52,0.477,0.477,0.477,0.477,0.477
M,0.477,0.477,0.477,0.477,0.34,0.477,0.2425
M,0.475,0.477,0.13,0.5175,0.2075,0.1165,0.17
I,0.49,0.38,0.477,0.477,0.245,0.1075,0.174
M,0.46,0.477,0.12,0.515,0.477,0.108,0.477
I,0.28,0.477,0.08,0.127,0.052,0.039,0.042
I,0.175,0.13,0.055,0.0315,0.0105,0.477,0.0125
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01
I,0.477,0.475,0.477,0.477,0.477,0.477,0.477
I,0.477,0.477,0.477,0.477,0.477,0.2585,0.477
I,0.477,0.477,0.19,0.477,0.477,0.477,0.45
F,0.477,0.485,0.477,0.477,0.37,0.477,0.477
I,0.477,0.477,0.135,0.477,0.477,0.1495,0.477
I,0.515,0.405,0.13,0.477,0.477,0.131,0.477
F,0.575,0.46,0.477,0.994,0.392,0.477,0.477
I,0.477,0.485,0.477,0.477,0.477,0.477,0.477
F,0.58,0.455,0.17,0.9075,0.374,0.477,0.477
F,0.575,0.477,0.165,0.477,0.477,0.477,0.44
I,0.477,0.477,0.165,1.056,0.477,0.2475,0.34
I,0.477,0.485,0.16,1.222,0.477,0.477,0.477
I,0.477,0.477,0.477,1.2445,0.477,0.297,0.477
I,0.477,0.477,0.477,2.141,0.477,0.477,0.477
I,0.65,0.477,0.477,0.477,0.477,0.477,0.477
I,0.477,0.477,0.19,0.477,0.477,0.477,0.477
I,0.477,0.477,0.477,0.477,0.477,0.4515,0.477
I,0.477,0.477,0.477,1.842,0.477,0.477,0.477
I,0.477,0.477,0.22,0.477,0.477,0.477,0.477
I,0.477,0.477,0.477,0.477,0.477,0.477,0.62
I,0.477,0.477,0.477,1.9565,0.477,0.477,0.477
I,0.477,0.395,0.145,0.775,0.308,0.477,0.255
I,0.525,0.477,0.477,0.477,0.486,0.477,0.285
I,0.52,0.405,0.477,0.776,0.32,0.477,0.477
