con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
637.6646,France,Female,42.0,2.0,0.0,1.4871,1.0,1.0,101348.88,1.0
637.6646,Spain,Female,37.3734,1.0,83807.86,1.0,0.0,1.0,112542.58,0.0
637.6646,France,Female,42.0,4.6483,159660.8,3.0,1.0,0.0,92953.1185,0.0
699.0,France,Female,39.0,1.0,0.0,2.0,0.0,0.0,93826.63,0.0
850.0,France,Female,37.3734,4.6483,125510.82,1.4871,1.0,1.0,92953.1185,0.0
637.6646,Spain,Female,37.3734,4.6483,69860.3542,1.4871,1.0,0.0,92953.1185,0.0
637.6646,France,Female,37.3734,7.0,69860.3542,1.4871,1.0,0.0,92953.1185,0.0
637.6646,Germany,Female,29.0,4.0,69860.3542,4.0,1.0,0.0,92953.1185,1.0
637.6646,France,Male,37.3734,4.0,142051.07,2.0,0.0,1.0,74940.5,0.0
637.6646,France,Female,27.0,2.0,134603.88,1.4871,1.0,1.0,71725.73,0.0
637.6646,France,Male,31.0,6.0,102016.72,2.0,0.0,0.0,80181.12,0.0
497.0,France,Female,37.3734,3.0,69860.3542,2.0,1.0,0.0,76390.01,0.0
476.0,France,Female,34.0,10.0,0.0,2.0,1.0,0.0,26260.98,0.0
549.0,France,Female,25.0,5.0,69860.3542,2.0,0.0,0.0,92953.1185,0.0
637.6646,Spain,Female,37.3734,7.0,69860.3542,2.0,1.0,1.0,65951.65,0.0
637.6646,Germany,Male,37.3734,4.6483,69860.3542,2.0,1.0,1.0,92953.1185,0.0
637.6646,Germany,Female,37.3734,4.6483,69860.3542,1.0,1.0,0.0,92953.1185,1.0
549.0,Spain,Female,24.0,4.6483,0.0,2.0,1.0,1.0,92953.1185,0.0
587.0,Spain,Male,37.3734,6.0,0.0,1.0,0.0,0.0,158684.81,0.0
726.0,France,Female,37.3734,4.6483,0.0,2.0,1.0,1.0,92953.1185,0.0
732.0,France,Female,41.0,4.6483,0.0,2.0,1.0,0.0,92953.1185,0.0
637.6646,Spain,Female,37.3734,8.0,69860.3542,1.4871,1.0,0.0,138555.46,0.0
637.6646,France,Female,38.0,4.0,0.0,1.4871,1.0,0.0,118913.53,1.0
669.0,France,Male,46.0,3.0,69860.3542,2.0,1.0,1.0,8487.75,0.0
846.0,France,Female,37.3734,5.0,69860.3542,1.4871,1.0,0.0,92953.1185,0.0
577.0,France,Male,25.0,3.0,0.0,2.0,1.0,0.0,124508.29,0.0
637.6646,Germany,Female,37.3734,2.0,69860.3542,1.4871,1.0,0.0,92953.1185,0.0
571.0,France,Male,44.0,9.0,69860.3542,2.0,0.0,0.0,38433.35,0.0
574.0,France,Female,37.3734,4.6483,141349.43,1.4871,1.0,1.0,92953.1185,0.0
637.6646,France,Male,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,0.0
591.0,France,Female,37.3734,4.6483,69860.3542,1.4871,1.0,0.0,140469.38,0.0
637.6646,France,Male,37.3734,7.0,85311.7,1.4871,1.0,1.0,156731.91,0.0
637.6646,Germany,Male,41.0,9.0,110112.54,1.4871,1.0,0.0,92953.1185,0.0
520.0,Spain,Female,42.0,6.0,69860.3542,1.4871,1.0,1.0,92953.1185,0.0
637.6646,France,Female,37.3734,9.0,69860.3542,1.4871,1.0,1.0,92953.1185,0.0
475.0,France,Female,45.0,4.6483,134264.04,1.0,1.0,0.0,27822.99,1.0
490.0,Spain,Female,37.3734,3.0,145260.23,1.0,0.0,1.0,114066.77,0.0
637.6646,France,Female,37.3734,7.0,69860.3542,1.4871,1.0,0.0,92953.1185,0.0
637.6646,France,Female,36.0,7.0,69860.3542,1.4871,1.0,1.0,40812.9,0.0
637.6646,France,Female,41.0,4.6483,69860.3542,1.4871,1.0,1.0,92953.1185,0.0
472.0,Spain,Male,40.0,4.0,0.0,1.0,1.0,0.0,70154.22,0.0
465.0,France,Female,37.3734,8.0,122522.32,1.4871,0.0,0.0,92953.1185,1.0
556.0,France,Female,61.0,4.6483,69860.3542,1.0,1.0,1.0,94153.83,0.0
637.6646,France,Female,37.3734,2.0,69860.3542,1.0,1.0,0.0,194365.76,0.0
637.6646,France,Female,37.3734,5.0,69860.3542,1.0,1.0,0.0,92953.1185,0.0
776.0,France,Female,37.3734,4.0,69860.3542,1.4871,1.0,0.0,92953.1185,0.0
637.6646,France,Female,27.0,4.6483,69860.3542,1.4871,1.0,1.0,92953.1185,0.0
637.0,Germany,Female,37.3734,4.6483,69860.3542,1.4871,1.0,0.0,92953.1185,0.0
637.6646,Germany,Female,38.0,2.0,103391.38,1.0,0.0,0.0,90878.13,0.0
637.6646,France,Female,37.3734,4.6483,103769.22,2.0,1.0,0.0,92953.1185,0.0
637.6646,France,Male,37.3734,4.6483,69860.3542,2.0,1.0,0.0,92953.1185,0.0
