cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,70.0,2.0,1.8119,1.0,-,acept,not furnished,2065.0,3300.0,211.0,38.8741
São Paulo,105.1484,2.1927,1.8119,0.0,-,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
Porto Alegre,80.0,1.0,1.0,1.0,-,acept,not furnished,708.5769,2874.8479,0.0,38.8741
Porto Alegre,51.0,2.0,1.0,0.0,-,acept,not furnished,270.0,2874.8479,197.4526,38.8741
São Paulo,25.0,1.0,1.8119,0.0,1,acept,not furnished,0.0,800.0,25.0,11.0
São Paulo,376.0,3.0,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,197.4526,121.0
Rio de Janeiro,72.0,2.1927,1.8119,1.1608,7,acept,not furnished,740.0,2874.8479,197.4526,25.0
São Paulo,105.1484,2.1927,1.8119,1.1608,-,acept,not furnished,2254.0,3223.0,197.4526,38.8741
São Paulo,105.1484,2.0,2.0,1.1608,-,acept,not furnished,1000.0,2874.8479,197.4526,38.8741
Rio de Janeiro,105.1484,1.0,1.0,0.0,-,acept,furnished,590.0,2874.8479,35.0,38.8741
São Paulo,105.1484,1.0,1.0,0.0,2,acept,furnished,470.0,2100.0,150.0,27.0
São Paulo,46.0,1.0,1.8119,1.0,-,acept,not furnished,550.0,2874.8479,43.0,8.0
São Paulo,105.1484,1.0,1.0,0.0,11,acept,not furnished,359.0,2100.0,70.0,27.0
São Paulo,55.0,1.0,1.0,1.1608,2,acept,not furnished,708.5769,4200.0,224.0,54.0
São Paulo,100.0,2.0,2.0,2.0,24,acept,furnished,708.5769,4370.0,17.0,56.0
Campinas,105.1484,4.0,6.0,1.1608,-,acept,not furnished,680.0,2874.8479,328.0,38.8741
São Paulo,110.0,2.1927,2.0,1.0,1,acept,not furnished,700.0,2874.8479,122.0,39.0
Rio de Janeiro,105.1484,2.0,3.0,1.1608,9,acept,furnished,708.5769,3500.0,197.4526,38.8741
São Paulo,56.0,2.0,1.0,0.0,8,acept,not furnished,708.5769,1220.0,0.0,16.0
São Paulo,105.1484,2.1927,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,197.4526,181.0
São Paulo,100.0,7.0,4.0,0.0,-,acept,not furnished,708.5769,3800.0,197.4526,58.0
Belo Horizonte,42.0,2.1927,1.0,1.0,-,not acept,furnished,470.0,2690.0,172.0,36.0
São Paulo,105.1484,3.0,2.0,2.0,-,acept,furnished,708.5769,2874.8479,197.4526,25.0
São Paulo,35.0,1.0,1.0,0.0,-,acept,not furnished,0.0,1100.0,3.0,14.0
São Paulo,90.0,3.0,2.0,1.1608,-,acept,not furnished,708.5769,1800.0,118.0,38.8741
São Paulo,49.0,2.1927,1.0,1.0,-,acept,not furnished,480.0,3500.0,197.4526,38.8741
São Paulo,41.0,2.1927,1.0,1.1608,-,acept,not furnished,600.0,3000.0,0.0,39.0
Belo Horizonte,64.0,2.0,2.0,1.0,11,acept,not furnished,708.5769,1500.0,80.0,20.0
São Paulo,208.0,3.0,2.0,1.1608,-,acept,not furnished,0.0,2874.8479,100.0,38.8741
São Paulo,105.1484,1.0,1.0,0.0,5,acept,not furnished,708.5769,1800.0,130.0,23.0
São Paulo,55.0,2.1927,1.8119,2.0,6,acept,not furnished,708.5769,2874.8479,197.4526,14.0
São Paulo,32.0,1.0,1.8119,0.0,-,acept,not furnished,708.5769,1700.0,197.4526,38.8741
São Paulo,105.1484,2.0,1.8119,1.1608,11,acept,not furnished,1208.0,2874.8479,216.0,33.0
Rio de Janeiro,45.0,1.0,1.0,1.0,10,acept,furnished,2450.0,2500.0,593.0,33.0
São Paulo,350.0,2.1927,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
Porto Alegre,38.0,1.0,1.8119,2.0,-,acept,not furnished,450.0,1750.0,0.0,26.0
São Paulo,30.0,1.0,1.0,0.0,1,acept,not furnished,460.0,1600.0,0.0,21.0
São Paulo,105.1484,2.1927,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,425.0,38.8741
São Paulo,70.0,2.1927,1.8119,0.0,-,not acept,not furnished,708.5769,1150.0,59.0,38.8741
São Paulo,105.1484,1.0,1.0,1.1608,-,acept,furnished,390.0,2990.0,197.4526,44.0
São Paulo,105.1484,2.1927,1.8119,1.1608,20,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
São Paulo,105.1484,2.1927,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,292.0,53.0
Belo Horizonte,200.0,4.0,1.8119,1.1608,7,acept,not furnished,708.5769,2874.8479,9.0,34.0
São Paulo,45.0,1.0,1.0,1.0,5,acept,not furnished,500.0,1631.0,192.0,38.8741
São Paulo,105.1484,2.1927,1.8119,0.0,-,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
São Paulo,105.1484,2.1927,1.8119,1.0,-,acept,furnished,978.0,2829.0,0.0,33.0
São Paulo,100.0,3.0,1.8119,0.0,13,acept,not furnished,700.0,2874.8479,10.0,17.0
Porto Alegre,42.0,1.0,1.0,1.1608,2,acept,furnished,190.0,1770.0,17.0,26.0
São Paulo,250.0,3.0,1.8119,2.0,1,acept,not furnished,708.5769,1700.0,197.4526,22.0
Campinas,105.1484,1.0,1.0,1.0,2,acept,furnished,708.5769,2874.8479,59.0,21.0
São Paulo,90.0,3.0,3.0,1.0,-,acept,not furnished,1250.0,2874.8479,197.4526,49.0
São Paulo,105.1484,1.0,2.0,1.1608,15,acept,not furnished,856.0,3900.0,197.4526,50.0
São Paulo,105.1484,2.0,1.8119,4.0,-,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
São Paulo,105.1484,2.0,1.0,0.0,2,acept,not furnished,200.0,2874.8479,197.4526,19.0
São Paulo,105.1484,1.0,1.8119,0.0,4,acept,not furnished,708.5769,2350.0,56.0,30.0
São Paulo,105.1484,2.1927,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
São Paulo,105.1484,3.0,1.0,2.0,-,acept,not furnished,708.5769,2874.8479,113.0,91.0
Campinas,93.0,2.1927,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,133.0,38.8741
Porto Alegre,75.0,3.0,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,109.0,27.0
São Paulo,105.1484,2.1927,4.0,3.0,-,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
São Paulo,105.1484,2.1927,1.8119,1.0,6,acept,furnished,708.5769,4000.0,131.0,51.0
Rio de Janeiro,65.0,1.0,1.8119,1.0,-,acept,not furnished,2000.0,5100.0,250.0,66.0
São Paulo,105.1484,2.0,1.0,1.0,-,acept,not furnished,761.0,2150.0,197.4526,38.8741
São Paulo,105.1484,2.1927,1.8119,1.1608,-,acept,not furnished,4052.0,2874.8479,197.4526,38.8741
Rio de Janeiro,105.1484,1.0,1.0,1.1608,5,acept,not furnished,708.5769,2874.8479,21.0,20.0
Campinas,300.0,2.1927,1.8119,1.1608,-,acept,not furnished,2300.0,2874.8479,197.4526,38.8741
São Paulo,61.0,2.1927,1.0,1.0,4,acept,not furnished,708.5769,2874.8479,0.0,38.8741
Rio de Janeiro,105.1484,3.0,1.8119,1.0,-,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
Rio de Janeiro,80.0,2.0,1.8119,1.1608,20,acept,not furnished,500.0,900.0,90.0,12.0
São Paulo,105.1484,2.1927,1.8119,1.1608,-,acept,not furnished,2159.0,2874.8479,386.0,38.8741
São Paulo,220.0,4.0,1.8119,3.0,-,acept,not furnished,450.0,2874.8479,125.0,33.0
São Paulo,45.0,1.0,1.0,0.0,-,acept,not furnished,708.5769,1050.0,46.0,38.8741
São Paulo,105.1484,3.0,1.8119,1.1608,7,acept,not furnished,708.5769,5600.0,435.0,38.8741
Belo Horizonte,128.0,1.0,1.0,1.1608,4,acept,not furnished,708.5769,2100.0,182.0,28.0
Rio de Janeiro,105.1484,1.0,1.0,1.1608,10,acept,not furnished,450.0,2874.8479,48.0,38.8741
São Paulo,105.1484,2.1927,1.8119,4.0,-,acept,not furnished,708.5769,9800.0,998.0,38.8741
Porto Alegre,47.0,2.1927,1.0,1.0,-,not acept,furnished,400.0,2200.0,0.0,38.8741
Belo Horizonte,105.1484,2.1927,1.8119,1.1608,9,acept,not furnished,708.5769,2874.8479,296.0,38.8741
São Paulo,45.0,2.1927,1.0,0.0,1,not acept,not furnished,300.0,1240.0,0.0,16.0
São Paulo,105.1484,1.0,1.8119,1.0,15,acept,not furnished,686.0,2874.8479,197.4526,38.8741
São Paulo,105.1484,2.1927,1.8119,3.0,-,acept,not furnished,708.5769,6000.0,197.4526,38.8741
São Paulo,70.0,3.0,1.8119,1.0,1,acept,not furnished,708.5769,1020.0,200.0,13.0
Porto Alegre,100.0,2.1927,1.8119,1.1608,-,acept,not furnished,708.5769,2200.0,197.4526,33.0
São Paulo,105.1484,2.0,2.0,1.1608,4,acept,furnished,1300.0,4500.0,440.0,58.0
São Paulo,68.0,2.0,1.0,1.0,3,acept,not furnished,320.0,1200.0,27.0,16.0
São Paulo,75.0,2.1927,1.8119,2.0,14,not acept,not furnished,708.5769,2874.8479,264.0,34.0
São Paulo,105.1484,4.0,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
São Paulo,63.0,2.1927,1.8119,0.0,15,not acept,not furnished,590.0,2874.8479,197.4526,38.8741
São Paulo,145.0,2.1927,4.0,1.1608,-,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
São Paulo,85.0,2.1927,1.8119,2.0,-,acept,not furnished,708.5769,2800.0,292.0,38.8741
São Paulo,105.1484,2.1927,1.8119,1.1608,7,acept,not furnished,3366.0,2874.8479,197.4526,38.8741
São Paulo,350.0,2.1927,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,197.4526,38.8741
São Paulo,105.1484,4.0,1.8119,3.0,-,acept,not furnished,708.5769,2874.8479,584.0,38.8741
São Paulo,105.1484,2.1927,1.8119,1.1608,-,acept,not furnished,708.5769,2874.8479,197.4526,222.0
