cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.46,0.365,0.095,0.514,0.2289,0.101,0.15
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
F,0.53,0.42,0.135,0.677,0.2744,0.1415,0.2071
M,0.44,0.365,0.125,0.516,0.2173,0.114,0.155
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055
I,0.425,0.3,0.095,0.3515,0.141,0.0721,0.12
F,0.53,0.418,0.15,0.9106000000000001,0.3905,0.1415,0.33
F,0.533,0.425,0.125,0.768,0.294,0.1563,0.26
I,0.475,0.37,0.125,0.5254,0.2165,0.1125,0.165
F,0.553,0.44,0.17,0.8945,0.3145,0.151,0.32
F,0.495,0.38,0.14,0.6065,0.2138,0.1475,0.21
M,0.449,0.35,0.12100000000000001,0.406,0.1675,0.081,0.135
I,0.49,0.38,0.135,0.5226,0.20400000000000001,0.095,0.19
F,0.535,0.405,0.149,0.6845,0.2725,0.171,0.1945
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
F,0.5,0.4,0.13,0.6645,0.294,0.133,0.1859
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115
F,0.44,0.34,0.126,0.451,0.188,0.087,0.13
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1
M,0.45,0.346,0.1,0.381,0.1705,0.075,0.115
M,0.355,0.28,0.095,0.2455,0.0905,0.048299999999999996,0.08410000000000001
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085
I,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27
F,0.55,0.445,0.135,0.7635,0.318,0.1822,0.2154
F,0.615,0.492,0.165,1.1615,0.513,0.301,0.3192
F,0.56,0.437,0.14,0.9675,0.3825,0.1893,0.3
F,0.593,0.46799999999999997,0.185,0.9955,0.3945,0.22970000000000002,0.3171
F,0.59,0.445,0.14,0.8861,0.356,0.1917,0.28
M,0.605,0.479,0.18,1.0727,0.4802,0.2454,0.295
M,0.575,0.453,0.14,0.8635,0.393,0.227,0.2392
M,0.58,0.47,0.165,1.0531,0.3935,0.242,0.349
F,0.68,0.56,0.165,1.639,0.6055,0.3728,0.5454
M,0.659,0.525,0.165,1.338,0.5924,0.3575,0.35
F,0.68,0.55,0.199,1.798,0.739,0.386,0.5747
F,0.617,0.49100000000000005,0.189,1.308,0.4467,0.2872,0.49
M,0.465,0.355,0.105,0.47959999999999997,0.227,0.124,0.125
F,0.54,0.475,0.166,1.217,0.5305,0.2767,0.34
