con_age,cat_workclass,con_fnlwgt,cat_education,con_education.num,cat_marital.status,cat_occupation,cat_relationship,cat_race,cat_sex,con_capital.gain,con_capital.loss,con_hours.per.week,cat_native.country,cat_income
39.6,Private,171376.6,HS-grad,9.2,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,348.2,18.0,United-States,<=50K
54.0,Private,222456.0,HS-grad,11.2,Divorced,Transport-moving,Wife,White,Female,0.0,3900.0,40.0,United-States,>50K
38.8,Private,192882.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,White,Female,0.0,0.0,43.6,United-States,<=50K
34.0,Private,183950.4,11th,9.8,Married-civ-spouse,Prof-specialty,Wife,White,Male,0.0,3770.0,55.2,United-States,>50K
36.8,Private,236159.0,Some-college,11.8,Never-married,Prof-specialty,Unmarried,White,Female,0.0,3770.0,40.0,United-States,>50K
46.6,Private,115551.0,HS-grad,9.8,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,36.6,United-States,>50K
45.0,Private,422013.0,HS-grad,9.6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,3683.0,40.0,United-States,>50K
45.0,Private,117393.4,Doctorate,16.0,Separated,Prof-specialty,Unmarried,White,Female,19999.8,3004.0,35.0,United-States,>50K
37.4,Private,137679.6,HS-grad,8.4,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
60.8,Private,189495.0,5th-6th,7.6,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,2824.0,40.0,United-States,>50K
44.4,Private,136204.0,Bachelors,12.0,Separated,Exec-managerial,Not-in-family,White,Male,1459.6,2824.0,47.0,United-States,>50K
52.2,Private,245713.2,7th-8th,7.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2824.0,42.0,United-States,>50K
34.4,Private,176938.8,HS-grad,7.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,76.0,United-States,<=50K
44.4,Local-gov,139622.4,Assoc-voc,11.8,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,39.0,United-States,>50K
40.0,Private,265517.6,Bachelors,13.0,Separated,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,46.6,United-States,>50K
46.2,Private,195583.8,Bachelors,9.4,Never-married,Sales,Not-in-family,White,Male,0.0,2824.0,36.0,United-States,<=50K
29.0,Private,196093.4,11th,7.0,Never-married,Sales,Not-in-family,White,Female,0.0,2754.0,34.0,United-States,<=50K
61.0,Private,219625.6,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,877.2,2754.0,31.0,United-States,<=50K
51.0,Private,162479.4,12th,10.2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2603.0,50.0,United-States,>50K
21.0,Private,34310.0,Bachelors,11.2,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2603.0,40.0,United-States,<=50K
33.0,Private,228696.0,Bachelors,9.2,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2603.0,32.0,Mexico,<=50K
49.0,Private,122066.0,5th-6th,3.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,2603.0,40.0,Greece,<=50K
59.6,Private,107164.0,9th,6.0,Divorced,Transport-moving,Not-in-family,White,Male,23004.6,2559.0,50.0,United-States,>50K
37.2,Private,218896.0,7th-8th,6.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,2559.0,90.0,United-States,<=50K
34.0,Private,44064.0,Assoc-voc,11.4,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,48.4,United-States,<=50K
65.8,Self-emp-inc,107287.0,10th,7.4,Widowed,Prof-specialty,Unmarried,White,Male,3004.8,2559.0,41.0,United-States,>50K
43.6,Private,177490.4,Some-college,11.2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
51.0,Private,108803.8,HS-grad,8.6,Never-married,Craft-repair,Not-in-family,White,Male,0.0,2559.0,40.0,United-States,<=50K
36.4,Private,201061.8,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0.0,2559.0,52.6,United-States,<=50K
51.2,Self-emp-not-inc,152026.4,Doctorate,16.0,Never-married,Exec-managerial,Not-in-family,White,Female,39999.6,2559.0,60.0,United-States,>50K
32.4,Private,182424.8,Assoc-voc,10.6,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,48.6,United-States,<=50K
34.6,Private,161350.2,Bachelors,11.2,Never-married,Sales,Not-in-family,White,Female,1459.6,2559.0,42.0,United-States,<=50K
35.8,Private,199302.4,HS-grad,9.8,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,2559.0,47.4,United-States,<=50K
31.0,Private,216288.8,HS-grad,9.8,Never-married,Adm-clerical,Not-in-family,White,Male,763.6,0.0,32.0,United-States,<=50K
40.4,Private,184498.2,Bachelors,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,2547.0,50.0,United-States,>50K
56.0,Private,233221.6,Bachelors,11.6,Widowed,Handlers-cleaners,Unmarried,White,Female,1537.6,0.0,43.6,United-States,<=50K
41.2,Private,256883.6,Masters,13.4,Divorced,Adm-clerical,Not-in-family,White,Female,1283.6,2547.0,40.0,United-States,<=50K
58.8,Private,193477.2,HS-grad,11.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
46.8,Private,174664.0,HS-grad,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,70.0,United-States,<=50K
44.6,Private,125942.6,Bachelors,13.4,Married-civ-spouse,Sales,Husband,White,Male,930.0,2467.0,52.0,United-States,>50K
43.4,Self-emp-not-inc,233882.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,19999.8,2457.0,40.0,United-States,>50K
31.8,Private,201609.0,Bachelors,11.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,231080.4,HS-grad,10.6,Married-civ-spouse,Sales,Husband,White,Male,692.8,0.0,34.0,United-States,<=50K
34.2,Private,179422.4,11th,8.8,Married-civ-spouse,Tech-support,Husband,White,Male,23004.6,0.0,43.0,United-States,>50K
42.0,Private,107276.0,Some-college,10.2,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,47.6,United-States,<=50K
46.0,Private,138442.6,Assoc-acdm,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,48.0,United-States,<=50K
35.8,Private,207668.0,Bachelors,12.2,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,48.0,United-States,<=50K
46.0,Private,204471.6,12th,8.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,2758.4,2444.0,47.0,United-States,<=50K
40.0,Private,145355.4,1st-4th,8.4,Never-married,Prof-specialty,Not-in-family,White,Male,1091.0,2444.0,44.0,United-States,<=50K
52.0,Private,237608.0,HS-grad,9.4,Married-civ-spouse,Prof-specialty,Husband,White,Male,1459.6,0.0,48.0,United-States,<=50K
33.0,Private,151881.2,Assoc-voc,11.6,Separated,Exec-managerial,Not-in-family,White,Female,0.0,2444.0,48.6,United-States,<=50K
43.0,Private,198475.4,Some-college,12.0,Divorced,Transport-moving,Not-in-family,White,Male,665.0,564.8,57.4,United-States,<=50K
50.0,Private,146522.0,11th,7.8,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
41.2,Private,162028.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,654.6,0.0,6.0,United-States,>50K
51.0,Private,187072.6,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,49.0,United-States,>50K
35.0,Private,195126.6,11th,9.6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,40.0,United-States,>50K
39.2,Private,188190.4,HS-grad,10.6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
55.0,Private,186426.8,Some-college,10.2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,50.0,United-States,<=50K
42.4,Private,198458.6,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,380.4,54.8,United-States,<=50K
44.6,Private,56947.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,973.0,0.0,40.0,United-States,<=50K
45.2,Private,199029.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,380.4,40.4,United-States,>50K
48.2,Private,183907.8,HS-grad,9.2,Married-civ-spouse,Exec-managerial,Husband,White,Male,986.8,0.0,42.0,United-States,<=50K
43.4,Private,253306.6,Some-college,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,1035.6,2415.0,50.0,United-States,>50K
51.0,Private,193654.0,7th-8th,6.6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,2415.0,48.0,United-States,>50K
46.4,Private,212989.4,Masters,14.2,Married-civ-spouse,Prof-specialty,Wife,White,Female,21035.4,2415.0,52.0,United-States,>50K
48.2,Private,133433.8,Bachelors,13.2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K
40.4,Private,237979.4,Masters,13.4,Married-civ-spouse,Prof-specialty,Wife,White,Male,0.0,2415.0,49.4,United-States,>50K
46.8,Private,245086.4,Masters,13.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,45.0,United-States,>50K
43.0,Private,195533.2,Some-college,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,25565.4,377.4,39.0,United-States,>50K
31.2,Self-emp-not-inc,284601.0,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,394.8,40.0,United-States,<=50K
39.8,Private,214287.0,Some-college,9.4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1537.6,2415.0,41.2,United-States,<=50K
31.8,Private,258116.0,HS-grad,10.4,Married-civ-spouse,Sales,Husband,White,Male,1035.6,2415.0,44.0,United-States,<=50K
49.2,Private,210836.4,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,19999.8,2415.0,43.8,United-States,>50K
36.4,Private,184809.2,Some-college,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,1283.6,2415.0,47.0,United-States,>50K
47.6,Private,171831.2,Bachelors,11.4,Divorced,Exec-managerial,Not-in-family,White,Male,7025.2,0.0,47.0,United-States,>50K
42.0,Private,182170.8,Bachelors,9.2,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,2415.0,43.0,United-States,>50K
36.2,Private,151938.6,Assoc-voc,9.2,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,48.2,United-States,>50K
42.0,Private,161642.6,Bachelors,15.0,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,26818.8,395.4,67.0,South,>50K
44.6,State-gov,178294.2,Bachelors,12.6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,43.0,United-States,>50K
29.0,Private,223352.0,Some-college,9.2,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,39.4,United-States,<=50K
44.4,Self-emp-inc,172688.4,Bachelors,11.8,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,53.0,United-States,>50K
31.0,Self-emp-not-inc,117318.6,HS-grad,9.4,Married-civ-spouse,Transport-moving,Wife,White,Male,0.0,2415.0,40.0,United-States,>50K
46.0,Private,192963.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,395.4,48.4,Philippines,>50K
40.4,Private,166274.4,11th,6.2,Never-married,Prof-specialty,Other-relative,White,Female,0.0,377.4,42.0,United-States,<=50K
39.0,Self-emp-inc,236689.2,HS-grad,10.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,369.6,48.0,United-States,>50K
49.0,Private,200575.4,Prof-school,14.0,Married-civ-spouse,Sales,Husband,White,Male,20118.6,0.0,51.6,United-States,>50K
38.2,Private,180843.4,Bachelors,11.6,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,1002.6,2415.0,43.0,United-States,>50K
38.2,Private,154743.4,Bachelors,11.6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,565.8,377.4,46.0,United-States,>50K
46.0,Private,232340.4,9th,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,19999.8,2415.0,46.4,United-States,>50K
46.2,Private,170559.0,Bachelors,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,46.0,United-States,<=50K
48.6,Private,208234.0,Some-college,9.2,Married-civ-spouse,Other-service,Husband,White,Male,1877.2,0.0,41.6,United-States,>50K
