con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
619.0,Germany,Female,45.8,6.6,97392.044,1.0,1,1,101355.382,0
778.8,Spain,Female,44.2,1.0,83807.86,1.2,0,1,91618.166,0
644.0,Spain,Female,47.2,8.0,89934.668,1.6,1,0,126723.73,0
699.0,France,Female,39.0,1.0,0.0,2.0,1,1,93826.63,0
645.4,France,Male,43.0,2.0,101159.612,1.8,1,1,79084.1,0
665.6,France,Male,28.2,5.2,20753.844,2.0,0,0,82191.348,0
822.0,France,Male,31.4,3.6,57853.352,1.6,1,1,10062.8,0
602.6,France,Female,29.0,4.0,61611.114,1.2,1,0,98214.156,1
627.8,France,Male,44.0,6.8,103058.548,2.0,0,0,74940.5,0
661.8,France,Female,32.8,2.0,139742.86000000002,1.4,1,1,71725.73,0
528.0,France,Male,31.0,6.0,102016.72,1.0,0,0,80181.12,0
497.0,France,Male,38.6,7.0,0.0,2.0,1,0,94231.886,0
476.0,France,Female,34.0,10.0,0.0,1.8,1,0,26260.98,0
549.0,France,Female,25.0,3.8,0.0,2.0,1,0,190857.79,0
684.4,France,Male,35.0,7.0,0.0,2.0,1,1,73606.458,0
690.2,Spain,Female,35.6,3.0,143129.41,2.0,1,1,64327.26,0
653.0,Germany,Male,42.6,3.6,59345.522,1.0,1,0,68413.01,0
650.8,France,Female,34.8,6.6,122018.53,2.0,1,1,96213.706,0
690.0,France,Male,45.0,4.0,0.0,1.0,0,0,69057.144,0
726.0,France,Female,24.0,6.0,92858.644,2.0,1,1,118171.694,0
709.2,France,Male,33.8,8.0,0.0,1.8,1,1,106992.13,0
657.6,France,Female,40.2,5.0,63429.602,2.0,1,0,138555.46,0
637.8,Spain,Female,38.0,4.8,0.0,1.0,1,0,75202.162,1
641.6,France,Male,42.0,3.0,0.0,1.8,1,1,100366.868,0
846.0,France,Female,38.0,5.0,95878.74399999999,1.0,1,1,135505.966,0
577.0,France,Male,25.0,3.0,45165.828,2.0,0,1,124508.29,0
682.4,France,Male,33.6,5.0,136815.64,1.2,1,1,120828.888,0
571.0,France,Male,44.0,9.0,43221.976,2.0,1,0,38433.35,0
574.0,France,Female,43.0,5.4,141349.43,1.0,1,1,104205.81599999999,0
411.0,France,Male,29.0,0.0,59697.17,2.0,1,1,53483.21,0
676.2,France,Male,39.0,3.0,53412.666,3.0,0,0,110396.756,0
568.4,France,Male,54.4,7.0,110402.698,1.2,1,1,84327.13,1
676.6,Spain,Male,41.0,9.0,89629.21800000001,2.0,1,1,158781.052,0
738.6,Spain,Male,42.0,6.0,103844.548,1.6,1,0,145272.848,0
722.0,Spain,Female,29.0,9.0,17196.414,2.0,0,1,142033.07,0
697.6,France,Female,45.0,0.0,134264.04,1.2,1,0,27822.99,1
490.0,Spain,Male,31.0,3.0,145260.23,1.0,0,1,114066.77,0
632.6,Spain,Female,40.0,7.0,76548.6,1.4,0,1,137396.126,0
850.0,France,Female,36.8,7.0,0.0,2.0,1,1,106830.63399999999,0
594.6,France,Male,41.0,6.0,41170.542,2.0,0,1,178074.04,0
678.0,Spain,Male,40.0,4.0,108298.946,1.0,1,0,124073.798,0
645.0,France,Female,51.0,8.0,122522.32,1.6,0,0,138888.142,1
556.0,Spain,Male,61.0,3.0,75231.908,1.0,1,1,94153.83,0
683.4,France,Female,43.2,6.8,131394.56,1.4,0,1,194365.76,1
647.0,Spain,Male,34.4,3.4,78274.002,1.4,1,0,158338.39,0
589.2,Spain,Male,38.6,5.2,66607.4,1.4,1,1,126517.46,0
829.0,Spain,Female,47.0,9.0,106606.468,1.6,1,0,72810.212,0
707.4,France,Male,43.8,6.6,137843.8,1.6,1,1,117622.8,0
550.0,Germany,Male,38.0,3.4,103391.38,1.4,0,1,90878.13,0
776.0,France,Male,37.0,7.6,103769.22,2.0,1,1,194099.12,0
688.2,France,Female,34.6,3.6,68408.136,1.6,1,0,142068.154,0
677.0,Germany,Male,36.0,5.0,146050.97,2.0,1,0,48411.524,0
788.0,France,Female,42.6,4.4,0.0,2.0,0,0,116978.19,0
660.0,Germany,Female,41.0,6.8,125561.97,1.4,1,0,96233.14600000001,1
601.0,Germany,Female,42.0,1.0,129172.78,1.0,1,0,90876.67,1
749.2,France,Male,43.0,1.0,123318.938,1.4,1,0,113410.49,0
656.0,France,Male,45.0,1.8,55445.206,2.2,1,1,82379.828,0
725.0,Germany,Male,19.0,0.0,75888.2,1.6,1,0,45613.75,0
685.4,Spain,Male,66.0,3.8,0.0,1.4,1,0,81038.03600000001,1
