cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
I,0.455,0.349,0.095,0.4518,0.2245,0.0851,0.1251
M,0.35,0.267,0.09,0.2255,0.0995,0.0485,0.0719
F,0.53,0.42,0.135,0.677,0.2565,0.1504,0.1996
M,0.445,0.342,0.125,0.48960000000000004,0.2091,0.114,0.1392
I,0.33,0.255,0.08,0.1862,0.0766,0.0395,0.0628
I,0.425,0.3,0.113,0.3515,0.141,0.0858,0.12
F,0.48400000000000004,0.393,0.15,0.8182,0.237,0.1825,0.33
I,0.526,0.425,0.125,0.8103,0.3324,0.1847,0.2744
I,0.475,0.37,0.125,0.5095,0.2289,0.1125,0.165
M,0.55,0.44,0.15,0.849,0.3349,0.151,0.32
F,0.525,0.38,0.14,0.5728,0.194,0.1325,0.21
M,0.454,0.35,0.11,0.4822,0.1675,0.1175,0.1425
F,0.525,0.38,0.14200000000000002,0.5415,0.2175,0.095,0.19
F,0.535,0.41,0.151,0.6287,0.2725,0.1323,0.1959
I,0.47,0.369,0.1,0.4755,0.1675,0.0901,0.185
I,0.5,0.392,0.13,0.6645,0.29460000000000003,0.133,0.201
I,0.355,0.274,0.085,0.2905,0.095,0.0395,0.0985
F,0.44,0.34,0.115,0.451,0.191,0.0893,0.13
I,0.394,0.295,0.107,0.3746,0.1507,0.0865,0.11120000000000001
M,0.45,0.354,0.107,0.381,0.15639999999999998,0.075,0.11549999999999999
M,0.365,0.28,0.085,0.2421,0.0955,0.062,0.075
M,0.47000000000000003,0.359,0.1,0.6028,0.2473,0.1255,0.1672
F,0.565,0.44,0.155,0.9752,0.4275,0.214,0.27
F,0.55,0.43,0.135,0.7635,0.318,0.17579999999999998,0.2338
F,0.615,0.483,0.171,1.2764,0.513,0.301,0.4122
M,0.56,0.433,0.147,0.7924,0.31729999999999997,0.188,0.2619
F,0.587,0.45,0.185,0.9955,0.3945,0.2386,0.306
M,0.59,0.445,0.165,1.1006,0.5391,0.234,0.3086
M,0.619,0.483,0.15,0.9361,0.394,0.219,0.295
I,0.538,0.425,0.146,0.8635,0.393,0.1733,0.26
M,0.58,0.452,0.165,1.0705,0.4462,0.234,0.30820000000000003
M,0.658,0.512,0.165,1.639,0.8094,0.2805,0.4667
M,0.665,0.525,0.17200000000000001,1.338,0.6325000000000001,0.29059999999999997,0.35
F,0.708,0.55,0.198,1.798,0.834,0.3925,0.455
F,0.689,0.55,0.2,1.6521,0.633,0.4115,0.49
I,0.463,0.355,0.105,0.4795,0.1967,0.124,0.1396
F,0.54,0.475,0.151,1.217,0.5159,0.3075,0.34
I,0.45,0.351,0.115,0.5225,0.237,0.11,0.145
F,0.575,0.445,0.169,0.9671000000000001,0.42519999999999997,0.2035,0.2962
M,0.376,0.29,0.09,0.3229,0.134,0.086,0.0885
F,0.45,0.342,0.105,0.41809999999999997,0.1865,0.10250000000000001,0.115
F,0.535,0.425,0.135,0.8515,0.362,0.1753,0.2657
I,0.24,0.175,0.069,0.0648,0.0315,0.0235,0.02
I,0.205,0.148,0.055,0.0659,0.0239,0.015,0.0227
I,0.415,0.307,0.101,0.1908,0.0965,0.0125,0.0742
I,0.345,0.257,0.082,0.203,0.0875,0.045,0.075
M,0.493,0.37,0.138,1.0112,0.4293,0.227,0.2782
F,0.482,0.375,0.12,0.4605,0.1775,0.1088,0.1497
I,0.32,0.23900000000000002,0.07,0.161,0.0755,0.0347,0.045
F,0.573,0.443,0.16,0.9862,0.3958,0.2135,0.2884
F,0.52,0.40399999999999997,0.138,0.758,0.3251,0.169,0.2491
M,0.4,0.32,0.095,0.3411,0.14930000000000002,0.06,0.1
M,0.473,0.36,0.13,0.5364,0.2262,0.1242,0.16
I,0.47,0.366,0.12,0.5145,0.2105,0.1055,0.15
M,0.457,0.356,0.1,0.385,0.173,0.0915,0.11
F,0.5,0.398,0.14,0.7133,0.2932,0.1755,0.22
M,0.445,0.34299999999999997,0.12,0.4425,0.192,0.0984,0.135
I,0.479,0.371,0.135,0.5895,0.2529,0.1288,0.17
I,0.245,0.178,0.07,0.075,0.042,0.0186,0.025
F,0.519,0.4,0.125,0.6076,0.246,0.13,0.189
M,0.441,0.345,0.105,0.4452,0.18,0.0943,0.135
I,0.503,0.379,0.14200000000000002,0.625,0.2714,0.1357,0.1891
F,0.519,0.41,0.139,0.6965,0.302,0.1935,0.2
M,0.425,0.325,0.106,0.3785,0.1679,0.09,0.1017
F,0.517,0.4,0.121,0.58,0.234,0.1315,0.185
M,0.459,0.355,0.12,0.48,0.2019,0.1015,0.1457
F,0.565,0.44,0.16,0.8718,0.354,0.1935,0.2627
F,0.631,0.505,0.185,1.4171,0.5471,0.224,0.485
F,0.521,0.414,0.12,0.5305,0.2135,0.1155,0.1801
I,0.31,0.235,0.07,0.1715,0.0854,0.0405,0.045
M,0.509,0.399,0.137,0.7665,0.264,0.1814,0.2407
I,0.4,0.32,0.11,0.36769999999999997,0.1568,0.0821,0.1
M,0.595,0.473,0.17,1.247,0.48,0.232,0.3755
F,0.57,0.461,0.158,1.185,0.4735,0.261,0.3575
M,0.584,0.45,0.195,1.098,0.481,0.2895,0.315
F,0.598,0.475,0.176,1.0218,0.4004,0.221,0.322
M,0.583,0.475,0.14,0.9452,0.3656,0.189,0.315
F,0.6,0.47,0.15,1.0707,0.47409999999999997,0.2286,0.3115
I,0.54,0.425,0.154,0.7639,0.3558,0.1595,0.2117
