con_age,cat_workclass,con_fnlwgt,cat_education,con_education.num,cat_marital.status,cat_occupation,cat_relationship,cat_race,cat_sex,con_capital.gain,con_capital.loss,con_hours.per.week,cat_native.country,cat_income
82.0,Private,132870.0,7th-8th,7.8,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,18.0,United-States,<=50K
40.6,Private,140359.0,7th-8th,4.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,3900.0,40.0,United-States,<=50K
41.0,Private,264663.0,Masters,12.4,Separated,Prof-specialty,Own-child,White,Male,0.0,0.0,29.8,United-States,<=50K
34.0,Private,157479.8,HS-grad,9.4,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,39.0,United-States,<=50K
42.0,Private,150601.0,10th,6.0,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,31.6,United-States,<=50K
25.8,State-gov,88638.0,Some-college,8.6,Never-married,Prof-specialty,Other-relative,White,Female,0.0,375.2,42.6,United-States,<=50K
68.0,Private,130257.6,HS-grad,9.0,Divorced,Prof-specialty,Not-in-family,White,Female,2336.8,3683.0,40.4,United-States,>50K
45.0,Private,180890.8,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,19999.8,3004.0,35.0,United-States,>50K
36.8,Self-emp-not-inc,178782.6,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,45.0,United-States,>50K
52.0,Private,258913.8,Bachelors,13.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,2824.0,37.0,United-States,>50K
39.2,Private,136204.0,Masters,14.0,Separated,Exec-managerial,Not-in-family,White,Male,3004.8,375.2,55.0,United-States,>50K
43.4,Private,185885.6,Prof-school,15.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,49.2,United-States,>50K
45.0,Private,172822.0,HS-grad,10.4,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,44.0,United-States,<=50K
57.0,Private,317847.0,Masters,14.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,2824.0,51.0,United-States,>50K
41.2,Private,168046.2,Bachelors,13.0,Separated,Sales,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
51.0,Private,188774.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2824.0,46.6,United-States,>50K
43.8,Private,207634.0,11th,7.0,Separated,Other-service,Unmarried,White,Female,0.0,2754.0,42.0,United-States,<=50K
34.6,Private,170015.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,0.0,2754.0,50.8,United-States,<=50K
42.6,Private,150942.8,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,1459.6,0.0,40.0,United-States,>50K
26.4,Private,220773.0,Assoc-voc,11.0,Never-married,Craft-repair,Unmarried,White,Male,0.0,0.0,39.6,United-States,<=50K
44.6,Private,214867.0,1st-4th,2.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,32.0,United-States,<=50K
49.0,Private,122066.0,5th-6th,3.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,Greece,<=50K
48.2,Private,107164.0,10th,6.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2559.0,53.0,United-States,>50K
38.0,Private,191051.0,10th,6.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,38.8,United-States,<=50K
23.0,Private,44064.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,2559.0,36.0,United-States,<=50K
44.0,Self-emp-inc,259174.4,10th,6.0,Divorced,Prof-specialty,Unmarried,White,Female,5233.8,2559.0,42.6,United-States,>50K
35.8,Private,242397.8,Prof-school,15.0,Divorced,Other-service,Not-in-family,White,Male,29014.2,2559.0,60.0,United-States,>50K
51.0,Private,157946.6,Bachelors,13.0,Divorced,Farming-fishing,Not-in-family,White,Male,19999.8,375.2,43.0,United-States,>50K
34.4,Private,205246.0,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,Black,Male,0.0,0.0,50.0,United-States,<=50K
63.0,Federal-gov,39181.0,Doctorate,16.0,Divorced,Other-service,Not-in-family,White,Male,0.0,2559.0,60.0,United-States,>50K
53.0,Private,203491.2,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,48.0,United-States,>50K
51.0,Private,197163.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,26009.4,2559.0,35.4,United-States,>50K
37.0,Private,137527.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
49.0,Private,161691.0,Some-college,7.8,Divorced,Prof-specialty,Unmarried,White,Male,0.0,2559.0,40.0,United-States,>50K
45.6,Private,165692.6,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,2547.0,50.0,United-States,>50K
43.8,Private,120240.0,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,2547.0,40.0,United-States,>50K
49.8,Private,115066.0,Some-college,10.6,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
43.0,Private,146156.4,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
48.0,Private,195943.6,Bachelors,13.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,70.0,United-States,<=50K
42.8,Private,110380.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,52.0,United-States,<=50K
38.2,Self-emp-not-inc,233882.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,2457.0,47.4,United-States,<=50K
30.0,Self-emp-not-inc,335549.0,Prof-school,15.0,Never-married,Prof-specialty,Own-child,Black,Male,0.0,0.0,29.2,United-States,<=50K
50.0,Private,181773.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,1459.6,2444.0,72.0,United-States,>50K
51.0,State-gov,158571.6,Bachelors,12.0,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,2444.0,39.6,United-States,>50K
21.8,Private,186416.0,Some-college,10.0,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,38.8,United-States,<=50K
39.2,Local-gov,284662.8,Masters,14.0,Never-married,Sales,Not-in-family,Black,Male,0.0,2444.0,45.0,United-States,>50K
32.0,Private,207668.0,HS-grad,9.4,Never-married,Exec-managerial,Other-relative,Black,Male,3694.0,2444.0,37.0,United-States,>50K
53.0,Private,201139.4,Some-college,10.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
40.2,Local-gov,147372.0,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,1459.6,2444.0,47.8,United-States,>50K
38.0,Private,237608.0,Bachelors,13.0,Divorced,Sales,Not-in-family,White,Male,19999.8,2444.0,39.4,United-States,<=50K
33.0,Private,194901.0,Assoc-voc,11.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,2444.0,42.0,United-States,>50K
43.0,Private,253156.6,Assoc-acdm,12.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,42.0,United-States,<=50K
31.4,Self-emp-inc,121441.0,11th,7.0,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0.0,2444.0,37.8,United-States,<=50K
44.0,Private,188922.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,1459.6,2415.0,47.8,United-States,>50K
40.4,Private,223026.6,Bachelors,13.0,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0.0,2415.0,40.6,Philippines,>50K
53.2,Private,182111.6,Prof-school,15.0,Married-civ-spouse,Other-service,Husband,White,Male,6009.6,2415.0,48.6,United-States,>50K
37.0,Private,329980.0,Masters,14.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,2415.0,47.0,United-States,>50K
32.2,Self-emp-inc,179438.2,HS-grad,9.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
39.0,Private,329980.0,Some-college,9.6,Married-civ-spouse,Farming-fishing,Husband,White,Male,5736.0,0.0,43.6,United-States,>50K
40.0,Self-emp-inc,173385.4,HS-grad,11.6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K
