con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
619.0,France,Female,42.0,7.6,0.0,1.0,1,1,101348.88,1
680.2,France,Female,41.0,6.2,69088.74,2.0,1,1,112542.58,0
716.8,France,Male,48.8,6.6,159660.8,1.0,1,0,164955.606,1
699.0,France,Female,39.0,1.0,131747.02,1.2,0,1,93826.63,0
850.0,Spain,Female,43.0,2.0,125510.82,1.0,1,1,118576.916,0
645.0,Spain,Male,36.4,4.2,46609.28,2.0,1,0,149756.71,0
727.4,Germany,Male,38.8,6.4,108751.84,1.6,1,1,10062.8,0
689.0,Germany,Male,29.0,4.0,107401.22200000001,1.4,1,1,119346.88,0
501.0,Germany,Male,37.6,4.0,142051.07,2.0,0,1,74940.5,0
684.0,France,Male,27.0,7.0,134603.88,1.0,1,1,71725.73,0
763.0,France,Male,31.0,6.0,102016.72,2.0,0,0,104302.714,0
497.0,Spain,Male,24.0,3.0,0.0,1.8,1,0,100138.054,0
675.0,France,Male,41.2,6.4,0.0,2.0,1,0,26260.98,0
549.0,Spain,Female,25.0,5.0,0.0,2.0,0,0,100386.21800000001,0
678.6,Spain,Male,35.0,7.0,35525.886,2.0,1,1,123888.076,0
616.0,Germany,Male,35.0,6.2,35789.445999999996,1.4,1,1,97416.24799999999,0
653.0,France,Male,53.6,7.4,119366.96,1.0,1,0,73346.894,1
701.4,Spain,Female,24.0,6.6,0.0,1.4,1,1,84491.864,0
673.8,France,Male,42.0,6.0,94847.012,1.0,0,1,158684.81,0
726.0,France,Male,24.0,6.0,0.0,2.0,1,1,54724.03,0
697.8,France,Male,45.8,8.0,0.0,1.6,1,1,170886.17,0
691.4,Spain,Female,33.6,8.0,109630.086,1.6,1,0,110201.67,0
510.0,Spain,Female,38.0,4.0,110357.754,1.6,1,0,87481.432,0
669.0,France,Male,46.0,3.0,0.0,2.0,0,1,128599.92,0
732.8,France,Male,30.6,7.6,0.0,1.0,1,0,187616.16,0
577.0,France,Female,25.0,3.0,0.0,2.0,1,0,38710.538,0
725.0,Germany,Male,44.6,2.0,101654.22,1.0,1,0,71242.088,0
649.0,France,Male,44.0,9.0,77811.902,2.0,1,0,58493.75,0
651.8,France,Male,28.0,3.0,141349.43,1.0,1,1,100187.43,0
411.0,France,Male,29.0,5.4,79042.74799999999,2.0,1,1,44181.406,0
591.0,Germany,Female,39.0,3.0,0.0,2.0,1,1,140469.38,0
658.4,France,Male,38.8,8.2,23686.788,1.8,1,1,86989.794,0
648.4,Germany,Male,41.0,9.0,90630.572,2.0,1,0,88360.46800000001,0
520.0,Spain,Female,42.0,6.0,0.0,2.0,1,1,34410.55,0
722.0,Spain,Female,29.0,7.0,47928.346000000005,1.6,1,1,108801.914,0
697.6,Germany,Male,47.4,6.0,77776.40000000001,1.6,1,0,27822.99,0
709.6,France,Male,32.8,3.0,145260.23,1.0,0,0,114066.77,0
804.0,Spain,Male,33.0,7.0,99330.07800000001,1.0,1,1,86468.128,0
850.0,France,Male,31.2,5.6,127592.372,1.0,1,1,97733.416,0
582.0,France,Male,37.4,6.0,70349.48,1.4,1,1,61402.446,0
716.2,Spain,Female,40.0,4.0,0.0,1.0,1,0,79790.08200000001,0
465.0,Germany,Female,51.0,5.0,122522.32,1.6,0,0,181297.65,1
687.8,France,Male,61.0,7.0,117419.35,1.0,1,0,94153.83,0
676.6,France,Female,49.0,2.0,71665.618,1.0,0,0,194365.76,1
660.0,Spain,Female,38.6,5.0,155931.11,1.4,1,0,39765.344,0
708.2,Germany,Male,32.0,4.0,109421.13,1.2,1,1,68808.092,0
656.2,France,Male,44.6,5.4,86481.676,1.0,1,1,119708.21,1
704.0,Germany,Female,39.0,9.0,54011.316,1.8,1,0,82439.758,1
550.0,Germany,Male,38.0,2.0,51102.028000000006,1.4,1,0,73530.37,0
776.0,France,Female,51.8,6.8,103769.22,2.0,1,1,194099.12,0
698.0,Germany,Male,44.0,10.0,116363.37,2.0,0,0,99605.66,0
585.0,France,Male,36.0,5.0,108207.41399999999,2.0,1,0,72016.092,0
681.6,France,Female,33.0,5.0,0.0,1.4,0,0,95755.954,0
655.0,Germany,Female,41.0,8.0,79177.998,1.0,0,0,164040.94,0
662.2,Germany,Female,31.4,1.0,40704.872,1.6,1,0,110747.082,0
619.0,France,Male,43.0,1.0,112521.592,1.8,1,1,131163.858,0
656.0,France,Male,35.2,7.0,127864.4,1.0,0,0,87107.57,0
702.4,Germany,Male,19.0,6.4,75888.2,2.0,1,0,115025.196,0
511.0,Spain,Male,66.0,6.0,0.0,1.6,1,0,36545.236,1
681.6,France,Female,42.4,7.0,39774.596000000005,1.6,1,1,99298.486,0
742.0,Germany,Male,52.4,5.8,111339.742,1.0,1,1,159076.802,0
695.8,Germany,Male,27.0,7.4,152328.88,2.0,1,1,126494.82,0
714.0,Germany,Female,33.0,7.6,92241.834,2.0,1,1,178798.13,0
684.0,Spain,Male,56.0,6.0,78399.282,2.2,1,1,99398.36,0
603.0,Germany,Female,38.8,4.0,93385.598,1.0,1,1,130178.364,0
751.0,France,Male,45.0,6.0,64097.950000000004,1.8,1,1,127529.54,0
680.6,France,Female,34.0,1.0,75662.83,1.4,1,1,110431.51,0
735.0,Germany,Male,31.2,10.0,92830.82800000001,2.0,1,1,196673.28,0
725.8,Germany,Male,34.4,5.0,150725.53,2.0,0,0,82588.93800000001,0
675.0,Spain,Female,49.6,7.0,98594.168,1.6,1,0,104225.916,0
671.6,France,Male,44.0,6.8,97665.048,4.0,1,0,114994.83,1
650.8,France,Male,31.8,7.6,102402.862,1.4,1,1,109627.656,0
667.4,Spain,Female,37.0,5.6,163607.18,1.4,1,1,44203.55,0
676.6,France,Female,43.6,6.0,157780.84,1.2,1,0,58426.81,0
694.8,France,Male,50.2,6.4,12411.034,2.0,0,1,107282.614,0
683.8,France,Female,45.4,1.0,88349.478,2.0,1,0,92154.988,0
674.2,France,Male,41.6,8.0,98988.356,1.4,1,1,95458.182,1
724.6,France,Female,42.2,9.0,0.0,1.6,1,1,69672.846,0
757.0,Spain,Female,33.6,5.0,77253.22,1.4,1,1,194239.63,0
416.0,Germany,Female,41.0,6.4,60807.01,2.0,1,0,98301.61,0
651.2,France,Female,34.0,5.8,13244.034,2.0,1,0,171413.66,0
718.0,Germany,Male,32.0,6.4,0.0,1.8,1,1,136458.19,0
543.0,France,Male,41.2,3.0,116414.152,1.4,1,0,130113.42,1
506.0,Germany,Female,34.0,7.0,46209.704,1.0,1,1,159235.29,0
687.2,France,Female,27.6,4.0,0.0,2.2,1,0,135215.314,0
652.0,Spain,Female,75.0,10.0,113670.188,2.0,1,1,114675.75,1
750.0,France,Male,45.2,3.0,73180.436,1.6,1,0,128643.35,0
729.0,France,Male,30.0,9.0,0.0,1.8,1,0,70500.148,0
646.0,Germany,Female,46.0,4.0,0.0,1.6,1,0,117334.544,0
714.0,Germany,Female,42.0,3.0,81623.67,1.8,1,0,86096.39199999999,0
678.0,Spain,Male,44.0,5.0,0.0,1.8,1,1,146024.376,1
686.8,France,Male,45.0,6.0,91956.92,2.0,1,0,147132.46,0
524.0,France,Female,33.6,6.4,0.0,2.2,1,1,109614.57,0
703.6,France,Male,29.0,7.4,0.0,1.8,1,1,72649.35800000001,0
730.0,Spain,Female,39.6,4.0,93436.994,2.0,0,0,85982.47,0
735.8,Spain,Male,48.2,10.0,176273.95,1.4,0,1,121277.78,0
698.6,Spain,Male,33.8,9.0,86661.97,1.8,0,1,64595.25,0
754.0,Germany,Male,39.6,7.0,97086.4,2.0,1,1,197276.13,0
710.0,France,Male,22.0,8.0,0.0,2.0,0,0,119042.03600000001,0
413.0,France,Male,45.4,9.0,0.0,2.0,0,0,6534.18,1
665.0,Spain,Female,47.8,7.6,0.0,1.4,1,1,49372.586,0
623.0,France,Female,44.0,6.0,0.0,2.0,0,1,167162.43,0
738.0,France,Male,30.6,9.0,82674.15,1.4,1,0,86506.388,0
528.0,Spain,Male,33.6,7.0,0.0,2.2,1,0,60536.56,0
625.6,France,Female,41.8,1.0,0.0,1.8,1,1,177655.68,1
622.0,Spain,Female,46.0,4.0,78045.18000000001,1.8,0,0,123735.02,0
671.2,France,Male,32.0,7.6,77407.482,1.8,1,1,10054.53,0
695.2,Germany,Female,36.0,2.0,99806.85,1.0,0,1,36976.52,0
656.0,Germany,Male,40.4,6.8,71879.302,1.0,1,1,71862.79,0
479.0,Germany,Male,35.0,7.6,92833.89,1.0,1,0,134593.124,1
685.0,Germany,Male,30.0,3.0,90536.81,1.0,1,1,63082.88,0
538.0,Germany,Male,35.0,6.6,86624.546,1.4,1,0,27231.26,0
562.0,Germany,Male,42.0,2.0,100238.35,1.0,1,0,86797.41,0
710.2,France,Male,36.0,9.0,106190.55,1.0,0,0,87965.214,0
694.4,Germany,Female,35.2,9.0,154475.54,2.0,1,0,88775.38,0
675.8,Germany,Male,36.4,9.0,97077.776,1.4,1,1,93360.236,0
658.4,Germany,Female,37.0,6.0,167864.4,1.6,1,0,132324.78,0
700.6,France,Male,39.2,1.0,0.0,2.0,0,0,31766.3,0
667.4,Spain,Female,43.8,6.4,77470.042,1.4,1,0,199725.39,1
699.0,Germany,Male,40.8,4.0,52017.228,2.0,1,0,70779.04,0
664.0,Germany,Male,34.0,8.0,129433.34,2.0,0,1,38131.77,0
674.0,Spain,Male,39.0,7.2,45245.422,1.6,0,0,100130.95,0
656.0,France,Male,38.8,6.0,76291.588,2.0,0,0,141069.88,0
647.0,Germany,Male,48.0,6.0,92632.686,1.4,1,1,198129.36,0
625.0,Germany,Female,28.0,3.0,59575.496,1.6,1,0,183646.41,0
432.0,Spain,Female,49.6,9.0,152603.45,1.2,1,0,97525.264,1
549.0,France,Female,52.0,6.6,121141.45,1.4,1,1,52277.288,0
661.2,Germany,Male,56.0,0.0,108465.62,1.0,1,0,46824.08,1
828.0,France,Female,41.0,7.0,66550.914,2.0,1,1,171378.77,0
770.0,France,Female,33.4,9.0,75113.016,1.0,1,0,132064.626,0
758.0,France,Male,35.0,3.0,0.0,1.8,1,1,124226.16,0
693.0,Germany,Female,33.0,9.0,130862.43,1.8,1,1,114935.21,0
687.0,France,Male,43.6,9.0,59408.296,1.0,0,1,139831.326,0
681.2,France,Female,25.0,7.8,47644.54,1.4,1,1,67205.732,0
789.0,Spain,Male,39.0,7.0,74139.836,1.4,1,1,124411.08,0
589.0,Germany,Female,50.0,6.2,129325.322,1.8,1,1,34941.23,0
711.6,France,Male,38.4,5.0,63663.93,1.0,0,0,167784.28,0
649.4,France,Male,33.2,2.0,98337.406,1.0,1,1,80648.302,0
689.0,Spain,Female,48.0,7.0,108608.222,1.2,1,0,75161.25,1
579.0,Germany,Female,35.0,6.8,129490.36,2.0,1,1,8590.83,0
756.0,Spain,Male,44.0,10.0,88811.81599999999,1.0,1,1,189543.9,0
663.0,France,Male,36.0,6.4,0.0,1.6,1,1,83753.304,0
682.0,France,Male,39.8,5.4,95799.666,1.4,1,1,76632.886,0
672.6,Spain,Male,38.4,2.0,0.0,1.0,0,0,159123.82,1
639.0,Spain,Female,38.8,6.8,92058.078,1.0,1,0,102157.322,1
674.0,Spain,Female,21.0,6.6,113157.22,1.0,1,0,84019.824,0
635.0,Spain,Female,29.4,5.4,138296.94,2.0,0,0,141075.51,1
708.6,Spain,Female,37.0,5.0,106967.18,1.8,0,1,24495.03,0
735.0,France,Male,36.0,9.0,105302.54800000001,1.0,1,0,74836.34,0
416.0,France,Male,32.0,0.0,0.0,1.6,0,1,878.87,0
754.0,Spain,Female,32.0,7.0,98749.85,1.2,1,0,89520.75,0
535.0,France,Female,48.0,9.0,0.0,1.8,1,0,149892.79,0
716.0,France,Male,42.0,8.0,91085.35,1.4,1,1,180800.42,0
637.0,Spain,Male,37.0,2.0,127609.59,1.2,1,0,59434.488,0
719.2,France,Female,31.6,6.6,76442.18400000001,2.0,1,1,109041.53,0
687.0,Spain,Male,57.0,7.0,0.0,1.0,1,0,17941.16,1
758.0,France,Female,40.2,7.0,0.0,2.0,0,1,99893.778,0
586.0,Spain,Female,40.0,8.4,0.0,2.0,1,1,92067.35,0
683.8,France,Female,73.0,6.0,127483.54,1.0,1,1,104719.66,0
631.0,Germany,Male,33.0,5.4,123246.7,1.6,0,1,112687.57,0
717.0,Germany,Male,29.8,6.4,101060.25,1.2,0,1,84699.56,0
684.0,Spain,Male,36.8,5.8,0.0,2.0,1,0,79029.56,0
800.0,France,Male,49.0,6.8,109395.704,1.2,1,0,47125.11,0
721.0,France,Male,36.4,2.0,97438.894,1.2,1,1,106977.8,0
683.0,Germany,Female,46.4,0.0,133702.89,1.6,1,0,56963.742,1
680.6,France,Female,36.8,6.6,96452.838,2.0,1,1,139874.43,0
704.0,Germany,Female,24.0,7.4,113034.22,1.0,1,1,162503.48,1
615.0,France,Female,42.0,9.0,109013.23,1.0,0,1,157296.004,0
710.8,France,Female,46.0,2.0,0.0,2.0,1,0,96877.178,1
682.0,Germany,Male,24.0,9.0,78007.574,1.4,0,0,124842.99799999999,0
484.0,Germany,Female,28.6,6.4,53531.712,2.0,1,0,164017.89,0
657.4,Germany,Male,27.0,5.0,119936.232,1.2,1,0,106446.232,0
480.0,Germany,Female,40.8,10.0,129608.57,1.0,1,0,120822.834,1
679.4,France,Male,41.4,4.0,169462.09,1.6,1,0,121991.732,0
665.8,France,Female,40.0,8.2,69694.492,2.0,1,1,68992.95,0
663.6,Spain,Male,47.0,5.2,72709.894,1.0,1,1,27286.1,0
683.4,France,Male,35.4,7.4,0.0,2.0,1,1,130553.47,0
758.4,Germany,Male,36.0,6.6,190479.48,2.0,0,0,113278.532,0
597.0,Spain,Female,34.2,7.6,108224.698,1.0,1,1,94774.12,1
754.0,Germany,Female,55.0,7.0,81271.804,1.4,1,0,87412.14600000001,1
850.0,France,Male,34.4,2.0,122311.21,1.2,1,1,19482.5,0
698.6,France,Male,40.2,6.8,62007.87,1.6,1,0,95808.83,0
694.0,France,Female,45.0,1.0,162150.42,2.0,1,0,71943.318,1
701.4,France,Female,32.4,2.0,70647.72,1.4,0,1,109674.942,0
638.8,France,Female,39.4,7.2,58806.152,1.0,0,1,23561.88,1
681.6,France,Male,52.4,7.0,0.0,2.0,0,0,81189.78600000001,0
730.0,France,Male,50.8,1.0,72489.772,1.2,1,0,194945.8,0
621.6,France,Female,40.6,6.6,0.0,1.0,1,0,131521.72,0
692.2,Germany,Male,30.0,7.2,0.0,2.0,0,1,196108.51,0
687.0,Germany,Female,34.0,7.0,101030.012,1.4,1,0,104266.7,0
643.8,France,Female,41.0,6.2,56214.85,1.6,0,0,84093.884,1
736.6,France,Female,33.4,6.4,84327.77,1.6,1,0,17675.36,0
479.0,France,Female,34.4,6.4,0.0,2.0,1,0,118264.702,0
601.0,Spain,Male,38.0,7.0,109803.57400000001,1.0,1,1,86957.42,0
580.0,France,Male,41.6,9.0,61710.44,2.0,1,0,119130.778,0
807.0,France,Male,35.0,5.4,111199.086,1.0,1,1,600.36,0
663.6,Spain,Male,55.0,5.4,0.0,1.6,1,1,43001.46,0
721.0,France,Female,37.0,3.0,107720.64,1.4,1,0,158591.12,0
501.0,France,Male,48.0,7.6,0.0,2.0,1,1,119192.876,0
521.0,France,Male,34.0,6.0,96423.84,1.2,1,0,10488.44,0
650.0,Spain,Male,47.4,2.0,141040.01,1.6,1,1,5978.2,0
759.0,France,Male,45.0,4.0,78801.046,1.6,1,0,121409.06,0
516.0,Spain,Female,35.0,5.0,0.0,1.8,0,1,146145.93,0
658.0,France,Male,34.4,6.4,129022.06,1.6,1,1,14374.86,0
665.2,France,Male,33.0,3.0,176666.62,1.6,1,0,59362.556000000004,0
696.6,Spain,Female,30.8,6.0,0.0,1.0,1,1,101965.698,0
675.4,Spain,Female,47.4,3.0,104138.454,1.0,0,0,199304.74,1
618.0,France,Female,41.6,6.8,52622.02,1.8,1,1,151954.39,0
655.6,France,Male,45.0,6.8,0.0,1.8,1,0,142513.5,0
671.0,France,Male,45.0,6.4,106376.85,1.4,0,1,103315.376,0
689.0,Germany,Female,33.0,7.4,161814.64,2.0,1,1,71989.96399999999,0
603.0,France,Male,49.4,7.4,0.0,1.6,1,1,97813.382,0
620.0,France,Male,41.0,9.0,110163.386,2.0,1,0,71629.91399999999,0
666.4,France,Male,34.0,7.0,63095.01,1.0,1,1,25521.256,0
572.0,Germany,Male,32.0,4.0,44360.14,1.6,0,0,80980.766,0
710.8,Germany,Male,37.8,7.0,82124.694,1.0,1,0,157959.02,0
695.0,France,Female,37.2,7.0,127016.21800000001,1.0,1,0,133007.34,0
739.4,France,Male,33.6,9.0,0.0,2.0,1,0,176576.62,0
718.4,France,Male,39.4,1.0,88097.256,1.4,0,1,70420.372,0
592.0,France,Male,41.8,7.0,0.0,1.6,1,1,86000.43000000001,0
726.0,France,Female,31.0,9.0,47999.722,2.0,0,0,98178.57,0
636.4,Germany,Male,41.0,7.0,61740.184,1.0,1,1,111901.344,0
663.6,France,Male,42.0,2.0,98201.928,2.0,1,1,51273.538,0
850.0,France,Male,49.4,7.6,115169.31,1.0,1,0,110183.822,0
749.8,Germany,Female,45.0,7.6,99564.22,1.6,1,0,70329.064,1
656.8,France,Male,37.0,6.2,170557.91,2.0,1,0,198252.88,0
674.2,France,Female,30.0,9.0,92375.262,2.0,1,1,26960.31,0
547.0,France,Female,39.0,7.4,74596.15,3.0,1,0,108721.446,1
751.0,France,Male,50.0,5.2,96888.39,1.0,1,0,77206.25,1
594.0,Germany,Male,29.0,3.0,130830.22,1.4,1,1,98762.346,0
678.4,Germany,Male,72.0,1.0,85624.346,1.6,0,1,152039.198,0
653.8,France,Male,34.4,0.0,79749.886,2.0,1,1,123735.02,0
512.0,France,Male,37.0,4.8,66916.004,2.0,0,1,156105.03,0
671.8,France,Male,20.0,3.0,121872.956,2.0,1,1,150135.38,0
585.0,France,Male,67.0,5.0,113978.97,1.2,1,1,112510.546,0
763.0,France,Male,45.2,5.8,123195.94200000001,1.8,1,0,33462.94,1
712.0,France,Male,29.0,6.0,0.0,1.0,1,1,144375.0,0
539.0,Germany,Female,43.0,6.8,116220.5,3.0,1,0,95458.182,1
668.0,France,Male,46.0,6.4,78261.12,1.6,1,0,81983.074,0
671.8,France,Male,28.0,7.8,113178.198,2.0,1,1,162812.16,0
697.2,Spain,Male,38.0,4.0,0.0,2.2,1,0,136259.65,0
725.0,France,Female,39.0,6.0,44346.276,2.0,1,1,107846.858,0
703.0,France,Male,43.8,5.8,105961.68,2.0,0,1,82150.724,0
659.0,Germany,Male,33.6,6.0,117411.6,1.0,1,1,102267.144,0
523.0,Spain,Female,34.0,7.0,92080.758,1.6,1,0,117731.678,0
743.6,Germany,Male,40.0,10.0,123497.58,1.0,1,0,131953.23,1
726.0,France,Male,26.0,7.0,89760.564,1.2,1,0,102402.258,0
685.6,France,Female,26.0,1.0,0.0,2.0,1,1,92154.988,0
698.8,Germany,Male,24.0,6.2,103097.85,2.0,1,0,157577.29,0
739.0,Germany,Male,54.0,8.0,126418.14,1.0,1,0,102157.322,0
661.6,Germany,Male,41.4,8.0,87565.694,1.2,0,0,99805.99,0
587.0,France,Female,41.0,1.0,0.0,2.0,1,1,97932.68,0
683.2,France,Male,79.0,6.0,20858.282,2.0,1,1,84431.25,0
544.0,Germany,Male,37.0,6.4,79731.91,1.0,1,1,63113.854,0
696.0,Spain,Male,28.0,7.0,0.0,2.0,0,0,49874.438,0
766.0,Spain,Female,41.0,0.0,70601.79800000001,2.0,0,1,78037.74,0
727.0,France,Female,34.0,7.4,0.0,1.6,1,1,89549.294,0
671.0,Germany,Male,41.2,7.2,86866.98,2.0,1,0,87805.602,0
693.0,Germany,Male,30.0,6.4,93476.842,1.2,1,1,101819.738,0
850.0,France,Male,38.0,7.4,54901.01,1.0,1,1,140075.55,0
692.8,Germany,Female,29.2,7.0,92752.818,1.8,1,1,126956.912,0
726.0,France,Male,48.0,5.8,99906.19,1.0,1,0,64323.24,0
557.0,France,Female,32.0,7.4,184686.41,1.2,1,0,135843.546,0
