cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.478,0.365,0.095,0.514,0.2245,0.101,0.15
M,0.35,0.265,0.09,0.2255,0.0926,0.0485,0.0534
F,0.522,0.42,0.135,0.6648999999999999,0.2565,0.1415,0.21
M,0.46499999999999997,0.365,0.125,0.5967,0.263,0.1277,0.1703
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.057600000000000005
I,0.425,0.3,0.097,0.3515,0.141,0.0693,0.12
F,0.545,0.43,0.15,0.7775,0.237,0.1415,0.33
F,0.517,0.399,0.125,0.768,0.294,0.1495,0.26
I,0.483,0.37,0.129,0.5095,0.2297,0.0949,0.1304
F,0.55,0.44,0.15,0.8945,0.3145,0.20350000000000001,0.2893
F,0.525,0.38,0.14,0.8006,0.3404,0.1778,0.219
I,0.43,0.35,0.11,0.406,0.1675,0.081,0.135
I,0.49,0.379,0.135,0.5415,0.22920000000000001,0.095,0.1724
F,0.531,0.405,0.145,0.6845,0.2725,0.171,0.205
F,0.47,0.355,0.124,0.4862,0.1675,0.1068,0.185
M,0.5,0.386,0.138,0.6645,0.258,0.133,0.24
M,0.355,0.28,0.085,0.2905,0.095,0.0627,0.0907
F,0.44,0.34,0.1,0.451,0.1961,0.087,0.13
M,0.365,0.295,0.08,0.2555,0.097,0.0587,0.1
I,0.45,0.32,0.1,0.381,0.166,0.075,0.115
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
I,0.38,0.275,0.1,0.2246,0.08,0.0501,0.085
F,0.565,0.45,0.161,0.9954,0.4424,0.2309,0.27
F,0.541,0.415,0.132,0.7635,0.318,0.21,0.2
F,0.621,0.48,0.166,1.1615,0.5603,0.232,0.305
F,0.56,0.451,0.159,0.9272,0.3825,0.1938,0.3
F,0.584,0.46599999999999997,0.157,0.9637,0.3945,0.2439,0.285
M,0.601,0.457,0.14,0.931,0.4153,0.1852,0.2536
M,0.58,0.46199999999999997,0.18,0.9365,0.394,0.2342,0.2301
M,0.57,0.46,0.14,0.9338,0.393,0.2063,0.2743
F,0.594,0.47,0.163,0.9975,0.43929999999999997,0.242,0.33
F,0.597,0.47600000000000003,0.166,1.071,0.4551,0.2805,0.3385
F,0.645,0.513,0.176,1.338,0.6129,0.2754,0.35
M,0.641,0.512,0.175,1.798,0.8438,0.4294,0.3746
F,0.705,0.532,0.17500000000000002,1.2164,0.527,0.2581,0.3828
M,0.465,0.343,0.105,0.4795,0.227,0.124,0.125
F,0.6,0.488,0.17200000000000001,1.217,0.5213,0.2532,0.3691
M,0.45,0.355,0.105,0.5225,0.237,0.1165,0.153
F,0.575,0.456,0.157,0.9045,0.381,0.1934,0.2941
M,0.355,0.29,0.10700000000000001,0.3275,0.134,0.086,0.09
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115
F,0.55,0.425,0.155,0.8515,0.362,0.196,0.26839999999999997
I,0.24,0.175,0.056,0.07,0.0315,0.0235,0.0194
I,0.205,0.15,0.044,0.042,0.0196,0.015,0.012
I,0.21,0.15,0.05,0.0419,0.0175,0.0125,0.015
I,0.39,0.295,0.095,0.2292,0.10200000000000001,0.045,0.075
M,0.47,0.375,0.12,0.8976999999999999,0.3874,0.227,0.2477
I,0.46,0.375,0.12,0.4605,0.1775,0.0963,0.15
I,0.325,0.245,0.075,0.161,0.0755,0.0255,0.045
F,0.544,0.425,0.139,0.8355,0.3473,0.1691,0.267
I,0.534,0.41,0.12,0.541,0.2577,0.111,0.1516
I,0.423,0.32,0.102,0.303,0.1335,0.0679,0.0925
M,0.522,0.401,0.132,0.6216,0.2949,0.096,0.1517
F,0.468,0.36,0.12,0.4775,0.1782,0.1148,0.1468
M,0.405,0.31,0.1,0.385,0.16,0.0915,0.11
F,0.5650000000000001,0.43,0.14,0.6615,0.2565,0.1755,0.2002
M,0.445,0.348,0.122,0.4425,0.1839,0.0955,0.1213
M,0.479,0.376,0.135,0.5895,0.2464,0.12,0.1726
I,0.245,0.19,0.06,0.086,0.042,0.014,0.0242
M,0.504,0.38,0.125,0.5719,0.246,0.13,0.175
I,0.45,0.345,0.105,0.4115,0.18,0.0819,0.135
M,0.505,0.379,0.11,0.625,0.305,0.13899999999999998,0.175
F,0.537,0.414,0.13,0.8537,0.38130000000000003,0.1935,0.2559
I,0.425,0.325,0.10200000000000001,0.3785,0.1705,0.08,0.1114
M,0.503,0.392,0.12,0.58,0.234,0.12940000000000002,0.1823
I,0.475,0.365,0.125,0.5146,0.234,0.1015,0.1558
F,0.565,0.449,0.16,1.068,0.38130000000000003,0.2283,0.32
F,0.609,0.495,0.177,1.285,0.416,0.224,0.4336
F,0.475,0.39,0.134,0.5305,0.2135,0.1323,0.1719
I,0.31,0.235,0.07,0.161,0.063,0.0405,0.045
M,0.555,0.425,0.13,0.9297,0.462,0.2026,0.275
F,0.4,0.32,0.11,0.353,0.1458,0.0985,0.1
M,0.595,0.475,0.17,1.2687,0.48,0.28600000000000003,0.425
M,0.603,0.482,0.178,1.185,0.5035,0.261,0.38
M,0.5690000000000001,0.449,0.148,1.0798,0.481,0.224,0.324
F,0.589,0.461,0.169,1.0075,0.445,0.221,0.28
M,0.566,0.451,0.14,0.887,0.3625,0.1869,0.315
F,0.6,0.47,0.157,0.922,0.363,0.194,0.2994
M,0.555,0.425,0.148,0.788,0.282,0.1554,0.23
F,0.588,0.48,0.176,1.1025,0.4748,0.2355,0.345
F,0.568,0.445,0.15,0.941,0.3845,0.2178,0.2772
M,0.62,0.483,0.181,1.2948,0.5716,0.2757,0.3575
F,0.52,0.409,0.165,0.9331,0.396,0.225,0.2529
F,0.628,0.513,0.199,1.3175,0.408,0.2758,0.58
M,0.58,0.45,0.162,1.013,0.38,0.216,0.36
M,0.568,0.45,0.18,0.9242,0.3826,0.2225,0.2849
M,0.615,0.469,0.164,0.9359999999999999,0.4168,0.205,0.2818
M,0.56,0.451,0.16,1.0148000000000001,0.4313,0.2361,0.3071
I,0.46,0.358,0.122,0.517,0.2075,0.114,0.165
M,0.575,0.46399999999999997,0.16,0.9505,0.3135,0.231,0.324
