con_age,cat_workclass,con_fnlwgt,cat_education,con_education.num,cat_marital.status,cat_occupation,cat_relationship,cat_race,cat_sex,con_capital.gain,con_capital.loss,con_hours.per.week,cat_native.country,cat_income
36.4,Private,132870.0,Assoc-acdm,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,1459.6,0.0,37.8,United-States,<=50K
29.6,Private,192509.6,HS-grad,9.0,Never-married,Exec-managerial,Unmarried,White,Male,0.0,0.0,32.4,United-States,<=50K
42.6,Private,264663.0,HS-grad,10.8,Never-married,Adm-clerical,Husband,White,Female,0.0,0.0,40.6,United-States,<=50K
41.0,Private,165198.6,7th-8th,6.4,Never-married,Sales,Unmarried,White,Female,470.8,0.0,41.2,United-States,<=50K
40.0,Private,174543.0,11th,6.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,0.0,0.0,35.0,United-States,<=50K
50.0,Private,248035.6,HS-grad,9.4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,34.0,United-States,<=50K
43.0,Private,225443.8,HS-grad,7.8,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,37.2,United-States,<=50K
45.8,Self-emp-inc,197854.8,Doctorate,15.0,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,3004.8,312.8,35.0,United-States,>50K
30.0,Private,203600.8,HS-grad,8.8,Never-married,Prof-specialty,Own-child,White,Male,0.0,2824.0,38.0,United-States,<=50K
43.6,Private,232134.2,HS-grad,10.2,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,369.6,45.0,United-States,>50K
36.2,Private,188794.0,Bachelors,11.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,620.6,0.0,55.0,United-States,>50K
46.0,Private,132738.8,HS-grad,9.6,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,38.8,United-States,>50K
46.2,Private,145971.2,11th,7.4,Married-civ-spouse,Transport-moving,Husband,White,Male,4040.4,2824.0,45.4,United-States,>50K
32.8,Private,135932.6,Some-college,11.2,Never-married,Sales,Own-child,White,Male,0.0,2824.0,37.0,United-States,<=50K
44.0,Self-emp-not-inc,199851.4,Some-college,11.4,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
41.2,Private,130766.6,Some-college,9.4,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,42.2,United-States,<=50K
41.0,Private,77009.0,11th,7.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,2754.0,42.0,United-States,<=50K
61.0,Private,101619.6,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.4,United-States,<=50K
39.0,Private,136912.0,HS-grad,10.4,Married-civ-spouse,Other-service,Husband,White,Male,470.8,0.0,37.0,United-States,<=50K
21.0,Private,201770.0,7th-8th,7.6,Never-married,Priv-house-serv,Own-child,White,Male,0.0,511.8,40.0,United-States,<=50K
33.0,Private,392241.6,1st-4th,2.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,2603.0,32.0,Mexico,<=50K
56.4,Private,122066.0,5th-6th,3.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,761.4,40.0,Greece,<=50K
31.4,Private,107164.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,46.0,United-States,<=50K
38.0,Private,135798.0,HS-grad,10.6,Married-civ-spouse,Farming-fishing,Wife,White,Male,0.0,0.0,40.6,United-States,<=50K
32.8,Private,44064.0,HS-grad,9.8,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,511.8,32.6,United-States,<=50K
52.0,Private,127333.6,Some-college,12.4,Widowed,Craft-repair,Not-in-family,White,Female,0.0,0.0,38.0,United-States,<=50K
52.0,Local-gov,221388.4,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,38.0,United-States,<=50K
28.4,Private,144372.8,Bachelors,11.4,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,48.0,United-States,<=50K
36.2,Self-emp-not-inc,220284.6,HS-grad,9.6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,41.0,United-States,<=50K
46.6,Private,203748.2,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,2997.2,2559.0,60.0,United-States,>50K
39.0,Private,197999.6,HS-grad,9.2,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,30.2,United-States,<=50K
38.8,Private,172984.8,Masters,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,38.4,United-States,>50K
40.6,Private,278430.0,Doctorate,14.6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,395.4,42.0,United-States,>50K
54.0,Private,259279.6,HS-grad,10.2,Married-civ-spouse,Adm-clerical,Husband,White,Male,3786.4,2559.0,43.0,United-States,>50K
32.4,Private,138464.6,HS-grad,9.8,Divorced,Handlers-cleaners,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
43.0,Private,187407.6,Some-college,8.8,Divorced,Sales,Unmarried,White,Female,0.0,0.0,37.4,United-States,<=50K
