con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
619.0,France,Female,42.0,2.0,53277.104,1.0,0,1,110405.594,1
680.4,Spain,Female,36.0,1.0,83807.86,1.0,0,1,112542.58,0
502.0,France,Female,42.0,4.0,102652.634,1.0,1,0,69739.82,1
699.0,France,Female,39.0,1.0,0.0,2.0,0,0,93826.63,0
850.0,Spain,Female,43.0,6.6,125510.82,1.0,1,1,91530.236,0
620.4,France,Male,40.4,3.0,105440.864,1.4,1,0,149756.71,0
682.2,France,Female,43.0,7.0,0.0,2.0,1,1,10062.8,0
376.0,Germany,Female,52.0,5.0,115046.74,1.0,1,0,119346.88,1
501.0,France,Male,44.0,4.0,142051.07,2.0,0,1,74940.5,0
684.0,France,Male,27.0,2.0,117502.924,1.0,1,1,71725.73,0
528.0,France,Male,31.0,6.0,102016.72,2.0,0,0,80181.12,0
497.0,Spain,Male,24.0,3.0,0.0,2.0,1,0,76390.01,0
476.0,France,Female,34.0,10.0,0.0,2.0,1,1,26260.98,0
549.0,France,Female,25.0,5.0,0.0,2.0,0,0,190857.79,0
635.0,Spain,Female,35.0,7.0,0.0,1.8,1,1,65951.65,0
623.0,Germany,Male,45.0,6.6,143129.41,2.0,0,1,95493.762,0
653.0,Germany,Female,58.0,1.0,132602.88,1.0,1,0,107187.43400000001,1
549.0,Spain,Male,24.0,9.0,0.0,1.6,1,1,14406.41,0
587.0,Spain,Male,45.0,6.0,0.0,1.8,0,0,81439.208,0
726.0,France,Female,24.0,6.0,0.0,2.0,1,0,54724.03,0
627.6,France,Female,32.8,5.6,0.0,1.6,1,0,59251.812,0
654.8,Spain,Female,32.0,2.8,0.0,1.6,1,0,83354.134,0
510.0,France,Female,38.0,4.0,0.0,1.2,1,0,118913.53,1
669.0,France,Male,46.0,3.0,0.0,1.8,0,1,93931.306,0
846.0,France,Female,38.2,5.0,0.0,1.0,1,1,187616.16,0
577.0,France,Male,25.0,3.0,0.0,2.0,1,1,124508.29,0
579.6,France,Male,32.2,2.0,136815.64,1.2,1,1,170041.95,0
571.0,France,Male,44.0,9.0,0.0,2.0,0,0,38433.35,0
574.0,Germany,Female,43.0,3.0,141349.43,1.0,1,0,100187.43,0
411.0,France,Male,29.0,0.0,59697.17,2.0,1,1,53483.21,0
591.0,Spain,Female,43.0,3.0,0.0,1.8,1,0,140469.38,0
635.2,France,Female,36.0,6.4,131806.674,1.0,0,1,156731.91,0
553.0,Germany,Male,41.0,3.8,110112.54,1.4,0,0,81898.81,0
520.0,Spain,Male,42.0,6.0,0.0,2.0,1,1,34410.55,0
615.4,France,Female,40.0,6.4,63008.574,1.4,1,1,142033.07,0
475.0,France,Female,45.0,0.0,134264.04,1.0,1,0,27822.99,1
490.0,France,Male,31.0,3.0,145260.23,1.0,0,1,114066.77,0
648.8,Germany,Male,34.6,4.6,102223.738,1.0,0,1,146573.718,0
850.0,France,Male,36.0,5.6,107863.684,2.0,1,1,40812.9,0
586.6,Spain,Female,35.8,6.0,129106.52,1.6,0,1,127378.538,0
472.0,Spain,Male,40.0,4.0,0.0,1.0,1,0,70154.22,0
465.0,France,Female,51.0,8.0,122522.32,1.0,0,0,96049.924,1
556.0,France,Female,61.0,2.0,117419.35,1.0,1,1,94153.83,0
695.8,France,Female,49.0,2.0,76998.924,1.4,0,0,86709.136,1
577.0,France,Female,61.0,5.0,117128.996,1.2,1,1,98055.018,0
776.0,France,Male,38.2,4.0,109421.13,1.0,1,1,126517.46,0
647.6,Spain,Female,45.2,9.0,112045.67,1.2,1,1,101426.06599999999,0
669.8,Germany,Female,39.0,9.0,137843.8,1.4,1,0,81101.39,1
550.0,Germany,Male,38.0,6.2,126506.92,1.0,0,1,90878.13,0
572.4,Germany,Female,37.0,2.0,107348.07800000001,2.0,1,1,194099.12,0
645.6,France,Female,40.8,10.0,116363.37,1.2,1,0,82055.94,0
585.0,Germany,Male,36.0,5.0,128730.556,2.0,0,0,86424.57,0
788.0,France,Female,33.0,5.0,0.0,1.8,1,0,116978.19,0
601.6,Germany,Female,37.8,8.0,125561.97,1.2,0,0,67940.838,0
601.0,Germany,Male,42.0,1.0,129923.794,1.4,1,0,40014.76,1
619.0,France,Male,43.0,5.6,125211.92,1.0,1,1,113410.49,0
656.0,France,Male,45.0,5.0,127864.4,1.4,1,0,87107.57,0
725.0,Germany,Male,19.0,0.0,75888.2,1.8,0,0,45613.75,0
511.0,Spain,Female,66.0,4.0,0.0,1.0,1,0,1643.11,1
614.0,France,Male,51.0,4.0,40685.92,1.0,1,1,46775.28,0
742.0,Germany,Male,35.0,5.0,136857.0,1.0,0,0,84509.57,0
687.0,Germany,Female,27.0,3.8,124190.792,2.0,1,0,126494.82,0
555.0,Spain,Male,34.6,1.0,56084.69,2.0,0,0,178798.13,0
591.0,Spain,Male,32.0,8.0,23136.162,1.6,1,1,99398.36,0
603.0,Germany,Female,33.2,4.0,130069.87000000001,1.0,1,1,92840.67,0
751.0,France,Female,38.4,6.0,66368.582,1.6,1,0,27758.36,0
722.8,Germany,Female,34.0,1.0,101633.04,1.0,1,0,110431.51,0
631.0,France,Male,41.2,5.0,77748.882,1.6,1,0,64585.816,0
661.0,Germany,Female,35.0,5.8,150725.53,1.0,0,1,113656.85,0
675.0,France,Female,21.0,8.0,98373.26,1.0,1,0,18203.0,0
628.8,France,Male,39.2,4.4,93013.59999999999,4.0,1,0,98660.54400000001,0
813.0,France,Male,29.0,4.2,0.0,1.0,1,0,33953.87,0
562.6,Germany,Female,38.6,0.0,163607.18,1.0,0,1,44203.55,0
604.0,Germany,Female,25.0,5.6,131202.344,1.2,1,0,58426.81,0
519.0,France,Male,36.0,9.0,0.0,2.0,0,1,145562.4,0
735.0,France,Male,21.0,1.0,178718.19,2.0,1,0,107060.178,0
602.6,France,Male,55.0,5.0,0.0,2.0,1,1,139161.64,0
678.0,France,Male,32.0,9.0,70293.97,1.0,1,1,148210.64,0
757.0,Spain,Male,40.6,6.6,79817.172,1.6,0,1,87058.984,0
416.0,Germany,Female,41.0,5.6,122189.66,2.0,1,0,98301.61,0
665.0,France,Female,34.0,1.0,96645.54,2.0,0,0,171413.66,0
657.8,France,Female,32.0,2.0,0.0,1.0,1,0,136458.19,1
543.0,France,Female,36.0,3.0,0.0,1.8,0,0,26019.59,0
506.0,France,Female,34.0,5.2,90307.62,1.6,1,1,159235.29,0
493.0,France,Female,46.0,4.0,0.0,2.0,1,0,1907.66,0
621.4,France,Female,37.2,3.2,74561.14,1.6,1,1,114675.75,0
750.0,Spain,Male,22.0,3.0,121681.82,1.0,1,0,128643.35,1
684.4,France,Male,33.6,9.0,0.0,1.8,1,0,151869.35,0
676.6,France,Female,46.0,4.0,37266.724,3.0,1,0,93251.42,1
635.0,France,Male,40.8,3.8,81623.67,1.2,1,1,107371.344,0
731.8,France,Female,42.0,6.6,108066.35399999999,1.2,1,0,53555.65,0
648.8,France,Male,45.0,5.6,118626.55,2.0,1,1,152148.612,0
524.0,France,Female,36.0,10.0,83526.866,2.0,1,0,109614.57,0
769.0,France,Male,29.0,8.0,55277.782,2.0,1,1,172290.61,0
730.0,Spain,Male,42.0,4.4,0.0,2.0,1,1,85982.47,0
515.0,Spain,Male,35.0,4.0,176273.95,1.0,1,1,121277.78,0
540.0,Spain,Male,41.0,9.0,43116.238,1.6,1,1,109565.348,0
601.0,Germany,Male,29.0,4.8,87885.406,1.4,1,1,85237.008,0
710.0,Spain,Male,38.4,8.0,0.0,2.0,0,0,99645.04,0
413.0,France,Male,34.0,9.0,0.0,2.0,0,0,6534.18,0
