cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.45499999999999996,0.3727104902267456,0.095,0.514,0.2245,0.101,0.15
M,0.35,0.265,0.09,0.6249818325042724,0.0995,0.0485,0.07
I,0.53,0.42000000000000004,0.135,0.677,0.2867036104202271,0.1415,0.21000000000000002
I,0.4312412619590759,0.365,0.125,0.516,0.21549999999999997,0.13301676213741304,0.1777165114879608
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.05500000000000001
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.20457391440868378
F,0.53,0.4149999999999999,0.12842474430799483,0.608168625831604,0.23700000000000002,0.1415,0.33
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.18438661992549896
M,0.475,0.37,0.125,0.5095,0.28991266489028933,0.1125,0.165
F,0.55,0.3606118083000183,0.15,0.5921547293663025,0.3145,0.1397275894880295,0.32
F,0.525,0.38,0.12301967144012452,0.6065,0.25418090224266054,0.1475,0.21000000000000002
M,0.43,0.35,0.11000000000000001,0.406,0.1675,0.081,0.135
M,0.4435944795608521,0.38,0.12462836056947708,0.5595936298370361,0.21749999999999997,0.095,0.18253479897975922
F,0.535,0.4050000000000001,0.145,0.5754277586936951,0.2725,0.13762572556734085,0.18614907264709474
F,0.4699999999999999,0.355,0.12875577956438064,0.4755,0.1675,0.0805,0.185
M,0.5,0.35609541535377504,0.13,0.6645,0.258,0.133,0.24
I,0.355,0.28,0.085,0.5950076818466187,0.095,0.0395,0.11500000000000002
F,0.44000000000000006,0.34,0.1,0.45099999999999996,0.188,0.087,0.13
M,0.4361999809741974,0.295,0.08,0.2555,0.097,0.043,0.1
M,0.45,0.39192151427268984,0.1,0.381,0.1705,0.075,0.20471944212913512
M,0.355,0.28,0.1294910877943039,0.2455,0.0955,0.062,0.075
I,0.38,0.275,0.1,0.22549999999999998,0.08,0.049,0.085
I,0.565,0.44000000000000006,0.12479712218046188,0.9395,0.2602116048336029,0.21400000000000002,0.27
F,0.55,0.38043367862701416,0.135,0.7635,0.318,0.21000000000000002,0.2
F,0.615,0.48,0.12773845791816713,1.1615,0.2767988830804825,0.301,0.1913762629032135
F,0.56,0.3859184801578522,0.13160199224948882,0.9285,0.2919465184211731,0.188,0.20151498317718505
I,0.4613867700099945,0.45,0.12694913893938065,0.9955,0.3945,0.272,0.285
M,0.500803554058075,0.38849210143089297,0.13264472782611847,0.6520954847335816,0.356,0.23400000000000004,0.28
I,0.4342926800251007,0.34114829301834104,0.18,0.9365,0.2545090913772583,0.219,0.295
M,0.575,0.425,0.14,0.5501187026500702,0.393,0.13463737666606904,0.18093364238739013
M,0.58,0.4699999999999999,0.165,0.9975000000000002,0.3935,0.242,0.33
I,0.5014565885066986,0.56,0.13315127789974213,1.639,0.2964011400938034,0.2805,0.4600000000000001
I,0.665,0.35460424423217773,0.165,0.5767033815383911,0.5515,0.13864379227161408,0.1864960551261902
F,0.517087173461914,0.55,0.134984527528286,0.6720996499061584,0.3053861439228058,0.3925,0.2093879461288452
I,0.4902832508087158,0.55,0.13088797330856322,0.6309556066989899,0.28767830729484556,0.1463724732398987,0.19846728444099426
M,0.465,0.355,0.10500000000000001,0.4795,0.29808040261268615,0.124,0.125
F,0.54,0.475,0.155,0.5530379712581635,0.25716630220413206,0.3075,0.34
F,0.47374739646911623,0.3695973575115204,0.10500000000000001,0.5225,0.23700000000000002,0.1165,0.145
F,0.575,0.445,0.135,0.883,0.381,0.20349999999999996,0.26
M,0.355,0.29,0.09,0.5857300519943237,0.134,0.086,0.09
F,0.45,0.335,0.12357062548398971,0.425,0.1865,0.091,0.17994410991668702
F,0.55,0.425,0.135,0.6667415738105774,0.30141256749629974,0.196,0.20673396587371826
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
I,0.5088768184185029,0.15,0.05500000000000001,0.042,0.025500000000000002,0.015,0.012
I,0.21000000000000002,0.15,0.05,0.042,0.0175,0.0125,0.015
I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075
M,0.4699999999999999,0.37,0.12,0.5699531078338623,0.293,0.1364751487970352,0.14
F,0.4600000000000001,0.375,0.12,0.4605,0.1775,0.11000000000000001,0.15
I,0.325,0.24500000000000002,0.07,0.161,0.0755,0.025500000000000002,0.045
I,0.525,0.425,0.1286364644765854,0.8355,0.3545,0.21349999999999997,0.24500000000000002
I,0.52,0.41,0.12,0.6294719696044921,0.2385,0.11100000000000002,0.19
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1
M,0.485,0.36,0.12313763499259948,0.5415,0.2595,0.096,0.16
F,0.5066054821014404,0.36,0.12,0.4774999999999999,0.2105,0.1513277053833008,0.15
M,0.4050000000000001,0.31,0.1,0.385,0.2964843690395355,0.0915,0.11000000000000001
F,0.5,0.4,0.12866831570863724,0.6615,0.2565,0.1755,0.22000000000000003
M,0.445,0.35,0.12,0.4425,0.2967745542526245,0.15020650625228882,0.135
