con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
619.0,France,Female,42.0,2.0,20637.159521484376,-14.744572022557259,1.0,1.0,101348.88,1.0
608.0,Spain,Female,41.0,1.0,83807.86,1.0,0.0,1.0,112542.58,0.0
502.0,France,Female,42.0,8.0,159660.8,3.0,1.0,0.0,105237.3640625,1.0
699.0,France,Female,39.0,1.0,0.0,2.0,0.0,0.0,93826.63,0.0
850.0,Germany,Female,63.60522880554199,2.0,125510.82000000002,-2.8511914253234862,1.0,1.0,96482.8453125,0.0
36.997141647338864,Spain,Male,13.921618270874024,8.0,811.2193450927734,0.8635020792484284,1.0,0.0,1920.6613708496093,1.0
822.0,France,Female,50.0,7.0,21848.893359375,2.0,1.0,1.0,61966.1130859375,0.0
376.0,Germany,Female,61.693176460266116,-12.078077030181884,115046.74000000002,4.0,1.0,1.0,84666.97578125,1.0
501.0,France,Male,44.0,4.0,142051.07,2.0,0.0,1.0,74940.5,0.0
684.0,France,Male,27.0,2.0,134603.88,1.0,0.0,1.0,71725.73,0.0
528.0,France,Male,31.0,6.0,18943.486669921876,2.0,0.0,0.0,80181.12,0.0
497.0,Spain,Female,24.0,3.0,0.0,2.0,1.0,0.0,76390.01,0.0
476.0,France,Female,34.0,10.0,0.0,1.6725416421890258,1.0,0.0,26260.98,0.0
549.0,France,Female,25.0,5.0,0.0,2.0,0.0,0.0,190857.79,0.0
635.0,Spain,Female,23.08188877105713,7.0,21037.79655761719,2.0,1.0,1.0,54709.159423828125,0.0
584.2579063415527,Germany,Male,16.056768703460694,-4.47051784992218,143129.41,2.0,1.0,0.0,73586.70717773438,0.0
653.0,Germany,Female,58.0,1.0,132602.88,1.0,1.0,0.0,5097.67,1.0
549.0,Spain,Female,24.0,9.0,9760.652001953125,2.0,1.0,1.0,14406.41,0.0
587.0,Spain,Male,45.0,6.0,0.0,1.0,0.0,0.0,158684.81,0.0
726.0,France,Female,24.0,-4.493604278564453,0.0,2.0,1.0,1.0,75294.8552734375,0.0
732.0,France,Male,11.32492961883545,8.0,33479.34541015625,-11.035386961698531,0.0,1.0,170886.17,1.0
328.305517578125,Spain,Female,32.0,8.0,0.0,2.0,1.0,0.0,138555.46,0.0
510.0,Spain,Female,38.0,4.0,0.0,1.0,1.0,0.0,118913.53,1.0
69.01884613037109,France,Male,46.0,3.0,2554.2456298828124,2.0,0.0,1.0,8487.75,0.0
846.0,France,Female,32.66081237792969,5.0,0.0,1.0,1.0,1.0,52946.46105957031,0.0
577.0,France,Male,25.0,3.0,0.0,2.0,0.0,1.0,124508.29,0.0
975.1466186523437,Germany,Male,47.10484085083008,-31.035433197021483,136815.64,1.0,1.0,1.0,170041.95,0.0
571.0,France,Male,44.0,9.0,0.0,2.0,0.0,0.0,38433.35,0.0
574.0,Germany,Female,43.0,3.0,141349.43,1.0,1.0,1.0,100187.43,0.0
411.0,France,Male,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,0.0
723.3843627929688,France,Female,39.0,-10.53566346168518,0.0,-11.433545398712159,0.0,0.0,140469.38,1.0
533.0,France,Male,36.0,7.0,85311.7,1.0,0.0,1.0,156731.91,0.0
351.21496200561523,Germany,Male,41.0,9.0,110112.54,2.0,0.0,0.0,81898.81,0.0
520.0,Spain,Female,17.362012958526613,6.0,12218.24375,2.0,1.0,1.0,34410.55,0.0
538.0080551147461,France,Female,29.0,-6.872404861450195,27930.66416015625,2.0,1.0,1.0,142033.07,0.0
