cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,70.0,2.0,1.0,0.6512490093708039,7,not acept,not furnished,2065.0,3300.0,211.0,42.0
São Paulo,80.7230182647705,4.0,1.464847695827484,0.0,20,acept,not furnished,1200.0,2055.356072998047,183.87230796813964,35.38861999511719
Porto Alegre,82.55327911376953,1.0,1.0,1.2978606283664704,6,acept,not furnished,1000.0,2311.194775390625,0.0,41.0
São Paulo,51.0,2.0,1.0,0.0,2,acept,not furnished,193.73675231933595,721.7093444824219,22.0,17.0
São Paulo,25.0,1.0,1.0,0.0,1,not acept,not furnished,0.0,800.0,25.0,11.0
São Paulo,248.68240966796876,3.554768717288971,1.7007864475250245,7.0,20,acept,furnished,0.0,8000.0,834.0,121.0
Rio de Janeiro,73.51772689819336,2.0,1.0,0.0,1,not acept,not furnished,740.0,1900.0,85.0,30.311298751831053
São Paulo,170.05320434570314,2.799460220336914,1.6369805812835694,1.0132259964942931,4,acept,not furnished,2254.0,3223.0,1735.0,41.0
São Paulo,152.0,2.0,2.0,-1.8543942451477051,3,not acept,furnished,1000.0,15000.0,755.2739410400391,191.0
Rio de Janeiro,35.0,1.0,1.0,0.0,2,acept,furnished,590.0,2300.0,35.0,30.0
São Paulo,26.0,1.0,1.0,0.0,1,acept,furnished,470.0,2100.0,150.0,27.0
Campinas,46.0,1.0,1.0,1.0,1,acept,not furnished,550.0,580.0,43.0,8.0
São Paulo,36.0,1.0,1.0,0.0,11,acept,not furnished,359.0,2100.0,70.0,27.0
São Paulo,55.0,1.0,1.0,1.0,2,acept,furnished,790.0,4200.0,224.0,54.0
Rio de Janeiro,100.0,2.0,2.0,2.0,24,acept,not furnished,900.0,4370.0,17.0,56.0
Campinas,21.4669548034668,1.7373178482055665,1.23671555519104,0.7394891381263733,2,acept,furnished,56.74748153686524,230.76305541992187,11.199693775177002,10.556993293762208
São Paulo,110.0,2.0,2.0,1.0,1,acept,not furnished,700.0,3000.0,122.0,39.0
Rio de Janeiro,88.0,2.0,3.0,1.0,9,not acept,furnished,734.6495727539062,3500.0,221.0,16.0
Rio de Janeiro,56.0,2.0,1.0,0.0,8,acept,not furnished,800.0,1220.0,109.2283706665039,25.307479476928712
São Paulo,1278.769297027588,4.0,16.89009895324707,7.094186413288116,1,not acept,furnished,10735.087777709961,39715.40043945312,9500.0,555.1596595764161
São Paulo,70.69033508300781,7.0,1.5641279697418213,0.0,1,not acept,not furnished,0.0,1757.02685546875,118.0,58.0
São Paulo,42.0,1.0,1.0,1.0,17,not acept,furnished,470.0,2690.0,172.0,36.0
São Paulo,160.0,3.0,1.583012342453003,2.0,2,acept,furnished,494.15325927734375,1900.0,167.0,25.0
São Paulo,35.0,1.0,1.0,0.0,-,acept,not furnished,0.0,1100.0,70.49661178588867,14.0
São Paulo,86.52800598144532,3.0,2.0,1.0,7,acept,not furnished,800.0,1800.0,118.0,34.23953857421875
São Paulo,49.0,1.0,1.0,1.1445771396160125,10,acept,not furnished,480.0,3500.0,42.0,45.0
Rio de Janeiro,41.0,1.0,1.9717004537582397,0.7491000898182392,5,not acept,furnished,600.0,3000.0,0.0,39.0
Belo Horizonte,64.0,2.0,1.303999423980713,1.0,11,acept,not furnished,352.0,1500.0,80.0,20.0
