cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.45499999999999996,0.4126557886600494,0.095,0.7753585696220398,0.34951633810997007,0.101,0.23390282094478607
M,0.35,0.403342479467392,0.13833819031715394,0.22549999999999998,0.0995,0.0485,0.07
M,0.43636870980262754,0.3465815007686615,0.12787908613681792,0.677,0.2565,0.1415,0.21000000000000002
M,0.4477146744728088,0.3557514429092407,0.12912520468235017,0.6293383121490479,0.21549999999999997,0.15921185314655303,0.20100148320198058
M,0.41851738691329954,0.255,0.08,0.205,0.2751688778400421,0.15011475384235382,0.18868060111999513
I,0.5142657637596131,0.3,0.095,0.7492068886756897,0.141,0.0775,0.12
M,0.502247953414917,0.39521387219429016,0.15,0.7305768609046936,0.33171608448028567,0.1415,0.22365276217460633
M,0.493525230884552,0.425,0.125,0.768,0.3268511533737183,0.17313092350959777,0.21980433464050292
M,0.475,0.351467490196228,0.125,0.5095,0.2165,0.1572028636932373,0.19925042390823364
F,0.55,0.44000000000000006,0.15,0.8945000000000001,0.3145,0.15401048064231873,0.19560184180736542
M,0.505275297164917,0.39659538865089417,0.14,0.7339098215103149,0.194,0.1767702430486679,0.22401539087295533
M,0.43,0.35,0.12791902124881743,0.6169187784194946,0.28760968446731566,0.15576869547367095,0.135
M,0.49000000000000005,0.38661767840385436,0.135,0.7118612289428711,0.21749999999999997,0.095,0.2197642982006073
F,0.5146153926849365,0.4050000000000001,0.13857076764106752,0.7543467044830322,0.3401791572570801,0.1792947143316269,0.205
F,0.49635291695594785,0.39078969955444337,0.13647753447294236,0.7188337087631226,0.1675,0.0805,0.22206489145755767
M,0.5,0.3736233413219452,0.13307583034038545,0.6645,0.258,0.133,0.21154457330703735
M,0.43003939986228945,0.3426694989204407,0.085,0.5995014667510986,0.28282148838043214,0.0395,0.19354056119918822
F,0.48494393825531007,0.3822146713733673,0.1347378149628639,0.6959747076034546,0.3216110706329346,0.17103492319583893,0.21668166816234588
M,0.365,0.3609751522541046,0.08,0.2555,0.097,0.043,0.1
M,0.45,0.39394530057907107,0.1376269981265068,0.7312801122665405,0.1705,0.075,0.11500000000000002
M,0.46747408509254457,0.3687651455402374,0.13201178908348082,0.6708234429359436,0.0955,0.062,0.075
I,0.38,0.275,0.14262582063674928,0.7955326676368714,0.08,0.18875499665737153,0.23889040648937226
M,0.4585972547531128,0.3627879977226257,0.155,0.9395,0.3025260090827942,0.16303103268146515,0.2055666536092758
F,0.55,0.3883401334285736,0.13625908493995667,0.7145475387573242,0.318,0.21000000000000002,0.22200874090194703
M,0.4809933006763458,0.3793336868286133,0.13350980281829833,0.6862884640693665,0.513,0.301,0.305
F,0.48893192410469055,0.44000000000000006,0.13563586175441741,0.7082954287528992,0.3825,0.17124517858028412,0.21907525062561034
F,0.45564953684806825,0.36116291880607604,0.185,0.9955,0.2995330035686493,0.16181310415267944,0.285
M,0.59,0.445,0.14,0.7180355191230774,0.3282832205295563,0.23400000000000004,0.28
M,0.4936394810676575,0.475,0.18,0.9365,0.394,0.219,0.21940537989139558
M,0.575,0.3942443072795868,0.1378522127866745,0.8634999999999999,0.393,0.227,0.2
M,0.47580515742301943,0.3770159125328064,0.165,0.9975000000000002,0.3150967240333557,0.16777489483356475,0.33
F,0.4804155886173248,0.37975404858589173,0.1339121490716934,0.6954222559928894,0.3175842583179474,0.2805,0.21449312269687654
M,0.4553149342536926,0.525,0.1306990623474121,1.338,0.5515,0.16079455614089966,0.35
F,0.68,0.383039665222168,0.175,1.798,0.8149999999999998,0.170474174618721,0.45499999999999996
M,0.705,0.3812480628490448,0.13423031866550444,1.7094999999999998,0.3202432543039322,0.16951411366462707,0.49000000000000005
M,0.465,0.355,0.13856067657470703,0.7541400909423828,0.3430094838142395,0.124,0.125
