cat_Sex,con_Length,con_Diameter,con_Height,con_Whole_weight,con_Shucked_weight,con_Viscera_weight,con_Shell_weight
M,0.45499999999999996,0.35442010760307313,0.095,0.514,0.24944885373115538,0.101,0.15
I,0.35,0.265,0.09,0.22549999999999998,0.0995,0.1268657550215721,0.07
F,0.53,0.3557562530040741,0.135,0.677,0.25070578753948214,0.13209022730588912,0.17422023713588713
I,0.44000000000000006,0.365,0.125,0.516,0.21549999999999997,0.11400000000000002,0.18406091034412383
I,0.46969994306564333,0.255,0.08,0.205,0.0895,0.13439557254314421,0.05500000000000001
I,0.425,0.3556822896003723,0.095,0.3515,0.141,0.0775,0.17317968606948853
I,0.53,0.35124261379241944,0.12030309438705444,0.5423945248126983,0.2471850335597992,0.1291902929544449,0.17083895802497864
F,0.47800777554512025,0.37111344933509827,0.1248876303434372,0.768,0.294,0.1495,0.26
M,0.475,0.37,0.11866481006145477,0.5217600286006927,0.23957913219928742,0.12674714624881744,0.165
I,0.55,0.44000000000000006,0.12017423510551453,0.5288402676582337,0.3145,0.12773453295230866,0.16859505772590638
I,0.4564029693603516,0.38,0.12159124612808228,0.6065,0.194,0.13110476434230806,0.17313701212406157
I,0.43,0.359269517660141,0.12227426469326019,0.406,0.1675,0.081,0.135
I,0.4450195014476776,0.34743234515190125,0.135,0.5415,0.21749999999999997,0.095,0.19
F,0.43794705271720885,0.4050000000000001,0.11856696605682374,0.6845,0.2393848180770874,0.12723468691110612,0.205
F,0.4699999999999999,0.355,0.12958159148693085,0.4755,0.1675,0.0805,0.1946808159351349
M,0.447058367729187,0.4,0.13,0.6645,0.2457156300544739,0.12811363935470582,0.24
I,0.355,0.28,0.085,0.2905,0.095,0.13142139613628387,0.11500000000000002
F,0.471260005235672,0.34,0.1,0.45099999999999996,0.188,0.087,0.1787026584148407
M,0.365,0.295,0.11786076575517654,0.2555,0.097,0.043,0.1
M,0.45,0.32,0.1,0.381,0.22675842940807342,0.075,0.15768074691295625
M,0.355,0.365157151222229,0.095,0.2455,0.0955,0.13480786979198456,0.075
I,0.4442567765712738,0.275,0.11916594356298446,0.5305997788906097,0.08,0.049,0.085
