cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,70.0,2.0,1.0,1.0,7,acept,furnished,2065.0,3300.0,211.0,34.350956726074216
São Paulo,206.44041748046874,4.635319662094116,6.481042766571045,0.0,10,acept,not furnished,1630.7692626953126,4960.0,1750.0,63.0
São Paulo,80.0,1.0,1.0,1.0,6,acept,not furnished,1000.0,2800.0,0.0,41.0
Porto Alegre,51.0,2.0,1.0,0.0,2,acept,not furnished,270.0,1112.0,22.0,17.0
São Paulo,25.0,1.0,1.0,0.7138897061347962,1,not acept,not furnished,0.0,545.3536071777344,25.0,13.222436904907227
São Paulo,204.1205032348633,3.0,4.656804537773132,3.2373808145523073,9,acept,furnished,1568.6123901367187,5841.565185546875,834.0,121.0
São Paulo,72.0,2.0,1.0,0.0,7,acept,not furnished,384.0562805175781,1900.0,85.0,25.0
São Paulo,179.11239776611328,3.8143359899520872,4.0,0.2093824177980423,2,acept,furnished,1377.3726684570313,4913.104833984375,1735.0,41.0
São Paulo,401.85187072753905,2.0,3.0912059247493744,1.0,3,acept,furnished,1000.0,15000.0,250.0,191.0
Rio de Janeiro,35.0,1.0,1.0,0.0,2,acept,furnished,553.0409118652344,2300.0,35.0,30.0
São Paulo,26.0,1.0,1.0,0.0,2,acept,furnished,485.9875854492187,2100.0,150.0,27.0
Campinas,46.0,1.0,1.0,1.0,10,acept,not furnished,550.0,580.0,43.0,8.0
São Paulo,36.0,1.0,2.072415804862976,0.6221680849790573,11,acept,not furnished,359.0,2100.0,70.0,27.0
São Paulo,55.0,1.0,1.0,1.0,2,acept,furnished,790.0,4200.0,224.0,54.0
São Paulo,100.0,2.0,2.0,2.0,24,acept,furnished,900.0,4370.0,17.0,59.1275390625
Campinas,330.0,4.0,4.248595881462097,1.2409717321395874,10,acept,furnished,1441.0724243164063,8000.0,328.0,121.0
São Paulo,110.0,2.0,2.0,1.0,1,acept,furnished,700.0,3000.0,211.42720947265624,39.0
Rio de Janeiro,118.87397689819336,2.0,3.0,1.0,9,not acept,furnished,1614.0,2983.2998962402344,238.52141227722169,41.9573896408081
Rio de Janeiro,56.0,2.0,1.0,0.753639566898346,8,acept,not furnished,800.0,1220.0,0.0,16.0
São Paulo,1078.8918739318847,4.0,22.938148283958434,6.0,10,acept,not furnished,9460.199726867675,32067.76237182617,9500.0,355.0022184371948
São Paulo,122.69108734130859,7.0,3.0628082513809205,0.0,-,acept,not furnished,0.0,3800.0,252.00650329589843,58.0
São Paulo,42.0,1.0,1.0,0.3719128340482712,17,acept,furnished,588.6453796386719,2690.0,172.0,36.0
São Paulo,160.0,3.0,2.0,2.0,18,acept,furnished,1530.0,1900.0,167.0,25.0
São Paulo,41.29814453125,1.0,1.0,0.0,-,acept,not furnished,0.0,1100.0,3.0,14.0
São Paulo,90.0,3.0,2.0,1.0,7,acept,furnished,800.0,2817.6397705078125,118.0,24.0
São Paulo,49.0,1.0,2.160766768455505,1.0,10,acept,not furnished,480.0,3500.0,42.0,38.65842971801758
São Paulo,41.0,1.0,1.0,1.0,5,not acept,furnished,600.0,1357.3391967773437,0.0,22.62061882019043
Porto Alegre,64.0,2.0,2.0,1.0,11,acept,not furnished,352.0,1500.0,80.0,20.0
Campinas,208.0,3.0,2.0,0.681176832318306,-,acept,furnished,633.2721618652344,3180.0,100.0,48.0
São Paulo,20.0,2.1866803407669066,1.0,0.0,1,acept,furnished,602.0,1800.0,130.0,23.0
São Paulo,62.345204544067386,2.0,2.0,2.0,6,acept,not furnished,780.0,1068.0,99.6072395324707,22.94833450317383
São Paulo,32.0,2.6172645330429076,1.0,0.0,3,acept,not furnished,515.0,1284.3841186523437,94.86547775268555,22.0
