"cat_Sex","con_Length","con_Diameter","con_Height","con_Whole_weight","con_Shucked_weight","con_Viscera_weight","con_Shell_weight"
"M",0.455,NA,0.095,NA,0.2245,0.101,0.15
"M",0.35,NA,NA,NA,0.0995,0.0485,0.07
NA,0.53,NA,0.135,0.677,0.2565,0.1415,0.21
"M",0.44,0.365,0.125,0.516,NA,NA,NA
"I",0.33,0.255,0.08,0.205,0.0895,0.0395,0.055
"I",0.425,0.3,NA,0.3515,0.141,0.0775,0.12
"F",0.53,NA,0.15,NA,NA,0.1415,0.33
NA,NA,NA,0.125,0.768,0.294,NA,0.26
NA,0.475,0.37,0.125,0.5095,0.2165,NA,NA
NA,NA,0.44,NA,NA,0.3145,NA,NA
NA,0.525,NA,0.14,NA,0.194,0.1475,NA
"M",0.43,NA,NA,NA,NA,NA,0.135
NA,NA,0.38,0.135,NA,0.2175,NA,0.19
"F",0.535,0.405,0.145,NA,NA,NA,NA
"F",NA,0.355,0.1,0.4755,0.1675,0.0805,NA
NA,NA,0.4,0.13,NA,0.258,NA,0.24
"I",0.355,NA,0.085,0.2905,0.095,0.0395,0.115
"F",0.44,NA,NA,0.451,0.188,0.087,0.13
"M",0.365,0.295,NA,0.2555,NA,NA,0.1
NA,0.45,0.32,0.1,NA,0.1705,NA,0.115
"M",0.355,0.28,NA,NA,0.0955,0.062,0.075
NA,0.38,NA,0.1,0.2255,0.08,0.049,NA
"F",NA,0.44,NA,NA,NA,NA,NA
NA,NA,0.415,NA,0.7635,0.318,0.21,0.2
NA,0.615,NA,NA,NA,0.513,NA,NA
"F",0.56,NA,0.14,0.9285,NA,0.188,0.3
"F",NA,0.45,NA,NA,0.3945,NA,NA
NA,0.59,NA,NA,0.931,0.356,NA,NA
"M",NA,NA,NA,NA,NA,0.219,NA
NA,NA,NA,NA,NA,NA,NA,0.2
"M",0.58,NA,NA,NA,NA,0.242,NA
NA,NA,NA,NA,NA,NA,0.2805,0.46
NA,NA,0.525,0.165,NA,NA,0.3575,NA
NA,0.68,0.55,NA,NA,0.815,NA,NA
NA,0.705,NA,NA,NA,NA,NA,NA
"M",NA,NA,0.105,0.4795,0.227,NA,NA
"F",0.54,NA,0.155,1.217,NA,0.3075,NA
"F",0.45,0.355,NA,0.5225,NA,NA,NA
NA,0.575,0.445,0.135,NA,0.381,NA,0.26
"M",0.355,0.29,0.09,0.3275,0.134,NA,0.09
"F",0.45,0.335,0.105,0.425,0.1865,0.091,0.115
NA,0.55,0.425,NA,0.8515,0.362,0.196,0.27
"I",0.24,0.175,0.045,NA,NA,0.0235,0.02
"I",0.205,0.15,NA,NA,0.0255,0.015,0.012
"I",0.21,0.15,0.05,0.042,0.0175,0.0125,0.015
"I",NA,NA,0.095,0.203,0.0875,0.045,0.075
NA,0.47,0.37,0.12,0.5795,NA,0.227,0.14
"F",NA,0.375,0.12,0.4605,NA,NA,NA
"I",0.325,0.245,0.07,0.161,0.0755,0.0255,NA
"F",NA,NA,NA,NA,0.3545,0.2135,NA
NA,0.52,0.41,NA,0.595,NA,NA,0.19
"M",0.4,0.32,0.095,0.303,0.1335,0.06,NA
"M",0.485,NA,0.13,0.5415,NA,0.096,NA
"F",0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15
"M",0.405,NA,NA,0.385,0.173,0.0915,0.11
"F",0.5,0.4,0.14,NA,NA,0.1755,0.22
"M",0.445,0.35,0.12,NA,0.192,0.0955,NA
"M",0.47,0.385,0.135,0.5895,0.2765,NA,NA
"I",0.245,0.19,0.06,0.086,0.042,0.014,0.025
"F",NA,NA,0.125,NA,0.246,0.13,0.175
NA,0.45,0.345,NA,0.4115,0.18,NA,NA
"M",0.505,0.405,NA,0.625,0.305,NA,NA
NA,NA,NA,NA,0.6965,0.302,0.1935,NA
"M",NA,NA,0.095,0.3785,0.1705,NA,0.1
"M",NA,0.4,NA,NA,0.234,NA,NA
"M",0.475,0.355,NA,0.48,NA,0.1015,0.135
NA,0.565,0.44,NA,0.915,NA,NA,NA
"F",0.595,NA,NA,1.285,NA,0.224,0.485
"F",0.475,NA,0.12,NA,0.2135,0.1155,0.17
NA,NA,0.235,0.07,0.151,NA,0.0405,0.045
NA,NA,NA,0.13,NA,0.264,NA,NA
NA,0.4,0.32,0.11,0.353,0.1405,0.0985,NA
"F",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0.261,0.38
NA,NA,NA,NA,NA,NA,NA,0.315
NA,NA,NA,0.15,NA,0.4425,0.221,NA
NA,NA,0.475,NA,NA,0.3625,NA,NA
"F",0.6,NA,NA,0.922,NA,NA,0.305
NA,NA,0.425,0.14,NA,0.282,0.1595,NA
NA,NA,NA,0.17,NA,0.4695,0.2355,NA
"F",NA,0.445,NA,NA,0.3845,NA,0.285
"M",NA,NA,NA,NA,NA,NA,NA
"F",NA,0.425,NA,NA,0.396,0.225,NA
NA,NA,NA,NA,NA,0.408,NA,NA
NA,NA,NA,NA,NA,NA,0.216,NA
"F",0.57,NA,NA,1.295,0.339,0.2225,0.44
NA,0.625,NA,NA,NA,0.4825,0.205,NA
"M",0.56,NA,0.16,0.8645,0.3305,NA,0.26
"F",0.46,NA,0.13,0.517,0.2205,0.114,0.165
"F",NA,0.45,NA,NA,NA,0.231,0.33
"M",NA,0.425,0.135,0.8115,0.341,NA,0.255
"M",0.555,NA,NA,NA,NA,0.1525,NA
"M",NA,NA,NA,NA,NA,0.254,0.39
NA,0.625,NA,NA,1.262,NA,NA,0.39
NA,NA,NA,0.19,NA,NA,NA,0.485
NA,NA,NA,NA,NA,NA,0.388,NA
NA,NA,NA,NA,0.725,0.269,0.1385,NA
"M",0.47,0.375,NA,0.523,NA,0.132,0.145
NA,0.47,0.37,NA,0.5225,0.201,NA,0.165
"F",0.475,0.375,0.125,0.5785,0.2775,NA,NA
"I",0.36,0.265,0.095,NA,NA,0.046,0.075
NA,0.55,NA,NA,NA,NA,0.1915,0.255
"M",NA,0.435,NA,NA,NA,NA,NA
"M",NA,0.415,NA,NA,NA,0.1675,0.205
NA,NA,0.47,0.16,NA,NA,0.2405,0.345
NA,0.52,0.41,NA,0.727,0.291,0.1835,0.235
NA,NA,0.43,NA,NA,NA,NA,NA
"F",0.5,0.4,NA,0.6675,NA,NA,0.22
NA,NA,NA,0.135,NA,NA,NA,NA
"F",0.435,0.395,0.105,0.3635,0.136,0.098,NA
NA,NA,0.395,0.125,0.5415,0.2375,NA,NA
"M",0.465,0.36,0.105,0.431,0.172,NA,NA
"I",0.435,NA,0.08,0.3325,0.1485,NA,0.105
"M",0.425,NA,NA,NA,NA,0.063,0.165
"F",0.545,0.41,NA,NA,0.2975,NA,NA
NA,NA,0.415,NA,0.5915,0.233,0.1585,0.18
"F",0.49,NA,0.135,NA,0.2555,0.102,0.22
"M",0.44,0.34,0.105,0.402,NA,0.0955,0.165
NA,NA,0.43,NA,NA,0.3465,0.172,NA
"M",0.405,0.305,0.085,NA,NA,0.0595,0.085
NA,0.47,0.365,0.105,0.4205,NA,NA,0.14
"I",0.385,0.295,0.085,0.2535,0.103,0.0575,0.085
NA,0.515,NA,0.14,0.766,0.304,0.1725,0.255
"M",0.37,0.265,0.075,0.214,0.09,0.051,0.07
"I",0.36,0.28,0.08,NA,0.081,0.0505,0.07
"I",0.27,NA,NA,0.073,0.0285,0.0235,0.03
"I",0.375,0.275,0.09,NA,0.1075,NA,0.07
"I",0.385,0.29,0.085,0.2505,0.112,0.061,NA
NA,0.7,NA,NA,1.7255,NA,NA,0.54
NA,NA,NA,NA,NA,NA,0.261,NA
NA,NA,0.48,NA,NA,NA,0.283,0.41
NA,0.44,NA,0.125,0.4035,NA,NA,NA
"F",0.325,0.26,0.09,NA,NA,0.036,0.062
"I",0.35,NA,0.095,0.211,0.086,0.056,NA
"I",0.265,0.2,0.065,0.0975,0.04,0.0205,0.028
NA,0.425,NA,0.115,0.406,0.1635,0.081,NA
"F",0.305,NA,NA,0.156,NA,0.0345,0.048
"M",0.345,0.255,NA,0.2005,0.094,0.0295,0.063
"F",NA,0.325,0.11,0.3555,NA,0.063,0.117
"M",NA,0.285,NA,0.253,0.096,0.0575,0.0925
"F",0.565,NA,0.155,NA,0.341,NA,NA
NA,NA,NA,NA,NA,NA,0.1435,0.2665
NA,NA,NA,0.19,NA,NA,NA,NA
"M",0.56,NA,0.155,0.797,NA,NA,0.2425
"M",0.475,0.375,0.13,0.5175,NA,0.1165,NA
"F",0.49,0.38,NA,0.549,NA,0.1075,NA
"M",NA,0.35,0.12,0.515,0.224,NA,NA
"I",0.28,0.205,0.08,0.127,0.052,0.039,NA
"I",NA,0.13,0.055,0.0315,0.0105,0.0065,0.0125
"I",0.17,NA,0.095,0.03,0.013,0.008,0.01
"M",0.59,0.475,0.145,NA,NA,NA,0.325
NA,0.605,NA,NA,NA,NA,0.2585,0.335
NA,NA,NA,NA,1.3715,NA,NA,NA
"F",NA,0.485,NA,NA,NA,0.2355,NA
