"con_age","cat_workclass","con_fnlwgt","cat_education","con_education.num","cat_marital.status","cat_occupation","cat_relationship","cat_race","cat_sex","con_capital.gain","con_capital.loss","con_hours.per.week","cat_native.country","cat_income"
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4356,NA,NA,NA
NA,NA,NA,"7th-8th",NA,NA,NA,NA,NA,NA,NA,3900,NA,NA,NA
NA,NA,264663,NA,NA,NA,NA,NA,NA,NA,NA,3900,NA,NA,NA
NA,NA,NA,NA,NA,"Divorced",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,150601,NA,NA,NA,NA,"Unmarried",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"United-States",NA
NA,NA,164526,"Prof-school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"Widowed",NA,NA,NA,NA,NA,2824,NA,NA,">50K"
NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"11th",NA,NA,NA,NA,NA,NA,NA,2824,NA,"United-States",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2824,NA,NA,NA
NA,"Private",NA,NA,7,"Separated","Sales",NA,NA,NA,0,2754,42,"United-States",NA
NA,"Private",NA,NA,NA,NA,NA,"Unmarried",NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,"White",NA,NA,2603,NA,NA,NA
NA,"Private",NA,NA,11,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
33,"Private",228696,"1st-4th",NA,"Married-civ-spouse",NA,"Not-in-family",NA,NA,0,2603,32,NA,"<=50K"
49,NA,122066,NA,3,"Married-civ-spouse","Other-service","Husband","White","Male",NA,2603,40,NA,NA
NA,"Self-emp-inc",NA,NA,NA,NA,NA,"Not-in-family",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2559,90,NA,NA
NA,NA,44064,"Some-college",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,198863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,123011,NA,NA,NA,"Exec-managerial","Not-in-family",NA,NA,0,2559,NA,NA,">50K"
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"HS-grad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
NA,NA,NA,NA,16,NA,NA,NA,"White",NA,NA,NA,NA,NA,NA
NA,NA,161691,NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"Divorced",NA,"Unmarried",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Unmarried",NA,NA,NA,2547,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Unmarried",NA,NA,0,2547,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Unmarried",NA,NA,NA,NA,NA,NA,">50K"
48,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"HS-grad",NA,NA,NA,NA,NA,"Male",NA,NA,NA,NA,NA
NA,NA,233882,NA,NA,NA,NA,NA,"Asian-Pac-Islander","Male",NA,2457,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",NA,NA,39,NA,NA
NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,2444,NA,NA,NA
NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2444,NA,NA,NA
NA,NA,NA,"Some-college",NA,NA,NA,"Not-in-family",NA,NA,NA,NA,NA,NA,">50K"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
33,"Private",194901,NA,NA,NA,NA,NA,NA,NA,NA,2444,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA
NA,NA,121441,NA,NA,"Never-married",NA,"Other-relative",NA,NA,NA,NA,40,NA,NA
NA,NA,NA,NA,NA,"Married-civ-spouse",NA,NA,"White","Female",NA,2415,NA,NA,NA
51,"Self-emp-not-inc",NA,NA,13,"Married-civ-spouse",NA,NA,"Asian-Pac-Islander",NA,NA,2415,40,NA,">50K"
NA,NA,NA,NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Husband",NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,">50K"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
NA,NA,NA,"Bachelors",NA,NA,NA,NA,NA,NA,NA,2415,NA,NA,NA
NA,"Self-emp-not-inc",NA,NA,NA,NA,NA,"Husband",NA,NA,NA,2415,NA,"United-States",NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2415,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2415,NA,NA,NA
NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,43221,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
NA,"Self-emp-inc",30529,NA,NA,NA,NA,"Husband",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"Married-civ-spouse",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
39,"Private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2415,NA,"United-States",NA
NA,NA,252752,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA
46,NA,NA,NA,13,NA,"Adm-clerical",NA,NA,"Male",0,2415,NA,"Philippines",">50K"
NA,NA,NA,NA,NA,NA,NA,"Husband",NA,NA,NA,NA,NA,"United-States",NA
39,NA,NA,NA,NA,"Married-civ-spouse",NA,NA,NA,"Male",NA,2415,NA,NA,">50K"
NA,NA,NA,"Prof-school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2415,NA,NA,NA
NA,NA,NA,NA,NA,NA,"Prof-specialty",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Doctorate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Self-emp-not-inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,2415,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2415,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Wife",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Bachelors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"Prof-specialty",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"Married-civ-spouse",NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"Exec-managerial","Husband",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,NA,NA
NA,NA,NA,"Bachelors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Self-emp-inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">50K"
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2392,50,NA,NA
NA,NA,NA,NA,NA,"Married-civ-spouse",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2392,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,14,"Married-civ-spouse",NA,NA,NA,NA,0,NA,NA,NA,">50K"
26,NA,NA,NA,11,NA,NA,NA,"White",NA,NA,NA,NA,"United-States",NA
NA,"State-gov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Self-emp-inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,370767,NA,NA,NA,"Prof-specialty","Husband",NA,NA,NA,NA,60,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",NA,2377,NA,NA,NA
NA,"Private",156516,"Some-college",NA,NA,"Adm-clerical","Wife",NA,NA,NA,2377,NA,"United-States","<=50K"
NA,NA,177305,"Some-college",NA,NA,NA,"Husband",NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,"Sales",NA,NA,"Male",NA,NA,NA,"United-States",NA
81,"Private",NA,NA,NA,NA,NA,NA,NA,NA,NA,2377,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
NA,NA,NA,NA,NA,NA,NA,NA,"White","Male",NA,NA,NA,NA,">50K"
NA,NA,NA,NA,NA,"Married-civ-spouse",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,222405,NA,9,NA,NA,NA,NA,"Male",NA,2377,NA,NA,"<=50K"
NA,"Self-emp-inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=50K"
NA,"Private",377931,NA,NA,"Married-civ-spouse",NA,NA,NA,NA,NA,2377,NA,NA,NA
NA,NA,NA,NA,NA,"Married-civ-spouse",NA,"Husband","White","Male",NA,2377,NA,"United-States",NA
NA,"Self-emp-inc",NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"HS-grad",NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2352,NA,NA,NA
NA,"Private",NA,NA,3,NA,"Craft-repair","Not-in-family","White",NA,NA,2339,45,NA,"<=50K"
NA,NA,166295,NA,NA,NA,"Prof-specialty","Not-in-family",NA,NA,NA,2339,NA,NA,NA
NA,NA,NA,"HS-grad",NA,NA,NA,"Unmarried",NA,NA,NA,2339,NA,NA,NA
61,NA,NA,"5th-6th",NA,"Never-married","Handlers-cleaners","Not-in-family",NA,NA,NA,2339,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA
NA,NA,NA,"Some-college",NA,NA,NA,NA,"White",NA,NA,NA,NA,NA,NA
NA,NA,NA,"Bachelors",NA,NA,NA,NA,NA,NA,NA,2339,NA,"United-States",NA
NA,NA,NA,NA,NA,NA,NA,"Other-relative",NA,NA,NA,2339,40,"United-States",NA
NA,"State-gov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
41,"Private",NA,"HS-grad",NA,NA,NA,NA,NA,NA,NA,2339,40,NA,NA
NA,"Private",NA,NA,9,"Never-married","Adm-clerical","Other-relative",NA,NA,0,2339,NA,NA,"<=50K"
28,"Private",251905,"Prof-school",NA,"Never-married",NA,NA,"White",NA,NA,NA,40,NA,NA
40,NA,NA,"Prof-school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Local-gov",36364,"HS-grad",NA,NA,NA,"Husband","White",NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,"White",NA,NA,NA,40,NA,"<=50K"
55,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,"United-States",NA
NA,"Federal-gov",370890,NA,NA,"Never-married",NA,NA,NA,NA,NA,2258,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Own-child",NA,NA,0,2258,NA,NA,NA
NA,NA,NA,NA,9,NA,"Craft-repair","Not-in-family",NA,NA,NA,2258,NA,NA,NA
NA,NA,NA,"Some-college",10,"Never-married",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Bachelors",NA,"Never-married",NA,"Not-in-family","Asian-Pac-Islander",NA,0,NA,48,NA,NA
NA,NA,101978,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"United-States",NA
NA,NA,NA,NA,NA,NA,"Adm-clerical",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,135296,"Bachelors",NA,NA,NA,"Not-in-family",NA,"Female",NA,NA,45,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Not-in-family",NA,"Male",NA,2258,NA,"United-States","<=50K"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",NA,2258,NA,NA,NA
47,"Private",NA,"Bachelors",NA,NA,NA,"Not-in-family","White",NA,NA,2258,NA,"United-States",NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Self-emp-not-inc",NA,NA,9,NA,NA,NA,NA,"Male",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Own-child",NA,"Female",NA,NA,NA,NA,NA
34,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,176185,NA,NA,"Divorced",NA,"Not-in-family","White","Male",NA,NA,NA,NA,"<=50K"
