"con_CreditScore","cat_Geography","cat_Gender","con_Age","con_Tenure","con_Balance","con_NumOfProducts","cat_HasCrCard","cat_IsActiveMember","con_EstimatedSalary","cat_Exited"
619,NA,"Female",NA,2,0,1,"1",NA,101348.88,"1"
608,"Spain","Female",41,NA,83807.86,1,"0","1",112542.58,"0"
NA,"France","Female",NA,8,NA,NA,NA,NA,113931.57,"1"
699,"France","Female",NA,1,0,2,"0","0",93826.63,"0"
850,"Spain",NA,NA,NA,125510.82,1,NA,"1",NA,NA
645,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
822,NA,"Male",50,NA,0,2,"1","1",NA,"0"
NA,"Germany",NA,NA,NA,NA,4,"1",NA,119346.88,"1"
501,"France","Male",44,4,142051.07,2,NA,"1",NA,"0"
NA,NA,"Male",27,NA,134603.88,1,"1","1",71725.73,"0"
NA,"France","Male",31,NA,102016.72,2,NA,"0",80181.12,"0"
NA,"Spain","Male",24,NA,0,2,"1","0",76390.01,"0"
476,"France","Female",34,10,0,2,"1","0",26260.98,"0"
549,"France","Female",25,5,0,2,"0","0",190857.79,"0"
NA,"Spain","Female",35,NA,NA,2,"1",NA,65951.65,"0"
NA,"Germany","Male",45,NA,143129.41,2,NA,NA,64327.26,"0"
653,"Germany","Male",58,1,132602.88,1,"1","0",NA,"1"
549,"Spain",NA,24,9,0,NA,"1",NA,14406.41,"0"
587,"Spain","Male",45,6,0,NA,"0","0",158684.81,"0"
NA,NA,NA,24,6,0,2,"1","1",54724.03,"0"
NA,"France","Male",NA,NA,NA,NA,NA,NA,NA,NA
636,"Spain","Female",NA,NA,NA,2,"1","0",138555.46,NA
510,"Spain","Female",38,4,0,1,"1","0",118913.53,"1"
669,"France","Male",46,3,0,2,"0","1",NA,"0"
846,NA,NA,38,5,0,1,"1","1",187616.16,NA
577,"France","Male",25,3,NA,2,"0","1",124508.29,"0"
756,NA,"Male",NA,2,136815.64,1,NA,"1",170041.95,NA
571,"France","Male",44,9,0,2,"0",NA,38433.35,"0"
574,"Germany","Female",NA,3,141349.43,1,"1",NA,100187.43,"0"
