"cat_city","con_area","con_rooms","con_bathroom","con_parking_spaces","cat_floor","cat_animal","cat_furniture","con_hoa","con_rent_amount","con_property_tax","con_fire_insurance"
"São Paulo",NA,2,1,NA,NA,"acept","furnished",2065,3300,211,42
"São Paulo",NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA
"Porto Alegre",80,1,1,1,"6",NA,"not furnished",1000,NA,0,NA
"Porto Alegre",51,2,NA,0,"2","acept","not furnished",270,1112,22,NA
"São Paulo",25,1,1,0,"1","not acept","not furnished",0,800,25,NA
"São Paulo",376,NA,NA,NA,NA,NA,NA,NA,8000,NA,121
NA,72,NA,1,NA,NA,NA,"not furnished",NA,1900,85,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,3223,1735,NA
NA,152,NA,NA,NA,"3",NA,NA,1000,NA,NA,NA
NA,35,NA,1,0,"2",NA,"furnished",590,NA,35,30
NA,26,1,1,0,NA,"acept","furnished",470,2100,150,NA
"Campinas",46,1,1,1,"10","acept","not furnished",550,580,43,8
"São Paulo",36,NA,NA,0,"11","acept","not furnished",359,2100,70,27
NA,55,1,1,NA,NA,"acept","furnished",NA,4200,224,54
"São Paulo",100,NA,NA,2,"24","acept",NA,900,NA,NA,NA
NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,NA,NA,NA,700,3000,122,39
NA,NA,NA,NA,NA,NA,"not acept","furnished",NA,NA,221,16
"Rio de Janeiro",56,NA,1,NA,"8","acept","not furnished",800,1220,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA
"São Paulo",100,7,NA,NA,NA,"acept",NA,NA,NA,NA,58
"Belo Horizonte",42,1,1,1,"17","not acept",NA,470,2690,NA,NA
"São Paulo",160,NA,2,2,"18",NA,"furnished",NA,NA,NA,25
"São Paulo",NA,NA,NA,NA,"-",NA,"not furnished",0,1100,3,14
NA,NA,3,2,NA,"7",NA,NA,NA,1800,NA,24
"São Paulo",NA,1,NA,1,"10","acept","not furnished",NA,3500,42,45
NA,41,1,NA,NA,"5",NA,"furnished",NA,NA,0,NA
"Belo Horizonte",64,2,2,1,"11",NA,"not furnished",352,1500,NA,20
NA,NA,3,2,NA,"-",NA,"not furnished",0,NA,100,48
"São Paulo",20,NA,1,0,"5",NA,"furnished",NA,1800,130,NA
NA,55,2,2,NA,"6",NA,NA,NA,1068,142,NA
NA,NA,1,NA,0,"3","acept","not furnished",NA,NA,NA,NA
"São Paulo",NA,NA,2,NA,NA,"acept",NA,1208,2550,216,NA
"Rio de Janeiro",45,NA,1,1,"10","acept",NA,2450,2500,593,NA
"São Paulo",350,4,4,NA,NA,NA,"not furnished",NA,NA,NA,NA
"Porto Alegre",NA,1,1,NA,"11","not acept","not furnished",450,1750,NA,NA
"São Paulo",NA,1,1,NA,"1","acept","not furnished",460,1600,NA,21
"Belo Horizonte",80,3,NA,1,NA,NA,NA,NA,NA,NA,181
NA,70,NA,1,NA,"-","not acept","not furnished",NA,1150,59,NA
NA,40,1,1,1,NA,NA,NA,NA,2990,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1584,NA
"São Paulo",240,3,NA,3,NA,"acept",NA,0,3500,NA,53
NA,200,NA,2,NA,NA,"not acept",NA,NA,NA,NA,NA
"Belo Horizonte",45,1,1,1,"5",NA,"not furnished",500,1631,NA,12
"São Paulo",NA,NA,5,NA,"1","acept","not furnished",NA,NA,NA,NA
"São Paulo",40,1,1,NA,"10","acept","furnished",NA,2829,0,33
NA,NA,3,NA,0,NA,"not acept","not furnished",700,1220,NA,17
"Porto Alegre",42,1,1,2,"2",NA,"furnished",190,1770,17,26
"Campinas",250,3,3,2,"1",NA,NA,2200,NA,256,22
"Campinas",48,1,1,1,"2",NA,"furnished",505,NA,NA,21
NA,90,NA,3,1,NA,"acept",NA,NA,3800,NA,49
"São Paulo",45,1,2,NA,"15","acept","furnished",856,3900,150,50
NA,150,NA,3,NA,"6","acept","not furnished",NA,NA,NA,NA
NA,60,2,NA,NA,"2",NA,NA,200,1445,NA,NA
"São Paulo",31,NA,1,NA,NA,NA,NA,370,NA,56,30
NA,NA,NA,NA,NA,NA,NA,"not furnished",NA,NA,NA,NA
NA,280,NA,1,NA,"-",NA,NA,NA,6000,113,91
NA,93,2,3,NA,"9",NA,"not furnished",NA,5500,NA,NA
"Porto Alegre",NA,3,2,1,NA,"acept","not furnished",340,1800,NA,27
"São Paulo",NA,3,4,NA,NA,NA,NA,NA,4000,NA,NA
"São Paulo",NA,1,NA,NA,"6",NA,NA,523,4000,131,51
"Rio de Janeiro",65,NA,1,1,"8","acept","furnished",2000,5100,250,66
"São Paulo",70,2,1,1,"13","acept","not furnished",761,NA,67,28
NA,NA,4,5,NA,NA,NA,NA,NA,NA,1261,115
NA,35,1,1,0,"5","acept","not furnished",306,NA,NA,20
NA,NA,4,NA,3,NA,NA,NA,NA,6000,NA,NA
"São Paulo",NA,2,1,NA,NA,NA,NA,459,NA,0,NA
"Rio de Janeiro",NA,3,2,NA,NA,"acept","not furnished",1660,NA,475,22
"Rio de Janeiro",80,2,NA,1,NA,"acept",NA,500,900,90,12
NA,164,4,NA,NA,NA,NA,"not furnished",NA,NA,NA,NA
"Belo Horizonte",220,4,NA,NA,"3","acept","not furnished",450,NA,NA,33
NA,NA,NA,NA,0,NA,NA,"not furnished",0,1050,46,16
NA,NA,3,NA,NA,NA,NA,NA,1290,NA,NA,71
