"cat_Sex","con_Length","con_Diameter","con_Height","con_Whole_weight","con_Shucked_weight","con_Viscera_weight","con_Shell_weight"
NA,NA,NA,0.095,0.514,NA,NA,0.15
NA,NA,NA,0.09,NA,0.0995,NA,0.07
"F",NA,NA,0.135,NA,NA,NA,0.21
NA,NA,NA,0.125,0.516,0.2155,0.114,0.155
NA,0.33,0.255,0.08,0.205,0.0895,0.0395,NA
NA,0.425,NA,NA,NA,NA,0.0775,0.12
NA,NA,NA,0.15,0.7775,NA,0.1415,NA
NA,0.545,NA,0.125,NA,0.294,0.1495,NA
NA,0.475,0.37,NA,0.5095,NA,NA,NA
"F",NA,0.44,0.15,0.8945,0.3145,NA,NA
NA,0.525,NA,NA,0.6065,NA,NA,NA
NA,NA,0.35,NA,NA,0.1675,0.081,NA
"M",NA,0.38,NA,0.5415,NA,0.095,0.19
NA,0.535,0.405,0.145,0.6845,NA,0.171,NA
NA,0.47,0.355,NA,NA,NA,0.0805,0.185
NA,NA,0.4,NA,NA,NA,0.133,NA
NA,NA,NA,NA,0.2905,NA,NA,0.115
NA,NA,NA,NA,0.451,0.188,0.087,NA
"M",NA,0.295,NA,0.2555,NA,0.043,NA
NA,0.45,NA,0.1,NA,NA,NA,NA
NA,NA,NA,0.095,0.2455,0.0955,NA,NA
NA,NA,NA,0.1,NA,NA,NA,NA
"F",0.565,0.44,NA,NA,0.4275,NA,0.27
NA,NA,NA,NA,0.7635,0.318,NA,NA
"F",NA,0.48,NA,1.1615,NA,0.301,0.305
"F",0.56,NA,NA,NA,0.3825,0.188,0.3
NA,0.58,0.45,NA,0.9955,0.3945,NA,0.285
"M",0.59,NA,0.14,NA,0.356,0.234,NA
"M",0.605,NA,0.18,NA,NA,NA,0.295
"M",0.575,NA,NA,NA,NA,NA,NA
"M",NA,0.47,NA,NA,NA,NA,NA
"F",NA,0.56,0.165,NA,NA,NA,0.46
NA,0.665,0.525,NA,NA,0.5515,NA,NA
NA,0.68,0.55,NA,1.798,NA,0.3925,NA
NA,0.705,NA,0.2,1.7095,NA,0.4115,0.49
NA,NA,0.355,0.105,0.4795,NA,NA,0.125
NA,0.54,0.475,0.155,NA,0.5305,NA,0.34
"F",0.45,NA,NA,NA,0.237,0.1165,0.145
"F",0.575,NA,0.135,0.883,0.381,0.2035,NA
"M",NA,NA,NA,0.3275,0.134,0.086,0.09
NA,NA,0.335,NA,0.425,NA,NA,0.115
NA,0.55,0.425,0.135,NA,NA,0.196,0.27
"I",0.24,0.175,0.045,0.07,NA,NA,NA
NA,0.205,NA,NA,0.042,0.0255,0.015,NA
NA,0.21,0.15,NA,0.042,0.0175,0.0125,0.015
"I",0.39,0.295,NA,NA,NA,NA,NA
NA,NA,0.37,NA,NA,NA,NA,NA
"F",NA,0.375,NA,NA,0.1775,0.11,0.15
"I",NA,0.245,0.07,NA,0.0755,0.0255,0.045
NA,0.525,0.425,NA,0.8355,0.3545,NA,NA
NA,NA,0.41,0.12,NA,NA,NA,NA
NA,0.4,NA,NA,0.303,0.1335,NA,NA
NA,0.485,NA,NA,NA,NA,0.096,NA
"F",0.47,NA,NA,NA,0.2105,NA,0.15
"M",NA,NA,NA,NA,0.173,NA,0.11
"F",0.5,NA,0.14,NA,NA,0.1755,0.22
"M",NA,NA,NA,0.4425,NA,NA,0.135
"M",NA,0.385,NA,0.5895,NA,0.12,NA
"I",NA,0.19,NA,0.086,NA,NA,0.025
"F",0.505,NA,0.125,NA,0.246,0.13,0.175
NA,0.45,NA,NA,NA,0.18,NA,NA
