"con_age","cat_workclass","con_fnlwgt","cat_education","con_education.num","cat_marital.status","cat_occupation","cat_relationship","cat_race","cat_sex","con_capital.gain","con_capital.loss","con_hours.per.week","cat_native.country","cat_income"
82,"Private",132870,NA,9,"Widowed","Exec-managerial","Not-in-family","White","Female",0,4356,18,"United-States",NA
54,"Private",140359,"7th-8th",4,"Divorced","Machine-op-inspct","Unmarried","White","Female",0,3900,40,"United-States","<=50K"
41,NA,264663,NA,10,"Separated",NA,NA,NA,NA,NA,3900,40,"United-States","<=50K"
34,"Private",216864,"HS-grad",9,NA,NA,NA,"White","Female",0,3770,45,NA,"<=50K"
38,NA,NA,"10th",NA,NA,"Adm-clerical","Unmarried","White","Male",0,3770,NA,"United-States","<=50K"
74,"State-gov",NA,NA,NA,"Never-married","Prof-specialty",NA,"White","Female",0,3683,20,"United-States",">50K"
68,NA,422013,"HS-grad",9,NA,"Prof-specialty","Not-in-family","White",NA,0,3683,NA,"United-States","<=50K"
45,"Private",172274,"Doctorate",NA,"Divorced",NA,NA,NA,NA,NA,NA,35,"United-States",">50K"
38,"Self-emp-not-inc",NA,"Prof-school",15,NA,"Prof-specialty",NA,"White","Male",0,2824,NA,"United-States",NA
52,"Private",NA,"Bachelors",NA,NA,NA,"Not-in-family","White","Female",NA,2824,20,"United-States",">50K"
32,"Private",136204,"Masters",14,NA,"Exec-managerial",NA,"White","Male",0,2824,55,NA,">50K"
46,"Private",45363,"Prof-school",15,NA,NA,"Not-in-family",NA,"Male",0,2824,40,"United-States",">50K"
45,"Private",NA,"11th",7,"Divorced","Transport-moving","Not-in-family","White","Male",0,2824,76,NA,NA
57,NA,NA,"Masters",NA,"Divorced",NA,NA,"White",NA,NA,NA,50,"United-States",">50K"
NA,"Private",NA,"Bachelors",13,"Separated","Sales","Not-in-family","White","Male",0,NA,50,"United-States",">50K"
37,NA,188774,"Bachelors",13,"Never-married","Exec-managerial",NA,"White","Male",NA,2824,NA,"United-States",">50K"
NA,"Private",77009,"11th",NA,NA,NA,"Not-in-family","White","Female",0,NA,42,"United-States","<=50K"
61,"Private",29059,"HS-grad",9,"Divorced",NA,"Unmarried","White",NA,0,2754,25,NA,"<=50K"
51,NA,153870,"Some-college",10,NA,"Transport-moving",NA,"White","Male",NA,2603,40,"United-States","<=50K"
21,"Private",NA,NA,NA,"Married-civ-spouse","Craft-repair","Husband",NA,"Male",0,2603,40,"United-States","<=50K"
NA,"Private",228696,"1st-4th",2,"Married-civ-spouse","Craft-repair","Not-in-family","White",NA,NA,NA,NA,"Mexico",NA
NA,"Private",NA,"5th-6th",3,"Married-civ-spouse","Other-service","Husband","White",NA,0,2603,NA,NA,"<=50K"
