"con_CreditScore","cat_Geography","cat_Gender","con_Age","con_Tenure","con_Balance","con_NumOfProducts","cat_HasCrCard","cat_IsActiveMember","con_EstimatedSalary","cat_Exited"
619,"France","Female",42,2,NA,NA,"1","1",101348.88,"1"
608,"Spain","Female",NA,NA,NA,1,"0",NA,112542.58,"0"
502,"France",NA,42,NA,159660.8,3,"1","0",113931.57,NA
699,"France","Female",39,NA,NA,2,"0","0",93826.63,NA
NA,NA,NA,NA,2,125510.82,1,"1",NA,NA,"0"
NA,NA,"Male",44,8,113755.78,2,"1","0",NA,"1"
NA,"France",NA,NA,7,0,NA,"1","1",10062.8,"0"
NA,"Germany",NA,29,NA,115046.74,4,"1","0",119346.88,"1"
NA,"France","Male",44,4,142051.07,2,NA,"1",NA,"0"
NA,"France","Male",27,2,134603.88,NA,"1",NA,71725.73,"0"
528,"France","Male",31,6,102016.72,NA,"0",NA,80181.12,"0"
497,"Spain","Male",NA,3,NA,2,"1","0",NA,NA
476,NA,"Female",34,10,0,NA,"1","0",26260.98,"0"
549,"France","Female",25,5,NA,2,NA,"0",190857.79,NA
635,NA,"Female",35,7,NA,NA,"1",NA,NA,"0"
NA,"Germany",NA,45,3,NA,NA,"0","1",64327.26,"0"
NA,NA,"Male",58,NA,132602.88,NA,"1","0",5097.67,"1"
549,"Spain","Female",24,9,0,2,"1","1",14406.41,"0"
NA,"Spain","Male",45,NA,NA,NA,"0",NA,158684.81,NA
NA,"France","Female",NA,6,0,NA,NA,"1",54724.03,"0"
732,"France","Male",41,NA,0,2,"1",NA,NA,"0"
NA,"Spain",NA,32,8,0,NA,"1","0",NA,"0"
510,NA,"Female",NA,NA,NA,1,NA,"0",118913.53,NA
669,"France","Male",NA,3,NA,2,"0","1",NA,NA
846,"France","Female",38,5,0,1,"1",NA,187616.16,"0"
577,"France","Male",25,3,NA,2,"0","1",NA,"0"
756,"Germany",NA,36,2,NA,1,"1","1",170041.95,NA
571,"France","Male",44,9,0,NA,"0","0",NA,"0"
574,"Germany","Female",43,3,141349.43,1,"1","1",100187.43,NA
NA,NA,"Male",29,0,NA,2,"1","1",53483.21,"0"
591,NA,"Female",39,3,NA,3,NA,"0",NA,"1"
NA,NA,NA,36,NA,85311.7,1,"0",NA,156731.91,NA
553,"Germany",NA,41,9,NA,2,NA,"0",81898.81,"0"
NA,"Spain","Female",NA,6,0,2,NA,"1",34410.55,"0"
NA,"Spain","Female",29,9,NA,2,"1","1",NA,NA
475,NA,"Female",NA,NA,134264.04,NA,"1","0",NA,"1"
NA,NA,"Male",31,3,145260.23,NA,NA,NA,114066.77,"0"
NA,"Spain",NA,NA,NA,76548.6,1,NA,NA,98453.45,NA
850,"France",NA,36,NA,NA,1,"1","1",40812.9,NA
NA,NA,"Male",NA,6,NA,2,"0","1",178074.04,NA
NA,"Spain",NA,40,NA,0,1,"1",NA,70154.22,"0"
NA,"France","Female",51,8,122522.32,1,NA,NA,181297.65,NA
556,NA,"Female",61,2,117419.35,1,"1","1",94153.83,"0"
834,"France","Female",49,2,131394.56,1,NA,"0",194365.76,NA
NA,NA,"Female",61,5,155931.11,1,"1","1",158338.39,"0"
776,"Germany",NA,NA,4,109421.13,NA,NA,"1",NA,"0"
829,NA,"Female",NA,9,112045.67,1,"1","1",NA,"1"
NA,"Germany","Female",39,NA,137843.8,NA,"1","1",117622.8,NA
NA,"Germany",NA,38,NA,NA,1,"0","1",NA,"0"
NA,"Germany","Female",NA,2,103769.22,2,"1","0",194099.12,NA
NA,"Germany","Male",44,10,NA,2,NA,"0",198059.16,"0"
585,"Germany","Male",36,5,NA,2,NA,"0",86424.57,"0"
788,"France",NA,33,5,NA,NA,"0","0",NA,NA
NA,NA,"Male",41,8,NA,1,"0",NA,164040.94,"1"
NA,NA,NA,42,1,98495.72,1,NA,NA,NA,NA
NA,"France",NA,43,NA,125211.92,1,"1","1",113410.49,"0"
656,NA,"Male",45,NA,127864.4,NA,"1","0",87107.57,"0"
725,"Germany","Male",19,0,NA,NA,NA,"0",45613.75,"0"
NA,"Spain","Female",66,4,0,1,"1","0",1643.11,"1"
NA,"France",NA,NA,NA,40685.92,NA,NA,NA,46775.28,NA
742,"Germany","Male",NA,5,NA,1,"0","0",NA,"0"
687,"Germany","Female",27,NA,152328.88,NA,"0","0",NA,"0"
555,"Spain","Male",33,1,56084.69,NA,"0","0",178798.13,"0"
NA,"Spain","Male",56,8,78707.16,1,"1","1",NA,"0"
603,"Germany","Male",NA,4,109166.37,1,NA,"1",NA,"0"
751,"Germany","Female",NA,6,169831.46,2,"1","1",27758.36,"0"
NA,"Germany","Female",34,1,101633.04,NA,"1",NA,NA,"0"
735,"Germany",NA,43,NA,123180.01,2,"1","1",196673.28,"0"
661,"Germany","Female",NA,5,NA,2,"0","1",NA,NA
675,"France",NA,21,8,98373.26,NA,"1","0",18203,"0"
738,NA,"Male",NA,NA,NA,4,"1","0",28373.86,NA
NA,"France","Male",29,NA,0,1,"1",NA,33953.87,"0"
NA,"Spain","Female",37,0,163607.18,1,NA,"1",44203.55,NA
604,NA,"Female",25,5,157780.84,NA,"1",NA,58426.81,"0"
NA,"France","Male",NA,9,0,2,NA,NA,NA,"0"
735,"France","Female",21,NA,178718.19,2,"1",NA,22388,NA
664,"France",NA,55,8,0,2,"1","1",NA,"0"
678,NA,NA,32,9,0,1,"1","1",148210.64,"0"
757,"Spain","Male",33,5,77253.22,1,NA,NA,NA,"0"
NA,NA,NA,41,10,122189.66,2,"1","0",NA,"0"
665,NA,"Female",34,1,96645.54,2,"0",NA,171413.66,"0"
777,NA,NA,NA,2,0,1,"1","0",136458.19,"1"
NA,"France",NA,36,3,0,2,"0","0",26019.59,NA
506,"France","Female",NA,4,NA,NA,NA,"1",159235.29,NA
NA,NA,NA,NA,4,0,2,"1","0",NA,"0"
652,"Spain","Female",75,10,0,2,"1",NA,114675.75,"0"
750,"Spain","Male",NA,NA,121681.82,1,"1",NA,NA,"1"
729,"France","Male",30,9,0,NA,"1",NA,151869.35,"0"
646,"France","Female",46,4,0,3,"1","0",NA,"1"
635,"Germany",NA,NA,3,NA,NA,NA,"1",156791.36,NA
647,NA,"Female",44,5,NA,3,"1","1",174205.22,"1"
808,"France","Male",45,NA,118626.55,NA,"1",NA,NA,NA
524,NA,"Female",36,10,NA,NA,NA,"0",109614.57,NA
769,NA,NA,29,NA,0,NA,"1","1",NA,NA
NA,"Spain",NA,42,4,NA,2,"0",NA,85982.47,NA
515,NA,NA,35,10,176273.95,NA,"0","1",121277.78,"0"
773,NA,"Male",NA,9,102827.44,NA,NA,"1",NA,NA
814,NA,NA,29,8,97086.4,2,NA,"1",197276.13,"0"
710,NA,"Male",22,8,0,NA,NA,"0",99645.04,"0"
NA,"France","Male",34,9,NA,2,"0",NA,6534.18,"0"
665,"France","Female",40,NA,0,1,"1","1",161848.03,"0"
623,"France",NA,44,6,0,2,"0","0",167162.43,NA
738,"France","Male",31,NA,82674.15,1,NA,NA,41970.72,"0"
528,"Spain",NA,NA,7,0,NA,"1","0",60536.56,NA
670,"Spain","Female",NA,NA,0,1,"1","1",177655.68,"1"
622,"Spain","Female",NA,4,107073.27,2,"1","1",30984.59,NA
582,"Germany","Male",32,1,88938.62,1,"1",NA,10054.53,"0"
785,"Germany","Female",NA,NA,NA,1,NA,"1",36976.52,"0"
605,"Spain",NA,NA,5,150092.8,1,"0","0",NA,"0"
