"cat_city","con_area","con_rooms","con_bathroom","con_parking_spaces","cat_floor","cat_animal","cat_furniture","con_hoa","con_rent_amount","con_property_tax","con_fire_insurance"
NA,70,2,1,1,"7","acept","furnished",NA,3300,211,NA
NA,320,NA,4,0,"20","acept",NA,NA,4960,NA,63
"Porto Alegre",80,NA,1,1,"6","acept",NA,NA,NA,0,41
"Porto Alegre",51,2,NA,0,NA,"acept","not furnished",NA,NA,22,NA
NA,25,1,NA,NA,NA,"not acept",NA,NA,NA,25,11
"São Paulo",376,3,NA,7,"-","acept","not furnished",0,8000,834,121
"Rio de Janeiro",72,2,NA,0,"7","acept","not furnished",NA,1900,85,NA
NA,213,NA,4,NA,NA,"acept",NA,2254,3223,1735,41
"São Paulo",152,2,2,1,"3",NA,"furnished",1000,15000,NA,NA
"Rio de Janeiro",35,1,NA,0,"2","acept",NA,590,2300,35,30
"São Paulo",NA,1,NA,0,NA,NA,"furnished",470,NA,150,27
"Campinas",46,NA,1,1,"10",NA,"not furnished",550,580,43,8
"São Paulo",36,1,1,0,"11","acept","not furnished",359,NA,70,27
NA,55,NA,1,1,"2","acept",NA,790,NA,224,54
"São Paulo",NA,2,NA,2,NA,"acept","furnished",900,4370,17,NA
"Campinas",NA,4,6,6,"-",NA,"furnished",NA,NA,328,121
"São Paulo",110,2,2,1,NA,"acept",NA,700,NA,122,39
"Rio de Janeiro",88,2,3,1,"9","not acept","furnished",1614,NA,NA,16
"Rio de Janeiro",56,2,1,0,NA,"acept",NA,NA,1220,NA,16
NA,600,NA,NA,NA,"-","acept","not furnished",NA,12000,9500,NA
"São Paulo",NA,7,4,NA,"-",NA,NA,0,NA,118,NA
NA,NA,1,1,NA,"17","not acept","furnished",470,NA,172,36
NA,160,3,2,2,NA,"acept","furnished",1530,1900,167,25
"São Paulo",35,NA,1,0,"-","acept","not furnished",0,NA,3,NA
NA,NA,3,2,NA,"7",NA,"not furnished",800,1800,NA,24
"São Paulo",49,1,1,1,"10","acept","not furnished",NA,NA,42,45
"São Paulo",41,1,1,1,"5","not acept","furnished",NA,NA,0,39
"Belo Horizonte",64,NA,2,1,"11","acept",NA,352,NA,80,NA
"Campinas",208,3,NA,4,"-","acept",NA,0,3180,NA,48
"São Paulo",20,NA,1,NA,NA,"acept",NA,602,1800,130,NA
"São Paulo",NA,2,NA,2,"6","acept",NA,780,1068,NA,NA
"São Paulo",NA,1,1,0,"3",NA,NA,NA,1700,29,22
"São Paulo",80,NA,NA,1,"11","acept",NA,1208,2550,216,33
"Rio de Janeiro",NA,1,1,1,NA,NA,"furnished",2450,2500,593,NA
NA,NA,NA,4,3,"8","acept","not furnished",2100,4000,500,NA
NA,38,1,NA,2,NA,"not acept",NA,450,NA,NA,NA
"São Paulo",30,1,1,0,NA,NA,"not furnished",460,1600,0,21
"Belo Horizonte",80,3,NA,NA,"-","acept","not furnished",0,11000,425,181
"São Paulo",70,NA,NA,0,"-","not acept","not furnished",0,1150,59,18
"Porto Alegre",40,NA,NA,NA,"6",NA,"furnished",390,NA,NA,NA
"São Paulo",NA,NA,6,NA,"20","acept","not furnished",3700,12000,1584,NA
NA,240,NA,2,NA,NA,"acept","not furnished",0,3500,NA,53
NA,200,4,2,1,"7","not acept","not furnished",NA,2550,NA,34
"Belo Horizonte",45,1,1,1,"5","acept","not furnished",500,1631,192,12
"São Paulo",NA,NA,NA,0,"1","acept","not furnished",4000,NA,2000,82
"São Paulo",40,1,NA,NA,"10",NA,"furnished",NA,2829,0,33
"Belo Horizonte",NA,3,1,NA,NA,NA,"not furnished",700,1220,10,17
"Porto Alegre",42,1,1,2,"2",NA,"furnished",190,1770,17,26
"Campinas",250,NA,3,NA,"1",NA,"not furnished",NA,NA,256,NA
"Campinas",NA,NA,1,NA,NA,"acept","furnished",505,NA,59,21
"Rio de Janeiro",90,3,NA,1,"10","acept","not furnished",1250,3800,147,NA
NA,45,1,2,NA,NA,"acept",NA,856,3900,NA,50
"Rio de Janeiro",NA,2,NA,4,"6","acept","not furnished",1700,4000,700,52
"São Paulo",NA,NA,1,0,"2","acept","not furnished",NA,1445,0,19
"São Paulo",31,NA,1,0,NA,NA,NA,370,2350,56,NA
"São Paulo",210,NA,5,4,"4",NA,"not furnished",1650,9000,772,115
"São Paulo",NA,3,1,2,"-","acept","not furnished",NA,6000,113,91
"Campinas",93,NA,3,2,"9","acept","not furnished",663,5500,133,NA
"Porto Alegre",75,NA,2,1,NA,"acept","not furnished",NA,NA,109,27
"São Paulo",NA,3,NA,NA,"-","acept","not furnished",0,4000,NA,61
"São Paulo",NA,1,1,1,"6",NA,"furnished",523,NA,131,NA
"Rio de Janeiro",65,1,1,NA,NA,NA,NA,2000,5100,250,NA
"São Paulo",NA,2,NA,1,"13",NA,"not furnished",NA,2150,67,28
"São Paulo",278,4,NA,2,"16","acept",NA,4052,NA,1261,115
NA,35,NA,1,NA,"5","acept","not furnished",306,1521,21,20
"Campinas",NA,4,4,3,"2","acept","not furnished",2300,6000,NA,NA
"São Paulo",61,2,1,1,NA,"acept",NA,459,1850,0,24
"Rio de Janeiro",130,3,2,1,"7","acept","not furnished",1660,1700,475,NA
"Rio de Janeiro",80,2,1,1,"20","acept","not furnished",500,900,90,12
"São Paulo",NA,NA,NA,2,NA,"not acept","not furnished",2159,5000,386,64
"Belo Horizonte",220,4,2,3,"3","acept","not furnished",NA,NA,125,33
"São Paulo",45,NA,1,0,"-","acept",NA,NA,NA,46,NA
"São Paulo",NA,3,2,2,"7","acept",NA,1290,5600,435,71
"Belo Horizonte",128,NA,1,0,"4","acept","furnished",418,NA,182,28
NA,60,1,1,0,"10","not acept",NA,NA,1800,48,24
NA,NA,4,NA,NA,"6","acept","not furnished",NA,9800,998,NA
NA,NA,1,1,NA,"1","not acept","furnished",NA,NA,0,NA
"Belo Horizonte",NA,NA,3,4,"9","not acept",NA,744,2700,296,36
"São Paulo",45,1,1,0,"1","not acept","not furnished",NA,NA,NA,NA
"São Paulo",NA,1,1,NA,NA,"acept","not furnished",686,3500,123,45
NA,164,4,NA,3,NA,"acept",NA,1840,NA,NA,NA
"São Paulo",70,3,1,NA,"1","acept","not furnished",700,1020,200,13
"Porto Alegre",NA,NA,3,1,"8","acept","not furnished",600,2200,NA,NA
NA,64,NA,2,NA,NA,"acept","furnished",NA,4500,440,58
"Belo Horizonte",NA,2,1,NA,"3","acept","not furnished",NA,NA,27,16
NA,75,NA,2,NA,NA,"not acept","not furnished",NA,2500,NA,34
NA,600,4,4,4,"9","acept","not furnished",NA,NA,3368,NA
"São Paulo",63,2,2,NA,"15","not acept","not furnished",590,NA,152,20
NA,NA,NA,NA,3,NA,"not acept",NA,1200,6000,750,NA
"São Paulo",NA,2,NA,NA,"3","not acept","not furnished",1500,2800,292,36
"São Paulo",NA,4,4,4,"7","acept",NA,NA,9000,1800,115
NA,350,NA,4,4,"-","acept","furnished",NA,9000,359,NA
"São Paulo",300,4,4,3,"-","acept","not furnished",0,3500,584,53
"Belo Horizonte",296,NA,3,2,"-",NA,"not furnished",NA,13500,423,222
NA,64,2,2,NA,"8","acept","not furnished",450,2800,NA,36
"São Paulo",133,3,2,0,"6","acept","not furnished",813,2957,38,NA
NA,44,1,1,NA,"7","acept","not furnished",NA,550,12,NA
"Campinas",240,3,4,2,"-","acept","not furnished",0,NA,NA,NA
"Porto Alegre",70,3,NA,1,"4",NA,"not furnished",NA,NA,8,37
"São Paulo",22,NA,1,NA,NA,"acept","not furnished",302,2050,NA,26
"Porto Alegre",50,1,1,NA,"1",NA,"not furnished",350,950,50,14
"Porto Alegre",67,3,2,NA,"4",NA,"not furnished",600,2200,NA,NA
"São Paulo",31,1,1,0,"6","acept",NA,430,2300,0,30
"Rio de Janeiro",90,2,1,NA,NA,"acept","furnished",NA,NA,191,NA
"Rio de Janeiro",109,NA,NA,NA,"1","acept","not furnished",2000,NA,300,49
NA,NA,NA,2,2,"-","not acept","not furnished",0,2500,NA,41
NA,NA,NA,5,4,"-","acept","furnished",NA,14000,1167,211
"Campinas",284,4,NA,3,"4",NA,NA,NA,NA,483,77
"Porto Alegre",70,2,NA,1,"3",NA,"furnished",360,NA,NA,36
"Rio de Janeiro",NA,NA,5,4,"7","acept",NA,2661,6500,682,84
"São Paulo",70,NA,1,0,"-","acept","not furnished",0,NA,134,32
"São Paulo",360,3,4,1,"10","acept","not furnished",NA,NA,NA,NA
NA,30,1,NA,NA,"10","not acept","not furnished",NA,NA,0,20
"Campinas",80,2,2,2,NA,NA,NA,832,2200,171,28
"Belo Horizonte",133,4,4,3,"6",NA,"not furnished",1500,NA,800,94
NA,38,1,NA,NA,NA,NA,NA,NA,2800,NA,36
NA,NA,2,2,1,"7",NA,"not furnished",NA,3500,100,NA
"São Paulo",NA,3,4,NA,"4",NA,"not furnished",NA,2000,150,26
"São Paulo",63,2,2,NA,"15",NA,"not furnished",NA,3200,50,41
NA,58,2,1,NA,"1","acept","not furnished",NA,1400,NA,NA
NA,48,1,1,NA,"9","not acept","furnished",NA,3450,NA,44
"São Paulo",210,3,NA,3,"7","acept","not furnished",NA,2790,834,NA
NA,100,3,2,2,"2",NA,NA,NA,NA,NA,NA
NA,94,NA,2,NA,NA,"acept","not furnished",1337,3570,NA,NA
"São Paulo",NA,3,3,2,NA,"acept","furnished",1220,NA,395,64
"São Paulo",NA,3,1,NA,"4",NA,NA,NA,2500,267,32
"São Paulo",192,NA,3,2,"13",NA,"not furnished",NA,NA,NA,99
"São Paulo",217,3,4,3,"1",NA,NA,NA,NA,0,83
"São Paulo",68,2,1,1,NA,NA,"not furnished",NA,NA,35,18
"São Paulo",NA,NA,2,NA,NA,"acept","not furnished",NA,NA,NA,31
"Belo Horizonte",95,NA,2,1,NA,NA,"not furnished",660,1600,164,22
NA,NA,4,6,8,"-","acept",NA,0,15000,4417,226
"São Paulo",34,1,1,0,NA,"not acept","not furnished",347,1200,45,NA
"São Paulo",NA,NA,4,3,"5","acept","not furnished",NA,8000,0,102
"Porto Alegre",62,2,NA,1,"9","acept",NA,350,1800,75,27
"São Paulo",180,3,3,NA,"-","acept","not furnished",0,3700,NA,NA
"Campinas",NA,1,1,0,NA,"acept",NA,NA,NA,NA,12
NA,NA,2,NA,1,NA,"not acept",NA,250,1700,116,23
"Rio de Janeiro",140,3,3,1,"24","not acept","not furnished",NA,1370,100,NA
"São Paulo",170,3,3,3,"8","acept","furnished",NA,2800,648,NA
"São Paulo",100,3,2,2,"-","not acept",NA,0,1600,150,25
"São Paulo",NA,NA,2,2,"4","acept","not furnished",652,1600,82,21
NA,NA,2,1,NA,NA,NA,NA,NA,NA,43,16
"Campinas",999,NA,NA,8,"-",NA,"not furnished",0,NA,NA,211
"São Paulo",270,NA,4,4,NA,NA,NA,2200,NA,1500,89
"Belo Horizonte",50,NA,1,1,"1","acept",NA,160,930,NA,NA
"Campinas",200,NA,3,NA,"-","acept","not furnished",NA,2210,184,34
NA,71,2,2,NA,"16","acept","not furnished",430,NA,100,NA
"São Paulo",500,5,4,NA,"-","acept","not furnished",0,13000,250,196
"São Paulo",NA,2,1,0,"-",NA,"not furnished",NA,1080,94,17
"São Paulo",110,2,NA,0,NA,NA,"not furnished",1100,NA,NA,17
"São Paulo",210,3,3,4,"-","acept","not furnished",0,3294,NA,50
"São Paulo",220,3,4,3,"8","acept","not furnished",2021,6000,996,77
"Belo Horizonte",200,3,NA,5,"-","not acept","not furnished",0,4000,204,NA
"São Paulo",NA,3,NA,3,"2",NA,"not furnished",NA,4250,502,54
"São Paulo",65,2,2,2,"7","acept","furnished",1037,NA,245,51
NA,96,NA,2,NA,"17","acept",NA,NA,NA,250,NA
NA,660,NA,5,5,"12","acept","furnished",4800,20000,NA,NA
"Rio de Janeiro",107,3,NA,0,"7","acept",NA,1460,3200,270,42
"Rio de Janeiro",105,3,2,NA,NA,"acept","not furnished",NA,NA,NA,29
NA,100,NA,NA,0,"7",NA,"not furnished",NA,NA,109,NA
"São Paulo",287,NA,4,4,"-",NA,"furnished",0,NA,430,136
"Campinas",NA,1,1,0,"1",NA,"furnished",230,NA,9,15
"São Paulo",22,1,1,0,"-","not acept","not furnished",NA,976,NA,15
NA,70,1,NA,1,"-",NA,"not furnished",0,2529,142,NA
"Porto Alegre",44,NA,NA,1,"2","acept","furnished",250,1500,17,NA
"São Paulo",150,3,2,NA,"-","not acept","not furnished",NA,NA,0,NA
"São Paulo",90,1,NA,2,NA,"acept",NA,998,2900,220,37
NA,NA,4,4,2,NA,"acept","furnished",3000,2800,830,36
"São Paulo",320,8,4,0,"-","acept","not furnished",NA,NA,350,158
"Porto Alegre",90,2,1,1,"2","not acept",NA,NA,NA,110,25
"São Paulo",240,4,4,3,"9",NA,"not furnished",2500,NA,834,NA
"São Paulo",154,4,NA,3,NA,"acept",NA,1684,7000,NA,NA
NA,60,2,NA,2,NA,"acept","not furnished",2340,3230,284,41
NA,101,NA,2,NA,"5","acept",NA,NA,NA,91,31
"Porto Alegre",NA,NA,4,2,"-",NA,"not furnished",NA,3090,0,55
NA,500,NA,5,NA,NA,NA,NA,0,15000,1850,226
NA,110,3,3,NA,"4","acept","not furnished",NA,2350,687,NA
NA,110,3,3,2,NA,"acept","not furnished",NA,4800,50,73
"Belo Horizonte",NA,NA,2,2,"3","acept","not furnished",200,NA,NA,NA
"São Paulo",384,4,NA,NA,"3","not acept","furnished",3500,15000,NA,NA
"São Paulo",57,NA,1,1,"7","acept","not furnished",570,NA,67,20
NA,NA,3,3,2,"5","acept","furnished",1650,1500,NA,20
NA,NA,1,NA,0,"8","acept","not furnished",330,1250,19,16
"Campinas",78,1,2,1,"4","acept","not furnished",0,NA,NA,NA
"Porto Alegre",36,1,NA,NA,"-","acept","not furnished",0,762,NA,14
NA,70,2,NA,NA,NA,NA,NA,558,1200,0,16
"Belo Horizonte",45,1,NA,1,NA,"not acept","furnished",NA,3200,0,43
"São Paulo",200,3,NA,NA,NA,NA,"not furnished",3500,8500,1250,108
"São Paulo",100,3,3,3,NA,"acept","not furnished",NA,4300,NA,65
NA,42,1,1,1,NA,"not acept","not furnished",0,5000,NA,64
"São Paulo",280,4,4,NA,"1","acept","furnished",3000,NA,292,102
NA,28,NA,1,NA,"13",NA,NA,615,2800,42,36
"São Paulo",NA,1,1,0,"-","not acept",NA,NA,1826,30,NA
"Belo Horizonte",85,3,NA,1,NA,"acept","not furnished",NA,1500,88,20
NA,NA,1,1,1,NA,"not acept",NA,500,1080,NA,NA
"Campinas",85,NA,2,NA,"16",NA,"furnished",550,3300,NA,NA
NA,NA,3,2,NA,"3","acept","not furnished",NA,1600,105,NA
"Belo Horizonte",NA,NA,1,NA,NA,"acept",NA,NA,NA,100,NA
"Rio de Janeiro",NA,1,1,0,"8","acept","not furnished",600,NA,134,38
"Belo Horizonte",NA,3,NA,NA,"-",NA,NA,0,6700,539,NA
"Porto Alegre",NA,1,1,0,"7",NA,"not furnished",350,850,NA,13
"São Paulo",NA,4,4,6,NA,"acept",NA,0,NA,2084,226
NA,60,2,NA,NA,"1",NA,"not furnished",222,1100,46,NA
"Rio de Janeiro",NA,2,1,0,NA,NA,"not furnished",750,NA,9,NA
NA,70,2,1,NA,NA,NA,"not furnished",230,1250,NA,16
"São Paulo",90,NA,2,1,NA,"acept",NA,900,6500,89,83
"Rio de Janeiro",258,5,NA,NA,"-","acept","not furnished",0,NA,670,133
NA,NA,2,2,6,NA,NA,"not furnished",NA,NA,292,68
NA,NA,2,2,NA,NA,"acept","not furnished",1800,2990,625,NA
NA,127,NA,2,2,"-","acept","furnished",NA,NA,67,NA
"Belo Horizonte",NA,4,2,2,"-","acept",NA,NA,NA,210,30
"São Paulo",110,3,2,0,NA,"not acept","not furnished",NA,2900,384,NA
"Rio de Janeiro",70,2,2,1,"7","acept","furnished",585,NA,NA,23
"São Paulo",35,1,1,1,NA,NA,NA,720,3000,130,39
"São Paulo",219,3,NA,2,"-",NA,"not furnished",0,2900,150,44
"Rio de Janeiro",25,1,NA,0,"-","acept","not furnished",50,700,0,10
