"cat_Sex","con_Length","con_Diameter","con_Height","con_Whole_weight","con_Shucked_weight","con_Viscera_weight","con_Shell_weight"
"M",NA,NA,NA,0.514,NA,0.101,NA
"M",0.35,0.265,NA,NA,0.0995,0.0485,NA
"F",0.53,0.42,0.135,0.677,0.2565,0.1415,0.21
NA,0.44,0.365,0.125,0.516,0.2155,0.114,0.155
"I",0.33,NA,0.08,NA,0.0895,0.0395,0.055
"I",0.425,0.3,NA,0.3515,0.141,0.0775,0.12
NA,0.53,0.415,0.15,0.7775,NA,NA,0.33
NA,NA,0.425,0.125,0.768,0.294,0.1495,0.26
NA,0.475,0.37,0.125,NA,NA,0.1125,NA
NA,NA,0.44,NA,NA,NA,NA,NA
NA,0.525,0.38,NA,0.6065,NA,NA,NA
NA,NA,NA,0.11,0.406,NA,0.081,0.135
NA,0.49,0.38,NA,0.5415,NA,0.095,0.19
"F",NA,0.405,0.145,0.6845,NA,NA,NA
"F",0.47,0.355,NA,0.4755,0.1675,0.0805,0.185
NA,NA,NA,0.13,NA,0.258,NA,0.24
"I",0.355,0.28,0.085,0.2905,NA,0.0395,NA
"F",0.44,0.34,0.1,NA,0.188,NA,0.13
"M",0.365,0.295,0.08,0.2555,0.097,NA,NA
"M",0.45,NA,NA,0.381,NA,0.075,0.115
NA,0.355,0.28,NA,NA,NA,NA,0.075
"I",0.38,0.275,0.1,0.2255,0.08,NA,0.085
NA,0.565,NA,NA,0.9395,NA,NA,0.27
"F",0.55,0.415,NA,NA,0.318,0.21,0.2
NA,NA,NA,0.165,1.1615,NA,NA,NA
NA,NA,NA,NA,NA,0.3825,0.188,0.3
"F",0.58,0.45,0.185,NA,0.3945,NA,0.285
"M",0.59,0.445,NA,0.931,0.356,0.234,NA
NA,NA,0.475,NA,NA,NA,NA,0.295
"M",0.575,NA,0.14,0.8635,NA,NA,0.2
NA,0.58,0.47,NA,NA,NA,NA,NA
"F",NA,NA,NA,1.639,NA,0.2805,NA
NA,NA,NA,NA,NA,NA,0.3575,NA
NA,NA,0.55,NA,NA,NA,NA,NA
NA,0.705,NA,NA,NA,NA,NA,NA
"M",NA,0.355,NA,0.4795,0.227,0.124,0.125
NA,NA,NA,NA,1.217,NA,NA,NA
NA,0.45,NA,0.105,NA,NA,0.1165,NA
NA,NA,NA,0.135,NA,0.381,NA,0.26
"M",0.355,NA,NA,0.3275,0.134,0.086,0.09
"F",0.45,0.335,0.105,NA,NA,0.091,0.115
"F",0.55,0.425,0.135,0.8515,0.362,NA,NA
"I",0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
"I",0.205,0.15,0.055,0.042,0.0255,0.015,NA
"I",0.21,0.15,0.05,0.042,NA,0.0125,0.015
NA,0.39,0.295,0.095,NA,0.0875,NA,0.075
NA,0.47,0.37,NA,0.5795,0.293,NA,0.14
"F",0.46,0.375,0.12,0.4605,NA,0.11,0.15
"I",0.325,0.245,0.07,0.161,0.0755,0.0255,NA
