"con_age","cat_workclass","con_fnlwgt","cat_education","con_education.num","cat_marital.status","cat_occupation","cat_relationship","cat_race","cat_sex","con_capital.gain","con_capital.loss","con_hours.per.week","cat_native.country","cat_income"
NA,NA,NA,NA,9,NA,NA,"Not-in-family",NA,NA,NA,4356,NA,NA,NA
NA,"Private",NA,"7th-8th",NA,"Divorced",NA,"Unmarried","White","Female",0,3900,NA,"United-States","<=50K"
NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,3900,NA,NA,NA
NA,NA,NA,"HS-grad",NA,NA,NA,NA,"White",NA,0,NA,NA,"United-States",NA
NA,NA,NA,"10th",6,NA,NA,NA,"White","Male",NA,NA,40,"United-States",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United-States",NA
NA,"Federal-gov",NA,NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"United-States",NA
NA,NA,NA,"Doctorate",16,"Divorced","Prof-specialty",NA,NA,NA,NA,NA,35,NA,NA
NA,NA,NA,NA,NA,NA,"Prof-specialty",NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,"White",NA,NA,NA,20,"United-States",NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"White",NA,0,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,77009,NA,NA,"Separated","Sales","Not-in-family","White","Female",NA,2754,NA,"United-States",NA
61,NA,NA,"HS-grad",9,NA,"Sales","Unmarried",NA,NA,0,2754,25,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
21,"Private",34310,NA,11,NA,"Craft-repair",NA,"White","Male",0,2603,40,"United-States",NA
33,"Private",NA,"1st-4th",NA,"Married-civ-spouse","Craft-repair","Not-in-family","White",NA,0,2603,32,NA,"<=50K"
49,"Private",122066,"5th-6th",3,"Married-civ-spouse","Other-service","Husband","White","Male",0,NA,NA,"Greece","<=50K"
37,"Self-emp-inc",107164,NA,6,NA,NA,"Not-in-family",NA,"Male",NA,2559,50,NA,NA
NA,NA,175360,"10th",NA,NA,NA,NA,NA,NA,NA,2559,NA,NA,NA
NA,"Private",NA,NA,10,NA,NA,NA,"White","Male",NA,NA,40,NA,NA
