"con_CreditScore","cat_Geography","cat_Gender","con_Age","con_Tenure","con_Balance","con_NumOfProducts","cat_HasCrCard","cat_IsActiveMember","con_EstimatedSalary","cat_Exited"
NA,"France","Female",42,2,0,1,"1","1",101348.88,"1"
608,"Spain","Female",41,NA,83807.86,1,"0","1",112542.58,"0"
NA,NA,"Female",NA,NA,159660.8,NA,NA,NA,113931.57,NA
699,"France","Female",39,1,0,2,"0","0",93826.63,"0"
850,"Spain","Female",NA,2,125510.82,1,"1","1",NA,"0"
NA,NA,NA,44,NA,NA,2,NA,NA,NA,NA
822,NA,"Male",50,NA,0,2,"1",NA,10062.8,"0"
376,"Germany","Female",NA,4,115046.74,4,NA,"0",119346.88,"1"
501,"France","Male",44,4,NA,2,"0","1",74940.5,"0"
684,NA,"Male",27,2,134603.88,1,"1","1",NA,"0"
528,"France","Male",31,6,102016.72,2,"0","0",80181.12,"0"
497,"Spain","Male",24,3,0,NA,"1",NA,76390.01,"0"
476,"France","Female",34,10,0,2,"1","0",26260.98,NA
549,"France","Female",25,5,0,NA,"0","0",190857.79,"0"
NA,"Spain",NA,35,7,0,NA,"1","1",65951.65,"0"
616,"Germany",NA,45,NA,143129.41,NA,"0","1",64327.26,"0"
653,"Germany",NA,58,NA,132602.88,1,"1","0",5097.67,NA
549,NA,"Female",24,NA,0,2,"1","1",14406.41,"0"
NA,"Spain","Male",45,6,0,1,NA,"0",158684.81,"0"
NA,"France","Female",24,6,NA,2,NA,NA,54724.03,"0"
NA,NA,NA,41,8,0,NA,NA,NA,170886.17,"0"
636,"Spain","Female",32,8,0,2,"1","0",138555.46,"0"
510,"Spain","Female",38,4,NA,1,"1","0",NA,"1"
669,"France","Male",NA,3,0,2,NA,"1",8487.75,"0"
846,"France",NA,NA,5,0,1,"1","1",NA,"0"
NA,"France","Male",25,3,0,2,"0","1",124508.29,"0"
NA,"Germany",NA,NA,2,NA,NA,NA,"1",170041.95,"0"
571,"France",NA,44,NA,0,2,"0","0",38433.35,"0"
