"cat_city","con_area","con_rooms","con_bathroom","con_parking_spaces","cat_floor","cat_animal","cat_furniture","con_hoa","con_rent_amount","con_property_tax","con_fire_insurance"
NA,70,2,NA,NA,"7",NA,"furnished",2065,NA,NA,42
NA,NA,4,4,NA,"20",NA,"not furnished",1200,NA,1750,NA
"Porto Alegre",80,1,1,NA,NA,"acept",NA,1000,NA,0,41
"Porto Alegre",NA,NA,1,0,NA,"acept","not furnished",NA,1112,22,17
"São Paulo",25,1,NA,0,"1",NA,NA,NA,800,NA,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
"Rio de Janeiro",NA,2,NA,0,"7","acept","not furnished",740,1900,85,25
"São Paulo",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191
NA,35,1,1,0,"2","acept","furnished",590,2300,NA,30
"São Paulo",26,1,NA,0,NA,"acept","furnished",NA,NA,150,27
NA,46,1,1,1,"10","acept",NA,550,580,NA,NA
"São Paulo",36,1,1,NA,"11",NA,"not furnished",NA,2100,70,27
NA,NA,1,NA,NA,NA,NA,NA,790,4200,224,54
"São Paulo",NA,2,2,2,"24",NA,"furnished",900,4370,17,56
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
NA,NA,2,2,NA,"1","acept",NA,NA,NA,122,NA
"Rio de Janeiro",88,NA,3,NA,"9","not acept","furnished",NA,NA,NA,NA
NA,56,NA,1,0,"8","acept",NA,800,1220,0,16
"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"São Paulo",100,7,NA,0,NA,"acept",NA,0,NA,NA,58
"Belo Horizonte",NA,NA,NA,NA,"17","not acept",NA,470,2690,172,NA
NA,NA,NA,NA,NA,"18",NA,"furnished",NA,NA,167,25
NA,35,1,1,NA,"-","acept","not furnished",NA,1100,3,NA
NA,90,3,2,1,"7","acept","not furnished",NA,NA,NA,24
"São Paulo",49,1,1,1,"10","acept",NA,480,3500,42,NA
"São Paulo",41,1,NA,1,NA,NA,"furnished",NA,3000,NA,39
"Belo Horizonte",NA,2,2,1,"11","acept",NA,352,NA,80,NA
NA,208,NA,2,NA,"-","acept",NA,0,3180,100,NA
"São Paulo",NA,1,1,0,NA,"acept","furnished",602,1800,NA,23
"São Paulo",55,2,2,NA,"6","acept",NA,780,1068,142,14
NA,32,1,NA,0,NA,"acept",NA,515,NA,29,NA
"São Paulo",80,NA,2,NA,"11",NA,"not furnished",1208,2550,216,33
"Rio de Janeiro",45,1,NA,1,"10",NA,NA,2450,2500,593,33
NA,350,4,NA,NA,"8","acept",NA,NA,NA,NA,NA
