"cat_Sex","con_Length","con_Diameter","con_Height","con_Whole_weight","con_Shucked_weight","con_Viscera_weight","con_Shell_weight"
"M",NA,0.365,0.095,0.514,0.2245,0.101,0.15
"M",0.35,0.265,NA,0.2255,0.0995,0.0485,0.07
"F",NA,0.42,0.135,0.677,NA,0.1415,0.21
"M",0.44,0.365,0.125,NA,0.2155,0.114,NA
"I",0.33,0.255,0.08,0.205,0.0895,0.0395,0.055
"I",0.425,0.3,0.095,NA,NA,0.0775,0.12
NA,0.53,0.415,0.15,NA,NA,NA,0.33
"F",0.545,0.425,NA,0.768,NA,0.1495,0.26
"M",NA,NA,0.125,0.5095,0.2165,NA,NA
"F",NA,NA,0.15,NA,0.3145,NA,0.32
NA,NA,NA,0.14,NA,NA,0.1475,NA
NA,0.43,0.35,0.11,0.406,NA,0.081,NA
"M",0.49,0.38,NA,0.5415,0.2175,NA,0.19
"F",NA,NA,NA,NA,0.2725,0.171,0.205
NA,0.47,NA,0.1,0.4755,0.1675,0.0805,NA
"M",0.5,0.4,0.13,NA,0.258,NA,0.24
"I",0.355,0.28,NA,0.2905,0.095,0.0395,0.115
"F",NA,NA,0.1,0.451,NA,0.087,NA
"M",0.365,0.295,NA,0.2555,0.097,0.043,0.1
NA,0.45,0.32,0.1,0.381,0.1705,NA,NA
NA,NA,NA,0.095,0.2455,0.0955,NA,0.075
"I",0.38,0.275,NA,NA,0.08,0.049,0.085
"F",NA,0.44,0.155,NA,NA,NA,0.27
"F",NA,0.415,0.135,0.7635,0.318,NA,NA
NA,0.615,NA,0.165,NA,0.513,NA,NA
NA,0.56,NA,0.14,NA,NA,0.188,0.3
NA,0.58,0.45,NA,NA,0.3945,NA,0.285
NA,0.59,NA,0.14,NA,NA,NA,NA
NA,NA,NA,NA,0.9365,NA,NA,NA
NA,0.575,0.425,NA,NA,NA,0.227,NA
"M",NA,NA,NA,0.9975,0.3935,NA,NA
"F",0.68,NA,NA,NA,0.6055,0.2805,NA
NA,0.665,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.175,NA,NA,NA,NA
NA,NA,NA,0.2,NA,NA,NA,NA
"M",NA,0.355,0.105,0.4795,NA,0.124,0.125
NA,NA,NA,NA,NA,NA,NA,0.34
"F",0.45,NA,NA,0.5225,0.237,0.1165,NA
NA,0.575,NA,NA,0.883,NA,0.2035,0.26
"M",0.355,0.29,0.09,0.3275,NA,0.086,0.09
NA,NA,0.335,NA,NA,0.1865,0.091,NA
NA,NA,NA,NA,NA,0.362,NA,NA
"I",0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
"I",0.205,0.15,0.055,0.042,0.0255,0.015,0.012
