"con_CreditScore","cat_Geography","cat_Gender","con_Age","con_Tenure","con_Balance","con_NumOfProducts","cat_HasCrCard","cat_IsActiveMember","con_EstimatedSalary","cat_Exited"
NA,"France",NA,NA,NA,0,1,"1",NA,101348.88,"1"
608,"Spain","Female",41,1,83807.86,1,"0",NA,112542.58,"0"
NA,"France",NA,NA,NA,NA,3,NA,NA,NA,NA
699,"France","Female",39,NA,NA,2,NA,"0",93826.63,"0"
850,NA,NA,NA,NA,NA,NA,"1",NA,79084.1,NA
NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
NA,NA,NA,50,NA,NA,NA,NA,"1",NA,NA
376,NA,"Female",NA,NA,NA,4,NA,NA,119346.88,NA
501,NA,"Male",NA,NA,NA,NA,NA,NA,74940.5,NA
NA,"France",NA,NA,NA,NA,NA,NA,"1",71725.73,"0"
528,"France","Male",31,6,102016.72,2,"0","0",80181.12,"0"
NA,"Spain","Male",NA,3,NA,2,NA,"0",NA,NA
476,"France","Female",34,NA,NA,2,"1","0",26260.98,"0"
549,"France","Female",NA,5,NA,2,NA,"0",190857.79,"0"
635,"Spain",NA,35,7,NA,NA,NA,NA,65951.65,"0"
NA,"Germany",NA,45,3,143129.41,2,NA,"1",64327.26,NA
NA,NA,NA,58,NA,NA,1,"1",NA,5097.67,"1"
549,"Spain",NA,NA,9,0,NA,"1",NA,14406.41,NA
NA,"Spain","Male",45,6,NA,1,NA,"0",NA,"0"
NA,NA,"Female",NA,6,0,2,"1","1",NA,"0"
NA,"France","Male",41,8,NA,2,"1",NA,NA,NA
NA,"Spain",NA,32,NA,0,NA,NA,"0",138555.46,NA
NA,NA,"Female",38,NA,0,1,NA,"0",118913.53,NA
669,"France","Male",46,3,0,2,NA,"1",NA,NA
NA,"France","Female",NA,NA,NA,NA,"1","1",187616.16,NA
NA,NA,"Male",25,3,0,2,"0","1",124508.29,"0"
NA,"Germany",NA,36,NA,NA,1,NA,"1",NA,"0"
571,"France",NA,44,9,NA,NA,NA,"0",NA,"0"
574,NA,NA,NA,NA,141349.43,NA,NA,"1",NA,"0"
NA,"France","Male",NA,0,59697.17,2,"1","1",NA,NA
NA,"Spain",NA,NA,NA,NA,NA,NA,"0",NA,"1"
NA,"France","Male",36,7,85311.7,1,"0","1",156731.91,NA
NA,NA,"Male",NA,9,110112.54,2,"0","0",NA,NA
520,"Spain",NA,42,NA,0,NA,"1","1",NA,NA
NA,"Spain","Female",NA,9,NA,NA,NA,"1",NA,NA
NA,"France","Female",45,0,134264.04,1,"1",NA,27822.99,"1"
NA,"Spain",NA,31,NA,145260.23,NA,NA,NA,NA,"0"
804,NA,NA,NA,7,NA,NA,"0","1",98453.45,NA
850,"France",NA,36,7,0,NA,"1",NA,40812.9,"0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,178074.04,NA
472,"Spain","Male",40,4,NA,NA,"1",NA,NA,NA
NA,"France",NA,NA,8,122522.32,NA,"0","0",181297.65,"1"
NA,NA,"Female",NA,2,117419.35,1,NA,"1",94153.83,NA
NA,NA,"Female",49,2,131394.56,1,"0",NA,NA,"1"
NA,"Spain",NA,NA,NA,155931.11,NA,NA,NA,NA,NA
776,"Germany",NA,32,4,NA,2,NA,NA,NA,NA
NA,NA,NA,NA,NA,112045.67,NA,"1","1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
550,"Germany","Male",38,2,103391.38,1,"0",NA,90878.13,"0"
NA,NA,"Female",NA,NA,NA,NA,"1","0",NA,NA
698,NA,NA,44,NA,NA,NA,NA,NA,NA,"0"
585,NA,"Male",36,NA,146050.97,2,"0",NA,NA,"0"
788,NA,"Female",NA,5,0,2,NA,"0",116978.19,"0"
NA,NA,NA,NA,8,125561.97,1,NA,"0",NA,NA
601,"Germany",NA,42,1,98495.72,NA,"1","0",NA,NA
NA,"France","Male",NA,NA,NA,1,NA,NA,NA,"0"
656,"France","Male",NA,5,127864.4,1,"1","0",NA,"0"
725,"Germany","Male",19,0,75888.2,1,"0","0",45613.75,"0"
511,NA,NA,NA,NA,0,NA,NA,"0",NA,"1"
614,"France","Male",51,4,40685.92,NA,"1","1",NA,NA
NA,NA,"Male",NA,5,NA,1,"0","0",84509.57,"0"
687,NA,"Female",NA,NA,152328.88,2,"0",NA,126494.82,NA
555,"Spain",NA,33,1,NA,2,NA,"0",178798.13,"0"
NA,NA,"Male",NA,8,NA,NA,NA,"1",NA,"0"
NA,"Germany",NA,26,4,NA,1,"1","1",NA,"0"
NA,NA,NA,NA,NA,169831.46,NA,"1",NA,NA,"0"
581,"Germany","Female",34,1,101633.04,1,NA,"0",110431.51,"0"
NA,NA,"Male",43,NA,NA,NA,NA,"1",NA,NA
661,NA,NA,35,5,NA,NA,"0",NA,113656.85,"0"
675,"France","Female",NA,8,98373.26,1,"1","0",18203,"0"
NA,NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA
813,NA,"Male",29,6,0,1,NA,NA,33953.87,"0"
