"cat_city","con_area","con_rooms","con_bathroom","con_parking_spaces","cat_floor","cat_animal","cat_furniture","con_hoa","con_rent_amount","con_property_tax","con_fire_insurance"
"São Paulo",70,2,NA,NA,NA,NA,"furnished",2065,NA,211,42
NA,NA,4,4,NA,"20",NA,NA,NA,NA,NA,NA
"Porto Alegre",80,NA,1,1,"6","acept","not furnished",1000,NA,0,41
"Porto Alegre",NA,2,NA,0,"2","acept","not furnished",NA,NA,NA,NA
NA,NA,NA,NA,NA,"1","not acept","not furnished",0,800,25,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,NA,NA
NA,72,NA,1,0,"7",NA,"not furnished",740,NA,85,25
NA,NA,NA,NA,NA,"4",NA,NA,2254,NA,NA,NA
NA,NA,2,NA,1,NA,NA,NA,1000,NA,NA,NA
"Rio de Janeiro",35,NA,1,0,"2","acept","furnished",590,2300,35,NA
NA,NA,NA,1,NA,"2",NA,"furnished",470,2100,NA,27
"Campinas",46,1,1,NA,NA,"acept","not furnished",550,580,43,NA
"São Paulo",36,NA,NA,NA,NA,"acept","not furnished",359,2100,70,27
"São Paulo",55,1,1,NA,NA,NA,NA,790,4200,NA,NA
NA,NA,2,2,2,NA,"acept",NA,900,NA,17,NA
NA,330,NA,NA,6,NA,NA,NA,NA,8000,328,NA
"São Paulo",110,2,NA,1,NA,NA,"not furnished",NA,NA,122,39
NA,88,2,3,1,NA,"not acept","furnished",NA,3500,NA,16
"Rio de Janeiro",56,2,1,NA,"8","acept","not furnished",800,NA,NA,16
NA,600,NA,NA,NA,NA,NA,"not furnished",NA,NA,NA,NA
"São Paulo",NA,NA,4,NA,NA,NA,NA,0,NA,118,58
"Belo Horizonte",42,1,1,1,"17","not acept","furnished",NA,2690,NA,36
NA,160,3,NA,2,"18","acept",NA,NA,NA,NA,NA
NA,35,1,1,NA,"-","acept","not furnished",NA,1100,3,NA
NA,NA,3,NA,1,"7",NA,"not furnished",NA,1800,118,24
NA,49,1,1,NA,"10","acept",NA,480,3500,42,45
NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,0,NA
"Belo Horizonte",64,2,NA,1,"11","acept","not furnished",NA,1500,NA,NA
"Campinas",NA,3,2,NA,NA,"acept",NA,NA,3180,100,48
NA,20,1,NA,NA,"5","acept","furnished",602,1800,130,23
"São Paulo",55,NA,NA,NA,"6","acept",NA,NA,NA,142,14
NA,32,NA,1,0,"3",NA,"not furnished",NA,NA,29,22
"São Paulo",80,2,2,NA,NA,"acept","not furnished",NA,2550,216,NA
"Rio de Janeiro",45,1,1,NA,"10","acept",NA,2450,NA,593,33
NA,NA,NA,NA,NA,"8","acept",NA,NA,NA,500,NA
"Porto Alegre",38,NA,1,2,"11","not acept","not furnished",NA,1750,0,26
"São Paulo",NA,NA,1,0,"1","acept","not furnished",460,1600,0,21
"Belo Horizonte",NA,NA,NA,NA,NA,NA,"not furnished",NA,11000,NA,NA
NA,NA,2,1,0,"-","not acept","not furnished",0,1150,59,18
"Porto Alegre",40,1,1,1,NA,"acept",NA,390,2990,NA,44
NA,NA,NA,NA,NA,NA,NA,"not furnished",NA,NA,NA,NA
NA,NA,3,2,3,"-",NA,"not furnished",NA,3500,292,NA
"Belo Horizonte",NA,4,2,NA,"7","not acept",NA,NA,2550,NA,NA
"Belo Horizonte",45,NA,NA,NA,"5","acept","not furnished",NA,1631,192,12
NA,360,4,NA,0,NA,NA,"not furnished",NA,NA,NA,NA
"São Paulo",40,1,NA,1,"10","acept",NA,NA,2829,0,33
NA,NA,3,1,NA,NA,"not acept","not furnished",700,1220,10,NA
"Porto Alegre",NA,1,1,2,"2","acept","furnished",190,1770,17,26
NA,250,3,3,NA,NA,"acept","not furnished",2200,1700,256,NA
NA,48,NA,1,1,NA,"acept",NA,505,1600,NA,21
NA,90,NA,3,NA,"10",NA,NA,1250,3800,NA,NA
NA,NA,1,NA,1,NA,NA,NA,856,3900,150,50
NA,150,NA,3,4,"6",NA,"not furnished",1700,4000,NA,52
NA,60,2,NA,NA,"2",NA,"not furnished",200,1445,0,19
"São Paulo",NA,1,NA,0,"4","acept",NA,370,2350,56,30
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
"São Paulo",NA,3,1,NA,"-",NA,NA,NA,6000,NA,91
"Campinas",93,2,NA,NA,"9","acept",NA,663,NA,133,NA
"Porto Alegre",NA,3,NA,1,NA,"acept",NA,340,1800,109,NA
"São Paulo",NA,NA,NA,NA,NA,NA,"not furnished",NA,4000,NA,NA
"São Paulo",41,NA,NA,1,NA,"acept","furnished",523,4000,131,51
NA,65,NA,NA,1,"8","acept",NA,2000,NA,250,NA
"São Paulo",NA,NA,1,1,"13","acept",NA,NA,NA,67,28
"São Paulo",278,NA,5,NA,"16",NA,NA,NA,NA,NA,115
NA,35,1,NA,NA,"5",NA,"not furnished",306,NA,21,20
"Campinas",300,4,4,3,"2","acept",NA,2300,6000,NA,NA
"São Paulo",61,NA,NA,NA,NA,NA,NA,NA,1850,NA,NA
NA,130,3,NA,NA,NA,"acept","not furnished",NA,NA,475,NA
NA,80,2,NA,NA,"20","acept","not furnished",500,900,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
"Belo Horizonte",220,4,2,NA,"3","acept","not furnished",NA,NA,NA,33
"São Paulo",45,NA,NA,0,NA,"acept","not furnished",0,1050,NA,16
"São Paulo",NA,NA,2,NA,NA,NA,NA,NA,5600,NA,NA
"Belo Horizonte",128,1,1,0,NA,"acept",NA,418,2100,182,NA
"Rio de Janeiro",60,NA,NA,0,NA,"not acept",NA,NA,1800,48,24
NA,NA,NA,NA,NA,NA,NA,NA,2050,NA,NA,NA
NA,47,1,NA,1,NA,"not acept","furnished",400,2200,NA,33
NA,NA,NA,NA,4,NA,NA,NA,NA,2700,296,NA
NA,NA,NA,1,0,"1","not acept","not furnished",300,NA,NA,NA
"São Paulo",NA,1,NA,1,"15","acept","not furnished",686,NA,123,45
"São Paulo",NA,4,NA,3,"1",NA,NA,NA,NA,550,77
"São Paulo",70,3,1,1,"1","acept","not furnished",NA,NA,NA,NA
"Porto Alegre",NA,4,NA,1,"8","acept","not furnished",NA,NA,159,33
NA,64,NA,NA,NA,NA,"acept",NA,NA,NA,NA,58
"Belo Horizonte",68,NA,1,1,"3","acept",NA,NA,1200,NA,16
NA,NA,2,NA,2,NA,NA,NA,620,NA,264,34
"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"São Paulo",63,NA,NA,0,NA,NA,"not furnished",590,NA,NA,20
NA,NA,NA,NA,3,NA,"not acept","not furnished",1200,6000,NA,NA
NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"acept",NA,NA,NA,NA,NA
"Porto Alegre",NA,NA,4,NA,"-",NA,NA,NA,9000,NA,NA
NA,NA,4,NA,3,NA,NA,"not furnished",NA,3500,NA,NA
NA,296,4,NA,2,NA,NA,NA,NA,NA,NA,222
"São Paulo",NA,2,NA,NA,"8","acept",NA,450,NA,30,36
