"cat_Sex","con_Length","con_Diameter","con_Height","con_Whole_weight","con_Shucked_weight","con_Viscera_weight","con_Shell_weight"
NA,NA,NA,0.095,NA,NA,NA,0.15
NA,NA,0.265,0.09,0.2255,NA,NA,NA
"F",0.53,0.42,0.135,0.677,0.2565,NA,NA
"M",0.44,NA,0.125,0.516,NA,NA,0.155
NA,0.33,0.255,0.08,NA,0.0895,0.0395,0.055
"I",0.425,0.3,0.095,NA,NA,0.0775,NA
"F",0.53,NA,NA,0.7775,NA,0.1415,NA
NA,NA,NA,0.125,0.768,0.294,0.1495,NA
NA,NA,NA,NA,NA,NA,0.1125,NA
NA,0.55,NA,NA,NA,0.3145,0.151,NA
NA,NA,0.38,NA,0.6065,0.194,NA,NA
"M",0.43,0.35,0.11,0.406,NA,NA,NA
"M",NA,0.38,0.135,NA,NA,0.095,NA
"F",0.535,0.405,NA,NA,0.2725,NA,0.205
NA,0.47,0.355,0.1,0.4755,NA,NA,NA
"M",0.5,NA,NA,0.6645,NA,0.133,0.24
NA,NA,NA,0.085,0.2905,0.095,0.0395,0.115
NA,0.44,NA,NA,NA,0.188,0.087,NA
"M",0.365,0.295,NA,0.2555,0.097,NA,0.1
NA,NA,NA,0.1,NA,NA,0.075,NA
NA,0.355,NA,NA,NA,0.0955,0.062,0.075
"I",NA,NA,0.1,0.2255,0.08,0.049,NA
NA,0.565,NA,0.155,NA,0.4275,NA,0.27
"F",NA,NA,0.135,NA,NA,0.21,NA
"F",0.615,0.48,NA,NA,NA,0.301,NA
"F",0.56,NA,NA,NA,NA,NA,NA
"F",0.58,0.45,0.185,0.9955,NA,0.272,NA
"M",NA,NA,NA,NA,0.356,0.234,NA
"M",0.605,NA,NA,NA,NA,NA,NA
NA,NA,0.425,0.14,NA,0.393,NA,NA
"M",0.58,0.47,NA,NA,0.3935,0.242,0.33
"F",NA,NA,NA,NA,NA,0.2805,NA
"M",NA,0.525,0.165,NA,0.5515,NA,NA
NA,0.68,0.55,NA,NA,NA,NA,NA
"F",0.705,0.55,NA,NA,NA,0.4115,NA
"M",0.465,NA,0.105,NA,0.227,NA,0.125
NA,0.54,NA,NA,NA,0.5305,0.3075,NA
NA,NA,0.355,0.105,0.5225,0.237,NA,0.145
NA,0.575,NA,0.135,0.883,NA,0.2035,NA
"M",NA,0.29,0.09,NA,0.134,NA,0.09
"F",0.45,0.335,0.105,0.425,0.1865,NA,0.115
"F",0.55,NA,NA,NA,0.362,0.196,NA
"I",NA,0.175,0.045,NA,NA,NA,NA
NA,0.205,NA,NA,0.042,0.0255,NA,0.012
"I",0.21,NA,NA,0.042,0.0175,NA,NA
NA,0.39,NA,NA,NA,0.0875,0.045,NA
NA,0.47,NA,0.12,0.5795,0.293,NA,0.14
NA,0.46,NA,0.12,0.4605,0.1775,0.11,NA
NA,NA,0.245,NA,NA,NA,NA,0.045
NA,0.525,0.425,NA,0.8355,NA,NA,0.245
"I",NA,0.41,0.12,0.595,0.2385,0.111,0.19
"M",0.4,NA,0.095,0.303,0.1335,NA,0.1
"M",NA,0.36,NA,0.5415,NA,NA,0.16
"F",0.47,0.36,0.12,NA,NA,0.1055,0.15
"M",0.405,NA,NA,0.385,NA,NA,0.11
NA,NA,0.4,NA,0.6615,0.2565,NA,NA
NA,0.445,0.35,0.12,NA,0.192,0.0955,NA
"M",0.47,NA,NA,0.5895,NA,0.12,NA
NA,NA,NA,NA,0.086,0.042,NA,0.025
NA,NA,NA,NA,NA,NA,0.13,0.175
NA,NA,NA,0.105,0.4115,NA,0.1125,0.135
NA,0.505,NA,NA,NA,NA,0.16,0.175
NA,0.53,0.41,NA,NA,NA,NA,0.2
NA,0.425,0.325,0.095,NA,0.1705,NA,NA
"M",NA,NA,0.12,0.58,0.234,NA,0.185
"M",0.475,NA,NA,NA,NA,NA,NA
"F",0.565,0.44,NA,NA,NA,NA,0.32
"F",0.595,0.495,NA,1.285,NA,0.224,NA
NA,0.475,0.39,NA,NA,0.2135,0.1155,0.17
"I",0.31,0.235,0.07,0.151,NA,0.0405,NA
NA,NA,0.425,NA,NA,NA,0.168,0.275
NA,NA,NA,0.11,NA,0.1405,NA,NA
NA,0.595,NA,0.17,NA,0.48,0.225,0.425
"M",0.57,0.48,NA,1.185,NA,NA,NA
"F",NA,NA,NA,1.098,0.481,NA,0.315
NA,0.6,0.475,0.15,NA,NA,0.221,0.28
NA,0.595,NA,NA,0.944,0.3625,0.189,0.315
"F",0.6,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.14,NA,NA,0.1595,NA
"F",NA,0.475,NA,NA,0.4695,0.2355,0.345
"F",0.575,0.445,0.14,NA,0.3845,0.252,NA
"M",0.62,NA,NA,1.615,NA,NA,0.675
NA,0.52,0.425,NA,NA,NA,NA,0.32
"M",NA,0.475,NA,1.3175,NA,0.234,0.58
NA,NA,0.45,0.14,1.013,0.38,0.216,NA
"F",NA,NA,NA,NA,NA,0.2225,NA
"M",0.625,NA,0.14,1.195,0.4825,0.205,0.4
"M",NA,0.44,0.16,0.8645,NA,NA,NA
"F",NA,0.355,NA,0.517,0.2205,NA,0.165
"F",0.575,0.45,NA,0.9775,0.3135,NA,NA
"M",0.565,0.425,NA,NA,0.341,0.1675,0.255
"M",0.555,0.44,NA,0.755,NA,0.1525,0.26
"M",0.595,0.465,0.175,1.115,NA,0.254,0.39
NA,0.625,0.495,0.165,1.262,0.507,0.318,0.39
"M",NA,0.56,0.19,1.494,NA,0.3425,NA
"M",NA,0.535,0.195,NA,0.5755,0.388,0.48
"M",0.535,0.435,NA,NA,0.269,NA,NA
NA,0.47,NA,0.13,0.523,0.214,NA,0.145
"M",0.47,0.37,0.13,0.5225,0.201,0.133,NA
