"con_age","cat_workclass","con_fnlwgt","cat_education","con_education.num","cat_marital.status","cat_occupation","cat_relationship","cat_race","cat_sex","con_capital.gain","con_capital.loss","con_hours.per.week","cat_native.country","cat_income"
82,"Private",NA,"HS-grad",NA,NA,"Exec-managerial","Not-in-family","White","Female",NA,NA,18,"United-States",NA
54,"Private",NA,"7th-8th",4,NA,NA,"Unmarried","White","Female",NA,3900,NA,"United-States","<=50K"
41,NA,264663,NA,NA,NA,NA,"Own-child","White","Female",0,NA,NA,"United-States","<=50K"
34,NA,216864,"HS-grad",NA,NA,"Other-service","Unmarried",NA,"Female",NA,NA,NA,NA,NA
NA,NA,150601,NA,6,"Separated","Adm-clerical",NA,"White","Male",NA,3770,NA,NA,"<=50K"
74,NA,NA,NA,NA,"Never-married",NA,NA,NA,"Female",NA,3683,NA,"United-States",NA
NA,NA,NA,"HS-grad",9,NA,"Prof-specialty","Not-in-family",NA,"Female",0,NA,NA,"United-States",NA
NA,NA,NA,"Doctorate",NA,"Divorced",NA,NA,NA,NA,0,NA,NA,NA,NA
38,"Self-emp-not-inc",164526,"Prof-school",15,NA,NA,"Not-in-family",NA,"Male",NA,2824,45,"United-States",">50K"
52,"Private",NA,"Bachelors",NA,NA,NA,"Not-in-family","White","Female",0,NA,20,NA,">50K"
NA,"Private",136204,"Masters",NA,NA,"Exec-managerial",NA,"White","Male",NA,2824,55,"United-States",NA
NA,NA,45363,"Prof-school",15,NA,"Prof-specialty","Not-in-family","White",NA,0,2824,40,"United-States",NA
NA,"Private",172822,"11th",7,NA,"Transport-moving","Not-in-family",NA,NA,0,NA,76,NA,NA
NA,"Private",NA,"Masters",14,NA,"Exec-managerial",NA,NA,NA,NA,2824,NA,NA,NA
NA,"Private",NA,NA,13,"Separated",NA,"Not-in-family","White","Male",NA,NA,NA,NA,NA
NA,"Private",NA,NA,13,"Never-married","Exec-managerial","Not-in-family","White","Male",NA,NA,40,"United-States",">50K"
29,NA,NA,"11th",7,"Separated",NA,NA,"White",NA,0,NA,42,NA,"<=50K"
61,NA,NA,"HS-grad",NA,NA,NA,NA,"White",NA,0,NA,25,NA,NA
NA,"Private",153870,NA,NA,"Married-civ-spouse",NA,NA,NA,"Male",0,2603,40,NA,NA
21,"Private",NA,NA,NA,"Married-civ-spouse",NA,"Husband",NA,"Male",NA,NA,NA,"United-States",NA
