"con_CreditScore","cat_Geography","cat_Gender","con_Age","con_Tenure","con_Balance","con_NumOfProducts","cat_HasCrCard","cat_IsActiveMember","con_EstimatedSalary","cat_Exited"
NA,"France",NA,42,NA,NA,NA,"1",NA,101348.88,"1"
NA,NA,"Female",41,1,83807.86,NA,"0",NA,NA,NA
502,NA,"Female",42,8,NA,3,"1","0",NA,"1"
699,"France",NA,NA,1,0,2,NA,"0",NA,NA
850,"Spain","Female",NA,2,125510.82,1,"1","1",79084.1,"0"
NA,NA,"Male",44,8,NA,2,"1","0",149756.71,"1"
822,NA,NA,50,NA,NA,2,"1",NA,10062.8,"0"
NA,NA,"Female",NA,NA,NA,4,NA,"0",NA,"1"
NA,"France","Male",NA,4,NA,2,"0","1",NA,NA
NA,NA,NA,27,NA,NA,NA,NA,NA,NA,"0"
528,NA,"Male",31,6,NA,NA,"0","0",NA,NA
497,NA,"Male",NA,NA,NA,NA,"1","0",76390.01,NA
NA,"France",NA,34,NA,0,NA,NA,"0",26260.98,NA
549,NA,"Female",NA,NA,NA,2,"0","0",190857.79,"0"
NA,"Spain","Female",35,NA,NA,2,NA,NA,NA,"0"
616,NA,"Male",45,3,NA,2,"0",NA,NA,"0"
653,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
549,"Spain",NA,NA,9,0,2,NA,"1",14406.41,NA
587,"Spain",NA,NA,NA,NA,NA,"0","0",NA,NA
726,"France","Female",NA,NA,NA,2,NA,"1",54724.03,"0"
NA,"France",NA,NA,NA,0,2,NA,NA,NA,"0"
NA,"Spain","Female",NA,8,NA,2,NA,NA,NA,NA
510,"Spain",NA,NA,4,NA,1,"1",NA,118913.53,NA
669,"France",NA,NA,3,NA,NA,"0",NA,8487.75,NA
846,NA,NA,NA,NA,0,NA,"1",NA,NA,"0"
NA,NA,NA,NA,3,0,2,NA,NA,NA,"0"
NA,NA,NA,NA,NA,136815.64,1,"1",NA,170041.95,NA
571,NA,"Male",44,NA,NA,2,NA,NA,NA,"0"
NA,"Germany",NA,NA,3,141349.43,NA,"1","1",100187.43,"0"
NA,NA,NA,29,0,NA,2,"1",NA,53483.21,"0"
591,"Spain",NA,39,NA,NA,3,NA,"0",140469.38,"1"
533,NA,"Male",36,7,NA,NA,NA,NA,156731.91,"0"
553,NA,"Male",NA,9,NA,2,"0","0",81898.81,NA
520,NA,"Female",42,6,0,2,NA,NA,NA,NA
722,"Spain",NA,NA,NA,0,2,"1","1",NA,"0"
NA,"France","Female",45,NA,134264.04,1,NA,"0",27822.99,"1"
490,"Spain",NA,31,3,145260.23,1,"0","1",NA,NA
NA,"Spain","Male",33,NA,76548.6,NA,NA,NA,NA,"0"
NA,NA,"Male",36,7,NA,1,"1",NA,40812.9,NA
582,NA,NA,41,NA,NA,NA,NA,NA,178074.04,"0"
472,NA,NA,NA,4,NA,NA,"1","0",NA,"0"
NA,NA,"Female",51,NA,122522.32,1,NA,NA,181297.65,NA
NA,"France",NA,61,NA,NA,1,NA,NA,94153.83,"0"
NA,"France",NA,49,NA,NA,NA,"0","0",194365.76,"1"
660,NA,NA,NA,5,NA,1,NA,NA,158338.39,NA
NA,NA,"Female",NA,NA,109421.13,2,NA,"1",NA,NA
829,"Germany","Female",NA,NA,112045.67,1,NA,NA,NA,NA
NA,"Germany","Female",39,NA,137843.8,NA,"1","1",117622.8,NA
550,"Germany","Male",NA,2,103391.38,1,NA,NA,90878.13,NA
NA,NA,NA,37,NA,103769.22,NA,NA,NA,NA,NA
NA,NA,NA,44,10,NA,NA,"1",NA,198059.16,NA
NA,NA,NA,36,NA,146050.97,2,"0",NA,NA,"0"
788,"France","Female",NA,NA,0,2,NA,"0",NA,NA
655,NA,NA,41,NA,125561.97,1,NA,NA,NA,NA
601,"Germany",NA,42,NA,NA,1,"1","0",40014.76,NA
619,NA,"Male",43,1,NA,1,"1","1",NA,"0"
NA,"France",NA,NA,5,NA,1,"1",NA,87107.57,"0"
725,NA,"Male",NA,0,NA,1,NA,"0",NA,NA
511,"Spain","Female",NA,4,NA,NA,NA,NA,1643.11,"1"
NA,NA,NA,NA,4,NA,NA,NA,"1",46775.28,NA
742,NA,"Male",NA,NA,NA,NA,"0","0",84509.57,NA
NA,"Germany","Female",27,9,NA,NA,NA,"0",NA,NA
555,"Spain","Male",33,1,NA,2,"0","0",NA,"0"
684,NA,NA,56,NA,78707.16,1,"1",NA,99398.36,"0"
NA,NA,NA,NA,4,109166.37,1,"1","1",NA,NA
751,NA,"Female",NA,6,169831.46,2,"1","1",27758.36,"0"
581,NA,NA,NA,NA,101633.04,1,"1",NA,NA,NA
735,NA,NA,NA,NA,123180.01,NA,NA,NA,196673.28,NA
NA,NA,NA,35,NA,150725.53,NA,NA,NA,113656.85,NA
675,"France","Female",21,NA,NA,NA,"1","0",18203,"0"
738,NA,"Male",58,NA,133745.44,4,NA,NA,28373.86,NA
813,NA,NA,29,6,NA,NA,"1",NA,33953.87,NA
NA,"Spain",NA,NA,0,NA,NA,"0","1",44203.55,NA
NA,NA,"Female",NA,NA,NA,2,NA,"1",58426.81,NA
NA,"France","Male",36,NA,0,2,"0","1",NA,NA
735,NA,"Female",NA,NA,NA,NA,"1","0",22388,"0"
664,"France","Male",NA,NA,0,NA,NA,"1",NA,"0"
678,NA,NA,NA,9,NA,NA,NA,"1",NA,"0"
757,"Spain","Male",33,NA,77253.22,NA,NA,NA,194239.63,NA
NA,NA,NA,NA,10,122189.66,NA,"1","0",NA,"0"
665,NA,"Female",NA,1,NA,2,NA,NA,171413.66,NA
777,NA,NA,32,NA,0,NA,NA,NA,136458.19,NA
543,"France",NA,NA,NA,0,NA,NA,"0",NA,"0"
NA,"France","Female",NA,NA,90307.62,NA,"1","1",159235.29,"0"
NA,NA,"Female",NA,4,NA,NA,"1","0",NA,NA
NA,"Spain","Female",NA,NA,NA,NA,NA,NA,NA,"0"
NA,NA,"Male",22,NA,NA,NA,NA,"0",128643.35,NA
NA,"France",NA,30,9,0,NA,"1",NA,NA,NA
646,NA,"Female",46,4,0,3,NA,NA,NA,"1"
NA,NA,NA,NA,NA,81623.67,NA,"1",NA,NA,NA
647,NA,"Female",44,NA,NA,NA,"1",NA,174205.22,NA
808,NA,"Male",NA,NA,NA,2,NA,NA,NA,NA
524,"France","Female",NA,10,0,NA,"1",NA,109614.57,NA
769,NA,"Male",29,NA,0,NA,"1",NA,NA,"0"
730,"Spain",NA,42,4,NA,NA,NA,NA,85982.47,NA
NA,"Spain",NA,NA,NA,176273.95,1,NA,NA,NA,"0"
773,"Spain","Male",41,9,NA,1,"0","1",NA,NA
NA,"Germany",NA,29,8,NA,2,NA,"1",197276.13,"0"
NA,"Spain","Male",NA,NA,0,2,"0","0",99645.04,"0"
413,NA,"Male",34,NA,0,2,"0",NA,6534.18,"0"
665,"France",NA,40,NA,NA,1,NA,"1",161848.03,NA
NA,NA,"Female",44,6,NA,2,"0",NA,NA,NA
