"cat_city","con_area","con_rooms","con_bathroom","con_parking_spaces","cat_floor","cat_animal","cat_furniture","con_hoa","con_rent_amount","con_property_tax","con_fire_insurance"
NA,70,2,NA,NA,"7","acept","furnished",NA,3300,211,42
NA,320,4,4,0,NA,NA,NA,1200,4960,1750,63
NA,NA,1,1,NA,"6","acept","not furnished",1000,2800,NA,41
"Porto Alegre",NA,NA,1,0,"2","acept","not furnished",270,1112,NA,17
NA,NA,1,NA,NA,"1","not acept","not furnished",0,NA,25,11
NA,376,3,3,7,"-",NA,"not furnished",0,NA,834,121
NA,72,2,1,0,"7","acept","not furnished",740,NA,85,25
"São Paulo",213,4,4,4,NA,NA,"not furnished",NA,3223,1735,41
"São Paulo",152,2,2,NA,"3","acept","furnished",1000,15000,250,NA
"Rio de Janeiro",35,1,1,NA,"2",NA,NA,590,2300,NA,30
"São Paulo",26,1,1,NA,"2",NA,"furnished",NA,2100,NA,27
"Campinas",46,1,1,1,NA,"acept","not furnished",550,580,43,8
"São Paulo",36,1,1,NA,"11","acept",NA,359,2100,70,27
"São Paulo",NA,1,1,1,"2",NA,"furnished",790,NA,224,NA
"São Paulo",100,NA,2,NA,NA,"acept","furnished",NA,4370,17,56
"Campinas",330,4,6,6,"-","acept",NA,680,8000,NA,NA
"São Paulo",110,NA,NA,1,NA,NA,NA,NA,3000,122,39
"Rio de Janeiro",88,2,3,1,NA,"not acept","furnished",1614,NA,NA,NA
NA,56,NA,1,0,"8",NA,"not furnished",800,1220,0,NA
"São Paulo",600,4,5,NA,"-",NA,"not furnished",0,12000,9500,181
NA,100,7,NA,0,"-",NA,"not furnished",NA,NA,118,58
NA,NA,1,1,1,"17","not acept","furnished",470,2690,172,36
NA,160,3,NA,2,"18","acept","furnished",NA,NA,NA,NA
NA,35,1,1,0,"-",NA,NA,0,NA,NA,14
"Rio de Janeiro",90,NA,2,1,"7","acept",NA,800,1800,118,24
"São Paulo",49,1,1,NA,"10","acept","not furnished",480,3500,42,45
"São Paulo",41,NA,1,1,"5","not acept","furnished",600,3000,0,39
"Belo Horizonte",64,2,NA,1,"11",NA,"not furnished",352,NA,80,20
NA,208,3,NA,4,"-","acept",NA,0,NA,100,48
NA,20,1,NA,0,"5",NA,"furnished",602,1800,NA,23
