"cat_Sex","con_Length","con_Diameter","con_Height","con_Whole_weight","con_Shucked_weight","con_Viscera_weight","con_Shell_weight"
"M",0.455,0.365,NA,0.514,NA,0.101,NA
"M",NA,0.265,0.09,0.2255,NA,0.0485,0.07
"F",NA,NA,0.135,0.677,NA,NA,0.21
"M",NA,NA,0.125,0.516,NA,NA,0.155
NA,0.33,0.255,0.08,0.205,NA,0.0395,0.055
"I",0.425,0.3,0.095,0.3515,NA,NA,0.12
NA,NA,0.415,0.15,NA,0.237,NA,NA
"F",0.545,0.425,0.125,0.768,0.294,NA,0.26
NA,NA,NA,NA,NA,0.2165,NA,NA
"F",0.55,0.44,0.15,0.8945,0.3145,0.151,NA
"F",NA,0.38,0.14,0.6065,0.194,NA,NA
"M",0.43,0.35,0.11,0.406,NA,0.081,0.135
"M",NA,0.38,0.135,NA,NA,0.095,0.19
"F",0.535,NA,0.145,0.6845,0.2725,NA,0.205
NA,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
"M",0.5,NA,NA,0.6645,NA,0.133,0.24
"I",0.355,NA,0.085,NA,0.095,NA,0.115
"F",0.44,NA,0.1,NA,NA,0.087,0.13
"M",0.365,NA,NA,0.2555,0.097,0.043,0.1
"M",0.45,NA,0.1,0.381,0.1705,NA,NA
NA,0.355,0.28,NA,0.2455,0.0955,NA,0.075
"I",0.38,0.275,0.1,0.2255,0.08,0.049,0.085
"F",NA,0.44,0.155,0.9395,0.4275,NA,0.27
"F",0.55,0.415,0.135,NA,NA,NA,NA
NA,0.615,NA,0.165,1.1615,0.513,0.301,0.305
"F",0.56,0.44,0.14,0.9285,0.3825,0.188,NA
"F",0.58,NA,0.185,0.9955,NA,NA,0.285
NA,0.59,NA,NA,NA,NA,NA,NA
NA,NA,0.475,0.18,NA,0.394,NA,NA
NA,NA,NA,NA,0.8635,NA,0.227,NA
NA,0.58,NA,0.165,NA,NA,0.242,NA
NA,NA,NA,NA,NA,NA,NA,0.46
NA,NA,NA,NA,NA,NA,NA,0.35
NA,NA,NA,0.175,1.798,NA,NA,NA
NA,NA,0.55,NA,NA,NA,NA,NA
"M",0.465,0.355,0.105,NA,0.227,0.124,0.125
NA,NA,0.475,NA,NA,NA,NA,NA
"F",NA,0.355,NA,0.5225,0.237,NA,NA
NA,0.575,0.445,0.135,0.883,0.381,NA,0.26
"M",0.355,0.29,NA,0.3275,0.134,0.086,0.09
"F",0.45,0.335,0.105,0.425,0.1865,0.091,0.115
NA,NA,0.425,0.135,0.8515,0.362,0.196,0.27
"I",0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
"I",0.205,0.15,0.055,0.042,0.0255,0.015,0.012
"I",0.21,0.15,0.05,0.042,0.0175,NA,0.015
"I",0.39,0.295,0.095,0.203,NA,NA,0.075
NA,NA,0.37,0.12,0.5795,0.293,NA,NA
"F",0.46,0.375,0.12,NA,0.1775,0.11,NA
"I",0.325,0.245,0.07,0.161,0.0755,0.0255,NA
NA,0.525,NA,NA,NA,0.3545,NA,NA
NA,NA,NA,0.12,NA,NA,NA,0.19
"M",NA,0.32,0.095,0.303,0.1335,0.06,0.1
NA,NA,0.36,0.13,0.5415,0.2595,0.096,NA
"F",0.47,NA,0.12,0.4775,0.2105,0.1055,NA
"M",0.405,0.31,NA,0.385,NA,0.0915,0.11
"F",0.5,0.4,0.14,NA,NA,0.1755,0.22
"M",0.445,0.35,NA,0.4425,NA,0.0955,0.135
NA,NA,NA,0.135,0.5895,0.2765,0.12,NA
"I",0.245,0.19,NA,0.086,0.042,0.014,0.025
"F",NA,NA,NA,0.583,0.246,0.13,NA
"M",NA,0.345,NA,0.4115,0.18,NA,NA
NA,NA,0.405,0.11,NA,NA,0.16,0.175
NA,NA,0.41,0.13,0.6965,0.302,0.1935,NA
"M",0.425,0.325,NA,0.3785,0.1705,0.08,0.1
NA,NA,NA,0.12,NA,0.234,0.1315,0.185
"M",0.475,NA,0.12,0.48,0.234,NA,0.135
NA,0.565,NA,NA,0.915,NA,NA,NA
NA,NA,NA,NA,NA,0.416,NA,0.485
NA,NA,0.39,NA,0.5305,NA,0.1155,NA
"I",0.31,NA,0.07,NA,0.063,0.0405,0.045
NA,NA,0.425,0.13,0.7665,0.264,NA,0.275
"F",0.4,NA,NA,NA,0.1405,0.0985,0.1
NA,0.595,NA,NA,NA,NA,NA,NA
"M",0.57,NA,NA,1.185,NA,NA,NA
"F",0.605,0.45,NA,NA,NA,0.2895,NA
NA,NA,NA,NA,1.0075,NA,0.221,NA
"M",0.595,NA,NA,NA,NA,0.189,0.315
NA,NA,NA,0.15,NA,0.363,NA,0.305
"F",0.555,NA,NA,0.788,0.282,NA,0.285
NA,0.615,0.475,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.3845,0.252,0.285
"M",NA,NA,NA,1.615,NA,NA,NA
"F",NA,NA,0.165,NA,NA,NA,0.32
NA,NA,0.475,0.16,NA,0.408,0.234,NA
"M",0.58,0.45,NA,NA,NA,NA,NA
NA,NA,0.465,NA,NA,NA,NA,NA
NA,NA,NA,0.14,NA,NA,NA,NA
NA,NA,0.44,0.16,NA,0.3305,NA,NA
NA,NA,0.355,0.13,0.517,NA,0.114,NA
NA,NA,NA,0.16,NA,0.3135,NA,0.33
NA,NA,NA,NA,0.8115,0.341,NA,NA
"M",0.555,0.44,NA,NA,NA,0.1525,0.26
NA,0.595,NA,NA,NA,0.4015,NA,NA
NA,0.625,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1.494,NA,NA,NA
NA,NA,0.535,NA,NA,NA,0.388,NA
NA,NA,0.435,NA,0.725,0.269,NA,NA
NA,NA,NA,0.13,0.523,0.214,NA,0.145
"M",NA,NA,NA,0.5225,NA,0.133,0.165
NA,NA,0.375,NA,NA,NA,0.085,0.155
NA,0.36,0.265,0.095,NA,0.105,0.046,NA
NA,NA,0.435,NA,0.843,NA,NA,NA
"M",NA,NA,NA,0.883,NA,0.164,NA
"M",NA,NA,NA,0.724,0.3105,NA,NA
"M",NA,0.47,NA,NA,0.4975,NA,NA
"F",0.52,0.41,NA,NA,0.291,0.1835,0.235
NA,NA,NA,NA,0.802,NA,NA,NA
"F",NA,0.4,NA,NA,NA,0.1315,0.22
NA,NA,0.39,0.135,NA,NA,NA,NA
"F",0.435,0.395,0.105,0.3635,NA,0.098,0.13
"M",NA,0.395,0.125,NA,NA,0.1345,0.155
NA,NA,NA,0.105,0.431,0.172,NA,NA
"I",NA,0.32,0.08,0.3325,0.1485,0.0635,NA
NA,0.425,0.35,0.105,0.393,0.13,0.063,0.165
NA,0.545,0.41,NA,NA,NA,0.146,0.21
"F",0.53,0.415,0.115,NA,0.233,0.1585,0.18
"F",NA,NA,0.135,NA,NA,NA,NA
NA,0.44,NA,0.105,0.402,0.1305,0.0955,0.165
NA,0.56,0.43,NA,NA,NA,NA,0.31
"M",NA,0.305,0.085,0.2605,0.1145,0.0595,0.085
"F",NA,0.365,0.105,0.4205,0.163,0.1035,NA
"I",0.385,0.295,0.085,0.2535,0.103,0.0575,0.085
"F",0.515,NA,NA,0.766,NA,NA,0.255
"M",0.37,0.265,0.075,0.214,0.09,0.051,0.07
"I",0.36,NA,NA,0.1755,NA,0.0505,0.07
"I",0.27,0.195,0.06,0.073,0.0285,0.0235,NA
"I",0.375,0.275,NA,0.238,0.1075,0.0545,NA
NA,0.385,0.29,0.085,0.2505,NA,NA,0.08
NA,NA,NA,NA,1.7255,0.63,NA,NA
NA,NA,0.54,NA,NA,NA,NA,NA
NA,NA,NA,NA,1.262,NA,0.283,NA
"F",0.44,0.35,0.125,0.4035,0.175,NA,0.129
"F",NA,0.26,0.09,0.1915,0.085,0.036,0.062
"I",0.35,0.26,0.095,0.211,0.086,0.056,0.068
NA,0.265,0.2,0.065,0.0975,NA,0.0205,0.028
NA,NA,0.33,NA,0.406,0.1635,0.081,0.1355
"F",0.305,0.23,0.08,0.156,0.0675,0.0345,0.048
"M",NA,0.255,0.09,0.2005,0.094,0.0295,0.063
"F",0.405,0.325,0.11,NA,0.151,0.063,NA
"M",0.375,0.285,0.095,0.253,0.096,NA,0.0925
"F",NA,0.445,0.155,NA,NA,0.2055,NA
"F",NA,0.45,0.145,NA,0.295,0.1435,0.2665
NA,0.65,NA,NA,NA,NA,NA,NA
NA,0.56,0.455,0.155,NA,0.34,0.19,0.2425
"M",NA,0.375,NA,0.5175,0.2075,NA,NA
NA,0.49,0.38,0.125,0.549,0.245,0.1075,0.174
"M",0.46,0.35,NA,0.515,0.224,NA,0.1565
"I",0.28,0.205,0.08,NA,0.052,0.039,NA
"I",0.175,0.13,0.055,0.0315,0.0105,NA,NA
"I",0.17,0.13,0.095,0.03,0.013,0.008,0.01
NA,0.59,0.475,0.145,NA,NA,0.262,0.325
NA,0.605,NA,NA,1.1185,0.469,0.2585,0.335
"F",0.635,NA,0.19,NA,0.5065,0.305,0.45
NA,0.605,0.485,NA,1.0565,NA,NA,NA
NA,NA,0.45,0.135,0.9885,NA,0.1495,NA
"M",NA,0.405,NA,NA,0.32,NA,NA
NA,0.575,NA,0.19,NA,NA,0.2425,NA
NA,NA,NA,NA,1.514,NA,NA,0.635
"F",NA,0.455,NA,NA,0.374,0.2135,0.285
NA,0.575,0.46,0.165,1.124,NA,0.1785,0.44
NA,0.605,NA,NA,1.056,NA,0.2475,0.34
NA,NA,NA,NA,1.222,0.53,0.2575,NA
"M",NA,0.485,0.175,NA,NA,NA,NA
"F",NA,NA,0.21,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0.2895,NA
NA,0.725,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0.85
NA,NA,NA,NA,NA,0.625,NA,NA
NA,0.705,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.175,NA,NA,NA,NA
NA,NA,0.55,NA,NA,NA,NA,NA
"F",NA,NA,0.145,0.775,0.308,NA,0.255
"M",NA,NA,0.155,NA,0.486,NA,NA
"F",0.52,NA,NA,NA,NA,NA,0.22
NA,NA,0.16,0.04,0.048,0.0185,0.018,0.015
"I",0.36,0.26,0.09,0.1785,0.0645,NA,NA
"I",0.315,0.21,0.06,0.125,NA,NA,0.035
"I",0.315,0.245,0.085,0.1435,0.053,NA,0.05
"I",0.225,0.16,0.045,0.0465,0.025,0.015,0.015
NA,NA,NA,NA,0.97,NA,NA,0.35
NA,NA,NA,NA,0.9395,NA,NA,0.295
"M",NA,NA,NA,NA,NA,NA,NA
