"con_CreditScore","cat_Geography","cat_Gender","con_Age","con_Tenure","con_Balance","con_NumOfProducts","cat_HasCrCard","cat_IsActiveMember","con_EstimatedSalary","cat_Exited"
619,NA,NA,42,2,0,1,NA,"1",101348.88,NA
608,"Spain","Female",NA,1,NA,1,"0","1",112542.58,"0"
NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
699,"France","Female",NA,1,0,NA,"0","0",93826.63,"0"
850,NA,"Female",43,2,125510.82,NA,NA,NA,79084.1,NA
NA,NA,"Male",NA,8,NA,NA,NA,NA,NA,NA
NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,"0"
376,NA,NA,NA,4,NA,NA,NA,"0",119346.88,"1"
501,NA,NA,44,NA,142051.07,NA,"0","1",74940.5,"0"
684,"France","Male",27,2,134603.88,NA,"1",NA,71725.73,"0"
NA,"France","Male",NA,6,102016.72,2,"0",NA,80181.12,"0"
497,"Spain","Male",NA,3,0,NA,"1","0",76390.01,NA
476,NA,"Female",34,10,0,2,"1","0",26260.98,NA
549,"France","Female",25,5,0,2,NA,"0",190857.79,"0"
NA,"Spain",NA,NA,NA,NA,2,"1",NA,65951.65,"0"
NA,NA,"Male",NA,3,NA,NA,NA,"1",64327.26,NA
NA,NA,NA,58,NA,NA,1,"1",NA,NA,NA
549,NA,"Female",NA,9,0,NA,NA,NA,NA,NA
NA,"Spain",NA,45,6,NA,1,"0",NA,NA,"0"
NA,"France","Female",24,NA,0,NA,"1","1",54724.03,"0"
NA,NA,"Male",NA,NA,0,NA,NA,NA,170886.17,"0"
NA,NA,"Female",32,8,NA,NA,NA,"0",138555.46,"0"
510,"Spain","Female",NA,4,0,1,"1","0",118913.53,"1"
669,NA,NA,NA,3,0,NA,"0","1",NA,"0"
NA,NA,"Female",38,NA,NA,1,"1","1",NA,NA
577,"France",NA,25,3,0,2,"0","1",124508.29,"0"
NA,"Germany",NA,NA,NA,NA,NA,NA,"1",170041.95,NA
571,NA,"Male",44,9,0,NA,"0","0",38433.35,NA
NA,"Germany",NA,NA,3,NA,1,NA,"1",100187.43,NA
NA,"France","Male",NA,0,59697.17,2,"1","1",53483.21,"0"
NA,NA,NA,39,NA,0,3,NA,NA,140469.38,NA
533,"France","Male",NA,7,85311.7,1,NA,NA,NA,"0"
553,"Germany","Male",41,9,NA,2,NA,NA,81898.81,"0"
520,NA,NA,NA,NA,0,2,"1","1",NA,"0"
NA,NA,NA,NA,NA,0,2,NA,NA,NA,"0"
475,NA,"Female",45,NA,134264.04,1,"1","0",27822.99,"1"
NA,NA,"Male",31,3,145260.23,1,"0","1",114066.77,"0"
NA,NA,NA,33,7,NA,NA,"0",NA,NA,"0"
850,"France","Male",36,NA,NA,NA,NA,NA,40812.9,"0"
NA,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA
472,NA,"Male",NA,4,0,1,NA,"0",70154.22,NA
465,NA,"Female",51,8,NA,1,NA,"0",181297.65,"1"
556,NA,"Female",61,2,NA,1,NA,"1",NA,NA
834,"France",NA,49,2,131394.56,NA,"0","0",NA,"1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
NA,NA,"Female",32,NA,109421.13,NA,NA,"1",NA,NA
NA,NA,NA,27,NA,112045.67,NA,NA,NA,NA,NA
NA,NA,"Female",39,NA,NA,NA,NA,"1",NA,NA
NA,NA,"Male",38,2,NA,1,NA,NA,90878.13,"0"
NA,"Germany",NA,37,NA,NA,NA,NA,"0",NA,NA
NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Male",36,NA,NA,NA,"0",NA,NA,NA
788,NA,NA,33,5,0,2,"0",NA,116978.19,"0"
NA,NA,NA,NA,8,125561.97,NA,NA,"0",NA,NA
