"cat_city","con_area","con_rooms","con_bathroom","con_parking_spaces","cat_floor","cat_animal","cat_furniture","con_hoa","con_rent_amount","con_property_tax","con_fire_insurance"
"São Paulo",70,2,1,1,"7","acept","furnished",2065,3300,211,42
"São Paulo",NA,4,NA,0,NA,NA,NA,1200,NA,NA,NA
"Porto Alegre",80,1,1,1,"6","acept",NA,1000,2800,0,41
"Porto Alegre",NA,2,1,0,"2","acept","not furnished",NA,1112,22,17
"São Paulo",25,1,NA,0,"1","not acept","not furnished",0,800,25,11
"São Paulo",NA,NA,3,NA,"-","acept",NA,NA,NA,834,NA
"Rio de Janeiro",72,NA,1,0,"7",NA,"not furnished",740,1900,85,25
"São Paulo",213,NA,4,4,NA,"acept",NA,2254,NA,1735,41
NA,152,2,2,NA,NA,"acept","furnished",1000,15000,NA,191
"Rio de Janeiro",NA,1,1,0,"2","acept","furnished",NA,2300,35,30
NA,26,1,1,0,"2","acept","furnished",470,NA,150,27
"Campinas",46,1,1,NA,"10","acept","not furnished",550,580,43,8
"São Paulo",36,1,1,0,"11","acept",NA,359,2100,70,NA
NA,55,NA,1,1,"2","acept","furnished",790,4200,224,54
NA,100,NA,2,2,NA,"acept","furnished",900,NA,17,56
"Campinas",NA,NA,NA,6,"-","acept",NA,NA,8000,328,NA
"São Paulo",110,2,NA,1,"1","acept","not furnished",700,3000,NA,NA
NA,88,NA,3,1,NA,"not acept",NA,1614,3500,NA,16
"Rio de Janeiro",56,NA,1,0,"8","acept","not furnished",NA,NA,0,16
NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"São Paulo",NA,NA,4,NA,"-",NA,NA,0,3800,NA,NA
NA,42,1,1,1,"17","not acept","furnished",470,2690,172,36
"São Paulo",NA,3,2,2,"18","acept","furnished",1530,NA,167,25
"São Paulo",35,1,1,0,"-","acept","not furnished",0,1100,3,14
"Rio de Janeiro",NA,NA,2,1,NA,"acept","not furnished",NA,1800,118,24
NA,49,NA,1,1,"10","acept",NA,NA,3500,NA,NA
