con_age,cat_workclass,con_fnlwgt,cat_education,con_education.num,cat_marital.status,cat_occupation,cat_relationship,cat_race,cat_sex,con_capital.gain,con_capital.loss,con_hours.per.week,cat_native.country,cat_income
82.0,Private,145941.1989427775,HS-grad,9.0,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,4356.0,24.00259897313841,United-States,<=50K
54.0,Private,140359.0,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,-129.9140397133349,3900.0,40.0,United-States,<=50K
40.21457626628335,Private,215675.71879679992,HS-grad,11.721659089626057,Separated,Craft-repair,Husband,White,Male,44809.797679686155,3900.0,51.63520428788678,United-States,<=50K
34.0,Private,163929.74951548944,HS-grad,9.0,Married-civ-spouse,Other-service,Unmarried,White,Female,-392.8079835552703,3770.0,39.29026553488683,United-States,<=50K
38.0,Private,150601.0,10th,6.084288366698105,Separated,Craft-repair,Unmarried,White,Male,0.0,3770.0,40.0,United-States,<=50K
74.0,State-gov,254132.9787988185,HS-grad,10.089644484335832,Married-civ-spouse,Craft-repair,Husband,White,Male,991.2768737038461,1941.1231544314776,29.635941117816373,United-States,>50K
68.0,Federal-gov,128209.47739643703,HS-grad,9.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,3683.0,40.0,United-States,<=50K
45.0,Private,172274.0,Doctorate,16.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,3004.0,35.0,United-States,>50K
41.249774933563316,Private,199368.32753932726,Prof-school,15.31684770802327,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,557.2379931025228,52.907575498645365,United-States,>50K
73.06852188299023,Private,202002.3984697733,Some-college,10.2626179419184,Widowed,Craft-repair,Not-in-family,White,Female,511.30014074982836,2824.0,27.084805020966943,United-States,<=50K
32.0,Private,205456.72943792806,HS-grad,9.69343241247694,Never-married,Craft-repair,Not-in-family,White,Male,0.0,953.0303623382197,55.0,United-States,<=50K
46.0,Private,159525.91157565895,HS-grad,11.48696253581182,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,2824.0,40.0,United-States,>50K
40.83895169932505,Private,197741.18642485453,HS-grad,11.436978398493517,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,2824.0,45.27478729776888,United-States,>50K
57.0,Private,180215.9454609575,Bachelors,14.0,Married-civ-spouse,Craft-repair,Husband,White,Male,3926.863407894807,2824.0,44.10016398426828,United-States,>50K
